osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,junction
329481773,2,N-634,Calle Eulogio Diaz Miranda,trunk,False,False,70.381,,"LINESTRING (-6.0707661 43.3892662, -6.0710721 43.3890442, -6.0712212 43.3889503, -6.0714267 43.3888584)",
"[23261995, 300582854]",,,Calle La Resqueta,residential,False,True,344.697,,"LINESTRING (-6.0735573 43.3915525, -6.0732139 43.3911644, -6.073093 43.3911152, -6.0724985 43.3908732, -6.0723754 43.3907574, -6.0717544 43.3901731, -6.0715223 43.389941, -6.0709679 43.3894196, -6.0707661 43.3892662)",
23261996,,,Urbanización La Moratina,residential,False,False,292.98,,"LINESTRING (-6.0721276 43.3932255, -6.0721557 43.3931591, -6.0722172 43.3928934, -6.0722045 43.3926967, -6.0721475 43.3924954, -6.0719367 43.3921299, -6.0715886 43.3917086, -6.0714795 43.3916242, -6.0713686 43.391583, -6.0712439 43.3916054, -6.0711474 43.3916749, -6.0711118 43.3917559, -6.0710614 43.3921186, -6.0709766 43.3922639)",
23261996,,,Urbanización La Moratina,residential,False,True,25.266,,"LINESTRING (-6.0710366 43.3924869, -6.0709766 43.3922639)",
23261996,,,Urbanización La Moratina,residential,False,False,60.794,,"LINESTRING (-6.0710366 43.3924869, -6.0711248 43.3925725, -6.0711958 43.3927697, -6.071184 43.3930055)",
23261999,,,Urbanización La Moratina,residential,False,False,26.545,,"LINESTRING (-6.0710366 43.3924869, -6.0709574 43.3925042, -6.0707707 43.3926204)",
23261996,,,Urbanización La Moratina,residential,False,True,45.686,,"LINESTRING (-6.0712406 43.3934143, -6.071184 43.3930055)",
23261997,,,Urbanización La Moratina,residential,False,False,70.456,,"LINESTRING (-6.0718103 43.3933507, -6.0718047 43.3932672, -6.0716091 43.393088, -6.0714287 43.3930367, -6.071184 43.3930055)",
23261996,,,Urbanización La Moratina,residential,False,False,45.686,,"LINESTRING (-6.071184 43.3930055, -6.0712406 43.3934143)",
23261996,,,Urbanización La Moratina,residential,False,True,60.794,,"LINESTRING (-6.071184 43.3930055, -6.0711958 43.3927697, -6.0711248 43.3925725, -6.0710366 43.3924869)",
23261997,,,Urbanización La Moratina,residential,False,True,70.456,,"LINESTRING (-6.071184 43.3930055, -6.0714287 43.3930367, -6.0716091 43.393088, -6.0718047 43.3932672, -6.0718103 43.3933507)",
163642061,,N-634,Avenida Valentín Andrés,trunk,False,True,36.781,,"LINESTRING (-6.06745 43.3921351, -6.0673044 43.3924485)",
296111559,,N-634,Avenida Valentín Andrés,trunk,False,False,33.314,,"LINESTRING (-6.06745 43.3921351, -6.0674724 43.3920935, -6.0675999 43.391856)",
300484513,,,Calle La Moratina,residential,False,True,43.815,,"LINESTRING (-6.06745 43.3921351, -6.0675282 43.3921663, -6.0678209 43.3922473, -6.0679383 43.3923025)",
23262000,,,Calle La Tahona,residential,False,False,39.961,,"LINESTRING (-6.0677573 43.391563, -6.0682257 43.3916783)",
296111559,,N-634,Avenida Valentín Andrés,trunk,False,True,34.975,,"LINESTRING (-6.0677573 43.391563, -6.0675999 43.391856)",
296111561,2,N-634,Avenida Valentín Andrés,trunk,False,False,24.706,,"LINESTRING (-6.0677573 43.391563, -6.0678705 43.3913566)",
23262001,,,Urbanización La Moratina,residential,False,False,48.461,,"LINESTRING (-6.0708193 43.3921866, -6.0707799 43.3923994, -6.0707707 43.3926204)",
66918301,,,Urbanización La Moratina,residential,False,False,16.4,,"LINESTRING (-6.0708193 43.3921866, -6.0709357 43.3922131, -6.0709766 43.3922639)",
66918301,,,Urbanización La Moratina,residential,False,True,68.316,,"LINESTRING (-6.0708193 43.3921866, -6.0705237 43.3918517, -6.0704246 43.3917256, -6.0703759 43.3916637)",
23261996,,,Urbanización La Moratina,residential,False,False,25.266,,"LINESTRING (-6.0709766 43.3922639, -6.0710366 43.3924869)",
23261996,,,Urbanización La Moratina,residential,False,True,292.98,,"LINESTRING (-6.0709766 43.3922639, -6.0710614 43.3921186, -6.0711118 43.3917559, -6.0711474 43.3916749, -6.0712439 43.3916054, -6.0713686 43.391583, -6.0714795 43.3916242, -6.0715886 43.3917086, -6.0719367 43.3921299, -6.0721475 43.3924954, -6.0722045 43.3926967, -6.0722172 43.3928934, -6.0721557 43.3931591, -6.0721276 43.3932255)",
66918301,,,Urbanización La Moratina,residential,False,True,16.4,,"LINESTRING (-6.0709766 43.3922639, -6.0709357 43.3922131, -6.0708193 43.3921866)",
23261999,,,Urbanización La Moratina,residential,False,False,266.359,,"LINESTRING (-6.0707707 43.3926204, -6.070652 43.3927279, -6.0704023 43.3930975, -6.0702997 43.3934273, -6.0702237 43.393534, -6.0701178 43.3935493, -6.0699782 43.3935218, -6.0695829 43.3930106, -6.0694137 43.3927635, -6.0692845 43.3927213, -6.0691904 43.3926905, -6.0689849 43.3926234)",
23261999,,,Urbanización La Moratina,residential,False,True,26.545,,"LINESTRING (-6.0707707 43.3926204, -6.0709574 43.3925042, -6.0710366 43.3924869)",
23262001,,,Urbanización La Moratina,residential,False,True,48.461,,"LINESTRING (-6.0707707 43.3926204, -6.0707799 43.3923994, -6.0708193 43.3921866)",
300484513,,,Calle La Moratina,residential,False,True,91.787,,"LINESTRING (-6.0679383 43.3923025, -6.0689849 43.3926234)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,False,32.15,,"LINESTRING (-6.0679383 43.3923025, -6.0679642 43.3922309, -6.0680568 43.3920266)",
300484513,,,Calle La Moratina,residential,False,False,43.815,,"LINESTRING (-6.0679383 43.3923025, -6.0678209 43.3922473, -6.0675282 43.3921663, -6.06745 43.3921351)",
23262000,,,Calle La Tahona,residential,False,False,67.522,,"LINESTRING (-6.0682257 43.3916783, -6.0690168 43.3918739)",
23262000,,,Calle La Tahona,residential,False,True,39.961,,"LINESTRING (-6.0682257 43.3916783, -6.0677573 43.391563)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,True,16.492,,"LINESTRING (-6.0682257 43.3916783, -6.0681595 43.3918186)",
300484513,,,Calle La Moratina,residential,False,False,91.787,,"LINESTRING (-6.0689849 43.3926234, -6.0679383 43.3923025)",
23261999,,,Urbanización La Moratina,residential,False,True,266.35900000000004,,"LINESTRING (-6.0689849 43.3926234, -6.0691904 43.3926905, -6.0692845 43.3927213, -6.0694137 43.3927635, -6.0695829 43.3930106, -6.0699782 43.3935218, -6.0701178 43.3935493, -6.0702237 43.393534, -6.0702997 43.3934273, -6.0704023 43.3930975, -6.070652 43.3927279, -6.0707707 43.3926204)",
23262004,,,Calle Manuela del Río,residential,False,True,54.283,,"LINESTRING (-6.0689849 43.3926234, -6.0690481 43.3925405, -6.0690326 43.3923392, -6.0688462 43.3922865, -6.0688253 43.3922426)",
23262000,,,Calle La Tahona,residential,False,True,67.522,,"LINESTRING (-6.0690168 43.3918739, -6.0682257 43.3916783)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,False,24.572,,"LINESTRING (-6.0680568 43.3920266, -6.0681595 43.3918186)",
23262004,,,Calle Manuela del Río,residential,False,False,66.579,,"LINESTRING (-6.0680568 43.3920266, -6.0688253 43.3922426)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,True,32.15,,"LINESTRING (-6.0680568 43.3920266, -6.0679642 43.3922309, -6.0679383 43.3923025)",
23262004,,,Calle Manuela del Río,residential,False,True,66.579,,"LINESTRING (-6.0688253 43.3922426, -6.0680568 43.3920266)",
300462011,,,,residential,True,False,25.023,,"LINESTRING (-6.0688253 43.3922426, -6.0689311 43.3920311)",
23262004,,,Calle Manuela del Río,residential,False,False,54.283,,"LINESTRING (-6.0688253 43.3922426, -6.0688462 43.3922865, -6.0690326 43.3923392, -6.0690481 43.3925405, -6.0689849 43.3926234)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,False,16.492,,"LINESTRING (-6.0681595 43.3918186, -6.0682257 43.3916783)",
23262002,,,Calle Alfonso Alvarez Miranda,residential,False,True,24.572,,"LINESTRING (-6.0681595 43.3918186, -6.0680568 43.3920266)",
23262005,,,Calle Ramón Areces,residential,False,False,66.674,,"LINESTRING (-6.0681595 43.3918186, -6.0689311 43.3920311)",
23262005,,,Calle Ramón Areces,residential,False,True,66.674,,"LINESTRING (-6.0689311 43.3920311, -6.0681595 43.3918186)",
300462011,,,,residential,True,False,18.802,,"LINESTRING (-6.0689311 43.3920311, -6.0690168 43.3918739)",
23262006,,,,residential,False,False,31.439,,"LINESTRING (-6.0633179 43.3932831, -6.0633242 43.3935658)",
691046932,,N-634,Carretera de San Pelayo,trunk,False,True,31.889,,"LINESTRING (-6.0633179 43.3932831, -6.0629233 43.3932882)",
691046932,,N-634,Carretera de San Pelayo,trunk,False,False,103.39999999999999,,"LINESTRING (-6.0633179 43.3932831, -6.0642628 43.3932903, -6.0645496 43.3932925, -6.0645975 43.3932914)",
691046932,,N-634,Carretera de San Pelayo,trunk,False,False,31.889,,"LINESTRING (-6.0629233 43.3932882, -6.0633179 43.3932831)",
23262007,,,,residential,False,False,87.387,,"LINESTRING (-6.0629233 43.3932882, -6.0629385 43.3932406, -6.0630328 43.3929453, -6.0628816 43.3927931, -6.0629746 43.3925564)",
23262007,,,,residential,False,True,87.387,,"LINESTRING (-6.0629746 43.3925564, -6.0628816 43.3927931, -6.0630328 43.3929453, -6.0629385 43.3932406, -6.0629233 43.3932882)",
48853550,,,Calle Maestra Benicia,residential,False,False,143.341,,"LINESTRING (-6.06916 43.390452, -6.0705289 43.3907879, -6.0706319 43.3908764, -6.0706079 43.3909984)",
80340304,2,N-634,Calle Eulogio Diaz Miranda,trunk,False,False,185.016,,"LINESTRING (-6.06916 43.390452, -6.0702216 43.3896707, -6.0703092 43.3896046, -6.0706918 43.3893246, -6.0707661 43.3892662)",
80340326,,N-634,Calle Eulogio Diaz Miranda,trunk,False,True,100.564,,"LINESTRING (-6.06916 43.390452, -6.0690972 43.3904937, -6.0686668 43.3908375, -6.0682983 43.391104)",
66918299,,,Calle Hilario Suárez,residential,False,False,78.999,,"LINESTRING (-6.0681004 43.3912865, -6.068236 43.3913532, -6.0690122 43.3915312)",
80340311,,N-634,,trunk,True,False,10.418,,"LINESTRING (-6.0681004 43.3912865, -6.0681322 43.391268, -6.0681533 43.3912437, -6.0681626 43.391209)",roundabout
80340310,,N-634,Carretera Irún-Santiago,trunk,True,False,16.184,,"LINESTRING (-6.0682983 43.391104, -6.0681888 43.3911367, -6.0681069 43.3911363)",
80340326,,N-634,Calle Eulogio Diaz Miranda,trunk,False,False,100.564,,"LINESTRING (-6.0682983 43.391104, -6.0686668 43.3908375, -6.0690972 43.3904937, -6.06916 43.390452)",
66918227,,AS-313,Calle Cerro de la Muralla,tertiary,True,False,25.506,,"LINESTRING (-6.0680674 43.3911245, -6.0679974 43.3911066, -6.0679485 43.391048, -6.0679193 43.3909432)",
292062085,,N-634,,trunk,True,False,11.89,,"LINESTRING (-6.0680674 43.3911245, -6.0680156 43.3911248, -6.0679733 43.3911384, -6.0679397 43.3911644)",roundabout
80340323,,AS-313,Calle Cerro de la Muralla,tertiary,True,False,24.652,,"LINESTRING (-6.0679193 43.3909432, -6.0679397 43.3911644)",
296109469,,AS-313,Calle Cerro de la Muralla,tertiary,False,False,80.02799999999999,,"LINESTRING (-6.0679193 43.3909432, -6.0679549 43.3905139, -6.0679789 43.3902248)",
307922946,,,Travesía Tras del Ayuntamiento,residential,False,True,67.60300000000001,,"LINESTRING (-6.0679193 43.3909432, -6.0678095 43.3907339, -6.0677497 43.3905734, -6.0677315 43.3903561)",
66918299,,,Calle Hilario Suárez,residential,False,True,78.999,,"LINESTRING (-6.0690122 43.3915312, -6.068236 43.3913532, -6.0681004 43.3912865)",
80340321,,N-634,Avenida Flórez Estrada,trunk,True,False,19.006999999999998,,"LINESTRING (-6.0742649 43.3872509, -6.0743769 43.3871502, -6.074423 43.3871258)",
"[160939539, 300352587]",2,N-634,"['Avenida Flórez Estrada', 'Calle Eulogio Diaz Miranda']",trunk,False,True,121.179,,"LINESTRING (-6.0742649 43.3872509, -6.073763 43.3877129, -6.0734647 43.3879887, -6.0734115 43.3880379, -6.0733356 43.3881062)",
80340314,,N-634,Carretera Irún-Santiago,trunk,True,False,12.87,,"LINESTRING (-6.0679363 43.3912512, -6.0678705 43.3913566)",
292062085,,N-634,,trunk,True,False,10.645,,"LINESTRING (-6.0679363 43.3912512, -6.0679778 43.3912838, -6.0680459 43.3912974)",roundabout
