osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,maxspeed,junction,lanes
160939503,N-634a,Avenida de Chamberí,secondary,False,True,88.247,"LINESTRING (-6.2550688 43.407351, -6.2540637 43.4070401)",,,,,
160939609,,Calle La Garibalda,residential,False,True,114.776,"LINESTRING (-6.2550688 43.407351, -6.2557095 43.4064297)",,,,,
"[292062082, 549233823]",N-634a,Avenida de Chamberí,"['secondary', 'living_street']",False,False,331.86199999999997,"LINESTRING (-6.2550688 43.407351, -6.2552358 43.4074017, -6.2561853 43.4076902, -6.2582393 43.4083143, -6.2585724 43.4084155, -6.2588573 43.4085052)",,,,,
70308492,,Calle Arzobispo Valdés,living_street,False,False,50.56,"LINESTRING (-6.2603285 43.408809, -6.2605971 43.4083983)",,,,,
549233820,N-634a,Avenida de Galicia,living_street,True,False,49.355000000000004,"LINESTRING (-6.2603285 43.408809, -6.260646 43.4088999, -6.2607908 43.408933, -6.2609021 43.4089613)",,,,,
160939631,AS-370,Carretera de Salas a Soto de los Infantes,tertiary,False,True,122.713,"LINESTRING (-6.2535799 43.406459, -6.2535164 43.4062703, -6.2530116 43.4054382)",,,,,
163631283,AS-370,Carretera de Salas a Soto de los Infantes,tertiary,True,False,29.781,"LINESTRING (-6.2535799 43.406459, -6.25356 43.4065516, -6.2535218 43.4066396, -6.253455 43.4067055)",,,,,
160939501,N-634a,Antigua N-634,secondary,True,False,5.882,"LINESTRING (-6.253455 43.4067055, -6.2533904 43.4067299)",,,,roundabout,
160939672,N-634a,Antigua N-634,secondary,True,False,27.375999999999998,"LINESTRING (-6.2530484 43.406726, -6.2530978 43.4067647, -6.2531541 43.4068127, -6.2532672 43.4069139)",,,,,
160939501,N-634a,Antigua N-634,secondary,True,False,23.664,"LINESTRING (-6.2533904 43.4067299, -6.2533191 43.4067812, -6.2532814 43.4068353, -6.2532672 43.4069139)",,,,roundabout,
160939677,N-634a,Antigua N-634,secondary,True,False,27.637,"LINESTRING (-6.2533904 43.4067299, -6.2533301 43.4067292, -6.2531467 43.4067292, -6.2530484 43.406726)",,,,,
160939501,N-634a,Antigua N-634,secondary,True,False,22.556,"LINESTRING (-6.2537216 43.4067321, -6.253631 43.4067005, -6.2535724 43.4066932, -6.2535179 43.4066944, -6.253455 43.4067055)",,,,roundabout,
160939749,AS-370,Carretera de Salas a Soto de los Infantes,tertiary,True,False,32.507000000000005,"LINESTRING (-6.2537216 43.4067321, -6.2536555 43.4066259, -6.2536434 43.4066032, -6.2536016 43.4065138, -6.2535799 43.406459)",,,,,
160939501,N-634a,Antigua N-634,secondary,True,False,18.202,"LINESTRING (-6.2538372 43.4068683, -6.2538089 43.4068057, -6.2537817 43.4067745, -6.2537216 43.4067321)",,,,roundabout,
