osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,tunnel,width
51438177,,B-511,tertiary,20,roundabout,True,False,5.114,"LINESTRING (2.5514677 41.5791127, 2.5514648 41.5791121, 2.5514702 41.5791261, 2.5514705 41.5791406, 2.5514656 41.5791548)",Riera de Pare Fita,,
"[158069202, 158069189, 158069182]",,,residential,,,False,"[False, True]",134.94899999999998,"LINESTRING (2.5514677 41.5791127, 2.551522 41.5790967, 2.5515491 41.5790818, 2.551572 41.5790579, 2.5517263 41.5788528, 2.5519795 41.5784999, 2.5520298 41.5784698, 2.552089 41.5784544, 2.5521453 41.5784492, 2.552209 41.5784541, 2.5522695 41.5784761, 2.5523921 41.5785323, 2.5525475 41.5786034)",Riera del Bisbe Pol,yes,
51438177,,B-511,tertiary,20,roundabout,True,False,12.104000000000001,"LINESTRING (2.5514656 41.5791548, 2.551453 41.5791703, 2.5514344 41.5791819, 2.5514118 41.5791884, 2.5513875 41.5791891, 2.5513643 41.579184, 2.5513445 41.5791734)",Riera de Pare Fita,,
126505492,1,,residential,50,,True,False,197.854,"LINESTRING (2.5514656 41.5791548, 2.551505 41.5792148, 2.5515269 41.5792482, 2.552376 41.5795851, 2.5529876 41.5797953, 2.5535495 41.5799638)",Carrer Josep Anselm Clavé,,
51438177,,B-511,tertiary,20,roundabout,True,False,16.250999999999998,"LINESTRING (2.5513445 41.5791734, 2.5513303 41.5791586, 2.5513233 41.5791411, 2.5513242 41.5791228, 2.5513331 41.5791058, 2.5513489 41.5790918, 2.5513699 41.5790825, 2.5513938 41.5790787, 2.551418 41.579081)",Riera de Pare Fita,,
390820413,2,B-511,tertiary,20,,False,True,64.24,"LINESTRING (2.5513445 41.5791734, 2.5513218 41.5792056, 2.5512653 41.579287, 2.5512187 41.5793448, 2.5509549 41.579672)",Riera del Bisbe Pol,,
28483062,2,N-II,primary,40,roundabout,True,False,13.665,"LINESTRING (2.5516157 41.5786193, 2.5516477 41.5786138, 2.5516804 41.578616, 2.5517105 41.5786258, 2.5517352 41.5786421, 2.5517518 41.5786633)",,,
589567843,3,N-II,primary,40,,False,False,60.462,"LINESTRING (2.5520006 41.5787858, 2.5526516 41.5790277)",Passeig d'en Xifré,,
295148653,2,N-II,primary,40,,True,False,22.283,"LINESTRING (2.5520006 41.5787858, 2.5518255 41.5787512, 2.5517416 41.5787346)",,,
51438185,1,B-511,tertiary,20,roundabout,True,False,3.53,"LINESTRING (2.5494789 41.5815134, 2.5494447 41.5814946)",Riera de Pare Fita,,
126838963,2,B-511,tertiary,30,,False,True,74.275,"LINESTRING (2.5494789 41.5815134, 2.5494118 41.5816306, 2.5490429 41.5820491, 2.5490119 41.5820807)",Riera del Bisbe Pol,,
51438185,1,B-511,tertiary,20,roundabout,True,False,15.57,"LINESTRING (2.5494447 41.5814946, 2.5494322 41.5814702, 2.5494394 41.5814411, 2.5494668 41.5814199, 2.5495016 41.5814133, 2.5495374 41.5814213)",Riera de Pare Fita,,
"[126838961, 126797250]",2,,residential,,,False,"[False, True]",161.478,"LINESTRING (2.5494447 41.5814946, 2.5488938 41.5820415, 2.5484455 41.5825439, 2.5483656 41.5826478, 2.5483442 41.5826883)","['Riera del Pare Fita', 'Riera del Bisbe Pol']",,
51438184,2,B-511,tertiary,20,,False,False,8.029,"LINESTRING (2.5495374 41.5814213, 2.5495913 41.5813614)",Riera del Bisbe Pol,,
51438185,1,B-511,tertiary,20,roundabout,True,False,16.279,"LINESTRING (2.5495374 41.5814213, 2.5495633 41.581444, 2.5495689 41.5814686, 2.5495545 41.5814962, 2.5495225 41.5815132, 2.5494789 41.5815134)",Riera de Pare Fita,,
115329378,,,residential,,,False,False,55.840999999999994,"LINESTRING (2.5441572 41.5840793, 2.5439641 41.5839477, 2.5438997 41.5837712, 2.5439634 41.5836569)",Carrer Fondo de les Creus,,
118694096,2,N-II,primary,,roundabout,True,False,6.584,"LINESTRING (2.5439419 41.5759, 2.5438882 41.5758565)",,,
118694096,2,N-II,primary,,roundabout,True,False,8.213,"LINESTRING (2.54404 41.5759084, 2.5439419 41.5759)",,,
176195947,1,,residential,,,True,False,32.995,"LINESTRING (2.54404 41.5759084, 2.5439772 41.5759823, 2.5439666 41.5759948, 2.5439271 41.5761869)",Camí Fondo del Cementiri,,
118694096,2,N-II,primary,,roundabout,True,False,10.195,"LINESTRING (2.5438875 41.5757781, 2.5439252 41.5757419, 2.5439837 41.5757284)",,,
118694096,2,N-II,primary,,roundabout,True,False,8.718,"LINESTRING (2.5438882 41.5758565, 2.5438875 41.5757781)",,,
118694096,2,N-II,primary,,roundabout,True,False,11.120000000000001,"LINESTRING (2.5439837 41.5757284, 2.5440522 41.5757284, 2.5441043 41.5757577)",,,
118694096,2,N-II,primary,,roundabout,True,False,3.905,"LINESTRING (2.5441056 41.5758747, 2.5440751 41.5759014)",,,
118694096,2,N-II,primary,,roundabout,True,False,13.888000000000002,"LINESTRING (2.5441043 41.5757577, 2.5441295 41.575799, 2.5441282 41.5758389, 2.5441056 41.5758747)",,,
"[127544483, 965583294, 589567846]","['1', '2']",N-II,primary,"['40', '50']",,True,False,709.793,"LINESTRING (2.5441043 41.5757577, 2.5441846 41.575756, 2.5444749 41.575791, 2.5447839 41.5758471, 2.5450438 41.5759206, 2.5452029 41.5759399, 2.545842 41.5760887, 2.5461604 41.576199, 2.5464787 41.5763164, 2.5467737 41.5764652, 2.547064 41.5766246, 2.547373 41.5768225, 2.5479067 41.5771709, 2.5482157 41.577341, 2.548403 41.5774441, 2.5486652 41.5775685, 2.5489157 41.5776718, 2.5492771 41.5777959, 2.5494571 41.5778602, 2.5495407 41.5778907, 2.5501353 41.5780903, 2.5508656 41.5783407, 2.5515723 41.5785994, 2.5516157 41.5786193)",Carrer de la Platja de Cassà,,
"[126088376, 126088377, 126088375]",1,,residential,,,False,False,145.313,"LINESTRING (2.5511921 41.5805315, 2.5508466 41.5808352, 2.5505099 41.5811768, 2.5504315 41.5812665, 2.5502885 41.5814321, 2.5501686 41.5815874)","['Carrer de les Margarides', 'Carrer Margarides']",yes,2.5
126088377,1,,residential,,,False,True,68.407,"LINESTRING (2.5511921 41.5805315, 2.5510888 41.5804403, 2.5509534 41.5803206, 2.5507972 41.5801987, 2.5507203 41.5801504, 2.5506923 41.58013, 2.5506642 41.5801127, 2.5506245 41.5800883)",Carrer de les Margarides,,2.5
127738146,1,,residential,,,False,True,82.051,"LINESTRING (2.5511921 41.5805315, 2.551302 41.5806031, 2.5515796 41.5804268, 2.5517475 41.5803786, 2.5520025 41.5802651)",Carrer del Turó,,
"[126088376, 126088377, 126088375]",1,,residential,,,False,True,145.313,"LINESTRING (2.5501686 41.5815874, 2.5502885 41.5814321, 2.5504315 41.5812665, 2.5505099 41.5811768, 2.5508466 41.5808352, 2.5511921 41.5805315)","['Carrer de les Margarides', 'Carrer Margarides']",yes,2.5
126505499,1,,residential,50,,True,False,70.732,"LINESTRING (2.5501686 41.5815874, 2.5504369 41.581697, 2.5505466 41.5817646, 2.5506977 41.5820437)",Carrer de l'Olivar,,
390820409,1,B-511,tertiary,20,roundabout,True,False,18.284,"LINESTRING (2.55077 41.5799041, 2.5507908 41.5799175, 2.5508032 41.5799359, 2.5508052 41.5799564, 2.5507966 41.5799759, 2.5507786 41.5799915, 2.5507541 41.5800007, 2.5507267 41.5800022, 2.5507006 41.5799958)",,,
390820413,2,B-511,tertiary,20,,False,False,30.043,"LINESTRING (2.55077 41.5799041, 2.55078 41.5798917, 2.5509549 41.579672)",Riera del Bisbe Pol,,
127082366,1,,residential,,,True,False,95.814,"LINESTRING (2.5491062 41.5802077, 2.5493749 41.5793698)",Carrer Bonaire,,2
390820411,1,,residential,50,,True,False,17.593,"LINESTRING (2.5491062 41.5802077, 2.5489107 41.5802681)",Rial de Sa Clavella,,6
"[127082363, 127082357]",1,,living_street,,,True,False,220.058,"LINESTRING (2.5481204 41.5804679, 2.5481902 41.5797392, 2.5482289 41.5790293, 2.5484033 41.5790196, 2.5485808 41.5789907, 2.5487583 41.5790269, 2.5488197 41.5791524)","['Carrer Antoni Torrent', 'Carrer Andreu Guri']",,"['2', '2.5']"
390820411,1,,residential,50,,True,False,110.021,"LINESTRING (2.5481204 41.5804679, 2.5480837 41.5805228, 2.5477444 41.5807858, 2.5472161 41.5811862)",Rial de Sa Clavella,,6
127082368,1,,living_street,,,True,False,32.507,"LINESTRING (2.5472161 41.5811862, 2.5475451 41.581344)",Carrer de Frederic Marés,,2
127082380,1,,residential,,,True,False,54.365,"LINESTRING (2.5472161 41.5811862, 2.5467074 41.5808792)",Carrer de Sant Jaume,,2.5
390820411,1,,residential,50,,True,False,75.387,"LINESTRING (2.5472161 41.5811862, 2.5465918 41.5816777)",Rial de Sa Clavella,,6
127082378,1,,residential,,,False,False,2.571,"LINESTRING (2.5465918 41.5816777, 2.5465716 41.5816602)",Carrer Josep Baralt,,2.5
390820411,1,,residential,50,,True,False,94.397,"LINESTRING (2.5465918 41.5816777, 2.5456318 41.5821305)",Rial de Sa Clavella,,6
"[127082378, 127082379]",1,,residential,,,False,"[False, True]",30.739,"LINESTRING (2.5465918 41.5816777, 2.546846 41.5818437, 2.5468736 41.581856)",Carrer Josep Baralt,,2.5
"[127082360, 127082375]",1,,residential,,,True,False,115.446,"LINESTRING (2.5456318 41.5821305, 2.545416 41.5818413, 2.5460132 41.5813825, 2.5460981 41.5813622)","['Carrer Anna Mª Ravell', 'Carrer de Joaquim Ruyra']",,"['6', '2.5']"
390820411,1,,residential,50,,True,False,185.248,"LINESTRING (2.5456318 41.5821305, 2.5451456 41.5823386, 2.5445923 41.582796, 2.54403 41.5832652)",Rial de Sa Clavella,,6
126102369,1,,residential,,,True,False,55.652,"LINESTRING (2.54904 41.5830622, 2.5486976 41.5834922)",Carrer de Sant Gabriel,,
126497557,1,,residential,30,,True,False,56.29,"LINESTRING (2.54904 41.5830622, 2.548473 41.5828147, 2.5484561 41.5828063)",Carrer del Professor Castelló,,
115329378,,,residential,,,False,True,44.35,"LINESTRING (2.54403 41.5832652, 2.5440284 41.5833699, 2.544007 41.5835786, 2.5439634 41.5836569)",Carrer Fondo de les Creus,,
126102369,1,,residential,,,True,False,54.531,"LINESTRING (2.5486976 41.5834922, 2.5483618 41.5839134)",Carrer de Sant Gabriel,,
126102369,1,,residential,,,True,False,27.779,"LINESTRING (2.5483618 41.5839134, 2.548194 41.5841294)",Carrer de Sant Gabriel,,
126497561,1,,residential,,,True,False,61.195,"LINESTRING (2.5483618 41.5839134, 2.5480735 41.5837906, 2.5478071 41.5836731, 2.5477594 41.5836561, 2.5477216 41.5836426)",Carrer Pare Pruna,,
126497566,1,,residential,,,True,False,20.465,"LINESTRING (2.5506977 41.5820437, 2.5505837 41.5822068)",Carrer Sant Zenon,,
126505499,1,,residential,50,,True,False,130.34300000000002,"LINESTRING (2.5506977 41.5820437, 2.5508759 41.5824503, 2.5509179 41.5825759, 2.5508856 41.5828125, 2.5508242 41.5830226, 2.5506727 41.5831383)",Carrer de l'Olivar,,
126497566,1,,residential,,,True,False,54.156000000000006,"LINESTRING (2.5502879 41.5826455, 2.5501193 41.5828312, 2.5498829 41.5830253)",Carrer Sant Zenon,,
126497566,1,,residential,,,True,False,40.647,"LINESTRING (2.5498829 41.5830253, 2.5495821 41.5833134)",Carrer Sant Zenon,,
"[1196798457, 126497570]",1,,residential,,,True,False,155.648,"LINESTRING (2.5498829 41.5830253, 2.54876 41.5824795, 2.5484561 41.5828063)","['Riera del Pare Fita', 'Carrer de la Font']",,"['2', '2.5']"
865691972,2,B-511,tertiary,30,,False,False,55.807,"LINESTRING (2.5480602 41.5832187, 2.5484051 41.5827882)",Riera del Pare Fita,,
865691972,2,B-511,tertiary,30,,False,True,54.908,"LINESTRING (2.5480602 41.5832187, 2.5477216 41.5836426)",Riera del Pare Fita,,
126497568,1,,residential,,,True,False,61.118,"LINESTRING (2.5480602 41.5832187, 2.5480946 41.5832335, 2.5486976 41.5834922)",Carrer Sta. Maria,,
126497557,1,,residential,30,,True,False,53.039,"LINESTRING (2.5495821 41.5833134, 2.54904 41.5830622)",Carrer del Professor Castelló,,
126497557,1,,residential,30,,True,False,145.62699999999998,"LINESTRING (2.5499164 41.5836317, 2.5498668 41.5836595, 2.5497821 41.5837615, 2.5497201 41.5838264, 2.549654 41.5838419, 2.5495837 41.5838403, 2.5495486 41.5838202, 2.5495362 41.5837631, 2.5495982 41.5836796, 2.5496685 41.5835869, 2.5496705 41.5835575, 2.5496457 41.5835359, 2.5495941 41.5835359, 2.5495094 41.583624, 2.5494722 41.5836518, 2.5494247 41.5836549, 2.5493957 41.583641, 2.5494185 41.5835498, 2.5494825 41.5834293, 2.5495821 41.5833134)",Carrer del Professor Castelló,,
865691971,2,B-511,tertiary,30,,False,True,27.819,"LINESTRING (2.5477216 41.5836426, 2.5475517 41.5838581)",Riera del Pare Fita,,
865691972,2,B-511,tertiary,30,,False,False,54.908,"LINESTRING (2.5477216 41.5836426, 2.5480602 41.5832187)",Riera del Pare Fita,,
865691970,1,,residential,50,,False,True,6.818,"LINESTRING (2.5475517 41.5838581, 2.5474905 41.5838173)",,,
865691971,2,B-511,tertiary,30,,False,False,27.819,"LINESTRING (2.5475517 41.5838581, 2.5477216 41.5836426)",Riera del Pare Fita,,
126497562,1,,residential,20,,True,False,61.351,"LINESTRING (2.5475517 41.5838581, 2.5475862 41.5838727, 2.548194 41.5841294)",Carrer de Sant Roc,,
390820413,2,B-511,tertiary,20,,False,False,64.24,"LINESTRING (2.5509549 41.579672, 2.5512187 41.5793448, 2.5512653 41.579287, 2.5513218 41.5792056, 2.5513445 41.5791734)",Riera del Bisbe Pol,,
390820413,2,B-511,tertiary,20,,False,True,30.043,"LINESTRING (2.5509549 41.579672, 2.55078 41.5798917, 2.55077 41.5799041)",Riera del Bisbe Pol,,
"[126505504, 958469734, 958469735]",1,,residential,,,False,"[False, True]",114.54499999999999,"LINESTRING (2.5509549 41.579672, 2.5509924 41.5796846, 2.5510584 41.5797111, 2.5516423 41.5799317, 2.5516751 41.5799417, 2.5516958 41.580055, 2.5517095 41.5800773, 2.5520025 41.5802651)","['Plaça de J. M. Arnau', 'Baixada del Turó', 'Carrer Bisbe Català']",,2.5
126505492,1,,residential,50,,True,False,43.411,"LINESTRING (2.5535495 41.5799638, 2.5540288 41.5801183)",Carrer Josep Anselm Clavé,,
126838939,1,,residential,,,True,False,59.84,"LINESTRING (2.5535495 41.5799638, 2.5532369 41.5804485)",Carrer Sant Antoni,,
51438184,2,B-511,tertiary,20,,False,True,12.078000000000001,"LINESTRING (2.5507006 41.5799958, 2.5506826 41.5800165, 2.5506245 41.5800883)",Riera del Bisbe Pol,,
390820409,1,B-511,tertiary,20,roundabout,True,False,9.141,"LINESTRING (2.5507006 41.5799958, 2.5506798 41.5799823, 2.5506674 41.579964, 2.5506654 41.5799435, 2.550674 41.579924)",,,
126505488,2,,residential,,,False,False,62.068,"LINESTRING (2.5540288 41.5801183, 2.5536824 41.5806127)",Avinguda de Pau Costa,,
958469733,,,residential,,,False,True,54.2,"LINESTRING (2.5540288 41.5801183, 2.5541669 41.5799231, 2.5542519 41.579803, 2.5543495 41.5796946)",Avinguda de Pau Costa,,
126505505,1,,residential,,,False,False,56.067,"LINESTRING (2.5520025 41.5802651, 2.5521994 41.5803568, 2.552364 41.5804389, 2.5525941 41.5805003)",Carrer del Turó,,
127738146,1,,residential,,,False,False,82.051,"LINESTRING (2.5520025 41.5802651, 2.5517475 41.5803786, 2.5515796 41.5804268, 2.551302 41.5806031, 2.5511921 41.5805315)",Carrer del Turó,,
"[126505504, 958469734, 958469735]",1,,residential,,,False,"[False, True]",114.54499999999999,"LINESTRING (2.5520025 41.5802651, 2.5517095 41.5800773, 2.5516958 41.580055, 2.5516751 41.5799417, 2.5516423 41.5799317, 2.5510584 41.5797111, 2.5509924 41.5796846, 2.5509549 41.579672)","['Plaça de J. M. Arnau', 'Baixada del Turó', 'Carrer Bisbe Català']",,2.5
126505505,1,,residential,,,False,True,45.219,"LINESTRING (2.5529352 41.5803377, 2.5528215 41.5805068, 2.5526285 41.5804455, 2.5525941 41.5805003)",Carrer del Turó,,
126505490,1,,residential,50,,True,False,36.46,"LINESTRING (2.5532369 41.5804485, 2.5529921 41.5807205)",Carrer Bareu,,2.5
"[126505502, 127738111]",1,,residential,,,False,False,46.516000000000005,"LINESTRING (2.5525941 41.5805003, 2.5525879 41.5805069, 2.5525637 41.5805493, 2.5526867 41.5805859, 2.5529921 41.5807205)","['Carrer Escaravar', 'Carrer del Turó']",,
126505505,1,,residential,,,False,False,45.219,"LINESTRING (2.5525941 41.5805003, 2.5526285 41.5804455, 2.5528215 41.5805068, 2.5529352 41.5803377)",Carrer del Turó,,
126505505,1,,residential,,,False,True,56.067,"LINESTRING (2.5525941 41.5805003, 2.552364 41.5804389, 2.5521994 41.5803568, 2.5520025 41.5802651)",Carrer del Turó,,
126505488,2,,residential,,,False,False,71.473,"LINESTRING (2.5536824 41.5806127, 2.5535061 41.5812418)",Avinguda de Pau Costa,,
126505488,2,,residential,,,False,True,62.068,"LINESTRING (2.5536824 41.5806127, 2.5540288 41.5801183)",Avinguda de Pau Costa,,
958469736,1,,residential,,,True,False,41.309,"LINESTRING (2.5536824 41.5806127, 2.5532369 41.5804485)",Carrer Bisbe Català,,
126505490,1,,residential,50,,True,False,177.05399999999997,"LINESTRING (2.5529921 41.5807205, 2.5527656 41.5809942, 2.5522524 41.5815906, 2.5516423 41.5816679, 2.5515778 41.5817535)",Carrer Bareu,,2.5
"[126505502, 127738111]",1,,residential,,,False,True,46.516,"LINESTRING (2.5529921 41.5807205, 2.5526867 41.5805859, 2.5525637 41.5805493, 2.5525879 41.5805069, 2.5525941 41.5805003)","['Carrer Escaravar', 'Carrer del Turó']",,
126505488,2,,residential,,,False,False,55.596,"LINESTRING (2.5535061 41.5812418, 2.553295 41.5817162)",Avinguda de Pau Costa,,
126505488,2,,residential,,,False,True,71.473,"LINESTRING (2.5535061 41.5812418, 2.5536824 41.5806127)",Avinguda de Pau Costa,,
1193228597,1,,residential,,,False,False,28.658,"LINESTRING (2.5535061 41.5812418, 2.5538372 41.5813131)",Carrer Santa Rita,,
51438184,2,B-511,tertiary,20,,False,True,8.029,"LINESTRING (2.5495913 41.5813614, 2.5495374 41.5814213)",Riera del Bisbe Pol,,
51438184,2,B-511,tertiary,20,,False,False,60.768,"LINESTRING (2.5495913 41.5813614, 2.5496275 41.5813174, 2.549979 41.5808982)",Riera del Bisbe Pol,,
126505499,1,,residential,50,,True,False,9.614,"LINESTRING (2.5495913 41.5813614, 2.5496257 41.5813749, 2.5496937 41.5814015)",Carrer de l'Olivar,,
126505498,1,,residential,30,,True,False,44.701,"LINESTRING (2.5496937 41.5814015, 2.5494165 41.5817459)",Riera del Bisbe Pol,,
126505499,1,,residential,50,,True,False,44.582,"LINESTRING (2.5496937 41.5814015, 2.5497058 41.5814062, 2.5501686 41.5815874)",Carrer de l'Olivar,,
126505488,2,,residential,,,False,True,55.596,"LINESTRING (2.553295 41.5817162, 2.5535061 41.5812418)",Avinguda de Pau Costa,,
126505488,2,,residential,,,False,False,193.184,"LINESTRING (2.553295 41.5817162, 2.5531511 41.5820412, 2.553128 41.5820933, 2.5530041 41.5825013, 2.552657 41.5830375, 2.5526187 41.5831849, 2.5525851 41.5833139, 2.5526099 41.5833542)",Avinguda de Pau Costa,,
127738096,1,,residential,,,False,False,100.4,"LINESTRING (2.553295 41.5817162, 2.5528399 41.581581, 2.5526462 41.5820977)",Carrer del Arquit. Gaudí,,
"[127738096, 126505489, 127738144]","['1', '2']",,residential,,,False,True,86.10399999999998,"LINESTRING (2.553295 41.5817162, 2.5533516 41.5817332, 2.5536042 41.5818061, 2.5538124 41.5814414, 2.5538372 41.5813131)","['Carrer del Arquit. Gaudí', 'Carrer Antoni Gaudí', 'Carrer del Capellans']",,
126505498,1,,residential,30,,True,False,52.725,"LINESTRING (2.5494165 41.5817459, 2.5491258 41.5820671, 2.5490119 41.5820807)",Riera del Bisbe Pol,,
127738096,1,,residential,,,False,True,97.027,"LINESTRING (2.5515778 41.5817535, 2.5519909 41.5819214, 2.5526462 41.5820977)",Carrer del Arquit. Gaudí,,
958469740,1,,residential,50,,False,False,66.819,"LINESTRING (2.5515778 41.5817535, 2.5512625 41.5821025, 2.5512153 41.5822787)",Carrer de la Plana,,
1193228596,,,residential,,,False,False,20.325,"LINESTRING (2.5526462 41.5820977, 2.5525793 41.5822735)",Carrer del Arquit. Gaudí,,
127738096,1,,residential,,,False,False,97.027,"LINESTRING (2.5526462 41.5820977, 2.5519909 41.5819214, 2.5515778 41.5817535)",Carrer del Arquit. Gaudí,,
127738096,1,,residential,,,False,True,100.4,"LINESTRING (2.5526462 41.5820977, 2.5528399 41.581581, 2.553295 41.5817162)",Carrer del Arquit. Gaudí,,
126838963,2,B-511,tertiary,30,,False,False,4.825,"LINESTRING (2.5489776 41.5821157, 2.5490119 41.5820807)",Riera del Bisbe Pol,,
865691972,2,B-511,tertiary,30,,False,True,88.652,"LINESTRING (2.5489776 41.5821157, 2.5484051 41.5827882)",Riera del Pare Fita,,
126505497,1,,living_street,,,True,False,123.934,"LINESTRING (2.5489776 41.5821157, 2.5490585 41.5821413, 2.54913 41.5821722, 2.5494023 41.5822902, 2.5502879 41.5826455)",Carrer de Vilà i Mateu,,4
126497566,1,,residential,,,True,False,54.637,"LINESTRING (2.5505837 41.5822068, 2.550511 41.5823108, 2.5503474 41.5825543, 2.5502879 41.5826455)",Carrer Sant Zenon,,
126505496,1,,residential,,,True,False,109.779,"LINESTRING (2.5505837 41.5822068, 2.5494777 41.58177, 2.5494165 41.5817459)",Carrer de Sant Francesc,,
865691972,2,B-511,tertiary,30,,False,False,88.652,"LINESTRING (2.5484051 41.5827882, 2.5489776 41.5821157)",Riera del Pare Fita,,
865691972,2,B-511,tertiary,30,,False,True,55.807,"LINESTRING (2.5484051 41.5827882, 2.5480602 41.5832187)",Riera del Pare Fita,,
126505500,1,,residential,50,,True,False,89.444,"LINESTRING (2.5506727 41.5831383, 2.5503239 41.5831892, 2.5501141 41.5833848, 2.5499164 41.5836317)",Carrer de la Plana,,
126505501,1,,residential,50,,True,False,112.655,"LINESTRING (2.5506727 41.5831383, 2.550859 41.5831023, 2.5509221 41.5830315, 2.5510032 41.5828279, 2.5510986 41.5825882, 2.5512153 41.5822787)",Carrer de la Plana,,
126505508,,,residential,,roundabout,True,False,2.011,"LINESTRING (2.5526099 41.5833542, 2.5526198 41.5833707)",,,
126505488,2,,residential,,,False,True,193.18400000000003,"LINESTRING (2.5526099 41.5833542, 2.5525851 41.5833139, 2.5526187 41.5831849, 2.552657 41.5830375, 2.5530041 41.5825013, 2.553128 41.5820933, 2.5531511 41.5820412, 2.553295 41.5817162)",Avinguda de Pau Costa,,
126505508,,,residential,,roundabout,True,False,4.539,"LINESTRING (2.5526198 41.5833707, 2.5526168 41.583395, 2.5526029 41.5834077)",,,
127738132,,,residential,,,False,True,389.18399999999997,"LINESTRING (2.5526198 41.5833707, 2.5526997 41.5833273, 2.5527591 41.5832404, 2.5527307 41.583082, 2.5527565 41.5830259, 2.5530819 41.5826164, 2.5533738 41.5823402, 2.5534771 41.5823035, 2.5535261 41.5823363, 2.5533169 41.5830124, 2.5533583 41.5830704, 2.5544171 41.5826261, 2.554789 41.5825623, 2.5550359 41.5825062)",Carrer Mossèn Josep Palomer Alsina,,
126505508,,,residential,,roundabout,True,False,20.812,"LINESTRING (2.5526029 41.5834077, 2.5525774 41.5834171, 2.5525557 41.5834167, 2.5525379 41.5834106, 2.5525228 41.5833989, 2.552515 41.5833827, 2.552518 41.5833646, 2.5525332 41.5833516, 2.5525496 41.5833412, 2.5525709 41.5833393, 2.552593 41.5833428, 2.5526099 41.5833542)",,,
127082370,1,,residential,,,True,False,50.512,"LINESTRING (2.5476578 41.583363, 2.5476113 41.5832555, 2.5475544 41.5832212, 2.547256 41.5830414)",Carrer Hospital,,2.5
865692231,,,residential,,roundabout,True,False,11.799,"LINESTRING (2.5476578 41.583363, 2.5477172 41.583387, 2.5477282 41.583442)",Rotonda Calisay,,
"[128329361, 126838961]","['1', '2']",,residential,,,False,False,98.57700000000001,"LINESTRING (2.5477282 41.583442, 2.5478187 41.5833565, 2.548271 41.582827, 2.5483442 41.5826883)",Riera del Pare Fita,,
865692232,,,residential,,roundabout,True,False,10.559000000000001,"LINESTRING (2.5477282 41.583442, 2.5476898 41.5834851, 2.5476354 41.5834995)",Rotonda Calisay,,
865692233,,,residential,,roundabout,True,False,14.295000000000002,"LINESTRING (2.5475618 41.5834492, 2.547565 41.5834109, 2.547597 41.583375, 2.5476578 41.583363)",Rotonda Calisay,,
"[126797251, 865692950]",,,residential,,roundabout,True,False,8.758,"LINESTRING (2.5476354 41.5834995, 2.547597 41.5834899, 2.5475618 41.5834492)",Rotonda Calisay,,
865691970,1,,residential,50,,False,False,37.730000000000004,"LINESTRING (2.5476354 41.5834995, 2.547595 41.5836638, 2.5474905 41.5838173)",,,
865692949,1,,residential,,,True,False,81.898,"LINESTRING (2.5469957 41.5840371, 2.547436 41.5835012, 2.5475618 41.5834492)",Riera del Pare Fita,,
"[127082381, 127082374]",1,,residential,,,True,False,169.73100000000002,"LINESTRING (2.5477254 41.5775853, 2.548695 41.5780094, 2.5490715 41.5781672, 2.5490134 41.5783483, 2.5490715 41.5784377, 2.5491651 41.5784715)","['Carrer Sant Joan', 'Carrer Jaume Borrell']",,2
127738152,1,,residential,,,False,False,56.388,"LINESTRING (2.5477254 41.5775853, 2.5476534 41.5771236, 2.5476469 41.5770816)",Plaça Molí del Mar,,
127738152,1,,residential,,,False,True,49.925,"LINESTRING (2.5477254 41.5775853, 2.5476326 41.5778429, 2.5477209 41.5780127)",Plaça Molí del Mar,,
