osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,width,bridge
"[139058544, 376229491, 1085893622]",True,1,"['Avenida de César Augusto', 'Calle San Blas']","['residential', 'living_street']",30,False,105.89699999999999,"LINESTRING (-0.8844127 41.6560567, -0.8835172 41.6558713, -0.8834922 41.6558603, -0.8834727 41.6558444, -0.8834594 41.6558296, -0.883453 41.6558072, -0.8835861 41.6556643)",,,
481017395,True,2,Calle Conde de Aranda,tertiary,,False,24.387,"LINESTRING (-0.8859328 41.6546162, -0.8860739 41.6546478, -0.886214 41.6546791)",,,
"[24326512, 24700431]",True,1,"['Plaza San Pedro Nolasco', 'Calle de San Lorenzo']",residential,30,False,142.951,"LINESTRING (-0.8767996 41.6523884, -0.8766019 41.6527413, -0.8762487 41.6529112, -0.8762066 41.6529182, -0.8761716 41.65292, -0.8761226 41.6529104, -0.8756281 41.6526922, -0.8755586 41.6526552)",,,
411323419,True,1,Calle de San Jorge,residential,30,False,71.173,"LINESTRING (-0.8767996 41.6523884, -0.8767794 41.6523598, -0.8767485 41.6523397, -0.8761814 41.6520532, -0.8761085 41.6520166)",,,
"[92891906, 92891917, 92891919]",True,1,Calle Don Jaime I,living_street,20,False,193.638,"LINESTRING (-0.8784684 41.6531759, -0.8784919 41.6531502, -0.8786244 41.6530106, -0.8786789 41.6529608, -0.8790641 41.652683, -0.8790959 41.6526613, -0.8791227 41.652643, -0.8791425 41.6526291, -0.8795317 41.652356, -0.879569 41.6523291, -0.8800085 41.6520379, -0.880044 41.6519948, -0.8800916 41.6519368)",,,
411323425,True,1,Calle de San Jorge,residential,30,False,23.999000000000002,"LINESTRING (-0.8784684 41.6531759, -0.8784137 41.6531524, -0.8782243 41.6530606)",,,
370981374,True,1,Calle de Pedro Joaquín Soler,residential,30,False,69.868,"LINESTRING (-0.8771553 41.6518192, -0.8768343 41.652323, -0.8767996 41.6523884)",,,
32622833,True,2,Calle de Pedro Joaquín Soler,residential,30,False,63.367000000000004,"LINESTRING (-0.8774699 41.6516062, -0.8777447 41.651177, -0.8777643 41.6511443, -0.8777981 41.6510918)",,,
370981374,True,1,Calle de Pedro Joaquín Soler,residential,30,False,38.620000000000005,"LINESTRING (-0.8774699 41.6516062, -0.8774115 41.6516019, -0.8773671 41.6516071, -0.8773344 41.6516176, -0.8773117 41.6516304, -0.8771553 41.6518192)",,,
"[482806800, 482806798]",True,1,Calle de San Jorge,residential,30,False,116.86699999999999,"LINESTRING (-0.8779931 41.6529445, -0.8774738 41.6527061, -0.8773153 41.6526309, -0.877285 41.6526162, -0.8769213 41.6524428, -0.8767996 41.6523884)",,,
118689858,True,1,Calle Refugio,residential,30,False,71.889,"LINESTRING (-0.8770266 41.6539189, -0.8770599 41.653881, -0.8776025 41.6534371)",,,
654819358,True,1,Calle Mayor,living_street,20,False,53.833999999999996,"LINESTRING (-0.8770266 41.6539189, -0.8774916 41.6541723, -0.8775116 41.6541835, -0.87755 41.6542043)",,,
654819359,True,1,Calle de San Jorge,residential,30,False,23.144,"LINESTRING (-0.8782243 41.6530606, -0.8780994 41.6529979, -0.8779931 41.6529445)",,,
