osmid,oneway,lanes,name,highway,reversed,length,geometry,width,maxspeed,junction,tunnel
78316904,False,,Calle Julio Jiménez,residential,True,148.032,"LINESTRING (-6.5338857 37.3414128, -6.5331487 37.3426082)",,,,
158531898,True,,Calle Federico Martín Bahamonte,residential,False,61.764,"LINESTRING (-6.5338857 37.3414128, -6.5342194 37.3409248)",,,,
400809792,False,,Calle Félix Rodríguez de la Fuente,tertiary,False,60.112,"LINESTRING (-6.5338857 37.3414128, -6.533286 37.341158)",,,,
400809792,False,,Calle Félix Rodríguez de la Fuente,tertiary,True,48.976,"LINESTRING (-6.5338857 37.3414128, -6.5343741 37.3416207)",,,,
78316967,False,,Calle Odiel,residential,False,83.808,"LINESTRING (-6.5436537 37.341077, -6.5428353 37.3406966)",,,,
234342268,False,,Calle Miraflores,residential,True,153.551,"LINESTRING (-6.5436537 37.341077, -6.5427659 37.3422639)",,,,
202152720,False,,Calle Rafael de la Haba,residential,False,82.177,"LINESTRING (-6.5431429 37.336234, -6.5435357 37.3355642)",,,,
202152720,False,,Calle Rafael de la Haba,residential,True,62.833,"LINESTRING (-6.5431429 37.336234, -6.5428208 37.3367377)",,,,
78316710,False,,Calle Doctor Fleming,residential,False,49.271,"LINESTRING (-6.5430155 37.3345287, -6.5435322 37.3343627)",,,,
78316710,False,,Calle Doctor Fleming,residential,True,129.282,"LINESTRING (-6.5430155 37.3345287, -6.5416606 37.334966)",,,,
78316844,False,,Calle Cuba,residential,True,54.737,"LINESTRING (-6.5430155 37.3345287, -6.5431075 37.3350155)",,,,
78316801,True,,Calle Santa María,residential,False,62.443,"LINESTRING (-6.5392238 37.3345775, -6.5397968 37.3342492)",,,,
78316959,False,,Calle Sagasta,tertiary,False,103.983,"LINESTRING (-6.5392238 37.3345775, -6.5389281 37.3341767, -6.5386287 37.3337709)",,,,
78316959,False,,Calle Sagasta,tertiary,True,123.789,"LINESTRING (-6.5392238 37.3345775, -6.5395966 37.335092, -6.5397414 37.3353026, -6.5398923 37.335555)",,,,
158537760,True,,Calle Cruz,residential,False,59.737,"LINESTRING (-6.5393429 37.3392796, -6.539864 37.3396216)",,,,
78316783,True,,Calle Santa Bárbara,residential,False,268.28999999999996,"LINESTRING (-6.5393429 37.3392796, -6.539682 37.3390615, -6.5402399 37.3387274, -6.540646 37.3385446, -6.5411255 37.3382407, -6.5414701 37.3379728, -6.5416743 37.3378279, -6.5417379 37.3378191)",,,,
78316841,True,,Avenida de la Constitución,tertiary,False,83.301,"LINESTRING (-6.5379391 37.3399474, -6.537144 37.3395454)",5,30,,
400799856,False,,Calle Condesa de Barcelona,tertiary,True,56.186,"LINESTRING (-6.5379391 37.3399474, -6.5380279 37.3398416, -6.5383542 37.3395916, -6.5383703 37.3395792)",,,,
550870973,False,,Calle Nerva,tertiary,True,61.965,"LINESTRING (-6.5350026 37.3384286, -6.5344978 37.3388152)",,,,
550870974,True,,Avenida de Mariano de Ayala,tertiary,False,32.389,"LINESTRING (-6.5350026 37.3384286, -6.5347035 37.3382604)",4,,,
202152721,True,1,Calle Cruz de Montañina,tertiary,False,104.883,"LINESTRING (-6.5422802 37.3378232, -6.5434519 37.337971)",,,,
400825274,False,,Calle Cruz de Montañina,residential,True,8.916,"LINESTRING (-6.5422802 37.3378232, -6.5423079 37.3377461)",,,,
78316830,False,,Calle García Lorca,residential,False,81.649,"LINESTRING (-6.5428208 37.3367377, -6.5418977 37.3367153)",,,,
202152720,False,,Calle Rafael de la Haba,residential,False,62.833,"LINESTRING (-6.5428208 37.3367377, -6.5431429 37.336234)",,,,
202152720,False,,Calle Rafael de la Haba,residential,True,121.203,"LINESTRING (-6.5428208 37.3367377, -6.5425589 37.3371598, -6.5423079 37.3377461)",,,,
400809791,False,,Calle Velázquez,residential,False,11.02,"LINESTRING (-6.5358871 37.3405293, -6.5359696 37.340455)",,,,
78316743,True,,Calle Velázquez,residential,False,170.367,"LINESTRING (-6.5358871 37.3405293, -6.5357933 37.3405994, -6.5355854 37.3408709, -6.5349413 37.3418579)",,,,
78316837,True,,Calle Almaraz,residential,False,205.553,"LINESTRING (-6.5358871 37.3405293, -6.5370888 37.3415106, -6.5375091 37.3418538)",,,,
