osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
274799136,Calle Cristo de Urda,residential,False,True,249.364,,"LINESTRING (-3.3560462 39.3636889, -3.356175 39.3639675, -3.3563183 39.3643542, -3.3563407 39.3646301, -3.3564999 39.3652599, -3.3565708 39.3654926, -3.356649 39.3658751)",,
85652584,Calle Nueva de la Sierra,residential,False,False,155.062,,"LINESTRING (-3.3509581 39.3635183, -3.3520659 39.3646188)",,
279039294,Travesía Nueva de la Sierra,residential,False,True,69.463,,"LINESTRING (-3.3509581 39.3635183, -3.3503226 39.3639041)",,
276445405,Calle Cruces,residential,False,True,12.826,,"LINESTRING (-3.350831 39.3663479, -3.3508886 39.3662415)",,
276445413,,residential,False,False,46.15,,"LINESTRING (-3.350831 39.3663479, -3.3502952 39.3663221)",,
276445414,,residential,False,False,17.041,,"LINESTRING (-3.350831 39.3663479, -3.3508112 39.3664187, -3.3508129 39.3664995)",,
300710796,Calle la Tercia,residential,True,False,146.017,,"LINESTRING (-3.350831 39.3663479, -3.3509126 39.3663503, -3.351507 39.3663682, -3.3517275 39.3663221, -3.3523018 39.3661133, -3.3524412 39.3660542)",,
"[85652424, 85652441]","['Calle Fiscal', 'Calle Hermógenes Rodríguez']",residential,False,"[False, True]",105.545,,"LINESTRING (-3.3592198 39.3694002, -3.359209 39.3696034, -3.3591914 39.3697267, -3.3590707 39.3700778, -3.358742 39.3700305)",,
85652424,Calle Hermógenes Rodríguez,residential,False,True,62.748000000000005,,"LINESTRING (-3.3592198 39.3694002, -3.3592272 39.3691415, -3.3592085 39.3688363)",,
85652589,Calle Capas,residential,False,False,64.477,,"LINESTRING (-3.3592198 39.3694002, -3.3595786 39.3694299, -3.3599457 39.3695299)",,
85652589,Calle Capas,residential,False,True,94.742,,"LINESTRING (-3.3592198 39.3694002, -3.3590201 39.3693829, -3.3581225 39.3693208)",,
85652570,Calle Coronel Fernández Montes,residential,False,False,17.291,,"LINESTRING (-3.3541695 39.3644303, -3.3541872 39.3642754)",,
