osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge
83602265,True,,Carrer de Murillo,residential,,False,100.28,"LINESTRING (-0.5226818 39.2289808, -0.5225831 39.2290013, -0.5215572 39.2292141)",,,
83602270,False,CV-50,Carrer de Colón,primary,50,True,122.144,"LINESTRING (-0.5226818 39.2289808, -0.5223208 39.2280586, -0.5222703 39.2279296)",,,
83357697,True,,Carrer del Nou d'Octubre,residential,,False,54.04,"LINESTRING (-0.5160626 39.2215547, -0.5166655 39.2214204)",,,
83357749,True,,Carrer Antonio Machado,residential,,False,51.849,"LINESTRING (-0.5219161 39.2234679, -0.5224794 39.2233036)",,,
83357766,True,,Carrer de l'Alcúdia de Carlet,residential,,False,47.688,"LINESTRING (-0.5219161 39.2234679, -0.5217067 39.2230709)",,,
83357681,True,,Carrer de Joan Peset,residential,,False,55.177,"LINESTRING (-0.5233312 39.2260948, -0.523309 39.2260235, -0.5232049 39.2256889, -0.5231913 39.2256453, -0.5231811 39.2256124)",,,
294384415,True,,Carrer de Concepción Arenal,residential,,False,69.81,"LINESTRING (-0.5233312 39.2260948, -0.5232482 39.2261119, -0.5226559 39.226234, -0.522594 39.2262467, -0.522548 39.2262562)",,,
"[83602274, 83357701, 83602254]",True,,"['Carrer del 2 de Maig', 'Plaça del Convent de la Vila', 'Carrer del Mestre José Martínez Bisbal']",residential,,False,89.583,"LINESTRING (-0.5199593 39.2261373, -0.5194789 39.226245, -0.5193608 39.2262761, -0.5192803 39.2262973, -0.5189746 39.2263938)",,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,76.219,"LINESTRING (-0.5237037 39.2235128, -0.5240843 39.2241316)",,,
83357673,True,,Carrer del Mestre Ferrer i Guardia,residential,,False,56.869,"LINESTRING (-0.5202227 39.2220093, -0.5199253 39.2215527)",,,
83357736,True,,Avinguda del Bolero de Carlet,residential,,False,39.761,"LINESTRING (-0.5202227 39.2220093, -0.5204873 39.221912, -0.5206397 39.221856)",,,
83412187,True,,Carrer de la Corbella,residential,,False,46.998,"LINESTRING (-0.5211909 39.2227728, -0.5213578 39.2231752)",,,
83357713,True,CV-5470,Carrer de Lope de Vega,tertiary,,False,130.863,"LINESTRING (-0.5211909 39.2227728, -0.519861 39.2231698, -0.5197744 39.223198)",,,
83357714,True,,Carrer Calderón de la Barca,residential,,False,75.488,"LINESTRING (-0.5207318 39.2257984, -0.5198751 39.2259414)",,,
83357746,False,,Carrer Ramon Buades,residential,,False,45.604,"LINESTRING (-0.5207318 39.2257984, -0.5208747 39.2261933)",,,
83357688,False,,Carrer del Pintor Ginesta,residential,,False,85.009,"LINESTRING (-0.5243822 39.2274052, -0.5241745 39.2267158, -0.5241579 39.2266607)",,,
83357697,True,,Carrer del Nou d'Octubre,residential,,False,12.572,"LINESTRING (-0.5183339 39.2211905, -0.518478 39.2211726)",,,
83404258,False,,Ronda del Maleco,residential,,True,58.744,"LINESTRING (-0.5151873 39.2229187, -0.5148802 39.222447)",,,
83404258,False,,Ronda del Maleco,residential,,False,51.39,"LINESTRING (-0.5151873 39.2229187, -0.515239 39.2230094, -0.5154282 39.2233415)",,,
83357751,True,,Carrer d'Alginet,residential,,False,32.215,"LINESTRING (-0.5217067 39.2230709, -0.5213578 39.2231752)",,,
83357766,True,,Carrer de l'Alcúdia de Carlet,residential,,False,46.977,"LINESTRING (-0.5217067 39.2230709, -0.5214989 39.2226803)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,True,70.366,"LINESTRING (-0.51971 39.2264762, -0.5204897 39.2262874)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,False,25.087,"LINESTRING (-0.5211528 39.2261263, -0.5208747 39.2261933)",,,
83412166,True,,Carrer Fondo,residential,,False,43.296,"LINESTRING (-0.5211528 39.2261263, -0.5210542 39.2257445)",,,
83357681,True,,Carrer de Joan Peset,residential,,False,56.556999999999995,"LINESTRING (-0.5231811 39.2256124, -0.5231616 39.2255477, -0.5230554 39.2251955, -0.5230318 39.2251171)",,,
83412172,False,,Carrer de Pablo Iglesias,residential,,False,115.449,"LINESTRING (-0.5231811 39.2256124, -0.5232761 39.2255922, -0.5244735 39.2253374)",,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,83.684,"LINESTRING (-0.5240843 39.2241316, -0.5241271 39.2242012, -0.5243276 39.2248586)",,,
83357674,True,,Carrer de Juan Vicente Mora,residential,,False,17.323,"LINESTRING (-0.516687 39.2241187, -0.5165101 39.2241928)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,66.63,"LINESTRING (-0.516687 39.2241187, -0.5170594 39.2246439)",,,
184360585,True,,Carrer del mestre Ridaura,residential,,False,126.78399999999999,"LINESTRING (-0.5231186 39.2277151, -0.5231559 39.2278067, -0.5232245 39.2279803, -0.5235484 39.2288056)",,,
83357726,True,,,residential,,False,22.959,"LINESTRING (-0.5198751 39.2259414, -0.5199593 39.2261373)",,,
83357681,True,,Carrer de Joan Peset,residential,,False,89.80900000000001,"LINESTRING (-0.5237733 39.2275485, -0.5235514 39.2268073, -0.523546 39.2267892, -0.5235378 39.2267617)",,,
904311421,True,,Carrer Major,residential,,False,44.366,"LINESTRING (-0.5200043 39.2279143, -0.5203206 39.2282292)",,,
83357749,True,,Carrer Antonio Machado,residential,,False,36.863,"LINESTRING (-0.5215156 39.2235847, -0.5219161 39.2234679)",,,
83412187,True,,Carrer de la Corbella,residential,,False,57.078,"LINESTRING (-0.5215156 39.2235847, -0.521705 39.2240766)",,,
83357674,True,,Carrer de Juan Vicente Mora,residential,,False,23.628,"LINESTRING (-0.5180303 39.2237052, -0.5177748 39.2237825)",,,
83357702,True,,Carrer de Salvador Clariana,residential,,False,93.985,"LINESTRING (-0.5180303 39.2237052, -0.5184948 39.22447)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,False,32.694,"LINESTRING (-0.5210737 39.2252343, -0.5212421 39.2254978)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,49.07,"LINESTRING (-0.5210737 39.2252343, -0.520821 39.2248388)",,,
83357694,True,,Carrer del Cor de Jesús,residential,,False,123.244,"LINESTRING (-0.5210737 39.2252343, -0.5197484 39.2254835, -0.5196833 39.2254957)",,,
83357697,True,,Carrer del Nou d'Octubre,residential,,False,72.054,"LINESTRING (-0.5166655 39.2214204, -0.5174782 39.2212671)",,,
83357761,True,CV-5240,Carrer Ramon i Cajal,tertiary,,False,63.525,"LINESTRING (-0.5175431 39.2253262, -0.5182264 39.2251113)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,83.03999999999999,"LINESTRING (-0.5175431 39.2253262, -0.5179951 39.2259639, -0.5180071 39.2259808)",,,
83412187,True,,Carrer de la Corbella,residential,,False,47.52,"LINESTRING (-0.5213578 39.2231752, -0.5215156 39.2235847)",,,
83602266,False,,Carrer de Dalt,residential,,True,94.629,"LINESTRING (-0.5209011 39.2288354, -0.5219589 39.2286056)",,,
83602262,True,,Carrer del Raval,residential,,False,55.26,"LINESTRING (-0.5209011 39.2288354, -0.5210344 39.2291918, -0.521034 39.2293177)",,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,48.938,"LINESTRING (-0.523164 39.2226353, -0.5234084 39.2230326)",,,
83357745,True,,Carrer de València,residential,,False,66.056,"LINESTRING (-0.516386 39.2249281, -0.5170594 39.2246439)",,,
83404258,False,,Ronda del Maleco,residential,,False,76.708,"LINESTRING (-0.516386 39.2249281, -0.5167687 39.225551)",,,
83404258,False,,Ronda del Maleco,residential,,True,66.98,"LINESTRING (-0.516386 39.2249281, -0.5160598 39.2243813)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,False,9.613,"LINESTRING (-0.5205958 39.2262606, -0.5204897 39.2262874)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,True,25.162,"LINESTRING (-0.5205958 39.2262606, -0.5208747 39.2261933)",,,
83357700,False,,Calle de Velázquez,residential,,True,44.032,"LINESTRING (-0.5205958 39.2262606, -0.5207634 39.2266347)",,,
83357674,True,,Carrer de Juan Vicente Mora,residential,,False,44.734,"LINESTRING (-0.5188327 39.2234624, -0.518349 39.2236088)",,,
83357726,True,,,residential,,False,94.295,"LINESTRING (-0.5188327 39.2234624, -0.5191654 39.2242703)",,,
83357773,False,,Carrer de Sans,residential,,False,83.395,"LINESTRING (-0.5218569 39.2283138, -0.5209203 39.2285038)",,,
83412192,True,,Carrer Llarg,residential,,False,31.619,"LINESTRING (-0.5218569 39.2283138, -0.5217611 39.2280393)",,,
83357694,True,,Carrer del Cor de Jesús,residential,,False,74.568,"LINESTRING (-0.5180071 39.2259808, -0.5179218 39.2260117, -0.5172898 39.2262402, -0.5172488 39.2262551, -0.5172227 39.2262645)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,80.818,"LINESTRING (-0.5180071 39.2259808, -0.5180444 39.2260325, -0.5183569 39.2264654, -0.5184587 39.2266178)",,,
83357694,True,,Carrer del Cor de Jesús,residential,,False,98.06700000000001,"LINESTRING (-0.5196833 39.2254957, -0.5195771 39.2255129, -0.5190735 39.2255943, -0.5186705 39.2257516, -0.5186131 39.225774)",,,
83357726,True,,,residential,,False,52.241,"LINESTRING (-0.5196833 39.2254957, -0.5197052 39.2255466, -0.5198751 39.2259414)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,86.557,"LINESTRING (-0.5170594 39.2246439, -0.5175431 39.2253262)",,,
83357685,True,,Carrer del Piló,residential,,False,43.091,"LINESTRING (-0.520741 39.227772, -0.5208034 39.2281565)",,,
83357691,True,,Carrer del Cigró,residential,,False,66.47800000000001,"LINESTRING (-0.520741 39.227772, -0.5201379 39.2278439, -0.5200043 39.2279143)",,,
904311424,True,,Carrer del 2 de Maig,residential,,False,50.943,"LINESTRING (-0.5184587 39.2266178, -0.5189746 39.2263938)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,35.067,"LINESTRING (-0.5184587 39.2266178, -0.5184662 39.2266283, -0.5186923 39.226876)",,,
83357734,True,,Carrer de Jaume Balmes,residential,,False,116.278,"LINESTRING (-0.5195173 39.22511, -0.520821 39.2248388)",,,
83357726,True,,,residential,,False,45.209,"LINESTRING (-0.5195173 39.22511, -0.5196722 39.2254699, -0.5196833 39.2254957)",,,
83412221,True,,Carrer d'Alginet,residential,,False,75.194,"LINESTRING (-0.5223496 39.2228787, -0.523164 39.2226353)",,,
822708330,True,,Carrer de Joan Peset,residential,,False,47.326,"LINESTRING (-0.5223496 39.2228787, -0.5222059 39.2224679)",,,
83357751,True,,Carrer d'Alginet,residential,,False,59.388999999999996,"LINESTRING (-0.5223496 39.2228787, -0.5222709 39.2228969, -0.521983 39.2229881, -0.5217067 39.2230709)",,,
83357748,True,,Carrer de la Báscula,residential,,False,56.42,"LINESTRING (-0.5243276 39.2248586, -0.5236933 39.2249851)",,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,54.703,"LINESTRING (-0.5243276 39.2248586, -0.5244735 39.2253374)",,,
83412192,True,,Carrer Llarg,residential,,False,58.13,"LINESTRING (-0.5215685 39.2275775, -0.5213612 39.22708)",,,
83357691,True,,Carrer del Cigró,residential,,False,77.411,"LINESTRING (-0.5215685 39.2275775, -0.5214348 39.2276893, -0.520741 39.227772)",,,
83357748,True,,Carrer de la Báscula,residential,,False,83.51899999999999,"LINESTRING (-0.5221732 39.2252883, -0.5220892 39.2253072, -0.5212421 39.2254978)",,,
83412187,True,,Carrer de la Corbella,residential,,False,57.753,"LINESTRING (-0.5221732 39.2252883, -0.5222029 39.2253649, -0.5223658 39.2257858)",,,
83357762,True,,Carrer de Goya,residential,,False,108.508,"LINESTRING (-0.5148337 39.2208044, -0.5151815 39.2217423)",,,
"[83404258, 1164841091]",False,,Ronda del Maleco,residential,,False,195.913,"LINESTRING (-0.5148337 39.2208044, -0.5139393 39.2209273, -0.5145155 39.2218867)",,,
83412187,True,,Carrer de la Corbella,residential,,False,98.20400000000001,"LINESTRING (-0.5227922 39.2268689, -0.5230983 39.2276625, -0.5231186 39.2277151)",,,
83412206,True,,Carrer del Ravalet,residential,,False,38.839,"LINESTRING (-0.5227922 39.2268689, -0.5226997 39.226882, -0.5223487 39.2269319)",,,
83357681,True,,Carrer de Joan Peset,residential,,False,67.813,"LINESTRING (-0.5228103 39.2244083, -0.5226399 39.2238129)",,,
83412228,True,,Carrer de Jaume I,residential,,False,59.168,"LINESTRING (-0.5228103 39.2244083, -0.5234717 39.2242647)",,,
83357687,True,CV-5470,Carrer de Joan Peset,tertiary,,False,33.215,"LINESTRING (-0.5221188 39.2222349, -0.522051 39.2223314, -0.522018 39.2225185)",,,
752850082,False,CV-5470,Carrer de Joan Peset,tertiary,,False,12.401,"LINESTRING (-0.5221188 39.2222349, -0.5221324 39.2221725, -0.522148 39.2221258)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,False,70.366,"LINESTRING (-0.5204897 39.2262874, -0.51971 39.2264762)",,,
83357672,False,,Carrer de Guillem Sorolla,residential,,True,9.613,"LINESTRING (-0.5204897 39.2262874, -0.5205958 39.2262606)",,,
83357701,True,,Carrer del Mestre José Martínez Bisbal,residential,,False,62.52,"LINESTRING (-0.5204897 39.2262874, -0.5203378 39.2260574, -0.5199593 39.2261373)",,,
83357726,True,,,residential,,False,38.891,"LINESTRING (-0.5193745 39.2247782, -0.5195173 39.22511)",,,
83357761,True,CV-5240,Carrer Ramon i Cajal,tertiary,,False,109.04,"LINESTRING (-0.5193745 39.2247782, -0.5205513 39.2244169)",,,
83357679,True,,Carrer Comtessa de Carlet,residential,,False,93.65,"LINESTRING (-0.5179455 39.2246337, -0.5174947 39.2238673)",,,
83357749,True,,Carrer Antonio Machado,residential,,False,50.697,"LINESTRING (-0.5179455 39.2246337, -0.5184948 39.22447)",,,
83357700,False,,Calle de Velázquez,residential,,False,32.278,"LINESTRING (-0.5209942 39.2269263, -0.5207924 39.2266817)",,,
83357700,False,,Calle de Velázquez,residential,,True,29.225,"LINESTRING (-0.5209942 39.2269263, -0.5211469 39.227161)",,,
83602259,False,,Carrer del Sagrari,residential,,True,101.703,"LINESTRING (-0.5209942 39.2269263, -0.5206677 39.2270338, -0.5198614 39.2271725)",,,
83357725,False,,Carrer de la Constitució,residential,,True,94.325,"LINESTRING (-0.5198044 39.2240916, -0.5194115 39.2232998)",,,
83357749,True,,Carrer Antonio Machado,residential,,False,41.886,"LINESTRING (-0.5198044 39.2240916, -0.5202619 39.223964)",,,
