osmid,ref,highway,oneway,reversed,length,name,geometry,junction
219512112,,residential,False,False,105.567,,"LINESTRING (40.6655001 37.8440512, 40.6659083 37.8439981, 40.6660741 37.8439817, 40.6661647 37.8439835, 40.6662257 37.8439983, 40.6662867 37.8440278, 40.6664058 37.8443256)",
219512122,,residential,False,True,19.967,,"LINESTRING (40.6669997 37.8442165, 40.6667798 37.8442622)",
219510547,,residential,False,False,57.757000000000005,,"LINESTRING (40.6669997 37.8442165, 40.6670643 37.8442755, 40.6672819 37.8446821)",
219512122,,residential,False,False,33.589,,"LINESTRING (40.6664058 37.8443256, 40.6667798 37.8442622)",
219512112,,residential,False,False,101.683,,"LINESTRING (40.6664058 37.8443256, 40.6664829 37.8445816, 40.6665515 37.8449136, 40.6666093 37.8452252)",
219512112,,residential,False,True,105.567,,"LINESTRING (40.6664058 37.8443256, 40.6662867 37.8440278, 40.6662257 37.8439983, 40.6661647 37.8439835, 40.6660741 37.8439817, 40.6659083 37.8439981, 40.6655001 37.8440512)",
219508315,,residential,False,False,116.799,,"LINESTRING (40.664271 37.8465224, 40.6643227 37.847572)",
219512531,,residential,False,True,43.685,,"LINESTRING (40.664271 37.8465224, 40.664768 37.8465045)",
219508315,,residential,False,True,65.422,,"LINESTRING (40.664271 37.8465224, 40.6642566 37.8462371, 40.6642618 37.8459343)",
219508288,,residential,False,False,42.367,,"LINESTRING (40.664805 37.8475608, 40.6643227 37.847572)",
219508288,,residential,False,True,78.596,,"LINESTRING (40.664805 37.8475608, 40.6649315 37.8475614, 40.6656988 37.8475259)",
219512532,,residential,False,True,117.501,,"LINESTRING (40.664805 37.8475608, 40.6647733 37.8467034, 40.664768 37.8465045)",
219507892,,tertiary,False,True,47.498,15. Cadde,"LINESTRING (40.6670192 37.8458591, 40.6675582 37.845823)",
219513863,,residential,False,False,73.771,,"LINESTRING (40.6670192 37.8458591, 40.6670799 37.8465208)",
219513863,,residential,False,True,71.939,,"LINESTRING (40.6670192 37.8458591, 40.6669507 37.8452144)",
219507892,,tertiary,False,False,68.312,15. Cadde,"LINESTRING (40.6670192 37.8458591, 40.6663692 37.8458797, 40.6662418 37.8458827)",
219508288,,residential,False,False,77.686,,"LINESTRING (40.6671921 37.847475, 40.6663081 37.8475038)",
219508288,,residential,False,True,57.053,,"LINESTRING (40.6671921 37.847475, 40.6676802 37.8474557, 40.6678404 37.8474688)",
219513863,,residential,False,True,106.567,,"LINESTRING (40.6671921 37.847475, 40.667126 37.8468498, 40.6670799 37.8465208)",
219507689,,secondary,True,False,72.578,İstasyon Caddesi,"LINESTRING (40.6634335 37.8459766, 40.6634297 37.8453239)",
