osmid,bridge,ref,highway,oneway,reversed,length,name,geometry
657518994,,,residential,False,True,67.449,,"LINESTRING (91.1115116 23.9710396, 91.1113505 23.9710226, 91.1108892 23.971014, 91.110857 23.9709919)"
755870299,yes,N103,trunk,False,False,160.108,"Kalibarirmor, T A Road","LINESTRING (91.1115116 23.9710396, 91.1115672 23.9705135, 91.111615 23.9702329, 91.1116529 23.9696065)"
"[769231401, 755870299]",yes,N103,trunk,False,True,99.49799999999999,"Kalibarirmor, T A Road","LINESTRING (91.1115116 23.9710396, 91.1114958 23.9715615, 91.1114824 23.971934)"
657518994,,,residential,False,False,67.449,,"LINESTRING (91.110857 23.9709919, 91.1108892 23.971014, 91.1113505 23.9710226, 91.1115116 23.9710396)"
657518994,,,residential,False,True,63.001000000000005,,"LINESTRING (91.110857 23.9709919, 91.1108395 23.9709454, 91.1107973 23.9706751, 91.1107852 23.9705937, 91.1107604 23.970563, 91.1107349 23.9705495, 91.11068 23.970541, 91.110633 23.9705238)"
753466752,,,residential,False,False,134.712,,"LINESTRING (91.110857 23.9709919, 91.1108382 23.9710373, 91.1108194 23.9710961, 91.1108127 23.9711279, 91.1107752 23.9712248, 91.1107698 23.9713326, 91.1107832 23.9717713, 91.1107993 23.9719453, 91.1108194 23.9720066, 91.1108516 23.9720777, 91.1109053 23.9721696)"
657518994,,,residential,False,False,63.001000000000005,,"LINESTRING (91.110633 23.9705238, 91.11068 23.970541, 91.1107349 23.9705495, 91.1107604 23.970563, 91.1107852 23.9705937, 91.1107973 23.9706751, 91.1108395 23.9709454, 91.110857 23.9709919)"
657518994,,,residential,False,True,134.937,,"LINESTRING (91.110633 23.9705238, 91.1105472 23.9704674, 91.1104909 23.9704282, 91.1104533 23.9704013, 91.1103487 23.9703768, 91.1103004 23.9703645, 91.1101985 23.9703522, 91.1100697 23.9703351, 91.1097854 23.9702199, 91.1095346 23.9700912, 91.109426 23.9700592)"
761396835,,,residential,False,True,123.088,,"LINESTRING (91.110633 23.9705238, 91.1106116 23.9702861, 91.1106062 23.9700581, 91.110566 23.9698866, 91.1105821 23.9696537, 91.1106085 23.9694233)"
657518994,,,residential,False,False,134.937,,"LINESTRING (91.109426 23.9700592, 91.1095346 23.9700912, 91.1097854 23.9702199, 91.1100697 23.9703351, 91.1101985 23.9703522, 91.1103004 23.9703645, 91.1103487 23.9703768, 91.1104533 23.9704013, 91.1104909 23.9704282, 91.1105472 23.9704674, 91.110633 23.9705238)"
657518994,,,residential,False,True,107.41300000000001,,"LINESTRING (91.109426 23.9700592, 91.1093912 23.9700643, 91.1087662 23.9700925, 91.1087219 23.9701157, 91.108667 23.9701255, 91.1086267 23.9701292, 91.1085503 23.9701268, 91.1084671 23.9701157, 91.1083812 23.9700977)"
657518995,,,residential,False,False,103.369,,"LINESTRING (91.109426 23.9700592, 91.1093214 23.9702836, 91.1092195 23.9705336, 91.1091605 23.9707713, 91.109139 23.9709454)"
657518995,,,residential,False,True,82.666,,"LINESTRING (91.109426 23.9700592, 91.1095118 23.9696807, 91.1095541 23.9693259)"
657518994,,,residential,False,False,57.528999999999996,,"LINESTRING (91.1077711 23.9706071, 91.107696 23.9705802, 91.1076558 23.9705361, 91.1076316 23.9704282, 91.1076128 23.9703302, 91.1075994 23.9702542, 91.1075869 23.9701552)"
657518994,,,residential,False,True,59.300000000000004,,"LINESTRING (91.1077711 23.9706071, 91.1078623 23.9706267, 91.1079535 23.9706586, 91.108034 23.970688, 91.1080983 23.9707101, 91.1081842 23.9707395, 91.1082593 23.9707713, 91.1083156 23.9707959)"
761396819,,,residential,False,True,66.138,,"LINESTRING (91.1077711 23.9706071, 91.1076973 23.9706169, 91.1076128 23.97065, 91.107531 23.9706905, 91.1074331 23.9707248, 91.1073124 23.9707566, 91.1071515 23.9707591)"
657518994,,,residential,False,False,107.413,,"LINESTRING (91.1083812 23.9700977, 91.1084671 23.9701157, 91.1085503 23.9701268, 91.1086267 23.9701292, 91.108667 23.9701255, 91.1087219 23.9701157, 91.1087662 23.9700925, 91.1093912 23.9700643, 91.109426 23.9700592)"
657518994,,,residential,False,True,99.27900000000001,,"LINESTRING (91.1083812 23.9700977, 91.1082378 23.9699895, 91.1081359 23.9699479, 91.108034 23.9699479, 91.1078757 23.9699675, 91.1077014 23.9699944, 91.1075968 23.9700434, 91.1075833 23.9701268, 91.1075869 23.9701552)"
752320034,,,residential,False,False,78.261,,"LINESTRING (91.1083812 23.9700977, 91.1083786 23.9701108, 91.1083692 23.970139, 91.1083639 23.9701648, 91.1083531 23.9702138, 91.1083411 23.970291, 91.1083344 23.9703657, 91.1083344 23.9704258, 91.1083344 23.970514, 91.1083384 23.9705667, 91.1083411 23.9706133, 91.1083156 23.9707959)"
752320034,,,residential,False,True,108.60199999999999,,"LINESTRING (91.1083812 23.9700977, 91.108388 23.970063, 91.108388 23.9700312, 91.108388 23.9699846, 91.1083826 23.969916, 91.1083773 23.9698498, 91.1083773 23.9698057, 91.10838 23.9697273, 91.1083826 23.969639, 91.1083853 23.9695557, 91.1083934 23.9694748, 91.1084148 23.9693792, 91.1084309 23.9692935, 91.1084309 23.9692175, 91.1084148 23.9691268)"
752320034,,,residential,False,True,32.477000000000004,,"LINESTRING (91.1080018 23.9729183, 91.1079964 23.9728889, 91.1079857 23.9727933, 91.1079776 23.9726732, 91.1079726 23.9726276)"
657518994,,,residential,False,False,59.300000000000004,,"LINESTRING (91.1083156 23.9707959, 91.1082593 23.9707713, 91.1081842 23.9707395, 91.1080983 23.9707101, 91.108034 23.970688, 91.1079535 23.9706586, 91.1078623 23.9706267, 91.1077711 23.9706071)"
657518994,,,residential,False,True,92.66,,"LINESTRING (91.1083156 23.9707959, 91.1083826 23.9708081, 91.1084363 23.9708008, 91.1085114 23.9707983, 91.1085945 23.970791, 91.1086884 23.9707885, 91.1087769 23.9707812, 91.1088252 23.9707812, 91.1088788 23.9707763, 91.1089298 23.9707787, 91.1089727 23.9707885, 91.1090237 23.9708106, 91.1090773 23.97084, 91.1091015 23.9708694, 91.109139 23.9709454)"
752320034,,,residential,False,False,143.19500000000002,,"LINESTRING (91.1083156 23.9707959, 91.1082646 23.9710262, 91.1082539 23.9711659, 91.1082405 23.9712885, 91.1082163 23.9716659, 91.108219 23.971786, 91.1082217 23.9718938, 91.1082217 23.9719796, 91.1082137 23.9720507, 91.1082008 23.9720742)"
752320034,,,residential,False,True,78.26100000000001,,"LINESTRING (91.1083156 23.9707959, 91.1083411 23.9706133, 91.1083384 23.9705667, 91.1083344 23.970514, 91.1083344 23.9704258, 91.1083344 23.9703657, 91.1083411 23.970291, 91.1083531 23.9702138, 91.1083639 23.9701648, 91.1083692 23.970139, 91.1083786 23.9701108, 91.1083812 23.9700977)"
484349188,,,tertiary,False,False,45.03,,"LINESTRING (91.1084148 23.9691268, 91.1079787 23.9690547)"
484349188,,,tertiary,False,True,117.86500000000001,,"LINESTRING (91.1084148 23.9691268, 91.1090396 23.96923, 91.1095541 23.9693259)"
752320034,,,residential,False,False,108.60199999999999,,"LINESTRING (91.1084148 23.9691268, 91.1084309 23.9692175, 91.1084309 23.9692935, 91.1084148 23.9693792, 91.1083934 23.9694748, 91.1083853 23.9695557, 91.1083826 23.969639, 91.10838 23.9697273, 91.1083773 23.9698057, 91.1083773 23.9698498, 91.1083826 23.969916, 91.108388 23.9699846, 91.108388 23.9700312, 91.108388 23.970063, 91.1083812 23.9700977)"
753466748,,,residential,False,False,97.72699999999999,,"LINESTRING (91.1071515 23.9707591, 91.1071596 23.9708081, 91.1071649 23.9708608, 91.1071408 23.9710483, 91.1071381 23.9711047, 91.1071354 23.9712052, 91.1071435 23.9713032, 91.1071247 23.9714282, 91.107114 23.9714895, 91.1071086 23.9715581, 91.1070979 23.9716328)"
753466748,,,residential,False,True,60.729,,"LINESTRING (91.1071515 23.9707591, 91.1071448 23.9706672, 91.1071381 23.9706218, 91.1071287 23.970525, 91.1071193 23.9704491, 91.1071207 23.9703694, 91.1071207 23.9703277, 91.1071233 23.9702959, 91.1071274 23.9702518, 91.1071327 23.970215)"
761396819,,,residential,False,False,66.138,,"LINESTRING (91.1071515 23.9707591, 91.1073124 23.9707566, 91.1074331 23.9707248, 91.107531 23.9706905, 91.1076128 23.97065, 91.1076973 23.9706169, 91.1077711 23.9706071)"
753466751,,,residential,False,True,4.447,,"LINESTRING (91.1070868 23.9721015, 91.107071 23.9720642)"
753466749,,,residential,False,False,63.421,,"LINESTRING (91.1070868 23.9721015, 91.1071247 23.9720997, 91.1071596 23.9720985, 91.1072253 23.9721058, 91.1072937 23.9721132, 91.1073446 23.9721046, 91.1074144 23.9720813, 91.107472 23.9720764, 91.1075324 23.9720764, 91.1075914 23.972074, 91.1076397 23.9720789, 91.1076987 23.9721022)"
753466751,,,residential,False,False,149.451,,"LINESTRING (91.1070868 23.9721015, 91.1071113 23.9721598, 91.107126 23.9722639, 91.1071341 23.9724208, 91.1071703 23.9725764, 91.1072065 23.9726426, 91.1072534 23.9726891, 91.1072896 23.9727222, 91.1074224 23.972732, 91.1075002 23.9727296, 91.1075619 23.9727173, 91.1075887 23.9726536, 91.1076397 23.972634, 91.1076906 23.9726389, 91.1077791 23.9726365, 91.1078408 23.9726365, 91.1079079 23.9726438, 91.1079726 23.9726276)"
