osmid,highway,maxspeed,oneway,reversed,length,geometry,junction,name,bridge,ref
355504025,residential,30,False,False,79.03999999999999,"LINESTRING (81.0404485 7.6724657, 81.0405502 7.6729905, 81.0406221 7.6731519)",,,,
355504025,residential,30,False,True,91.80799999999999,"LINESTRING (81.0404485 7.6724657, 81.0403859 7.6720375, 81.0403021 7.6716534)",,,,
186844016,living_street,30,False,False,235.8,"LINESTRING (81.0419704 7.6747578, 81.0417639 7.6745442, 81.0406829 7.6733613, 81.0406226 7.6732736, 81.0406145 7.6732231, 81.0406221 7.6731519)",,,,
485881572,unclassified,,False,True,28.631,"LINESTRING (81.0376087 7.6724814, 81.037361 7.6724037)",,,,
186844014,residential,30,False,False,312.567,"LINESTRING (81.0376087 7.6724814, 81.0377369 7.6721005, 81.0380515 7.6716423, 81.0385515 7.6712734, 81.0391179 7.6709424, 81.0396477 7.6706826)",,,,
186844018,living_street,30,False,False,162.897,"LINESTRING (81.0417492 7.6751892, 81.0411707 7.6747397, 81.0409833 7.6745841, 81.0406355 7.67423)",,,,
186844027,living_street,30,False,True,49.971,"LINESTRING (81.0385989 7.673146, 81.0390185 7.6733164)",,,,
386594700,primary,50,False,False,256.34800000000007,"LINESTRING (81.0385989 7.673146, 81.0386981 7.6729666, 81.0387786 7.6728323, 81.0388631 7.6727101, 81.0389502 7.6725958, 81.0390428 7.6724947, 81.0391916 7.6723472, 81.0393257 7.6722249, 81.0394558 7.6721199, 81.0395765 7.6720375, 81.0397683 7.6719192, 81.0400245 7.6717877, 81.0403021 7.6716534)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
186844024,living_street,30,False,False,52.466,"LINESTRING (81.0399082 7.6748952, 81.0402468 7.6745635)",,,,
278866664,living_street,30,False,True,216.938,"LINESTRING (81.0399082 7.6748952, 81.0396463 7.6746293, 81.0393673 7.6742492, 81.0389902 7.6738886, 81.0389342 7.6737312, 81.0390185 7.6733164)",,,,
186844016,living_street,30,False,True,235.8,"LINESTRING (81.0406221 7.6731519, 81.0406145 7.6732231, 81.0406226 7.6732736, 81.0406829 7.6733613, 81.0417639 7.6745442, 81.0419704 7.6747578)",,,,
355504025,residential,30,False,True,79.03999999999999,"LINESTRING (81.0406221 7.6731519, 81.0405502 7.6729905, 81.0404485 7.6724657)",,,,
186844027,living_street,30,False,False,14.681,"LINESTRING (81.0391512 7.6733281, 81.0390185 7.6733164)",,,,
186844027,living_street,30,False,True,70.981,"LINESTRING (81.0391512 7.6733281, 81.0393096 7.6732922, 81.0393955 7.6732457, 81.0397081 7.6730251)",,,,
278866665,living_street,30,False,False,182.897,"LINESTRING (81.0391512 7.6733281, 81.0396438 7.6738701, 81.0402468 7.6745635)",,,,
485881571,tertiary,40,False,False,115.25299999999999,"LINESTRING (81.0380223 7.6693691, 81.0380671 7.6693574, 81.0381308 7.6693076, 81.0382448 7.6691388, 81.0384245 7.6689819, 81.0387819 7.6687786, 81.0388437 7.6687762)",,,,
485881572,unclassified,,False,False,375.54200000000003,"LINESTRING (81.0380223 7.6693691, 81.0380369 7.6694019, 81.0380282 7.6695262, 81.0370593 7.6717212, 81.0370231 7.67185, 81.037019 7.6719618, 81.0370754 7.6721346, 81.0372068 7.6722934, 81.037361 7.6724037)",,,,
186844024,living_street,30,False,True,56.657,"LINESTRING (81.0406355 7.67423, 81.0402468 7.6745635)",,,,
186844018,living_street,30,False,False,168.756,"LINESTRING (81.0406355 7.67423, 81.040112 7.6736176, 81.0397081 7.6730251)",,,,
186844018,living_street,30,False,True,162.897,"LINESTRING (81.0406355 7.67423, 81.0409833 7.6745841, 81.0411707 7.6747397, 81.0417492 7.6751892)",,,,
186844024,living_street,30,False,False,56.657,"LINESTRING (81.0402468 7.6745635, 81.0406355 7.67423)",,,,
186844024,living_street,30,False,True,52.466,"LINESTRING (81.0402468 7.6745635, 81.0399082 7.6748952)",,,,
278866665,living_street,30,False,False,88.372,"LINESTRING (81.0402468 7.6745635, 81.0405341 7.6748605, 81.0408273 7.6751105)",,,,
278866665,living_street,30,False,True,182.897,"LINESTRING (81.0402468 7.6745635, 81.0396438 7.6738701, 81.0391512 7.6733281)",,,,
278866665,living_street,30,False,True,88.372,"LINESTRING (81.0408273 7.6751105, 81.0405341 7.6748605, 81.0402468 7.6745635)",,,,
452883807,tertiary,40,False,False,230.166,"LINESTRING (81.0388437 7.6687762, 81.0388637 7.6687912, 81.0392828 7.6697568, 81.0396477 7.6706826)",,Lihiniyagama Nagaswewa Dehiattakandiya Road,,
485881571,tertiary,40,False,True,115.253,"LINESTRING (81.0388437 7.6687762, 81.0387819 7.6687786, 81.0384245 7.6689819, 81.0382448 7.6691388, 81.0381308 7.6693076, 81.0380671 7.6693574, 81.0380223 7.6693691)",,,,
485881572,unclassified,,False,False,28.631,"LINESTRING (81.037361 7.6724037, 81.0376087 7.6724814)",,,,
485881572,unclassified,,False,True,375.54200000000003,"LINESTRING (81.037361 7.6724037, 81.0372068 7.6722934, 81.0370754 7.6721346, 81.037019 7.6719618, 81.0370231 7.67185, 81.0370593 7.6717212, 81.0380282 7.6695262, 81.0380369 7.6694019, 81.0380223 7.6693691)",,,,
