osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,access,junction
173060738,Avenue du Château,residential,30,False,True,132.317,"LINESTRING (6.6043079 46.5354076, 6.6044425 46.5354637, 6.6045635 46.5355142, 6.6048613 46.5356383, 6.6050211 46.5357049, 6.6050903 46.5357414, 6.6051337 46.5358075, 6.6051469 46.5358972, 6.6051297 46.5359752, 6.6050296 46.5362823)",,,,
"[1233287418, 759172195]",Route de Cossonay,primary,50,False,True,137.64700000000002,"LINESTRING (6.6043079 46.5354076, 6.6037819 46.5359563, 6.6034556 46.5362854, 6.6033467 46.5363787, 6.6032897 46.5364275)",9,3,,
29381698,Chemin des Creuses,residential,30,False,True,12.071,"LINESTRING (6.6063675 46.5388436, 6.606422 46.5387844, 6.6064761 46.5387746)",,,,
173060739,Chemin de Bellevue,residential,,False,False,35.212,"LINESTRING (6.6063675 46.5388436, 6.6062449 46.5388906, 6.6060402 46.5390598)",,,destination,
173060739,Chemin de Bellevue,residential,,False,True,35.212,"LINESTRING (6.6060402 46.5390598, 6.6062449 46.5388906, 6.6063675 46.5388436)",,,destination,
173060740,Chemin de la Possession,residential,,False,False,169.475,"LINESTRING (6.6060402 46.5390598, 6.6051338 46.5387153, 6.6049342 46.5386394, 6.6041009 46.5383226)",,,destination,
28259816,Route des Flumeaux,tertiary,50,False,False,53.059,"LINESTRING (6.604458 46.5318757, 6.6043746 46.5318462, 6.6038305 46.5316725)",,2,,
28259816,Route des Flumeaux,tertiary,50,False,True,72.658,"LINESTRING (6.604458 46.5318757, 6.6044849 46.5318868, 6.6048249 46.5320272, 6.6051235 46.5321694, 6.6052369 46.5322458)",,2,,
30609817,Chemin de la Grand-Vigne,living_street,30,False,False,194.224,"LINESTRING (6.604458 46.5318757, 6.6044217 46.5319294, 6.6038759 46.5328135, 6.6034628 46.5334826)",,,,
"[1105298978, 24448229]",Avenue de Floréal,"['residential', 'living_street']","['20', '30']",False,False,105.00299999999999,"LINESTRING (6.6027601 46.5346607, 6.6032392 46.534705, 6.6035512 46.5347339, 6.6036382 46.5347403, 6.6037519 46.5347403, 6.6038558 46.5347245, 6.604115 46.5346807)",,,,
24448229,Avenue de Floréal,residential,30,False,True,91.493,"LINESTRING (6.6027601 46.5346607, 6.602687 46.5346539, 6.601574 46.5345546)",,,,
30609817,Chemin de la Grand-Vigne,living_street,30,False,True,194.22400000000002,"LINESTRING (6.6034628 46.5334826, 6.6038759 46.5328135, 6.6044217 46.5319294, 6.604458 46.5318757)",,,,
30609818,Chemin de la Grand-Vigne,living_street,30,True,False,141.60199999999998,"LINESTRING (6.6034628 46.5334826, 6.6033909 46.5336025, 6.6033765 46.5336265, 6.6032534 46.5338318, 6.603117 46.5340594, 6.6030436 46.5341813, 6.602829 46.5345379, 6.6027947 46.5345971, 6.6027601 46.5346607)",,,,
28259816,Route des Flumeaux,tertiary,50,False,False,61.379,"LINESTRING (6.6026253 46.5312896, 6.6020844 46.5311143, 6.6019086 46.5310425)",,2,,
28259816,Route des Flumeaux,tertiary,50,False,True,39.22,"LINESTRING (6.6026253 46.5312896, 6.6027929 46.5313484, 6.6030881 46.5314412)",,2,,
30609820,Avenue de la Rochelle,residential,,False,True,39.686,"LINESTRING (6.6026253 46.5312896, 6.6025742 46.5313696, 6.6024072 46.5316134)",,,,
24448229,Avenue de Floréal,residential,30,False,False,35.484,"LINESTRING (6.6011141 46.5345129, 6.6012656 46.5345267, 6.601574 46.5345546)",,,,
24448229,Avenue de Floréal,residential,30,False,True,114.046,"LINESTRING (6.6011141 46.5345129, 6.6010075 46.5345027, 6.6007118 46.5344778, 6.6000521 46.5344222, 6.600012 46.5344188, 6.5998919 46.5344086, 6.5996345 46.5343869)",,,,
30609820,Avenue de la Rochelle,residential,,False,False,145.251,"LINESTRING (6.6011141 46.5345129, 6.601151 46.5344522, 6.6014208 46.5340084, 6.6016429 46.533643, 6.6017031 46.533544, 6.6017782 46.5334205, 6.6017743 46.5333666, 6.601732 46.5333049)",,,,
223665602,Chemin de la Pommeraie,residential,30,False,True,213.38599999999997,"LINESTRING (6.6011141 46.5345129, 6.6010835 46.5345619, 6.6007494 46.5350972, 6.6006164 46.5353103, 6.6003531 46.5357323, 6.6003402 46.535753, 6.6000136 46.5362763)",,,,
30609823,Avenue de la Rochelle,residential,,False,True,193.889,"LINESTRING (6.601732 46.5333049, 6.6028933 46.531755)",,,,
30609820,Avenue de la Rochelle,residential,,False,False,215.897,"LINESTRING (6.601732 46.5333049, 6.6014354 46.533097, 6.6014046 46.5330507, 6.6014007 46.5330122, 6.6020609 46.5320946, 6.6024072 46.5316134)",,,,
30609820,Avenue de la Rochelle,residential,,False,True,145.251,"LINESTRING (6.601732 46.5333049, 6.6017743 46.5333666, 6.6017782 46.5334205, 6.6017031 46.533544, 6.6016429 46.533643, 6.6014208 46.5340084, 6.601151 46.5344522, 6.6011141 46.5345129)",,,,
