osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
1012076565,2,Moffat Road,residential,False,True,156.95499999999998,,"LINESTRING (28.292318 -24.8829851, 28.2922551 -24.8829893, 28.2907664 -24.8830908)"
8041627,2,Minnaar Avenue,residential,False,False,86.958,,"LINESTRING (28.2922325 -24.884055, 28.2926476 -24.8833696)"
125543851,2,Luna Road,residential,False,False,95.13,,"LINESTRING (28.2922325 -24.884055, 28.2923054 -24.8840493, 28.2931721 -24.8839816)"
125543851,2,Luna Road,residential,False,True,148.497,,"LINESTRING (28.2922325 -24.884055, 28.29216 -24.8840319, 28.2910615 -24.8837098, 28.2909458 -24.8836887, 28.2908231 -24.8836836)"
125543870,2,Ludorf Street,residential,False,True,9.884,,"LINESTRING (28.2878167 -24.8822312, 28.287719 -24.882238)"
125543870,2,Ludorf Street,residential,False,False,208.82799999999997,,"LINESTRING (28.2878167 -24.8822312, 28.287917 -24.8822251, 28.2898822 -24.8821047)"
606289750,2,Grobler Avenue,secondary,True,False,141.456,D180,"LINESTRING (28.2878167 -24.8822312, 28.2883963 -24.8829025, 28.2886814 -24.8832327)"
8041622,2,Kretchmar Avenue,unclassified,False,False,134.764,,"LINESTRING (28.2950467 -24.8817118, 28.2942184 -24.8807609)"
125543870,2,Ludorf Street,residential,False,True,150.655,,"LINESTRING (28.2950467 -24.8817118, 28.2936372 -24.8818438, 28.2935607 -24.8818451)"
8041622,2,Kretchmar Avenue,unclassified,False,False,9.276,,"LINESTRING (28.2942184 -24.8807609, 28.2941623 -24.8806948)"
8041622,2,Kretchmar Avenue,unclassified,False,True,134.764,,"LINESTRING (28.2942184 -24.8807609, 28.2950467 -24.8817118)"
8041627,2,Minnaar Avenue,residential,False,True,2.303,,"LINESTRING (28.2942184 -24.8807609, 28.2942075 -24.8807791)"
125543874,2,Hospitaal Street,residential,False,True,66.164,,"LINESTRING (28.2908231 -24.8836836, 28.2907664 -24.8830908)"
125543851,2,Luna Road,residential,False,False,148.497,,"LINESTRING (28.2908231 -24.8836836, 28.2909458 -24.8836887, 28.2910615 -24.8837098, 28.29216 -24.8840319, 28.2922325 -24.884055)"
"[125543851, 636719118]",2,Luna Road,residential,False,True,143.547,,"LINESTRING (28.2908231 -24.8836836, 28.2907231 -24.8837019, 28.2905534 -24.8837689, 28.2895907 -24.8841875, 28.289529 -24.8842143)"
125543870,2,Ludorf Street,residential,False,True,82.076,,"LINESTRING (28.2914794 -24.8820065, 28.2906676 -24.8820563)"
125543895,2,Pretoria Way,residential,False,False,137.828,,"LINESTRING (28.2914794 -24.8820065, 28.292318 -24.8829851)"
636657160,2,Driver Street,residential,False,True,116.395,,"LINESTRING (28.2914794 -24.8820065, 28.2913683 -24.8809646)"
125543870,2,Ludorf Street,residential,False,False,210.716,,"LINESTRING (28.2914794 -24.8820065, 28.2934689 -24.8818505, 28.2935607 -24.8818451)"
8041621,2,Mentz Avenue,unclassified,False,False,71.863,,"LINESTRING (28.2863586 -24.8823319, 28.2866715 -24.8817513)"
8041621,2,Mentz Avenue,unclassified,False,True,142.822,,"LINESTRING (28.2863586 -24.8823319, 28.2856786 -24.8834585)"
125543870,2,Ludorf Street,residential,False,False,137.625,,"LINESTRING (28.2863586 -24.8823319, 28.2876249 -24.8822445, 28.287719 -24.882238)"
636736962,,Pretoria Way,residential,False,False,12.927,,"LINESTRING (28.2940104 -24.8849542, 28.294083 -24.88505)"
636657146,,Pretoria Way,residential,False,True,137.28300000000002,,"LINESTRING (28.2940104 -24.8849542, 28.2939489 -24.8848828, 28.2935859 -24.8844617, 28.2931721 -24.8839816)"
636736961,2,Chris Hani Way,secondary,True,False,91.167,R516,"LINESTRING (28.2940104 -24.8849542, 28.2941012 -24.8849472, 28.2949112 -24.8848875)"
125543874,2,Hospitaal Street,residential,False,False,66.164,,"LINESTRING (28.2907664 -24.8830908, 28.2908231 -24.8836836)"
125543874,2,Hospitaal Street,residential,False,True,115.462,,"LINESTRING (28.2907664 -24.8830908, 28.2906676 -24.8820563)"
1012076565,2,Moffat Road,residential,False,False,156.95499999999998,,"LINESTRING (28.2907664 -24.8830908, 28.2922551 -24.8829893, 28.292318 -24.8829851)"
1012076565,2,Moffat Road,residential,False,True,210.911,,"LINESTRING (28.2907664 -24.8830908, 28.2887758 -24.8832262, 28.2886814 -24.8832327)"
8041622,2,Kretchmar Avenue,unclassified,False,True,138.117,,"LINESTRING (28.2908721 -24.8768416, 28.2917095 -24.8778243)"
606289752,2,Heuwel Avenue,residential,False,True,81.26,,"LINESTRING (28.2908721 -24.8768416, 28.2908239 -24.8768776, 28.2902873 -24.8772789, 28.2902505 -24.8773064)"
636719083,2,Mentz Avenue,unclassified,False,True,137.71,,"LINESTRING (28.2895931 -24.8769728, 28.2889248 -24.8780527)"
323349496,2,Heuwel Avenue,residential,False,True,75.987,,"LINESTRING (28.2895931 -24.8769728, 28.2896517 -24.8770026, 28.2898761 -24.8771164, 28.2902505 -24.8773064)"
323349496,2,Heuwel Avenue,residential,False,False,75.98700000000001,,"LINESTRING (28.2902505 -24.8773064, 28.2898761 -24.8771164, 28.2896517 -24.8770026, 28.2895931 -24.8769728)"
323349591,2,Hospitaal Street,residential,False,True,71.805,,"LINESTRING (28.2902505 -24.8773064, 28.2903171 -24.8779149, 28.2903233 -24.8779487)"
606289752,2,Heuwel Avenue,residential,False,False,81.26,,"LINESTRING (28.2902505 -24.8773064, 28.2902873 -24.8772789, 28.2908239 -24.8768776, 28.2908721 -24.8768416)"
636971449,2,Botha Street,residential,False,False,141.549,,"LINESTRING (28.2903233 -24.8779487, 28.2889248 -24.8780527)"
