osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,junction
23349961,False,,,tertiary,,False,12.495,"LINESTRING (5.3971916 43.8737574, 5.3973386 43.87372)",,,
26954469,False,,,tertiary,,False,16.156,"LINESTRING (5.3971916 43.8737574, 5.3970019 43.8738065)",Boulevard National,,
"[27944313, 169282372]",False,,D 114,tertiary,30,False,92.215,"LINESTRING (5.3971916 43.8737574, 5.3971638 43.8737225, 5.3969116 43.8733823, 5.3969055 43.8733526, 5.3969087 43.8733187, 5.3969163 43.8732978, 5.3969443 43.8732587, 5.3969775 43.8732328, 5.397029 43.8732097, 5.3971282 43.8731801, 5.3971765 43.8731624, 5.3972733 43.8731269)","['Route de Rocsalière', 'Avenue des Druides']",,
28103457,False,,,residential,,False,99.97399999999999,"LINESTRING (5.393891 43.8772368, 5.3937245 43.8771674, 5.3936087 43.8771193, 5.3932316 43.8769909, 5.3931512 43.8769688, 5.393062 43.8769494, 5.3929675 43.8769398, 5.3929068 43.8769377, 5.3928454 43.8769345, 5.3927857 43.8769204, 5.3927459 43.8769061)",Quai Léon Sagy,,
"[53835692, 169241093]",False,,,residential,,False,35.763999999999996,"LINESTRING (5.393891 43.8772368, 5.3938992 43.8772576, 5.3939015 43.8772798, 5.3938922 43.8773178, 5.3938817 43.8773559, 5.393833 43.8774866, 5.3938015 43.8775475)","['Place Faubourg du Ballet', 'Faubourg du Ballet']",,
"[28103458, 1239665411]",False,,,residential,,"[False, True]",110.39499999999998,"LINESTRING (5.393891 43.8772368, 5.3941322 43.8773129, 5.3942424 43.8773507, 5.3943305 43.87738, 5.3946442 43.8774612, 5.3949388 43.8775205, 5.3951272 43.8775552, 5.3951835 43.8775727)","['Quai du Midi', 'Quai Léon Sagy']",,
1239665413,True,,D 943,secondary,,False,11.929,"LINESTRING (5.3928305 43.8765059, 5.3929789 43.876514)",Avenue Philippe de Girard,,
484585583,False,,D 943,secondary,,True,23.552999999999997,"LINESTRING (5.3928305 43.8765059, 5.392642 43.876491, 5.3925384 43.8764828)",Avenue Philippe de Girard,,
1046913160,False,,,unclassified,,True,11.241,"LINESTRING (5.4031799 43.8781811, 5.4030947 43.8782614)",Avenue Saint-Michel,,
1046913165,False,,D 22,secondary,,True,17.687,"LINESTRING (5.4031799 43.8781811, 5.4030145 43.8780758)",Avenue de Viton,,
1046913160,False,,,unclassified,,False,11.241,"LINESTRING (5.4030947 43.8782614, 5.4031799 43.8781811)",Avenue Saint-Michel,,
1046913164,False,,,unclassified,,True,17.069,"LINESTRING (5.4030947 43.8782614, 5.4030478 43.8782509, 5.4028929 43.8782124)",Avenue Saint-Michel,,
"[484585554, 166443694]",False,,,residential,,False,340.403,"LINESTRING (5.4018514 43.8778172, 5.4018257 43.8777872, 5.4017713 43.8777382, 5.4017012 43.8777039, 5.4016234 43.877673, 5.401572 43.8776801, 5.4015356 43.8777073, 5.4014303 43.8779321, 5.4013671 43.8780386, 5.4013113 43.8780676, 5.4012466 43.8780752, 5.4009314 43.8779978, 5.4006444 43.8778509, 5.4004727 43.8777658, 5.4003038 43.8776846, 5.400065 43.8776053, 5.39997 43.8776006, 5.3998853 43.8776189, 5.3997927 43.8776458, 5.3995769 43.8777658, 5.3994186 43.8778664, 5.399314 43.8779263, 5.3992845 43.8779882, 5.3993408 43.8780404, 5.3995018 43.8780597, 5.3997459 43.8780404, 5.3999068 43.8780442, 5.4000892 43.8780964)",Impasse Sainte-Thérèse,,
484585556,False,,,unclassified,,False,96.858,"LINESTRING (5.4018514 43.8778172, 5.4019162 43.8778112, 5.4019735 43.8778309, 5.4021513 43.8779645, 5.4022855 43.8780341, 5.4025029 43.8781154, 5.4028929 43.8782124)",Avenue Saint-Michel,,
484585559,False,,,unclassified,,True,158.69,"LINESTRING (5.4018514 43.8778172, 5.4017952 43.8778586, 5.401757 43.877906, 5.4016687 43.8782177, 5.40166 43.8782798, 5.4016745 43.8783265, 5.4017692 43.8784623, 5.4018487 43.8785664, 5.4019073 43.8786146, 5.4019766 43.8786593, 5.4022106 43.8787512, 5.4022295 43.8787675, 5.4022447 43.8787899, 5.4022502 43.8788118, 5.4022441 43.8788317, 5.4022296 43.8788483, 5.4022001 43.878864, 5.402166 43.878871, 5.4021155 43.8788703, 5.4020689 43.8788623, 5.4019959 43.8788322)",Avenue Saint-Michel,,
1046920019,False,,,residential,,True,49.623,"LINESTRING (5.3998953 43.8730787, 5.3999266 43.872633)",Boulevard Elzéar Pin,,
27944315,False,,,residential,,True,88.50900000000001,"LINESTRING (5.3998953 43.8730787, 5.3997856 43.8730883, 5.3989546 43.8732942, 5.3988465 43.8733224)",Boulevard Camille Pelletan,,
28103515,False,,,residential,,False,44.980999999999995,"LINESTRING (5.3998953 43.8730787, 5.3998671 43.8733635, 5.3998554 43.8734822)",Boulevard Elzéar Pin,,
28103515,False,,,residential,,True,159.06799999999998,"LINESTRING (5.3997486 43.8749106, 5.3997607 43.8747123, 5.3997843 43.8743156, 5.3998554 43.8734822)",Boulevard Elzéar Pin,,
1046920020,True,,,tertiary,,False,60.274,"LINESTRING (5.3997486 43.8749106, 5.4003722 43.8749646, 5.4004274 43.8749628, 5.4004959 43.8749597)",Cours Lauze de Perret,,
168655233,False,,,residential,,False,63.168,"LINESTRING (5.3991533 43.8767447, 5.3989168 43.8762028)",Rue Joseph Bernard,,
"[169241090, 169241094]",False,"['2', '3']",D 900,primary,30,False,77.551,"LINESTRING (5.3991533 43.8767447, 5.3992537 43.8767206, 5.3993813 43.876678, 5.3994327 43.8766525, 5.3994989 43.8766196, 5.3995973 43.8765571, 5.3997246 43.8764467, 5.3997761 43.876403, 5.3998666 43.8763006)",Quai Général Leclerc,,
169241094,False,2,D 900,primary,30,True,140.59799999999998,"LINESTRING (5.3991533 43.8767447, 5.3985421 43.8768761, 5.3984754 43.8768895, 5.3982957 43.8769279, 5.398102 43.876965, 5.397496 43.8770941, 5.3974698 43.8770997)",Quai Général Leclerc,,
4077701,False,,,tertiary,,True,91.25,"LINESTRING (5.3977789 43.8741235, 5.3985271 43.874742)",,,
27944314,True,,,tertiary,,False,47.413000000000004,"LINESTRING (5.3977789 43.8741235, 5.3974146 43.8738661, 5.3973474 43.873833)",,,
825831537,True,,,residential,,False,15.266,"LINESTRING (5.3977789 43.8741235, 5.3976881 43.8741483, 5.3975953 43.8741556)",,,
23349961,False,,,tertiary,,True,8.962,"LINESTRING (5.3974438 43.8736927, 5.3973386 43.87372)",,,
27944315,False,,,residential,,False,79.185,"LINESTRING (5.3974438 43.8736927, 5.3983708 43.8734466)",Boulevard Camille Pelletan,,
26954468,True,,,tertiary,,False,38.259,"LINESTRING (5.3974438 43.8736927, 5.3975385 43.8737954, 5.3976923 43.8739863)",,,
484585583,False,,D 943,secondary,,False,23.552999999999997,"LINESTRING (5.3925384 43.8764828, 5.392642 43.876491, 5.3928305 43.8765059)",Avenue Philippe de Girard,,
4077703,True,,,tertiary,,False,61.288000000000004,"LINESTRING (5.398993 43.8748277, 5.3995971 43.8749004, 5.3996718 43.8749052, 5.3997486 43.8749106)",Cours Lauze de Perret,,
27944316,True,,,tertiary_link,,False,24.148999999999997,"LINESTRING (5.398904 43.8750178, 5.3988955 43.8749978, 5.3988907 43.8749774, 5.3988911 43.8749431, 5.3989026 43.874908, 5.3989182 43.8748838, 5.3989423 43.8748591, 5.3989668 43.8748415, 5.398993 43.8748277)",,,
1135883416,True,,,tertiary,,False,43.33,"LINESTRING (5.398904 43.8750178, 5.3987822 43.874947, 5.3986676 43.8748685, 5.3985676 43.8747913, 5.3985271 43.874742)",,,
316719726,True,,,tertiary_link,,False,12.428,"LINESTRING (5.4008726 43.8747799, 5.4008458 43.8748444, 5.4008414 43.8748635, 5.4008455 43.8748884)",,,
316719727,False,,D 48,tertiary,,True,146.24300000000002,"LINESTRING (5.4008726 43.8747799, 5.401179 43.8745058, 5.4012481 43.8744562, 5.4013327 43.8744147, 5.401377 43.874401, 5.4014466 43.8743794, 5.4015734 43.8743561, 5.4023626 43.8742445, 5.4024379 43.8742321)",Route de Saignon,,
316719728,True,,D 48,tertiary,,False,22.773,"LINESTRING (5.400685 43.8749337, 5.4008726 43.8747799)",Route de Saignon,,
27944321,True,1,D 900,primary,50,False,13.818000000000001,"LINESTRING (5.400685 43.8749337, 5.4007789 43.8749085, 5.4008455 43.8748884)",Avenue de la Libération,,
490161020,True,,,primary,50,False,14.053,"LINESTRING (5.400685 43.8749337, 5.4007367 43.8749532, 5.400778 43.874983, 5.4008051 43.8750204)",,,roundabout
28103458,False,,,residential,,False,61.962,"LINESTRING (5.3966697 43.877579, 5.3971719 43.8774874, 5.3973605 43.8774484, 5.3974172 43.8774371)",Quai du Midi,,
28103458,False,,,residential,,True,87.631,"LINESTRING (5.3966697 43.877579, 5.3963631 43.8776305, 5.3959598 43.8776707, 5.3957383 43.8776812, 5.3955903 43.8776666)",Quai du Midi,,
"[28103459, 384947028, 384947029]",False,,,residential,,False,33.37,"LINESTRING (5.3966697 43.877579, 5.3966609 43.8775448, 5.3965857 43.8773365, 5.3965743 43.8772871)",Pont de Coquière,yes,
42941320,False,,,residential,,False,29.556,"LINESTRING (5.399969 43.8722931, 5.4003247 43.8722231)",Impasse de la Ronde,,
1046920019,False,,,residential,,False,37.948,"LINESTRING (5.399969 43.8722931, 5.3999266 43.872633)",Boulevard Elzéar Pin,,
28103517,False,,,residential,,True,120.573,"LINESTRING (5.399969 43.8722931, 5.3993291 43.8724204, 5.398519 43.8725815)",Boulevard du Maréchal Joffre,,
1116322198,False,,D 114,tertiary,30,False,12.493,"LINESTRING (5.3976938 43.872784, 5.3977931 43.8726974)",Route de Rocsalière,,
169282372,False,,D 114,tertiary,30,True,51.032000000000004,"LINESTRING (5.3976938 43.872784, 5.3973996 43.873044, 5.3973423 43.8730859, 5.3973026 43.873112, 5.3972733 43.8731269)",Route de Rocsalière,,
169282373,False,,,residential,,True,116.20400000000001,"LINESTRING (5.3976938 43.872784, 5.3976566 43.8727615, 5.3976001 43.8727258, 5.3975526 43.8727166, 5.3975019 43.8727119, 5.3974167 43.8727155, 5.397258 43.8727339, 5.3971846 43.872742, 5.3971194 43.8727423, 5.3970552 43.8727362, 5.3969916 43.8727238, 5.3967053 43.8726536, 5.3965218 43.8725991, 5.3964511 43.8725754, 5.3963326 43.8725357)",Rue des Bassins,,
27944315,False,,,residential,,False,88.50900000000001,"LINESTRING (5.3988465 43.8733224, 5.3989546 43.8732942, 5.3997856 43.8730883, 5.3998953 43.8730787)",Boulevard Camille Pelletan,,
27944315,False,,,residential,,True,40.556,"LINESTRING (5.3988465 43.8733224, 5.3985197 43.8734069, 5.3983708 43.8734466)",Boulevard Camille Pelletan,,
28103516,False,,,residential,,False,49.669,"LINESTRING (5.3988465 43.8733224, 5.3988089 43.8732456, 5.3986993 43.8730225, 5.3986398 43.8729013)",Rue Antonin Gay,,
28103516,False,,,residential,,True,36.855,"LINESTRING (5.398519 43.8725815, 5.3986398 43.8729013)",Rue Antonin Gay,,
28103517,False,,,residential,,False,120.573,"LINESTRING (5.398519 43.8725815, 5.3993291 43.8724204, 5.399969 43.8722931)",Boulevard du Maréchal Joffre,,
28103517,False,,,residential,,True,60.945,"LINESTRING (5.398519 43.8725815, 5.3979899 43.872703, 5.3979047 43.8727127, 5.3978296 43.8727146, 5.3977931 43.8726974)",Boulevard du Maréchal Joffre,,
42941320,False,,,residential,,False,19.359,"LINESTRING (5.4003247 43.8722231, 5.4005554 43.8721716)",Impasse de la Ronde,,
42941320,False,,,residential,,True,29.556,"LINESTRING (5.4003247 43.8722231, 5.399969 43.8722931)",Impasse de la Ronde,,
28197072,False,,,residential,,True,12.877,"LINESTRING (5.4028066 43.8741773, 5.4028585 43.8742869)",Rue du Mont Ventoux,,
316719727,False,,D 48,tertiary,,False,30.175,"LINESTRING (5.4028066 43.8741773, 5.4024379 43.8742321)",Route de Saignon,,
166450402,False,,,residential,,False,213.85100000000003,"LINESTRING (5.3934426 43.8715781, 5.3934455 43.8716821, 5.3934489 43.8718069, 5.3934794 43.8718948, 5.3935808 43.8719654, 5.3937069 43.8720801, 5.3938124 43.8722356, 5.3938575 43.8723426, 5.3939016 43.8725893, 5.393949 43.8726875, 5.3940209 43.8727721, 5.3940433 43.872844, 5.3940282 43.8730116, 5.394003 43.8733041, 5.3940156 43.8733878)",Chemin de Saint-Massian,,
1116322197,False,,,residential,,False,176.86700000000002,"LINESTRING (5.3934426 43.8715781, 5.3935079 43.8715482, 5.3936293 43.8714504, 5.3937104 43.8714428, 5.3937906 43.8714509, 5.3943998 43.8717944, 5.3952848 43.8721465)",Rue des Bassins,,
85540541,False,,R 44,residential,50,True,90.56899999999999,"LINESTRING (5.3952848 43.8721465, 5.3952782 43.8721118, 5.3952516 43.87206, 5.3949113 43.8717877, 5.3948097 43.8716748, 5.3947554 43.8715844, 5.3947458 43.8715395, 5.3947474 43.8714603)",,,
169282373,False,,,residential,,False,94.606,"LINESTRING (5.3952848 43.8721465, 5.3956169 43.8722645, 5.3958789 43.8723451, 5.3963326 43.8725357)",Rue des Bassins,,
1116322197,False,,,residential,,True,176.867,"LINESTRING (5.3952848 43.8721465, 5.3943998 43.8717944, 5.3937906 43.8714509, 5.3937104 43.8714428, 5.3936293 43.8714504, 5.3935079 43.8715482, 5.3934426 43.8715781)",Rue des Bassins,,
28103515,False,,,residential,,False,159.068,"LINESTRING (5.3998554 43.8734822, 5.3997843 43.8743156, 5.3997607 43.8747123, 5.3997486 43.8749106)",Boulevard Elzéar Pin,,
28103515,False,,,residential,,True,44.980999999999995,"LINESTRING (5.3998554 43.8734822, 5.3998671 43.8733635, 5.3998953 43.8730787)",Boulevard Elzéar Pin,,
653529464,False,,,residential,,False,107.37700000000001,"LINESTRING (5.3998554 43.8734822, 5.3999053 43.8734711, 5.399956 43.8734502, 5.3999838 43.8734332, 5.4000191 43.8734022, 5.4000455 43.8733638, 5.4001533 43.8732051, 5.4001642 43.8731905, 5.4001794 43.8731801, 5.4002026 43.8731726, 5.4002308 43.8731721, 5.4004012 43.873171, 5.4004335 43.8731682, 5.4004639 43.8731594, 5.4004868 43.8731475, 5.4005078 43.8731297, 5.4007655 43.8728741)",Rue de la Marguerite,,
5055800,True,1,D 900,primary,50,False,44.287,"LINESTRING (5.3941348 43.8769498, 5.3937875 43.8768001, 5.3937161 43.8767655, 5.3936648 43.8767406)",,,
"[687955240, 53835691]",False,2,D 900,primary,30,False,205.679,"LINESTRING (5.3941348 43.8769498, 5.3942095 43.8769868, 5.3942799 43.8770178, 5.3944221 43.8770816, 5.3946118 43.8771622, 5.3948536 43.8772378, 5.395086 43.8772882, 5.3952343 43.8773087, 5.3955042 43.8773363, 5.3957165 43.8773424, 5.3959384 43.8773435, 5.3961884 43.8773265, 5.3964921 43.877299, 5.3965743 43.8772871)",Quai de la Liberté,,
166680851,False,,,residential,,False,15.496,"LINESTRING (5.3938015 43.8775475, 5.3936927 43.8776627)",Place Faubourg du Ballet,,
169241093,False,,,residential,,False,25.792999999999996,"LINESTRING (5.3938015 43.8775475, 5.3939165 43.8776083, 5.3939349 43.8776332, 5.3939034 43.8777136, 5.3939035 43.877731)",Place Faubourg du Ballet,,
"[53835692, 169241093]",False,,,residential,,True,35.763999999999996,"LINESTRING (5.3938015 43.8775475, 5.393833 43.8774866, 5.3938817 43.8773559, 5.3938922 43.8773178, 5.3939015 43.8772798, 5.3938992 43.8772576, 5.393891 43.8772368)","['Place Faubourg du Ballet', 'Faubourg du Ballet']",,
169241089,False,,,residential,,False,76.278,"LINESTRING (5.3941329 43.8778123, 5.3942259 43.878495)",Chemin de l'Oratoire,,
169241093,False,,,residential,,True,23.801000000000002,"LINESTRING (5.3941329 43.8778123, 5.3939552 43.8777987, 5.393919 43.8777847, 5.3939036 43.8777537, 5.3939035 43.877731)",Place Faubourg du Ballet,,
169241096,False,,,residential,,False,138.80599999999998,"LINESTRING (5.3941329 43.8778123, 5.3945181 43.8778549, 5.3949712 43.8779249, 5.3950834 43.8779271, 5.3953371 43.8778759, 5.3955998 43.8778352, 5.3955902 43.8777544, 5.3955903 43.8776666)",Rue du Ballet,,
169241089,False,,,residential,,True,76.278,"LINESTRING (5.3942259 43.878495, 5.3941329 43.8778123)",Chemin de l'Oratoire,,
168678488,False,,,residential,,True,178.55100000000002,"LINESTRING (5.3942259 43.878495, 5.3942687 43.8788056, 5.3943655 43.8790515, 5.3944756 43.8792041, 5.3945297 43.8792499, 5.3945741 43.8792618, 5.3946176 43.8792635, 5.3946506 43.8792425, 5.3946997 43.8791152, 5.3947451 43.8790389, 5.3948309 43.8789652, 5.3950091 43.8789087, 5.395239 43.8788977, 5.3952899 43.8789062, 5.3953145 43.8789563)",Chemin de l'Oratoire,,
169241098,False,,,residential,,False,57.717999999999996,"LINESTRING (5.3942259 43.878495, 5.3936102 43.8785539, 5.3935482 43.8785426, 5.3935163 43.8785321)",,,
169241098,False,,,residential,,True,8.780999999999999,"LINESTRING (5.3934825 43.8784575, 5.3934972 43.8785039, 5.3935163 43.8785321)",,,
85540541,False,,R 44,residential,50,False,90.56899999999999,"LINESTRING (5.3947474 43.8714603, 5.3947458 43.8715395, 5.3947554 43.8715844, 5.3948097 43.8716748, 5.3949113 43.8717877, 5.3952516 43.87206, 5.3952782 43.8721118, 5.3952848 43.8721465)",,,
168655221,False,,,residential,,True,115.497,"LINESTRING (5.3972733 43.8731269, 5.3973107 43.873156, 5.3973482 43.8731671, 5.3973931 43.8731679, 5.3986398 43.8729013)",Boulevard Neuf,,
169282372,False,,D 114,tertiary,30,False,51.032,"LINESTRING (5.3972733 43.8731269, 5.3973026 43.873112, 5.3973423 43.8730859, 5.3973996 43.873044, 5.3976938 43.872784)",Route de Rocsalière,,
"[27944313, 169282372]",False,,D 114,tertiary,30,True,92.215,"LINESTRING (5.3972733 43.8731269, 5.3971765 43.8731624, 5.3971282 43.8731801, 5.397029 43.8732097, 5.3969775 43.8732328, 5.3969443 43.8732587, 5.3969163 43.8732978, 5.3969087 43.8733187, 5.3969055 43.8733526, 5.3969116 43.8733823, 5.3971638 43.8737225, 5.3971916 43.8737574)","['Route de Rocsalière', 'Avenue des Druides']",,
1182866557,False,4,D 900,primary,50,True,9.775,"LINESTRING (5.3923515 43.8769814, 5.3922354 43.8770083)",,,
"[83489612, 83489615, 5055799]",True,2,D 900,primary,50,False,73.362,"LINESTRING (5.3923515 43.8769814, 5.3925272 43.8769181, 5.3926448 43.8768636, 5.3929812 43.8766701, 5.3930576 43.8766259, 5.3930991 43.8766049)",Pont de la Bouquerie,yes,
167437787,False,,,residential,,False,216.25399999999996,"LINESTRING (5.3963326 43.8725357, 5.3961926 43.8725726, 5.3959406 43.8726369, 5.3956697 43.872693, 5.3954805 43.8727321, 5.3953291 43.8727623, 5.3948986 43.8728257, 5.3945453 43.8729361, 5.3944134 43.8730323, 5.3942023 43.8732212, 5.3940156 43.8733878)",Rue Fernand Sauve,,
