osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
1000060029,True,,Avenue Saint-Exupéry,tertiary,,False,20.004,"LINESTRING (2.4649623 49.2722055, 2.4649248 49.2721931, 2.4648801 49.2721822, 2.4648415 49.2721764, 2.4647965 49.2721754, 2.4647506 49.2721752, 2.4646952 49.2721761)",,
"[617658051, 1000060031]",False,,Avenue Saint-Exupéry,tertiary,,True,79.48999999999998,"LINESTRING (2.4649623 49.2722055, 2.4650904 49.2722649, 2.4652345 49.2723317, 2.4653972 49.2724071, 2.4656035 49.2725027, 2.465815 49.2726007, 2.4658555 49.2726195)",,
35560905,False,,Avenue Saint-Exupéry,tertiary,,False,71.848,"LINESTRING (2.4670604 49.273191, 2.4666447 49.2729919, 2.466259 49.2728114)",,
617658045,True,,Avenue Saint-Exupéry,tertiary,50,False,31.942,"LINESTRING (2.4670604 49.273191, 2.4671522 49.2732206, 2.4672054 49.2732378, 2.467242 49.27325, 2.4672789 49.2732636, 2.4673118 49.2732785, 2.4673603 49.2733039, 2.4674268 49.2733461)",,
35560908,False,,Allée Alfred de Musset,residential,,False,54.967,"LINESTRING (2.467436 49.2689633, 2.4681142 49.2691836)",,
35560907,False,,Allée Paul Verlaine,residential,,False,51.53,"LINESTRING (2.467436 49.2689633, 2.4674714 49.2689264, 2.4675813 49.2688135, 2.4676178 49.2687709, 2.4676524 49.2687295, 2.467684 49.2686853, 2.467771 49.2685558)",,
35560907,False,,Allée Paul Verlaine,residential,,True,97.764,"LINESTRING (2.467436 49.2689633, 2.467373 49.2690278, 2.4673279 49.2690752, 2.467301 49.2691084, 2.4672768 49.2691468, 2.4669338 49.2697061, 2.4668983 49.2697673)",,
35560907,False,,Allée Paul Verlaine,residential,,True,94.303,"LINESTRING (2.4682677 49.2677721, 2.4682451 49.2678096, 2.467771 49.2685558)",,
619492054,False,,Rue Hoche,tertiary,50,True,61.509,"LINESTRING (2.4682677 49.2677721, 2.468961 49.2679682, 2.4690455 49.2679921)",,
35560904,False,,Allée Charles Baudelaire,residential,,False,156.13799999999998,"LINESTRING (2.4687742 49.27044, 2.4687327 49.2704226, 2.4687018 49.2704097, 2.4678241 49.2700325, 2.4677241 49.2699927, 2.4676511 49.2699669, 2.4675585 49.2699345, 2.4674836 49.2699107, 2.4672876 49.2698531, 2.4672005 49.2698295, 2.4671227 49.2698111, 2.4670328 49.2697919, 2.4669498 49.2697744, 2.4668983 49.2697673)",,
