osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,lanes
86923325,Rond-Point des Remparts,unclassified,30,roundabout,True,False,2.556,"LINESTRING (4.7515173 46.1067978, 4.7515087 46.10682)",,
378279265,Contre-Allée Rue des Remparts,residential,,,True,False,86.234,"LINESTRING (4.7515173 46.1067978, 4.7516873 46.1067985, 4.7524809 46.1070632, 4.7525421 46.1070836)",,
923779249,Rue de la République,secondary,30,,False,True,24.115,"LINESTRING (4.7512544 46.108534, 4.7509527 46.1085913)",D 37,
923779249,Rue de la République,secondary,30,,False,False,51.803,"LINESTRING (4.7512544 46.108534, 4.7518479 46.1084216, 4.7519026 46.1084112)",D 37,
87083306,Rue Paulin Bussières,residential,30,,False,True,51.547,"LINESTRING (4.7461578 46.1094997, 4.7461694 46.1095459, 4.7462593 46.1099025, 4.7462996 46.1099495)",,
850513415,Rue des Écoles,residential,30,,True,False,88.25899999999999,"LINESTRING (4.7461578 46.1094997, 4.7461552 46.1094342, 4.7461431 46.1091256, 4.746174 46.1088728, 4.7462041 46.1087973, 4.7462377 46.108713)",,
923779249,Rue de la République,secondary,30,,False,False,47.688,"LINESTRING (4.7461578 46.1094997, 4.7465276 46.1094306, 4.7467545 46.1093866)",D 37,
923779249,Rue de la République,secondary,30,,False,True,27.348000000000003,"LINESTRING (4.7461578 46.1094997, 4.7459743 46.1095328, 4.7458944 46.1095473, 4.7458145 46.1095617)",D 37,
87083305,Rue des Remparts,residential,30,,False,False,73.029,"LINESTRING (4.7519026 46.1084112, 4.7518415 46.1077558)",,
923779249,Rue de la République,secondary,30,,False,True,51.803,"LINESTRING (4.7519026 46.1084112, 4.7518479 46.1084216, 4.7512544 46.108534)",D 37,
923779250,Rue de la République,secondary,50,,False,False,126.006,"LINESTRING (4.7519026 46.1084112, 4.7523084 46.1083267, 4.752555 46.1082614, 4.7527783 46.1081902, 4.7532156 46.108021, 4.7533892 46.1079518)",D 37,
86923335,Rond-Point du Parc Popy,residential,,roundabout,True,False,13.778,"LINESTRING (4.7442755 46.1068594, 4.7443253 46.1068641, 4.7443699 46.1068804, 4.7443985 46.1069008, 4.7444146 46.1069239)",,
"[923779240, 103514279]",Rue Balloffet-Dury,residential,30,,False,False,119.03999999999999,"LINESTRING (4.7442755 46.1068594, 4.7442719 46.1067649, 4.7442622 46.1065065, 4.7443251 46.1057903)",,
735255557,Rue Victor Hugo,tertiary,20,,False,True,42.461,"LINESTRING (4.7486374 46.1061175, 4.7488025 46.1064818)",D 109,
"[665397522, 735255558]",Rue Victor Hugo,tertiary,"['20', '30']",,False,False,146.73000000000002,"LINESTRING (4.7486374 46.1061175, 4.7486109 46.1060585, 4.7485091 46.1058319, 4.7484333 46.1056631, 4.7483623 46.105551, 4.7479939 46.1049697, 4.7479631 46.1048861)",D 109,2
848039696,Boulevard Joseph Rosselli,living_street,20,,False,False,34.153999999999996,"LINESTRING (4.7486374 46.1061175, 4.7487681 46.1060943, 4.7490666 46.1060414)",,
848046954,Boulevard Joseph Rosselli,living_street,,,False,True,137.395,"LINESTRING (4.7486374 46.1061175, 4.7484696 46.1061505, 4.7474691 46.1063459, 4.7469221 46.1064528)",,
253696433,Rue de la Brasserie,residential,30,,False,True,63.132000000000005,"LINESTRING (4.7489178 46.1089768, 4.7489422 46.1090403, 4.749041 46.109297, 4.7491288 46.1095254)",,
923779249,Rue de la République,secondary,30,,False,False,65.05499999999999,"LINESTRING (4.7489178 46.1089768, 4.7495157 46.1088646, 4.7497318 46.1088225)",D 37,
923779249,Rue de la République,secondary,30,,False,True,65.172,"LINESTRING (4.7489178 46.1089768, 4.7488713 46.1089856, 4.7487078 46.1090166, 4.748271 46.1090993, 4.7482131 46.1091103, 4.7481023 46.1091313)",D 37,
86923309,Rue Balloffet-Dury,residential,,,False,True,304.324,"LINESTRING (4.7458145 46.1095617, 4.745808 46.1094968, 4.7457629 46.1093845, 4.7456639 46.1091628, 4.7456282 46.1090938, 4.7454061 46.1085869, 4.7453457 46.1084325, 4.7452075 46.1080796, 4.7451506 46.107975, 4.745065 46.1078712, 4.7448615 46.1076272, 4.7445528 46.1072545, 4.7444928 46.107181, 4.7444388 46.1071287, 4.7444082 46.1070898, 4.7443679 46.1070386)",,
357240196,Rue de Balmont,residential,30,,False,True,53.175,"LINESTRING (4.7458145 46.1095617, 4.7458137 46.1096098, 4.7458125 46.1096154, 4.7457251 46.1100355)",,
923779249,Rue de la République,secondary,30,,False,False,27.348,"LINESTRING (4.7458145 46.1095617, 4.7458944 46.1095473, 4.7459743 46.1095328, 4.7461578 46.1094997)",D 37,
86923300,Rue Victor Hugo,tertiary,30,,False,False,76.768,"LINESTRING (4.7494897 46.1082339, 4.7493496 46.1078884, 4.7493048 46.107778, 4.7492201 46.1075693)",D 109,
86923300,Rue Victor Hugo,tertiary,30,,False,True,68.059,"LINESTRING (4.7494897 46.1082339, 4.7496913 46.1087193, 4.7497318 46.1088225)",D 109,
848050869,Rue Pasteur,residential,30,,True,False,63.057,"LINESTRING (4.7494897 46.1082339, 4.7487739 46.1083678, 4.7486996 46.1083806)",,
86923294,Rue du Presbytère,residential,30,,False,True,13.225,"LINESTRING (4.7503102 46.1079407, 4.7503591 46.1080547)",,
86923330,Espace Francis Mandy,residential,30,,True,False,62.814,"LINESTRING (4.7503102 46.1079407, 4.7510895 46.1077758)",,
86923294,Rue du Presbytère,residential,30,,False,False,61.729,"LINESTRING (4.7503102 46.1079407, 4.75023 46.1077268, 4.7501786 46.1075981, 4.7501013 46.1074048)",,
86923294,Rue du Presbytère,residential,30,,False,False,20.678,"LINESTRING (4.7500531 46.1072586, 4.7499841 46.1070789)",,
86923294,Rue du Presbytère,residential,30,,False,True,16.676,"LINESTRING (4.7500531 46.1072586, 4.7501013 46.1074048)",,
86923315,Place de l'Église,residential,30,,True,False,93.221,"LINESTRING (4.7500531 46.1072586, 4.7508698 46.1071412, 4.7512449 46.1071375)",,
86923297,,secondary,,roundabout,True,False,17.884999999999998,"LINESTRING (4.7534296 46.1077468, 4.7535014 46.1077094, 4.7535872 46.1076912, 4.7536396 46.1076931)",,
86923312,Avenue de Salzkotten,unclassified,,,False,False,28.863,"LINESTRING (4.7534296 46.1077468, 4.753348 46.107701, 4.7531387 46.1075834)",,
86923305,Avenue Benoît Raclet,unclassified,50,,False,False,41.160000000000004,"LINESTRING (4.7514509 46.1067287, 4.7515116 46.1064635, 4.7515087 46.1064386, 4.7514996 46.1063622)",,
86923325,Rond-Point des Remparts,unclassified,30,roundabout,True,False,9.884,"LINESTRING (4.7514509 46.1067287, 4.7514918 46.1067466, 4.75151 46.1067659, 4.7515173 46.1067978)",,
86923286,Rue du Docteur Duplant,residential,30,,True,False,33.895,"LINESTRING (4.751418 46.1068583, 4.7513766 46.1069024, 4.7512449 46.1071375)",,
86923325,Rond-Point des Remparts,unclassified,30,roundabout,True,False,13.171999999999999,"LINESTRING (4.751418 46.1068583, 4.7513855 46.1068534, 4.7513625 46.1068441, 4.7513404 46.1068268, 4.7513282 46.1068054, 4.7513295 46.1067746)",,
923779249,Rue de la République,secondary,30,,False,False,53.962,"LINESTRING (4.7474275 46.1092603, 4.7478747 46.1091756, 4.7481023 46.1091313)",D 37,
923779249,Rue de la République,secondary,30,,False,True,53.748,"LINESTRING (4.7474275 46.1092603, 4.7470658 46.1093276, 4.7470355 46.1093333, 4.7467545 46.1093866)",D 37,
86923304,Rue des Remparts,unclassified,30,,False,False,120.538,"LINESTRING (4.7513295 46.1067746, 4.749927 46.1065439, 4.7498067 46.1065294)",,
86923325,Rond-Point des Remparts,unclassified,30,roundabout,True,False,11.853,"LINESTRING (4.7513295 46.1067746, 4.7513437 46.1067537, 4.7513673 46.1067375, 4.7513836 46.1067311, 4.751416 46.1067257, 4.7514509 46.1067287)",,
389662371,Rue Granger,residential,30,,True,False,39.526,"LINESTRING (4.7481023 46.1091313, 4.7479615 46.1087895)",,
923779249,Rue de la République,secondary,30,,False,False,65.172,"LINESTRING (4.7481023 46.1091313, 4.7482131 46.1091103, 4.748271 46.1090993, 4.7487078 46.1090166, 4.7488713 46.1089856, 4.7489178 46.1089768)",D 37,
923779249,Rue de la République,secondary,30,,False,True,53.962,"LINESTRING (4.7481023 46.1091313, 4.7478747 46.1091756, 4.7474275 46.1092603)",D 37,
848050869,Rue Pasteur,residential,30,,True,False,60.514,"LINESTRING (4.750243 46.1080809, 4.7494897 46.1082339)",,
923779256,Rue Pasteur,residential,30,,False,True,9.413,"LINESTRING (4.750243 46.1080809, 4.7503591 46.1080547)",,
923779257,Rue du Docteur Duplant,residential,30,,True,False,71.538,"LINESTRING (4.7510608 46.1079048, 4.7512544 46.108534)",,
848050870,Rue Pasteur,residential,30,,False,True,62.425,"LINESTRING (4.7510608 46.1079048, 4.751599 46.1078021, 4.7518415 46.1077558)",,
923779258,Rue Pasteur,residential,30,,True,False,56.62,"LINESTRING (4.7510608 46.1079048, 4.7506784 46.1079925, 4.7503591 46.1080547)",,
86923300,Rue Victor Hugo,tertiary,30,,False,False,68.059,"LINESTRING (4.7497318 46.1088225, 4.7496913 46.1087193, 4.7494897 46.1082339)",D 109,
87083317,Rue de la Poste,tertiary,30,,True,False,64.42399999999999,"LINESTRING (4.7497318 46.1088225, 4.7497638 46.1089009, 4.7499598 46.1093799)",D 109,
923779249,Rue de la République,secondary,30,,False,False,58.449,"LINESTRING (4.7497318 46.1088225, 4.7499224 46.1087866, 4.7504632 46.108684)",D 37,
923779249,Rue de la République,secondary,30,,False,True,65.05499999999999,"LINESTRING (4.7497318 46.1088225, 4.7495157 46.1088646, 4.7489178 46.1089768)",D 37,
87083308,Rue du Tonkin,residential,30,,False,True,167.454,"LINESTRING (4.7520107 46.1093397, 4.7513931 46.1107835)",,
362550256,Rue du Canon Braque,residential,30,,False,False,74.522,"LINESTRING (4.7520107 46.1093397, 4.7519597 46.1092839, 4.751882 46.1092551, 4.7517103 46.1092412, 4.7513925 46.1092458, 4.7511017 46.1092681)",,
362550256,Rue du Canon Braque,residential,30,,False,True,36.705,"LINESTRING (4.7520107 46.1093397, 4.7522239 46.1094634, 4.7524068 46.1095162)",,
87083311,Rue des Écoles,residential,30,,False,False,95.913,"LINESTRING (4.7464884 46.1080834, 4.7465859 46.107853, 4.7466946 46.1076475, 4.7468095 46.107474, 4.7469726 46.1072939)",,
87083311,Rue des Écoles,residential,30,,False,True,20.087,"LINESTRING (4.7464884 46.1080834, 4.7464333 46.1082354, 4.7464249 46.1082586)",,
923779252,Rue du Beaujolais,residential,30,,True,False,13.709,"LINESTRING (4.7464884 46.1080834, 4.7465504 46.108082, 4.7466616 46.1080596)",,
86923320,Rue Pasteur,residential,30,,True,False,119.414,"LINESTRING (4.7486996 46.1083806, 4.7486115 46.1083982, 4.7484095 46.108436, 4.7482195 46.1084715, 4.7478523 46.1085402, 4.7472045 46.1086614)",,
87083319,Rue de la Dombes,residential,30,,False,False,85.153,"LINESTRING (4.7486996 46.1083806, 4.7485526 46.1079865, 4.7485044 46.1078573, 4.748423 46.1076392)",,
87083317,Rue de la Poste,tertiary,30,,True,False,104.64800000000001,"LINESTRING (4.7499598 46.1093799, 4.7499914 46.1094619, 4.7502445 46.1101408, 4.7503032 46.1102904)",D 109,
87083320,Rue du Moulin,residential,30,,True,False,66.075,"LINESTRING (4.7499598 46.1093799, 4.7498986 46.1093893, 4.7491288 46.1095254)",,
87083312,Rue Bayard,residential,30,,False,False,66.387,"LINESTRING (4.7505483 46.1108994, 4.7513931 46.1107835)",,
87083317,Rue de la Poste,tertiary,30,,True,False,73.223,"LINESTRING (4.7505483 46.1108994, 4.7502065 46.1115138)",D 109,
86923300,Rue Victor Hugo,tertiary,30,,False,True,19.761,"LINESTRING (4.7491073 46.107291, 4.7491766 46.1074621)",D 109,
"[923779248, 86923300]",Rue Victor Hugo,tertiary,"['20', '30']",,False,False,92.996,"LINESTRING (4.7491073 46.107291, 4.7488584 46.1066303, 4.7488413 46.1065848, 4.7488025 46.1064818)",D 109,
87083301,Rue de la Tannerie,residential,30,,False,False,58.204,"LINESTRING (4.751202 46.1102771, 4.7513931 46.1107835)",,
87083301,Rue de la Tannerie,residential,30,,False,True,17.417,"LINESTRING (4.751202 46.1102771, 4.7511463 46.1101253)",,
87083309,Rue Saint-André,residential,30,,False,True,67.35900000000001,"LINESTRING (4.751202 46.1102771, 4.7507963 46.1103836, 4.750376 46.1104738)",,
923779254,Rue Pasteur,residential,30,,True,False,29.953,"LINESTRING (4.7465978 46.1087749, 4.7463552 46.108773, 4.7463273 46.1087587, 4.7462377 46.108713)",,
87083297,Rue Martinière,residential,30,,False,True,200.949,"LINESTRING (4.7493379 46.1113483, 4.7493258 46.1112875, 4.7492996 46.1112243, 4.7491323 46.1109687, 4.7489574 46.1107015, 4.7488856 46.1105902, 4.7488418 46.1105208, 4.7486817 46.11026, 4.7483287 46.1096851)",,
87083306,Rue Paulin Bussières,residential,30,,False,False,199.133,"LINESTRING (4.7493379 46.1113483, 4.7491816 46.1113193, 4.7481333 46.1111319, 4.7476906 46.111018, 4.7475255 46.110933, 4.7470284 46.110631)",,
87083306,Rue Paulin Bussières,residential,30,,False,True,69.44,"LINESTRING (4.7493379 46.1113483, 4.7501277 46.1114987, 4.7502065 46.1115138)",,
87083313,Place Alexis Bichonnier,residential,30,,True,False,58.937,"LINESTRING (4.7464249 46.1082586, 4.7465978 46.1087749)",,
87083311,Rue des Écoles,residential,30,,False,False,20.087,"LINESTRING (4.7464249 46.1082586, 4.7464333 46.1082354, 4.7464884 46.1080834)",,
87083301,Rue de la Tannerie,residential,30,,False,False,92.302,"LINESTRING (4.7508451 46.1093219, 4.7511463 46.1101253)",,
362550256,Rue du Canon Braque,residential,30,,False,True,20.666,"LINESTRING (4.7508451 46.1093219, 4.7511017 46.1092681)",,
923779269,Rue du Canon Braque,residential,30,,True,False,68.586,"LINESTRING (4.7508451 46.1093219, 4.7503404 46.1093458, 4.7500352 46.1093749, 4.7499598 46.1093799)",,
923779251,Rue des Écoles,residential,30,,True,False,52.548,"LINESTRING (4.7462377 46.108713, 4.7464249 46.1082586)",,
86923300,Rue Victor Hugo,tertiary,30,,False,False,19.761,"LINESTRING (4.7491766 46.1074621, 4.7491073 46.107291)",D 109,
86923300,Rue Victor Hugo,tertiary,30,,False,True,12.383,"LINESTRING (4.7491766 46.1074621, 4.7492201 46.1075693)",D 109,
87083315,Rue du Beaujolais,residential,30,,False,True,61.344,"LINESTRING (4.7491766 46.1074621, 4.748423 46.1076392)",,
87083305,Rue des Remparts,residential,30,,False,True,83.93299999999999,"LINESTRING (4.7521913 46.1070495, 4.752148 46.1071146, 4.7518838 46.107512, 4.7518415 46.1077558)",,
378272995,Rue des Remparts,unclassified,30,,False,False,58.484,"LINESTRING (4.7521913 46.1070495, 4.7520456 46.1070005, 4.7516321 46.1068615, 4.7515087 46.10682)",,
923779259,Avenue de Salzkotten,unclassified,30,,False,True,23.409,"LINESTRING (4.7521913 46.1070495, 4.7522991 46.1070911, 4.7523398 46.1071068, 4.7524417 46.1071668)",,
86923294,Rue du Presbytère,residential,30,,False,True,20.678,"LINESTRING (4.7499841 46.1070789, 4.7500531 46.1072586)",,
87083314,Rue François Bourdy,residential,30,,True,False,71.591,"LINESTRING (4.7499841 46.1070789, 4.7491073 46.107291)",,
86923294,Rue du Presbytère,residential,30,,False,False,62.817,"LINESTRING (4.7499841 46.1070789, 4.7498086 46.1066063, 4.7498067 46.1065294)",,
87083303,Rue Colombier,residential,30,,False,False,67.536,"LINESTRING (4.7503032 46.1102904, 4.7511463 46.1101253)",,
87083317,Rue de la Poste,tertiary,30,,True,False,21.152,"LINESTRING (4.7503032 46.1102904, 4.7503308 46.1103599, 4.750376 46.1104738)",D 109,
87083300,Rue de l'Abreuvoir,residential,30,,True,False,76.128,"LINESTRING (4.7509527 46.1085913, 4.7511017 46.1092681)",,
923779249,Rue de la République,secondary,30,,False,False,24.115,"LINESTRING (4.7509527 46.1085913, 4.7512544 46.108534)",D 37,
923779249,Rue de la République,secondary,30,,False,True,39.123,"LINESTRING (4.7509527 46.1085913, 4.7508881 46.1086017, 4.7504632 46.108684)",D 37,
87083299,Impasse de l'Hôpital,residential,30,,False,True,47.777,"LINESTRING (4.7469891 46.1099664, 4.7468217 46.1095527)",,
923779266,Rue du Moulin,residential,30,,True,False,45.846000000000004,"LINESTRING (4.7469891 46.1099664, 4.7469727 46.1100026, 4.7468257 46.1100675, 4.7466976 46.1101241, 4.7465126 46.1101984)",,
87083317,Rue de la Poste,tertiary,30,,True,False,49.153,"LINESTRING (4.750376 46.1104738, 4.7505483 46.1108994)",D 109,
87083309,Rue Saint-André,residential,30,,False,False,67.35900000000001,"LINESTRING (4.750376 46.1104738, 4.7507963 46.1103836, 4.751202 46.1102771)",,
87083301,Rue de la Tannerie,residential,30,,False,False,17.417,"LINESTRING (4.7511463 46.1101253, 4.751202 46.1102771)",,
87083301,Rue de la Tannerie,residential,30,,False,True,92.302,"LINESTRING (4.7511463 46.1101253, 4.7508451 46.1093219)",,
87083303,Rue Colombier,residential,30,,False,True,67.536,"LINESTRING (4.7511463 46.1101253, 4.7503032 46.1102904)",,
87083305,Rue des Remparts,residential,30,,False,True,73.029,"LINESTRING (4.7518415 46.1077558, 4.7519026 46.1084112)",,
87083305,Rue des Remparts,residential,30,,False,False,83.93299999999999,"LINESTRING (4.7518415 46.1077558, 4.7518838 46.107512, 4.752148 46.1071146, 4.7521913 46.1070495)",,
848050870,Rue Pasteur,residential,30,,False,False,62.425,"LINESTRING (4.7518415 46.1077558, 4.751599 46.1078021, 4.7510608 46.1079048)",,
735255557,Rue Victor Hugo,tertiary,20,,False,False,42.461,"LINESTRING (4.7488025 46.1064818, 4.7486374 46.1061175)",D 109,
"[86923304, 923779245]",Rue des Remparts,"['living_street', 'unclassified']","['20', '30']",,False,True,78.442,"LINESTRING (4.7488025 46.1064818, 4.7489335 46.1064599, 4.7490187 46.1064546, 4.7495758 46.1065246, 4.7498067 46.1065294)",,
923779246,Rue des Écoles,living_street,20,,False,True,67.154,"LINESTRING (4.7488025 46.1064818, 4.7486376 46.1065201, 4.7479758 46.1066721)",,
"[923779248, 86923300]",Rue Victor Hugo,tertiary,"['20', '30']",,False,True,92.996,"LINESTRING (4.7488025 46.1064818, 4.7488413 46.1065848, 4.7488584 46.1066303, 4.7491073 46.107291)",D 109,
87083301,Rue de la Tannerie,residential,30,,False,True,58.204,"LINESTRING (4.7513931 46.1107835, 4.751202 46.1102771)",,
87083308,Rue du Tonkin,residential,30,,False,False,167.454,"LINESTRING (4.7513931 46.1107835, 4.7520107 46.1093397)",,
87083312,Rue Bayard,residential,30,,False,True,66.387,"LINESTRING (4.7513931 46.1107835, 4.7505483 46.1108994)",,
87083301,Rue de la Tannerie,residential,30,,False,False,144.067,"LINESTRING (4.7513931 46.1107835, 4.7512336 46.1112152, 4.7511358 46.1113526, 4.7509308 46.11147, 4.7505023 46.1115414, 4.7502065 46.1115138)",,
362550256,Rue du Canon Braque,residential,30,,False,False,20.666,"LINESTRING (4.7511017 46.1092681, 4.7508451 46.1093219)",,
362550256,Rue du Canon Braque,residential,30,,False,True,74.52199999999999,"LINESTRING (4.7511017 46.1092681, 4.7513925 46.1092458, 4.7517103 46.1092412, 4.751882 46.1092551, 4.7519597 46.1092839, 4.7520107 46.1093397)",,
923779246,Rue des Écoles,living_street,20,,False,False,67.154,"LINESTRING (4.7479758 46.1066721, 4.7486376 46.1065201, 4.7488025 46.1064818)",,
"[923779246, 87083311]",Rue des Écoles,"['living_street', 'residential']","['20', '30']",,False,True,70.592,"LINESTRING (4.7479758 46.1066721, 4.7477393 46.1067409, 4.7475317 46.106838, 4.7473882 46.1069346, 4.7472384 46.1070354)",,
"[87083319, 923779247]",Rue de la Dombes,"['living_street', 'residential']","['20', '30']",,False,True,112.928,"LINESTRING (4.7479758 46.1066721, 4.7480373 46.1068052, 4.7482591 46.1072848, 4.748423 46.1076392)",,
87083315,Rue du Beaujolais,residential,30,,False,False,61.344,"LINESTRING (4.748423 46.1076392, 4.7491766 46.1074621)",,
