osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,lanes
338048397,Allée Jeanne Bernard,residential,,False,False,119.39000000000001,"LINESTRING (-0.2784458 47.1879776, -0.2784441 47.1880232, -0.2784408 47.1881291, -0.2784346 47.1881688, -0.2784321 47.1882009, -0.2783985 47.188282, -0.2782916 47.1884248, -0.2782779 47.1884687, -0.2782953 47.1885025, -0.2783426 47.188538, -0.2787578 47.1886926, -0.2788709 47.1887517, -0.2788746 47.18881)",,,
160997422,Rue du Commandant Louis Priou,residential,,False,False,190.176,"LINESTRING (-0.272889 47.1880494, -0.2724293 47.18805, -0.2723515 47.1880549, -0.272288 47.1880712, -0.2713562 47.1884137, -0.2712785 47.1884474, -0.2712384 47.1884736, -0.2712094 47.1885024, -0.2711816 47.1885365, -0.2709635 47.1888692, -0.2709415 47.1889065)",,,
160997422,Rue du Commandant Louis Priou,residential,,False,True,64.136,"LINESTRING (-0.272889 47.1880494, -0.2735949 47.1880533, -0.2736989 47.1881198)",,,
160997493,Impasse Noël Roquevert,residential,,False,False,72.196,"LINESTRING (-0.272889 47.1880494, -0.2725875 47.1885189, -0.2724288 47.1886034)",,,
160997412,Rue Jambe de Pie,residential,,False,False,147.759,"LINESTRING (-0.2736989 47.1881198, -0.2736689 47.1881441, -0.2736191 47.1881889, -0.2735764 47.1882402, -0.2734537 47.1884216, -0.2733059 47.1886948, -0.2732905 47.1887232, -0.2732089 47.1889268, -0.2731487 47.1890698, -0.2730109 47.1893143, -0.2729912 47.1893514)",,,
160997422,Rue du Commandant Louis Priou,residential,,False,False,64.136,"LINESTRING (-0.2736989 47.1881198, -0.2735949 47.1880533, -0.272889 47.1880494)",,,
161044972,Rue de la Motte,residential,,False,False,145.13,"LINESTRING (-0.2796317 47.1884432, -0.2796921 47.1884436, -0.2797931 47.1884612, -0.2798668 47.1884845, -0.2799104 47.1885062, -0.2799674 47.1885557, -0.2800579 47.1886662, -0.2801358 47.1887363, -0.2802196 47.1887972, -0.280388 47.1888911, -0.2810548 47.1892732)",,,
229781132,Rue d'Argenton,tertiary,,False,False,103.358,"LINESTRING (-0.2796317 47.1884432, -0.279631 47.1884874, -0.2796288 47.1885193, -0.279618 47.1885512, -0.2794638 47.1888541, -0.279425 47.1889264, -0.2793759 47.1890032, -0.2793239 47.1890686, -0.279256 47.1891438, -0.2792123 47.1891838, -0.2791649 47.1892182, -0.2790761 47.1892706)",,,
229781132,Rue d'Argenton,tertiary,,False,True,50.009,"LINESTRING (-0.2796317 47.1884432, -0.2796234 47.1884006, -0.2796134 47.1883548, -0.2795273 47.1880767, -0.279506 47.1880018)",,,
160997493,Impasse Noël Roquevert,residential,,False,True,72.196,"LINESTRING (-0.2724288 47.1886034, -0.2725875 47.1885189, -0.272889 47.1880494)",,,
160997422,Rue du Commandant Louis Priou,residential,,False,True,190.176,"LINESTRING (-0.2709415 47.1889065, -0.2709635 47.1888692, -0.2711816 47.1885365, -0.2712094 47.1885024, -0.2712384 47.1884736, -0.2712785 47.1884474, -0.2713562 47.1884137, -0.272288 47.1880712, -0.2723515 47.1880549, -0.2724293 47.18805, -0.272889 47.1880494)",,,
648070631,Rue de la Croix de Fer,residential,,False,False,162.92100000000002,"LINESTRING (-0.2709415 47.1889065, -0.2721798 47.1892112, -0.2725849 47.1893005, -0.2729912 47.1893514)",,,
648070631,Rue de la Croix de Fer,residential,,False,True,40.09,"LINESTRING (-0.2709415 47.1889065, -0.2705196 47.1888248, -0.2704297 47.1888375)",,,
160997412,Rue Jambe de Pie,residential,,False,True,147.759,"LINESTRING (-0.2729912 47.1893514, -0.2730109 47.1893143, -0.2731487 47.1890698, -0.2732089 47.1889268, -0.2732905 47.1887232, -0.2733059 47.1886948, -0.2734537 47.1884216, -0.2735764 47.1882402, -0.2736191 47.1881889, -0.2736689 47.1881441, -0.2736989 47.1881198)",,,
648070631,Rue de la Croix de Fer,residential,,False,False,294.54900000000004,"LINESTRING (-0.2729912 47.1893514, -0.2733873 47.1894222, -0.2743229 47.1896396, -0.2744812 47.1896942, -0.2751356 47.189944, -0.2753878 47.1900078, -0.2758893 47.1900661, -0.2765883 47.1901565, -0.2766695 47.1901645)",,,
648070631,Rue de la Croix de Fer,residential,,False,True,162.921,"LINESTRING (-0.2729912 47.1893514, -0.2725849 47.1893005, -0.2721798 47.1892112, -0.2709415 47.1889065)",,,
160997414,Rue de l'Ouest,residential,,False,True,200.495,"LINESTRING (-0.2770271 47.190359, -0.2770234 47.1903998, -0.2770126 47.1907409, -0.2769966 47.1910139, -0.2769828 47.1912354, -0.2769645 47.1914747, -0.2769516 47.1915566, -0.2769348 47.1916136, -0.276899 47.1916509, -0.2767976 47.1917245, -0.2765643 47.1918773, -0.2765186 47.1919034, -0.2764823 47.191919, -0.2764514 47.1919278, -0.2764259 47.191932, -0.2763658 47.1919341, -0.276323 47.1919314)",,,
338072496,Place Amand Courjaret,tertiary,30,False,False,30.076,"LINESTRING (-0.2770271 47.190359, -0.2766977 47.1903263, -0.2766332 47.1903202)",,,
"[338072496, 229781132]","['Place Amand Courjaret', ""Rue d'Argenton""]",tertiary,30,False,True,199.10999999999999,"LINESTRING (-0.2770271 47.190359, -0.2770366 47.1903297, -0.2770575 47.190268, -0.2771284 47.1902358, -0.2777593 47.1899488, -0.2780377 47.1898196, -0.2780873 47.1897966, -0.2782405 47.1897194, -0.2783871 47.1896442, -0.2787071 47.1894774, -0.279056 47.1892825, -0.2790761 47.1892706)",,,
338072499,Rue Croix de Mission,residential,30,False,False,92.12,"LINESTRING (-0.2770271 47.190359, -0.27728 47.1903913, -0.2778156 47.1904591, -0.2782262 47.1905084)",,,
160997409,Impasse du Bosquet,residential,,False,False,174.816,"LINESTRING (-0.2782262 47.1905084, -0.2782164 47.1905451, -0.2781662 47.1907047, -0.2779416 47.1907035, -0.2779048 47.1908268, -0.2778662 47.1910448, -0.2780661 47.1911296, -0.2780903 47.191144, -0.2780984 47.1911668, -0.2780939 47.1911933, -0.278064 47.191245, -0.2780413 47.1913029, -0.278045 47.1913399, -0.2781029 47.1916388, -0.2780965 47.1916609, -0.2780648 47.1916711, -0.2778591 47.1916903)",,,
338072499,Rue Croix de Mission,residential,30,False,False,150.552,"LINESTRING (-0.2782262 47.1905084, -0.2785996 47.1905527, -0.2788133 47.190592, -0.2789901 47.1906283, -0.2793472 47.1907324, -0.2794856 47.1907677, -0.279821 47.1908532, -0.2801028 47.1909452)",,,
338072499,Rue Croix de Mission,residential,30,False,True,92.12,"LINESTRING (-0.2782262 47.1905084, -0.2778156 47.1904591, -0.27728 47.1903913, -0.2770271 47.190359)",,,
338072499,Rue Croix de Mission,residential,30,False,True,12.88,"LINESTRING (-0.2813449 47.1914057, -0.2812134 47.191332)",,,
202191209,Rue de l'Union,residential,,False,False,178.779,"LINESTRING (-0.2813449 47.1914057, -0.281326 47.1914422, -0.2812956 47.1914917, -0.2812373 47.1915689, -0.2811698 47.1916418, -0.280972 47.1917804, -0.2807204 47.1919451, -0.2799612 47.1924287, -0.2798201 47.19251, -0.2797757 47.1925277, -0.2797128 47.1925392)",,,
160997409,Impasse du Bosquet,residential,,False,True,174.81600000000003,"LINESTRING (-0.2778591 47.1916903, -0.2780648 47.1916711, -0.2780965 47.1916609, -0.2781029 47.1916388, -0.278045 47.1913399, -0.2780413 47.1913029, -0.278064 47.191245, -0.2780939 47.1911933, -0.2780984 47.1911668, -0.2780903 47.191144, -0.2780661 47.1911296, -0.2778662 47.1910448, -0.2779048 47.1908268, -0.2779416 47.1907035, -0.2781662 47.1907047, -0.2782164 47.1905451, -0.2782262 47.1905084)",,,
101384743,Avenue du Général Leclerc,tertiary,,False,False,49.534,"LINESTRING (-0.276323 47.1919314, -0.2762941 47.1919954, -0.2762708 47.1920291, -0.2762439 47.1920581, -0.2761744 47.1921171, -0.2761045 47.1921748, -0.2760519 47.1922051, -0.2759843 47.1922513, -0.2759268 47.192273)",,,
101384743,Avenue du Général Leclerc,tertiary,,False,True,157.668,"LINESTRING (-0.276323 47.1919314, -0.2763535 47.1917775, -0.2764448 47.1913013, -0.2765826 47.1905245)",,,
160997414,Rue de l'Ouest,residential,,False,False,200.49499999999998,"LINESTRING (-0.276323 47.1919314, -0.2763658 47.1919341, -0.2764259 47.191932, -0.2764514 47.1919278, -0.2764823 47.191919, -0.2765186 47.1919034, -0.2765643 47.1918773, -0.2767976 47.1917245, -0.276899 47.1916509, -0.2769348 47.1916136, -0.2769516 47.1915566, -0.2769645 47.1914747, -0.2769828 47.1912354, -0.2769966 47.1910139, -0.2770126 47.1907409, -0.2770234 47.1903998, -0.2770271 47.190359)",,,
39634237,Rue des Halles,residential,,False,False,39.775,"LINESTRING (-0.2746994 47.1927627, -0.2747338 47.1928774, -0.2748501 47.1931047)",,,
39634237,Rue des Halles,residential,,False,True,107.88,"LINESTRING (-0.2746994 47.1927627, -0.274678 47.1925729, -0.274677 47.1925344, -0.2746845 47.1925055, -0.2748264 47.1922663, -0.2749397 47.1920558, -0.2750136 47.1918879, -0.2750496 47.191839)",,,
626679635,Rue du Champ de Foire,residential,,True,False,73.27,"LINESTRING (-0.2746994 47.1927627, -0.2753485 47.1927171, -0.2755094 47.1927171, -0.2756301 47.1927845)",,,
160997411,Place de la Justice de Paix,residential,,False,False,1.198,"LINESTRING (-0.2756222 47.1932334, -0.2756203 47.1932441)",,,
"[1229976481, 338069220]","['Place de la Justice de Paix', 'Petite Rue du Champ de Foire']",residential,,True,False,50.337,"LINESTRING (-0.2756222 47.1932334, -0.2756201 47.1931822, -0.2755928 47.1928832, -0.2756301 47.1927845)",,,
160997460,Rue du Boeuf Couronné,residential,,True,False,55.879,"LINESTRING (-0.2763264 47.1932452, -0.276071 47.1932877, -0.2756959 47.1933349, -0.275602 47.1933452)",,,
"[350052355, 559739975]","['Rue Foullon', 'Place du Champ de Foire']",secondary,30,False,False,56.622,"LINESTRING (-0.2763264 47.1932452, -0.2762551 47.1930548, -0.2761881 47.1929056, -0.2761267 47.1927545)",,6,
"[350052354, 350052355]",Rue Foullon,secondary,30,False,True,51.01,"LINESTRING (-0.2763264 47.1932452, -0.2763797 47.1933854, -0.276462 47.1935829, -0.2765049 47.1936876)",,,
"[406764597, 338065039]",Rue de Taunay,residential,,False,True,81.15899999999999,"LINESTRING (-0.2763264 47.1932452, -0.2764445 47.1932212, -0.2764655 47.1932185, -0.2766853 47.1931902, -0.2767417 47.1931814, -0.2768382 47.1931541, -0.2770012 47.1930895, -0.2773184 47.1929817)",,,
"[338072497, 160997411]","['Place de la Justice de Paix', 'Place Jean Bégault']",residential,,False,False,44.105000000000004,"LINESTRING (-0.275602 47.1933452, -0.2755955 47.1933807, -0.2755871 47.1936449, -0.2755818 47.1936843, -0.2755711 47.1937117, -0.2755542 47.193738)",,,
160997411,Place de la Justice de Paix,residential,,False,True,11.327,"LINESTRING (-0.275602 47.1933452, -0.2756155 47.1932707, -0.2756203 47.1932441)",,,
"[350052353, 160997485]",Place Jean Bégault,residential,,True,False,72.764,"LINESTRING (-0.2765049 47.1936876, -0.2764233 47.1937008, -0.2763176 47.1937204, -0.2761569 47.1937417, -0.2760383 47.1937512, -0.2758 47.1937563, -0.2756653 47.1937527, -0.2756225 47.193747, -0.2755542 47.193738)",,,
"[350052354, 350052355]",Rue Foullon,secondary,30,False,False,51.010000000000005,"LINESTRING (-0.2765049 47.1936876, -0.276462 47.1935829, -0.2763797 47.1933854, -0.2763264 47.1932452)",,,
"[350052354, 39634235]",Rue Foullon,secondary,30,False,True,63.982,"LINESTRING (-0.2765049 47.1936876, -0.2765502 47.1937956, -0.2766068 47.1939307, -0.2766829 47.194106, -0.2767389 47.1942406)",,,
338072497,Place Jean Bégault,residential,,False,False,17.107,"LINESTRING (-0.2755542 47.193738, -0.2755269 47.1937511, -0.275475 47.1937594, -0.2753357 47.1937526)",,,
"[338072497, 160997411]","['Place de la Justice de Paix', 'Place Jean Bégault']",residential,,False,True,44.105000000000004,"LINESTRING (-0.2755542 47.193738, -0.2755711 47.1937117, -0.2755818 47.1936843, -0.2755871 47.1936449, -0.2755955 47.1933807, -0.275602 47.1933452)",,,
161044962,Place de Verdun,residential,,False,True,34.22,"LINESTRING (-0.2743539 47.1937557, -0.2739158 47.1936777)",,,
"[338065030, 406764598, 406764599]","[""Rue de l'Image"", 'Place de Verdun']",residential,,True,False,75.348,"LINESTRING (-0.2743539 47.1937557, -0.2745087 47.1938096, -0.274908 47.1939129, -0.2750665 47.1939295, -0.2752299 47.1939335, -0.275302 47.193935)",,,
338065041,Place Jean Bégault,residential,,False,True,20.441,"LINESTRING (-0.2753357 47.1937526, -0.275302 47.193935)",,,
406764786,Place Jean Bégault,residential,,True,False,19.458,"LINESTRING (-0.2753357 47.1937526, -0.275081 47.1937268)",,,
338072497,Place Jean Bégault,residential,,False,True,17.107,"LINESTRING (-0.2753357 47.1937526, -0.275475 47.1937594, -0.2755269 47.1937511, -0.2755542 47.193738)",,,
202191164,Rue de Cholet,secondary,50,False,True,50.435,"LINESTRING (-0.2784046 47.1939525, -0.2785474 47.1939329, -0.2785919 47.1939268, -0.2790589 47.1938628)",,,
"[202191202, 338072500]","[""Rue d'Alger"", 'Place de la Paix']",residential,,False,True,66.92000000000002,"LINESTRING (-0.2784046 47.1939525, -0.2783805 47.1939315, -0.2783754 47.193914, -0.278343 47.1938052, -0.2784985 47.1937266, -0.2785258 47.1937116, -0.2788311 47.1935441, -0.2788586 47.1935288)",,,
292039152,Rue de Cholet,secondary,50,True,False,123.594,"LINESTRING (-0.2784046 47.1939525, -0.2782494 47.1939746, -0.2780364 47.1940049, -0.2779202 47.1940252, -0.2778191 47.1940439, -0.2777675 47.1940534, -0.2776427 47.1940838, -0.2769413 47.1942624, -0.2768492 47.1942884)",,,1
160997420,Rue Haute Saint-Denis,residential,,True,False,32.745000000000005,"LINESTRING (-0.2784567 47.194243, -0.2784491 47.1941953, -0.2784357 47.19403, -0.2784293 47.1939952, -0.2784046 47.1939525)",,,
160997402,Rue du Petit Mail,residential,,True,False,99.27499999999999,"LINESTRING (-0.2773964 47.1947195, -0.2774471 47.1946393, -0.2774617 47.1946224, -0.277481 47.1946071, -0.2775145 47.1945887, -0.27768 47.1945089, -0.2779954 47.1943543, -0.2780461 47.1943327, -0.2781458 47.1943041, -0.2783642 47.1942565, -0.2784567 47.194243)",,,
160997419,Rue Saint-Denis,residential,,True,False,93.33900000000001,"LINESTRING (-0.2773964 47.1947195, -0.2777715 47.1947121, -0.2781187 47.1946982, -0.2782093 47.1947026, -0.2782502 47.1947129, -0.2782988 47.1947341, -0.2784066 47.1947898, -0.2784578 47.194811, -0.2785101 47.1948264, -0.2785765 47.1948353)",,,
160997420,Rue Haute Saint-Denis,residential,,True,False,66.515,"LINESTRING (-0.2785765 47.1948353, -0.2785642 47.1947554, -0.2785261 47.1945968, -0.27846 47.194293, -0.2784567 47.194243)",,,
292039368,Rue Haute Saint-Denis,residential,,False,False,15.937,"LINESTRING (-0.2785765 47.1948353, -0.2785871 47.1949041, -0.2786015 47.1949776)",,,
561294930,Rue des Fontaines,secondary,30,False,True,64.01400000000001,"LINESTRING (-0.2762125 47.1952333, -0.2763999 47.1952942, -0.2764445 47.1953208, -0.2764603 47.1953558, -0.276264 47.1956876)",,,
561294932,Rue Napoléon,residential,30,False,False,28.814,"LINESTRING (-0.2762125 47.1952333, -0.2761396 47.1952063, -0.2759276 47.1951542, -0.2758593 47.1951369)",,,
"[561294931, 1263218149]",Rue des Fontaines,secondary,"['30', '50']",False,False,60.07000000000001,"LINESTRING (-0.2762125 47.1952333, -0.2762575 47.1951616, -0.2762746 47.1951342, -0.276407 47.1949216, -0.2764861 47.1947991, -0.2765022 47.1947675, -0.276521 47.1947355)",,,
160997438,Rue de Cunault,residential,,False,True,138.97799999999998,"LINESTRING (-0.2709318 47.1953478, -0.2709009 47.1953132, -0.2708674 47.1952284, -0.2708486 47.1951542, -0.2708251 47.1950241, -0.2708167 47.19495, -0.2708167 47.19485, -0.2708243 47.194751, -0.2708388 47.1945428, -0.2708403 47.1943682, -0.2708434 47.1943136, -0.2709032 47.1941136)",,,
161044963,Petite Rue des Caves,residential,,False,True,133.081,"LINESTRING (-0.2709318 47.1953478, -0.2710116 47.195335, -0.271086 47.1953232, -0.271192 47.1953118, -0.2714142 47.1952891, -0.2714731 47.195288, -0.271513 47.1952872, -0.2717005 47.1952977, -0.2719687 47.1953161, -0.2723908 47.1953531, -0.2725793 47.1953654, -0.2726785 47.195361)",,,
338056548,Rue de Cunault,residential,,False,False,83.744,"LINESTRING (-0.2709318 47.1953478, -0.2709837 47.1954432, -0.2710652 47.1955764, -0.271172 47.195723, -0.2712261 47.1957908, -0.2712703 47.1958629, -0.2713836 47.1960348)",,,
561294930,Rue des Fontaines,secondary,30,False,False,64.01400000000001,"LINESTRING (-0.276264 47.1956876, -0.2764603 47.1953558, -0.2764445 47.1953208, -0.2763999 47.1952942, -0.2762125 47.1952333)",,,
"[1147029282, 160997421]",Avenue Antoine de Saint-Exupéry,residential,30,False,True,170.445,"LINESTRING (-0.276264 47.1956876, -0.2763555 47.1957175, -0.2770952 47.1958917, -0.2776305 47.1960881, -0.2782859 47.1963537)",,,
292039368,Rue Haute Saint-Denis,residential,,False,False,2.32,"LINESTRING (-0.2787406 47.1958689, -0.2787279 47.1958879)",,,
160997442,,residential,,False,False,60.531,"LINESTRING (-0.2787406 47.1958689, -0.2785887 47.1958589, -0.2779427 47.1958977)",,,
292039368,Rue Haute Saint-Denis,residential,,False,True,99.777,"LINESTRING (-0.2787406 47.1958689, -0.2787449 47.1958485, -0.2787373 47.1957496, -0.2787338 47.1957199, -0.2787183 47.1955888, -0.278716 47.1955698, -0.2787038 47.1955025, -0.2786812 47.1953855, -0.278617 47.1950568, -0.2786015 47.1949776)",,,
