osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
491058819,primary,True,False,77.411,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4842251 26.1264522, -14.4843022 26.1263625, -14.4843686 26.1262722, -14.4844269 26.1261765, -14.4844651 26.1260862, -14.4845188 26.1259489, -14.4845516 26.1258586, -14.4845614 26.1258315)",
198933825,residential,False,False,35.295,,,,,"LINESTRING (-14.4794646 26.1268591, -14.4793234 26.1271501)",
198933825,residential,False,True,4.474,,,,,"LINESTRING (-14.4794646 26.1268591, -14.4794861 26.1268238)",
581492792,residential,False,True,90.368,,,,,"LINESTRING (-14.4794646 26.1268591, -14.4798876 26.1275776)",
764103158,residential,False,False,63.45,,,,,"LINESTRING (-14.4794646 26.1268591, -14.4788794 26.1266365)",
198933808,residential,False,True,26.526,,,,,"LINESTRING (-14.4851303 26.1268387, -14.484895 26.1267279)",
198933808,residential,False,False,78.859,,,,,"LINESTRING (-14.4851303 26.1268387, -14.4854361 26.126988, -14.4858465 26.1271349)",
581126774,residential,False,True,121.84700000000001,,,,,"LINESTRING (-14.4851303 26.1268387, -14.4849808 26.1272018, -14.48497 26.1272355, -14.484966 26.1272692, -14.4849667 26.1273059, -14.4849761 26.1273577, -14.4849814 26.1274173, -14.4849734 26.1274697, -14.4849613 26.1275172, -14.4848017 26.127879)",
198933798,residential,False,True,98.673,,,,,"LINESTRING (-14.480602 26.1269196, -14.4810133 26.1261127)",
598738687,residential,False,True,34.539,,,,,"LINESTRING (-14.480602 26.1269196, -14.4807581 26.1271968)",
764103156,residential,False,False,44.86,,,,,"LINESTRING (-14.480602 26.1269196, -14.4810113 26.1270861)",
764103163,residential,True,False,37.877,,,,,"LINESTRING (-14.480602 26.1269196, -14.4804083 26.1272125)",
764103157,residential,False,True,33.876,,,,,"LINESTRING (-14.480602 26.1269196, -14.4804874 26.1268773, -14.4802954 26.1267896)",
764103156,residential,False,False,97.667,,,,,"LINESTRING (-14.4810113 26.1270861, -14.4819024 26.1274486)",
764103156,residential,False,True,44.86,,,,,"LINESTRING (-14.4810113 26.1270861, -14.480602 26.1269196)",
404554793,residential,False,True,65.197,,,,,"LINESTRING (-14.4810113 26.1270861, -14.4810393 26.1271297, -14.4813376 26.127594)",
581802551,residential,False,False,73.702,,,,,"LINESTRING (-14.4858465 26.1271349, -14.485652 26.1277743)",
198933808,residential,False,True,78.859,,,,,"LINESTRING (-14.4858465 26.1271349, -14.4854361 26.126988, -14.4851303 26.1268387)",
"[348787832, 581802551]",residential,False,True,72.163,,,,,"LINESTRING (-14.4858465 26.1271349, -14.4860069 26.1265865, -14.486043 26.1265112)",
198933815,residential,False,True,13.686,,,Calle Omar Almujtar,,"LINESTRING (-14.4831408 26.1271109, -14.4832227 26.1272096)",
491058815,primary,True,False,90.011,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4831408 26.1271109, -14.4824306 26.1276096)",
198933815,residential,False,False,70.721,,,Calle Omar Almujtar,,"LINESTRING (-14.4831408 26.1271109, -14.48303 26.1269709, -14.4827304 26.1265925)",
198933806,residential,True,False,28.116,,,,,"LINESTRING (-14.4807581 26.1271968, -14.4810113 26.1270861)",
598738687,residential,False,False,34.539,,,,,"LINESTRING (-14.4807581 26.1271968, -14.480602 26.1269196)",
