osmid,oneway,lanes,highway,reversed,length,geometry,maxspeed,bridge
166445181,False,2,residential,True,9.261,"LINESTRING (23.6795069 40.4458123, 23.6796142 40.4458287)",,
166445181,False,2,residential,False,93.794,"LINESTRING (23.6795069 40.4458123, 23.6793997 40.4458287, 23.6792074 40.4459199, 23.6788021 40.4461029, 23.6785377 40.4462127)",,
166445182,False,2,residential,False,240.90800000000002,"LINESTRING (23.6795069 40.4458123, 23.6795338 40.4459368, 23.6794909 40.4460512, 23.6794211 40.4461553, 23.6793675 40.4462614, 23.6791636 40.4462532, 23.6790456 40.44649, 23.6788739 40.4467105, 23.6787452 40.4468738, 23.6786807 40.4470573, 23.6785358 40.4474022, 23.6784205 40.4476717)",,
166445187,False,2,residential,False,114.97,"LINESTRING (23.68119 40.4440926, 23.6811592 40.4447835, 23.6810261 40.4449044, 23.681049 40.4450885)",,
166454297,False,2,secondary,True,26.501,"LINESTRING (23.6792843 40.4431383, 23.6791319 40.4429301)",50,
166445202,False,2,residential,True,282.933,"LINESTRING (23.6792843 40.4431383, 23.6794562 40.442998, 23.6796135 40.4428969, 23.6797327 40.4427665, 23.679842 40.4426608, 23.6799745 40.442558, 23.6801283 40.4424771, 23.6803691 40.4423836, 23.6805667 40.4423091, 23.680716 40.4422222, 23.6810737 40.4418951, 23.6812508 40.4417726, 23.6813392 40.4417685, 23.6815699 40.441789, 23.6818274 40.4418053, 23.6818864 40.4418298)",,
166454297,False,2,secondary,False,106.70899999999999,"LINESTRING (23.6792843 40.4431383, 23.6794242 40.4433145, 23.6796548 40.4435557, 23.679791 40.4436786, 23.6798868 40.4437857, 23.6799762 40.4439362)",50,
426789039,False,2,residential,False,31.895,"LINESTRING (23.6792843 40.4431383, 23.6791676 40.4432107, 23.6790681 40.4432649, 23.6789835 40.4433109)",,
166445183,False,,residential,False,105.81300000000002,"LINESTRING (23.6820614 40.4430713, 23.6821677 40.4431097, 23.6822964 40.4431015, 23.6823903 40.443077, 23.6824681 40.443075, 23.6825969 40.4430852, 23.6827149 40.4431587, 23.6828222 40.443224, 23.6829187 40.4432893, 23.6829831 40.4433628, 23.6831171 40.4434319)",,
166445196,False,,residential,False,116.53899999999999,"LINESTRING (23.6820614 40.4430713, 23.6819677 40.4432019, 23.681912 40.4432223, 23.6818518 40.4432235, 23.6816706 40.4432242, 23.6813789 40.4432988, 23.6810234 40.4434332, 23.68085 40.4434407)",,
166445196,False,,residential,True,73.749,"LINESTRING (23.6820614 40.4430713, 23.6821113 40.4429893, 23.6821382 40.4428219, 23.6821439 40.4424177)",,
166445190,False,2,residential,False,66.17099999999999,"LINESTRING (23.6753861 40.4453078, 23.6753452 40.4453646, 23.6753316 40.445443, 23.6753418 40.445551, 23.6754009 40.4457439, 23.675473 40.445878)",,
318228769,False,2,tertiary,False,84.684,"LINESTRING (23.6753861 40.4453078, 23.6755139 40.4453263, 23.6756267 40.4453304, 23.6757427 40.4453078, 23.6760216 40.4452057, 23.6762143 40.4451401, 23.6763311 40.4451313)",,
318228769,False,2,tertiary,True,96.004,"LINESTRING (23.6753861 40.4453078, 23.6753393 40.4452559, 23.6753148 40.4451887, 23.6753201 40.4450898, 23.6753638 40.4449748, 23.6754064 40.4448549, 23.675433 40.4447124, 23.6754245 40.4445925, 23.6753702 40.4444758)",,
426789065,False,2,residential,False,2.881,"LINESTRING (23.6796202 40.4445741, 23.6796535 40.4445687)",,
166445184,False,2,residential,False,56.597,"LINESTRING (23.6796202 40.4445741, 23.6794985 40.4448527, 23.67941 40.4450573)",,
426789065,False,2,residential,True,73.575,"LINESTRING (23.6796202 40.4445741, 23.6794099 40.4445915, 23.6792931 40.4446278, 23.6791629 40.4447445, 23.6791028 40.4448721, 23.6790477 40.4449803)",,
166445189,False,,residential,False,213.15900000000002,"LINESTRING (23.6833322 40.4415585, 23.6833774 40.4418768, 23.6834095 40.4422238, 23.6833479 40.4424463, 23.6832835 40.4425891, 23.6832728 40.4426953, 23.6833023 40.4428628, 23.6833023 40.443024, 23.6832594 40.4431853, 23.6831171 40.4434319)",,
166445189,False,,residential,True,98.504,"LINESTRING (23.6833322 40.4415585, 23.6832905 40.4413845, 23.6832369 40.4412113, 23.6832121 40.4411031, 23.6832148 40.4409941, 23.6832597 40.4409312, 23.6833248 40.4408544, 23.6834909 40.4407751)",,
166445205,False,2,tertiary,False,62.692,"LINESTRING (23.6833322 40.4415585, 23.6834996 40.4415003, 23.6837341 40.441478, 23.6839132 40.4414656, 23.6840532 40.4414557)",50,
166445205,False,2,tertiary,True,141.053,"LINESTRING (23.6833322 40.4415585, 23.6830904 40.4416522, 23.6828758 40.4417502, 23.6826022 40.4419686, 23.6823715 40.4421666, 23.6822562 40.442287, 23.6821439 40.4424177)",50,
92152955,False,2,residential,True,247.668,"LINESTRING (23.6840532 40.4414557, 23.6840574 40.4415965, 23.6840623 40.4418464, 23.684067 40.4420455, 23.6840509 40.4422353, 23.6839731 40.4424333, 23.6839007 40.4426517, 23.6838792 40.4428457, 23.6838765 40.4429396, 23.6839355 40.4430682, 23.6839973 40.443209, 23.6839973 40.443503, 23.6839764 40.4436502)",,
"[166445170, 166445205]",False,2,tertiary,False,79.161,"LINESTRING (23.6840532 40.4414557, 23.6841184 40.4413788, 23.6841402 40.4413543, 23.6842304 40.4412529, 23.6842811 40.4411342, 23.684311 40.4410641, 23.6843371 40.441003, 23.6844079 40.4408046)",50,
166445205,False,2,tertiary,True,62.69199999999999,"LINESTRING (23.6840532 40.4414557, 23.6839132 40.4414656, 23.6837341 40.441478, 23.6834996 40.4415003, 23.6833322 40.4415585)",50,
166454297,False,2,secondary,False,26.501,"LINESTRING (23.6791319 40.4429301, 23.6792843 40.4431383)",50,
166454297,False,2,secondary,True,17.755,"LINESTRING (23.6791319 40.4429301, 23.6790693 40.4427777)",50,
426789082,False,2,tertiary,True,44.166,"LINESTRING (23.6791319 40.4429301, 23.6789835 40.4433109)",,
