osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,access
232352039,False,Imielińska,secondary,True,15.536,"LINESTRING (19.1901745 50.1437222, 19.1900022 50.1438078)",2,934,50,
47328985,False,Wojciecha Sapety,residential,False,171.289,"LINESTRING (19.1877848 50.1467764, 19.1880493 50.1467244, 19.1881387 50.1467132, 19.1881981 50.1467102, 19.1882818 50.1467101, 19.1883483 50.1467126, 19.1885083 50.1467186, 19.1887183 50.1467311, 19.1888035 50.1467367, 19.1890493 50.1467528, 19.1899215 50.1468315, 19.1901606 50.1468531)",,,,
403374118,False,,residential,False,78.225,"LINESTRING (19.1877848 50.1467764, 19.1878363 50.1472254, 19.187861 50.1473765, 19.1878775 50.1474773)",,,,
47636681,False,Piotra Skargi,residential,False,86.163,"LINESTRING (19.1831033 50.1439223, 19.1831001 50.1438089, 19.1828797 50.1431627)",,,40,
208754665,False,Świętego Brata Alberta,tertiary,False,89.819,"LINESTRING (19.1831033 50.1439223, 19.1831438 50.1439477, 19.183176 50.1439721, 19.1832011 50.1439935, 19.1832226 50.1440134, 19.1832512 50.1440418, 19.1833382 50.1441418, 19.1834093 50.1442433, 19.1834631 50.1443274, 19.1835797 50.1445169, 19.1836066 50.1445522, 19.1836328 50.1445793, 19.1836993 50.144626)",,,50,
208754665,False,Świętego Brata Alberta,tertiary,True,102.95600000000002,"LINESTRING (19.1831033 50.1439223, 19.1830258 50.1438789, 19.182959 50.1438445, 19.1828782 50.1438098, 19.182724 50.1437528, 19.1825483 50.1436972, 19.1822922 50.1436247, 19.182083 50.1435674, 19.1818258 50.1435007)",,,50,
47636689,True,Juliana Ursyna Niemcewicza,residential,False,314.991,"LINESTRING (19.1856856 50.1443174, 19.1860846 50.1442363, 19.1862532 50.1442059, 19.1871629 50.144042, 19.1887606 50.1438382, 19.1893006 50.1437962, 19.1898451 50.143779, 19.1899075 50.1437904, 19.1900022 50.1438078)",,,,
232352039,False,Imielińska,secondary,False,15.536,"LINESTRING (19.1900022 50.1438078, 19.1901745 50.1437222)",2,934,50,
232352039,False,Imielińska,secondary,True,199.95199999999997,"LINESTRING (19.1900022 50.1438078, 19.1887067 50.1444559, 19.1882296 50.1446945, 19.1881071 50.144752, 19.1880475 50.1447761, 19.1879927 50.1447963, 19.1879441 50.1448127, 19.1879004 50.1448263, 19.1878335 50.1448452, 19.1877446 50.1448669)",2,934,50,
208754674,False,Świętego Brata Alberta,tertiary,True,21.731,"LINESTRING (19.1849419 50.1449912, 19.1846951 50.1448764)",,,50,
48008057,True,Juliana Ursyna Niemcewicza,residential,False,93.71799999999999,"LINESTRING (19.1849419 50.1449912, 19.1849897 50.1449358, 19.1851721 50.1447243, 19.1851935 50.1446994, 19.1852177 50.1446791, 19.1852416 50.1446625, 19.1852729 50.144645, 19.1853282 50.1446187, 19.1854916 50.1445424, 19.1855294 50.1445237, 19.1855467 50.1445127, 19.1855537 50.1445062, 19.1855632 50.1444922, 19.1856856 50.1443174)",,,,
208754674,False,Świętego Brata Alberta,tertiary,False,84.90599999999999,"LINESTRING (19.1849419 50.1449912, 19.1851479 50.1450851, 19.1852257 50.145116, 19.1853184 50.1451469, 19.1854233 50.1451751, 19.1854787 50.1451873, 19.1855353 50.1451979, 19.1857391 50.1452347, 19.1858838 50.1452598, 19.1860284 50.1452848)",,,50,
