osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
42338569,2,Zamkowa,residential,50,True,False,43.778000000000006,"LINESTRING (17.7850803 51.8955448, 17.784997 51.8955472, 17.784827 51.8955522, 17.7844434 51.8955677)",,
141115961,2,Plac Tadeusza Kościuszki,residential,50,True,False,25.257,"LINESTRING (17.7844434 51.8955677, 17.7843617 51.8955711, 17.7841881 51.8955739, 17.7840756 51.8955721)",,
1039916000,1,,residential,,True,False,24.605999999999998,"LINESTRING (17.7844434 51.8955677, 17.7843851 51.8955453, 17.7843523 51.8955023, 17.7843546 51.8954867, 17.7843611 51.895442, 17.7843752 51.8953717)",,
279586453,1,Plac Tadeusza Kościuszki,living_street,50,False,False,60.553999999999995,"LINESTRING (17.7834148 51.895932, 17.7833066 51.8959286, 17.7825414 51.896001)",,
279586456,2,Łąkowa,residential,50,True,False,64.60300000000001,"LINESTRING (17.7834148 51.895932, 17.7835128 51.896416, 17.7835232 51.8964673, 17.7835315 51.8965085)",,
286003807,2,Szkolna,living_street,20,False,True,47.52,"LINESTRING (17.7900416 51.8961312, 17.7907315 51.8960939)",,
141115965,2,Szkolna,living_street,20,False,True,87.70599999999999,"LINESTRING (17.7900416 51.8961312, 17.7900148 51.896034, 17.7898442 51.8954159, 17.7898372 51.8953905, 17.7898283 51.8953535)",,
277482999,2,Szkolna,living_street,20,False,False,68.21,"LINESTRING (17.7900416 51.8961312, 17.7899218 51.8961382, 17.7895791 51.8961584, 17.7891683 51.8961825, 17.7891057 51.8961862, 17.789052 51.8961893)",,
141134263,2,Plac Kościelny,residential,50,True,False,55.714999999999996,"LINESTRING (17.7872155 51.8962506, 17.7873505 51.8962465, 17.7880265 51.8962262)",,
172461231,2,Rynek,residential,50,False,False,16.321,"LINESTRING (17.7872155 51.8962506, 17.78703 51.8962099, 17.7869914 51.8962014)",,
42338560,2,Poznańska,residential,50,False,True,119.741,"LINESTRING (17.7835315 51.8965085, 17.7852596 51.8963587)",,
42338560,2,Poznańska,residential,50,False,False,39.661,"LINESTRING (17.7835315 51.8965085, 17.7830818 51.8965457, 17.7829586 51.8965558)",,
141116001,2,Kazimierza Sopałowicza,residential,50,False,True,19.884999999999998,"LINESTRING (17.7836135 51.8973448, 17.7833996 51.8973835, 17.7833347 51.8973935)",,
