osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge
25244632,,Emilii Plater,tertiary,False,True,140.982,,"LINESTRING (14.9749531 51.7877247, 14.9749426 51.7877391, 14.9749341 51.7877545, 14.9749245 51.7877741, 14.97492 51.7877943, 14.9749169 51.7878153, 14.97492 51.7878586, 14.9749256 51.7878966, 14.9749316 51.7879498, 14.9749376 51.7880036, 14.9749402 51.7881115, 14.974937 51.7881674, 14.974931 51.788221, 14.9749183 51.7883285, 14.9749028 51.7884375, 14.9748837 51.7885472, 14.974863 51.7886558, 14.9748407 51.7887655, 14.9747969 51.7889839)",,
25298861,,Bohaterów,tertiary,False,False,16.134,,"LINESTRING (14.9749531 51.7877247, 14.9749759 51.7876988, 14.9750102 51.7876584, 14.9750303 51.7876254, 14.9750482 51.7875925)",,
583293754,,Emilii Plater,residential,False,True,151.051,,"LINESTRING (14.9749531 51.7877247, 14.9750308 51.7877327, 14.9750742 51.7877404, 14.9751108 51.7877524, 14.9751307 51.7877584, 14.9751459 51.7877675, 14.975158 51.7877801, 14.9751636 51.787793, 14.9751562 51.7879719, 14.9751311 51.7881536, 14.9750775 51.7885725, 14.9750092 51.7889902)",,
25254775,,Plac Wolności,tertiary,False,False,38.813,,"LINESTRING (14.9726216 51.7880361, 14.9723117 51.7883278)",,
1177915313,,Plac Wolności,tertiary,True,False,40.942,,"LINESTRING (14.9726216 51.7880361, 14.9726835 51.7884023)",,
65141514,,Adama Mickiewicza,residential,True,False,65.41400000000002,,"LINESTRING (14.9708972 51.7893601, 14.970547 51.7893361, 14.9702038 51.7893129, 14.9700733 51.7892932, 14.9699721 51.7892543)",,
14571617,,Mikołaja Kopernika,tertiary,True,False,90.76999999999998,,"LINESTRING (14.9713216 51.7881612, 14.9711831 51.7881349, 14.9706299 51.7880246, 14.9704849 51.7879927, 14.970342 51.7879522, 14.9702633 51.7879204, 14.9702177 51.7878931, 14.9701853 51.7878556, 14.9701706 51.787822)",,
25299272,,Zamkowa,residential,True,False,106.188,,"LINESTRING (14.9699721 51.7892543, 14.9699606 51.7891982, 14.9699332 51.7891378, 14.9698804 51.7890772, 14.9698254 51.7890266, 14.9696692 51.7888799, 14.9695185 51.7887315, 14.9695084 51.7886873, 14.9695148 51.788624, 14.9695531 51.788524, 14.9696098 51.7883842)",,
75481160,,Zamkowa,residential,False,True,74.94,,"LINESTRING (14.9699721 51.7892543, 14.9698645 51.7892793, 14.969796 51.7893056, 14.9697503 51.7893343, 14.9697178 51.7893607, 14.9695027 51.7895355, 14.9692714 51.7897524)",,
25254612,,Aleja Wojska Polskiego,residential,False,True,147.384,,"LINESTRING (14.9765141 51.7845866, 14.9764246 51.7845754, 14.976372 51.7845676, 14.9763119 51.7845645, 14.9762235 51.7845658, 14.9761203 51.7845708, 14.9757803 51.7846074, 14.9757298 51.7846119, 14.975526 51.7846302, 14.975335 51.7846447, 14.9750776 51.7846672, 14.9748425 51.784691, 14.9746714 51.7846994, 14.9744989 51.7847074, 14.9743931 51.7847196)",,
108437676,,Bohaterów,tertiary,False,True,32.356,,"LINESTRING (14.9765141 51.7845866, 14.9764781 51.7846743, 14.9764007 51.784869)",2,
25254667,,Tadeusza Kościuszki,residential,True,False,82.51500000000001,,"LINESTRING (14.972555 51.7877686, 14.9726461 51.7877516, 14.9727011 51.787747, 14.9728604 51.7877449, 14.9730141 51.7877465, 14.9735804 51.7877828, 14.9737462 51.787793)",,
1177915313,,Plac Wolności,tertiary,True,False,30.915999999999997,,"LINESTRING (14.972555 51.7877686, 14.9725882 51.7877872, 14.9725979 51.7878098, 14.9726087 51.7878583, 14.9726172 51.7879616, 14.9726216 51.7880361)",,
25254775,,Plac Wolności,tertiary,False,True,38.813,,"LINESTRING (14.9723117 51.7883278, 14.9726216 51.7880361)",,
25241478,,Plac Wolności,tertiary,False,True,26.993,,"LINESTRING (14.9723117 51.7883278, 14.9725369 51.788366, 14.972641 51.7883862, 14.9726835 51.7884023)",,
265412985,,Plac Wolności,tertiary,True,False,70.586,,"LINESTRING (14.9723117 51.7883278, 14.9720249 51.7882842, 14.9713697 51.7881705, 14.9713216 51.7881612)",,
25245872,,Henryka Sienkiewicza,residential,True,False,72.59100000000001,,"LINESTRING (14.9710582 51.7887161, 14.9710222 51.788805, 14.9709957 51.7888818, 14.9709478 51.7890372, 14.9709196 51.7891935, 14.9708972 51.7893601)",,
25261845,,Henryka Sienkiewicza,residential,True,False,64.31,,"LINESTRING (14.9710582 51.7887161, 14.9711674 51.7884758, 14.9713216 51.7881612)",,
181423848,,Zygmunta Krasińskiego,residential,False,False,109.551,,"LINESTRING (14.9710582 51.7887161, 14.971098 51.788742, 14.9714089 51.7887897, 14.9715304 51.7888221, 14.9716617 51.7888574, 14.9718115 51.7889035, 14.9718811 51.7889263, 14.9719332 51.7889478, 14.9719709 51.7889742, 14.9719811 51.7890033, 14.9719921 51.7890352, 14.9720078 51.7891138, 14.9720252 51.7892188, 14.9720408 51.789326)",,
25264920,287,Wrocławska,secondary,False,False,27.019,50,"LINESTRING (14.9717784 51.7843389, 14.9719498 51.7843001, 14.9720477 51.7842723, 14.9721143 51.7842496, 14.9721359 51.7842401)",,
25341357,,Aleja Niepodległości,tertiary,True,False,100.30799999999999,,"LINESTRING (14.9717784 51.7843389, 14.971855 51.7845315, 14.9718994 51.7846336, 14.9720223 51.784875, 14.9720453 51.7849201, 14.9721948 51.785203)",,
1177911380,287,Wrocławska,secondary,False,True,66.376,40,"LINESTRING (14.9717784 51.7843389, 14.9716965 51.7843513, 14.9716017 51.784363, 14.9713165 51.7843993, 14.9710281 51.7844319, 14.9709043 51.7844478, 14.970833 51.7844579)",,
25244581,,Sportowa,residential,False,True,142.362,,"LINESTRING (14.9740708 51.7837897, 14.973643 51.7838781, 14.973179 51.7839745, 14.9728421 51.7840451, 14.9721359 51.7842401)",,
25294986,,Boczna,residential,True,False,105.913,,"LINESTRING (14.9740708 51.7837897, 14.974133 51.7839022, 14.9741808 51.7840159, 14.974241 51.7842421, 14.9743293 51.7845066, 14.9743631 51.7846419, 14.9743931 51.7847196)",,
25254612,,Aleja Wojska Polskiego,residential,False,False,147.38400000000001,,"LINESTRING (14.9743931 51.7847196, 14.9744989 51.7847074, 14.9746714 51.7846994, 14.9748425 51.784691, 14.9750776 51.7846672, 14.975335 51.7846447, 14.975526 51.7846302, 14.9757298 51.7846119, 14.9757803 51.7846074, 14.9761203 51.7845708, 14.9762235 51.7845658, 14.9763119 51.7845645, 14.976372 51.7845676, 14.9764246 51.7845754, 14.9765141 51.7845866)",,
25254612,,Aleja Wojska Polskiego,residential,False,True,161.546,,"LINESTRING (14.9743931 51.7847196, 14.9743232 51.784733, 14.9742578 51.7847517, 14.9741284 51.7847949, 14.9740201 51.7848341, 14.9739142 51.7848718, 14.9738345 51.7849009, 14.9737931 51.7849149, 14.9737527 51.7849274, 14.9737153 51.7849392, 14.9736689 51.7849506, 14.9734919 51.7849778, 14.9731283 51.7850282, 14.9728725 51.785069, 14.9726622 51.7851026, 14.9724187 51.7851469, 14.9721948 51.785203)",,
"[630790057, 65259643, 25244588]",,"['Fryderyka Chopina', 'Plac Wolności']",tertiary,True,False,119.391,,"LINESTRING (14.9721497 51.7870157, 14.9721027 51.787097, 14.9720415 51.7872211, 14.9720137 51.7873161, 14.971992 51.7874088, 14.971962 51.7876275, 14.9719639 51.7876536, 14.9719711 51.7876962, 14.9719848 51.7877134, 14.972004 51.7877231, 14.972028 51.7877291, 14.972132 51.7877382, 14.9724532 51.7877603, 14.9725386 51.7877664, 14.972555 51.7877686)",,
515282349,,Emilii Plater,tertiary,True,False,214.007,30,"LINESTRING (14.9721497 51.7870157, 14.9723495 51.7870557, 14.9728951 51.7871551, 14.974215 51.7873751, 14.9744016 51.7874111, 14.9745028 51.7874517, 14.9746369 51.7875463, 14.9747218 51.7876332, 14.9747488 51.7876608, 14.9748226 51.7876906, 14.9749531 51.7877247)",,
515282350,,Emilii Plater,tertiary,False,False,175.38400000000001,,"LINESTRING (14.9721497 51.7870157, 14.9716912 51.7869079, 14.9714989 51.7868627, 14.9714003 51.7868414, 14.9713079 51.786826, 14.9712262 51.786816, 14.9711442 51.786812, 14.9710307 51.7868072, 14.970918 51.7868093, 14.9708618 51.7868119, 14.9707635 51.7868279, 14.9706884 51.786844, 14.9706172 51.7868646, 14.9704541 51.7869164, 14.970411 51.7869316, 14.9702856 51.7869863, 14.9699748 51.7871243, 14.9699112 51.7871522, 14.969831 51.7871874)",,
522301049,,Marii Konopnickiej,residential,False,True,53.538,,"LINESTRING (14.9724855 51.7861967, 14.9717072 51.7862015)",,
"[25297996, 25297998, 108437591]",,"['Aleja Niepodległości', 'Niepodległości']",tertiary,True,False,25.733,40,"LINESTRING (14.9724855 51.7861967, 14.9724843 51.786247, 14.9724838 51.786277, 14.9724733 51.7863807, 14.9724622 51.7864274)",,yes
25254612,,Aleja Wojska Polskiego,residential,False,False,161.546,,"LINESTRING (14.9721948 51.785203, 14.9724187 51.7851469, 14.9726622 51.7851026, 14.9728725 51.785069, 14.9731283 51.7850282, 14.9734919 51.7849778, 14.9736689 51.7849506, 14.9737153 51.7849392, 14.9737527 51.7849274, 14.9737931 51.7849149, 14.9738345 51.7849009, 14.9739142 51.7848718, 14.9740201 51.7848341, 14.9741284 51.7847949, 14.9742578 51.7847517, 14.9743232 51.784733, 14.9743931 51.7847196)",,
"[25296152, 25295911]",,"['Gazowa', 'Tkacka']",residential,False,True,212.916,,"LINESTRING (14.9721948 51.785203, 14.9721323 51.7852156, 14.9720848 51.7852214, 14.9720248 51.7852288, 14.9715916 51.785288, 14.9709804 51.7853693, 14.9707738 51.7854008, 14.9706093 51.7854289, 14.9705656 51.785431, 14.9705343 51.7854237, 14.9705031 51.7854067, 14.9703149 51.7851518, 14.9701365 51.7849142, 14.9700479 51.7847961, 14.969935 51.7846499)",,
108437591,,Aleja Niepodległości,tertiary,True,False,112.334,40,"LINESTRING (14.9721948 51.785203, 14.9722067 51.7852712, 14.9722635 51.785504, 14.9722847 51.7855761, 14.9723411 51.7857404, 14.9724855 51.7861967)",,
25295049,287,Wrocławska,secondary,False,False,65.553,40,"LINESTRING (14.969935 51.7846499, 14.9701824 51.7845826, 14.9704862 51.7845104, 14.9706669 51.784479, 14.970833 51.7844579)",,
25295049,287,Wrocławska,secondary,False,True,147.173,40,"LINESTRING (14.969935 51.7846499, 14.9696737 51.7847227, 14.9695729 51.7847618, 14.9695009 51.7847945, 14.9694385 51.7848238, 14.9692569 51.7849123, 14.9692148 51.7849332, 14.9690961 51.7849928, 14.9689434 51.7850702, 14.9688723 51.7851046, 14.9687834 51.7851483, 14.9687045 51.7851861, 14.9686634 51.785208, 14.9685246 51.785276, 14.9684435 51.785318, 14.9683723 51.785345, 14.9682958 51.7853641, 14.9682385 51.7853748, 14.9681759 51.785384)",,
"[25296152, 25295911]",,"['Gazowa', 'Tkacka']",residential,False,False,212.916,,"LINESTRING (14.969935 51.7846499, 14.9700479 51.7847961, 14.9701365 51.7849142, 14.9703149 51.7851518, 14.9705031 51.7854067, 14.9705343 51.7854237, 14.9705656 51.785431, 14.9706093 51.7854289, 14.9707738 51.7854008, 14.9709804 51.7853693, 14.9715916 51.785288, 14.9720248 51.7852288, 14.9720848 51.7852214, 14.9721323 51.7852156, 14.9721948 51.785203)",,
25241472,,Krakowskie Przedmieście,tertiary,False,False,91.53800000000001,,"LINESTRING (14.9726835 51.7884023, 14.9727375 51.788505, 14.9728088 51.78867, 14.9728781 51.7888375, 14.9729511 51.7890155, 14.9730247 51.7891978)",2,
25241478,,Plac Wolności,tertiary,False,False,26.993,,"LINESTRING (14.9726835 51.7884023, 14.972641 51.7883862, 14.9725369 51.788366, 14.9723117 51.7883278)",,
"[25298000, 25298001, 270762177]",,Bohaterów,tertiary,False,False,239.12300000000002,40,"LINESTRING (14.9753539 51.7869186, 14.9753772 51.7868742, 14.9754253 51.7867772, 14.9757107 51.7862861, 14.9758534 51.7860137, 14.9760215 51.7856969, 14.9762305 51.7852745, 14.9764007 51.784869)",,
25298997,,Grunwaldzka,residential,True,False,208.013,,"LINESTRING (14.9753539 51.7869186, 14.975281 51.786899, 14.9747135 51.7867378, 14.9745169 51.7866841, 14.9743184 51.7866421, 14.9741265 51.7866014, 14.9739336 51.7865667, 14.9736452 51.7865249, 14.9733591 51.7864884, 14.9730617 51.7864558, 14.9729096 51.7864459, 14.9727629 51.7864399, 14.9724622 51.7864274)",,
"[1018990579, 25245764]",,Bohaterów,tertiary,False,True,77.833,,"LINESTRING (14.9753539 51.7869186, 14.9751703 51.7873322, 14.9750911 51.7875037, 14.9750685 51.7875534, 14.9750482 51.7875925)",,
"[65288463, 65157391]",,Plac Lucjana Grzei,residential,False,True,157.46700000000004,,"LINESTRING (14.9772842 51.7876561, 14.9771462 51.7877223, 14.9770755 51.787704, 14.9770081 51.7876929, 14.9757293 51.7876309, 14.9753626 51.787617, 14.9751738 51.787611, 14.9751442 51.7876075, 14.9750482 51.7875925)",,yes
"[25295193, 25297996, 65259645]",,"['Fryderyka Chopina', 'Niepodległości']",tertiary,True,False,68.882,,"LINESTRING (14.9724622 51.7864274, 14.9724566 51.7864405, 14.9724214 51.7865129, 14.9723858 51.7865795, 14.9723551 51.7866474, 14.9723202 51.7867124, 14.9722076 51.7869204, 14.9721497 51.7870157)",,yes
"[25299226, 868414092, 868414093]",,Strażacka,residential,False,False,122.20400000000001,,"LINESTRING (14.9682106 51.7875993, 14.968661 51.7874527, 14.9689314 51.787333, 14.969066 51.7872805, 14.9691097 51.7872667, 14.9691593 51.7872551, 14.9692431 51.7872392, 14.9693622 51.7872231, 14.9695072 51.7872058, 14.9695271 51.7872035, 14.9696373 51.7871858, 14.9696952 51.7871769, 14.9698146 51.7871586)",,yes
25299247,,Przemysłowa,residential,False,True,187.244,,"LINESTRING (14.9657622 51.7859586, 14.9661422 51.7858916, 14.9664805 51.7858534, 14.9673927 51.7857488, 14.9676455 51.7857222, 14.9681196 51.7856712, 14.9682216 51.7856594, 14.9683278 51.785642, 14.9684226 51.7856154)",,
25299247,,Przemysłowa,residential,False,False,187.244,,"LINESTRING (14.9684226 51.7856154, 14.9683278 51.785642, 14.9682216 51.7856594, 14.9681196 51.7856712, 14.9676455 51.7857222, 14.9673927 51.7857488, 14.9664805 51.7858534, 14.9661422 51.7858916, 14.9657622 51.7859586)",,
1177911378,,Mikołaja Reja,tertiary,True,False,30.823,,"LINESTRING (14.9684226 51.7856154, 14.968331 51.7855295, 14.9681759 51.785384)",,
25299272,,Zamkowa,residential,True,False,76.35,,"LINESTRING (14.9696098 51.7883842, 14.9696398 51.7883052, 14.9696842 51.7882217, 14.9697267 51.7881517, 14.9697538 51.7881194, 14.9697842 51.7880893, 14.9698546 51.7880153, 14.9699333 51.7879439, 14.9699921 51.7878849, 14.9700517 51.7878512, 14.970096 51.7878369, 14.9701706 51.787822)",,
25299325,,Zygmunta Krasińskiego,residential,True,False,107.03699999999999,,"LINESTRING (14.9696098 51.7883842, 14.9697799 51.7884205, 14.9700003 51.7884689, 14.9701292 51.7885043, 14.9702832 51.7885463, 14.9704092 51.7885823, 14.9705677 51.7886088, 14.9706923 51.7886291, 14.9709505 51.7886751, 14.9710271 51.7886902, 14.9710582 51.7887161)",,
25241472,,Krakowskie Przedmieście,tertiary,False,True,10.507,,"LINESTRING (14.9730622 51.7892894, 14.9730247 51.7891978)",2,
25241472,,Krakowskie Przedmieście,tertiary,False,False,85.82,,"LINESTRING (14.9730622 51.7892894, 14.9731297 51.7894545, 14.9732037 51.7896193, 14.9732435 51.7896971, 14.9732818 51.7897724, 14.9733151 51.7898327, 14.9733448 51.7898938, 14.9733969 51.7900325)",2,
25299351,,Bolesława Chrobrego,residential,True,False,210.66599999999997,,"LINESTRING (14.9730622 51.7892894, 14.9732101 51.7892712, 14.9736092 51.7892319, 14.9736939 51.7892261, 14.9737348 51.7892205, 14.9737816 51.7892118, 14.9738088 51.7892032, 14.9738327 51.7891874, 14.9738542 51.7891724, 14.9738621 51.7891479, 14.9738552 51.7890068, 14.9738399 51.7888646, 14.9738183 51.7885868, 14.9737939 51.7883138, 14.9737645 51.7880443, 14.9737524 51.787892, 14.9737469 51.7878184, 14.9737462 51.787793)",,
65141514,,Adama Mickiewicza,residential,True,False,79.038,,"LINESTRING (14.9720408 51.789326, 14.9717092 51.7893585, 14.9714527 51.7893698, 14.9711723 51.7893724, 14.9708972 51.7893601)",,
181423848,,Zygmunta Krasińskiego,residential,False,True,109.55099999999999,,"LINESTRING (14.9720408 51.789326, 14.9720252 51.7892188, 14.9720078 51.7891138, 14.9719921 51.7890352, 14.9719811 51.7890033, 14.9719709 51.7889742, 14.9719332 51.7889478, 14.9718811 51.7889263, 14.9718115 51.7889035, 14.9716617 51.7888574, 14.9715304 51.7888221, 14.9714089 51.7887897, 14.971098 51.788742, 14.9710582 51.7887161)",,
25254667,,Tadeusza Kościuszki,residential,True,False,84.59100000000001,,"LINESTRING (14.9737462 51.787793, 14.9741728 51.7878093, 14.9742349 51.7878069, 14.9742838 51.7878012, 14.974455 51.7877687, 14.9745139 51.7877584, 14.9745928 51.7877445, 14.974672 51.7877306, 14.9747498 51.787716, 14.9748319 51.7877145, 14.9749531 51.7877247)",,
"[25244522, 64047763]",,Kanałowa,residential,False,False,310.12700000000007,,"LINESTRING (14.9692714 51.7897524, 14.9706536 51.7898743, 14.971338 51.7899326, 14.9720397 51.789992, 14.9721761 51.7900059, 14.9722379 51.7900124, 14.9722654 51.7900167, 14.9722936 51.7900228, 14.9723278 51.790038, 14.9723507 51.7900626, 14.9724504 51.7902666, 14.9725683 51.7902295, 14.9726778 51.790199, 14.9727909 51.7901728, 14.972982 51.790131, 14.9731779 51.7900946, 14.9732374 51.7900832, 14.9733969 51.7900325)",,
75481160,,Zamkowa,residential,False,False,74.94,,"LINESTRING (14.9692714 51.7897524, 14.9695027 51.7895355, 14.9697178 51.7893607, 14.9697503 51.7893343, 14.969796 51.7893056, 14.9698645 51.7892793, 14.9699721 51.7892543)",,
"[75481160, 75481162, 25245933, 25245974]",,"['Zamkowa', 'Dębowa']","['residential', 'unclassified']",False,True,453.77700000000004,,"LINESTRING (14.9692714 51.7897524, 14.9691778 51.7898486, 14.968907 51.7901267, 14.9688525 51.7902013, 14.968825 51.7902099, 14.9683674 51.7901113, 14.9682237 51.7900802, 14.9680774 51.7900592, 14.967992 51.7900556, 14.9679078 51.7900644, 14.9678479 51.7900712, 14.9677888 51.7900885, 14.967765 51.7901039, 14.9677309 51.7901231, 14.9676681 51.7901598, 14.9675355 51.7902492, 14.9674114 51.7903375, 14.9673003 51.7904304, 14.9671862 51.7905172, 14.9670692 51.7906058, 14.9668308 51.7907816, 14.9666711 51.7908984, 14.9665136 51.7910165, 14.9662636 51.7912027, 14.9662159 51.7912519, 14.9662035 51.791274, 14.9661958 51.7913018, 14.9661824 51.7913539, 14.9661786 51.7914541, 14.9661879 51.7915979, 14.9661963 51.7918796, 14.9661977 51.7924405, 14.9662014 51.7926034)",,yes
25303593,,Dąbrowskiego,residential,False,False,90.35900000000001,,"LINESTRING (14.9750092 51.7889902, 14.9752967 51.7889878, 14.975315 51.7889866, 14.9755215 51.788973, 14.9757524 51.7889545, 14.975977 51.7889293, 14.976316 51.7889322)",,
25303594,,Dąbrowskiego,residential,False,True,14.619,,"LINESTRING (14.9750092 51.7889902, 14.9749026 51.7889871, 14.9747969 51.7889839)",,yes
583293754,,Emilii Plater,residential,False,False,151.05100000000002,,"LINESTRING (14.9750092 51.7889902, 14.9750775 51.7885725, 14.9751311 51.7881536, 14.9751562 51.7879719, 14.9751636 51.787793, 14.975158 51.7877801, 14.9751459 51.7877675, 14.9751307 51.7877584, 14.9751108 51.7877524, 14.9750742 51.7877404, 14.9750308 51.7877327, 14.9749531 51.7877247)",,
25244632,,Emilii Plater,tertiary,False,False,140.98199999999997,,"LINESTRING (14.9747969 51.7889839, 14.9748407 51.7887655, 14.974863 51.7886558, 14.9748837 51.7885472, 14.9749028 51.7884375, 14.9749183 51.7883285, 14.974931 51.788221, 14.974937 51.7881674, 14.9749402 51.7881115, 14.9749376 51.7880036, 14.9749316 51.7879498, 14.9749256 51.7878966, 14.97492 51.7878586, 14.9749169 51.7878153, 14.97492 51.7877943, 14.9749245 51.7877741, 14.9749341 51.7877545, 14.9749426 51.7877391, 14.9749531 51.7877247)",,
25244632,,Emilii Plater,tertiary,False,True,162.71399999999997,,"LINESTRING (14.9747969 51.7889839, 14.9747811 51.7890688, 14.9747733 51.7891175, 14.9747628 51.789167, 14.974751 51.7892358, 14.9747381 51.7892811, 14.9747277 51.7893203, 14.974718 51.7893468, 14.9746864 51.7894003, 14.9746642 51.7894322, 14.9746346 51.7894697, 14.9746065 51.7895043, 14.9745809 51.7895317, 14.9745508 51.7895574, 14.9745159 51.7895832, 14.9744407 51.7896287, 14.9743951 51.789653, 14.9743505 51.7896762, 14.9742557 51.7897169, 14.9741599 51.7897566, 14.9740564 51.7897943, 14.9739544 51.7898323, 14.9735812 51.7899675, 14.9735325 51.7899852, 14.9733969 51.7900325)",,
25303594,,Dąbrowskiego,residential,False,False,14.619,,"LINESTRING (14.9747969 51.7889839, 14.9749026 51.7889871, 14.9750092 51.7889902)",,yes
"[1018990579, 25245764]",,Bohaterów,tertiary,False,False,77.833,,"LINESTRING (14.9750482 51.7875925, 14.9750685 51.7875534, 14.9750911 51.7875037, 14.9751703 51.7873322, 14.9753539 51.7869186)",,
25298861,,Bohaterów,tertiary,False,True,16.134,,"LINESTRING (14.9750482 51.7875925, 14.9750303 51.7876254, 14.9750102 51.7876584, 14.9749759 51.7876988, 14.9749531 51.7877247)",,
"[65157391, 65288463]",,Plac Lucjana Grzei,residential,False,False,157.46699999999998,,"LINESTRING (14.9750482 51.7875925, 14.9751442 51.7876075, 14.9751738 51.787611, 14.9753626 51.787617, 14.9757293 51.7876309, 14.9770081 51.7876929, 14.9770755 51.787704, 14.9771462 51.7877223, 14.9772842 51.7876561)",,yes
