osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,junction,lanes,width,access
"[131770313, 77102141, 24870492, 197590893]",True,Kerkstraat,living_street,False,83.19200000000001,"LINESTRING (5.3146429 51.2279001, 5.3146019 51.2279352, 5.3143 51.2281936, 5.3141841 51.2282694, 5.3140566 51.2283279, 5.314021 51.2283442, 5.313878 51.2284081, 5.3138196 51.2284306)",20,,,2,5.5,
245750177,True,,secondary,False,15.884,"LINESTRING (5.3146429 51.2279001, 5.3146088 51.2278797, 5.3145843 51.2278546, 5.3145712 51.2278279, 5.314569 51.2278, 5.3145777 51.2277725)",50,N746,roundabout,,,
36988476,False,Adelbergpark,residential,False,82.94099999999999,"LINESTRING (5.3098629 51.231801, 5.3097628 51.2317775, 5.3096556 51.2317703, 5.3089428 51.2317704, 5.3088734 51.2317709, 5.3086791 51.2317722)",,,,,,
47034943,False,Lepelstraat,residential,False,298.457,"LINESTRING (5.3098629 51.231801, 5.3098433 51.231822, 5.3098295 51.2318418, 5.3098255 51.2318681, 5.3098114 51.2324777, 5.3097987 51.2326442, 5.3097696 51.2327816, 5.3097155 51.2329105, 5.3095835 51.233225, 5.3095146 51.2333677, 5.3094523 51.2334724, 5.309352 51.2335906, 5.3087194 51.234161, 5.3086098 51.2342935)",,,,,,
47156379,True,Koningsstraat,residential,False,136.714,"LINESTRING (5.3098629 51.231801, 5.3098979 51.2317874, 5.3099596 51.2317826, 5.3100255 51.2317856, 5.3101241 51.2317948, 5.310297 51.2318445, 5.3103566 51.2318615, 5.3104127 51.2318807, 5.3105085 51.2319136, 5.3106058 51.2319561, 5.3108144 51.2320647, 5.3112225 51.2323172, 5.3114447 51.2324451)",,,,,,
"[1015841613, 126149469, 92932502]",False,"['Dorp', 'Lepelstraat']",living_street,True,133.424,"LINESTRING (5.3098629 51.231801, 5.3098288 51.231547, 5.3097956 51.2308973, 5.3097667 51.2308334, 5.3096103 51.2307451, 5.3095699 51.2307042, 5.309555 51.2306565)",20,,,,,destination
36988476,False,Adelbergpark,residential,True,82.941,"LINESTRING (5.3086791 51.2317722, 5.3088734 51.2317709, 5.3089428 51.2317704, 5.3096556 51.2317703, 5.3097628 51.2317775, 5.3098629 51.231801)",,,,,,
315223284,True,Adelbergpark,residential,False,75.33,"LINESTRING (5.3086791 51.2317722, 5.308416 51.2323014, 5.308361 51.2324197)",,,,,,
47034773,False,Sleutelstraat,secondary,True,124.55499999999999,"LINESTRING (5.3028047 51.233028, 5.3027855 51.2330046, 5.3027728 51.232973, 5.3027728 51.2329008, 5.3027701 51.2326455, 5.3027728 51.2324944, 5.3027675 51.2323936, 5.3027594 51.2322358, 5.3027169 51.232001, 5.3026903 51.231915)",,,,,,
47223065,False,Adelberg,secondary,False,144.885,"LINESTRING (5.3028047 51.233028, 5.3028397 51.2330534, 5.3028991 51.2330783, 5.3029511 51.2330924, 5.3030334 51.2331014, 5.3033718 51.2331153, 5.303505 51.2331271, 5.3036829 51.2331515, 5.3046093 51.2333474, 5.3047818 51.2333839)",,,,,,
47223066,False,Adelberg,residential,False,61.488,"LINESTRING (5.3028047 51.233028, 5.3027594 51.233052, 5.3027111 51.2330738, 5.3026414 51.2330973, 5.3025636 51.2331158, 5.3024671 51.2331242, 5.3023123 51.2331488, 5.3019848 51.2332162)",,,,,,
570333331,False,Adelberg,secondary,False,4.785,"LINESTRING (5.3047818 51.2333839, 5.3048477 51.2333961)",,,,,,
47223065,False,Adelberg,secondary,True,144.88499999999996,"LINESTRING (5.3047818 51.2333839, 5.3046093 51.2333474, 5.3036829 51.2331515, 5.303505 51.2331271, 5.3033718 51.2331153, 5.3030334 51.2331014, 5.3029511 51.2330924, 5.3028991 51.2330783, 5.3028397 51.2330534, 5.3028047 51.233028)",,,,,,
47034471,False,Hees,secondary,False,119.314,"LINESTRING (5.3019649 51.2285298, 5.3020191 51.2285105, 5.3020969 51.2284953, 5.3021802 51.2284921, 5.3022927 51.2285004, 5.3024644 51.2285172, 5.3027004 51.2285424, 5.3030196 51.228581, 5.3036389 51.2286678)",50,,,,,
47034490,False,Klachtloopstraat,secondary,False,92.33900000000001,"LINESTRING (5.3019649 51.2285298, 5.3019413 51.2285676, 5.3019252 51.228623, 5.3019279 51.2287876, 5.3019333 51.2289337, 5.3019603 51.2292166, 5.3019677 51.2293559)",,,,,,
47034490,False,Klachtloopstraat,secondary,False,7.843,"LINESTRING (5.3023266 51.2309746, 5.3023528 51.2310432)",,,,,,
47034490,False,Klachtloopstraat,secondary,True,182.07200000000003,"LINESTRING (5.3023266 51.2309746, 5.3022578 51.2307947, 5.302172 51.2305428, 5.3020969 51.2302606, 5.3020513 51.2300557, 5.3020057 51.2297635, 5.3019848 51.2295402, 5.3019677 51.2293559)",,,,,,
47067839,False,Kopshoeven,residential,False,110.33,"LINESTRING (5.3024375 51.2279041, 5.3037107 51.2284947)",,,,,,
47067839,False,Kopshoeven,residential,True,131.646,"LINESTRING (5.3024375 51.2279041, 5.3023061 51.227847, 5.3022015 51.2278134, 5.3020728 51.2277748, 5.3006778 51.2274838)",,,,,,
47072429,False,Roerdompstraat,residential,False,146.83499999999998,"LINESTRING (5.3024375 51.2279041, 5.3024644 51.2278268, 5.3025127 51.2276891, 5.3025609 51.2275245, 5.3026251 51.2273049, 5.3026468 51.2271482, 5.3026468 51.2269164, 5.3026521 51.2267754, 5.3026521 51.2266645, 5.3026602 51.2265959)",,,,,,
47067839,False,Kopshoeven,residential,True,110.33,"LINESTRING (5.3037107 51.2284947, 5.3024375 51.2279041)",,,,,,
47072484,False,Nachtegaalstraat,residential,False,19.951,"LINESTRING (5.3037107 51.2284947, 5.303663 51.2285809, 5.3036389 51.2286678)",,,,,,
47072484,False,Nachtegaalstraat,residential,True,277.084,"LINESTRING (5.3037107 51.2284947, 5.3037626 51.2284097, 5.3038725 51.228235, 5.3040764 51.2279007, 5.3042695 51.22759, 5.3043634 51.2274355, 5.3044868 51.2272389, 5.3045645 51.2271147, 5.3046611 51.2269568, 5.3047322 51.226848, 5.3047845 51.2266712, 5.3049687 51.2261381)",,,,,,
47072229,False,Valkstraat,residential,False,100.24,"LINESTRING (5.3007374 51.2265831, 5.3007253 51.2267262, 5.3006778 51.2274838)",,,,,,
47072229,False,Valkstraat,residential,True,33.699,"LINESTRING (5.3007374 51.2265831, 5.3007504 51.2264915, 5.3007777 51.2262811)",,,,,,
47067839,False,Kopshoeven,residential,False,131.646,"LINESTRING (5.3006778 51.2274838, 5.3020728 51.2277748, 5.3022015 51.2278134, 5.3023061 51.227847, 5.3024375 51.2279041)",,,,,,
47072229,False,Valkstraat,residential,True,100.24,"LINESTRING (5.3006778 51.2274838, 5.3007253 51.2267262, 5.3007374 51.2265831)",,,,,,
47072436,False,Arendstraat,residential,True,16.435,"LINESTRING (5.3026602 51.2265959, 5.3024277 51.2265705)",,,,,,
47072429,False,Roerdompstraat,residential,True,146.835,"LINESTRING (5.3026602 51.2265959, 5.3026521 51.2266645, 5.3026521 51.2267754, 5.3026468 51.2269164, 5.3026468 51.2271482, 5.3026251 51.2273049, 5.3025609 51.2275245, 5.3025127 51.2276891, 5.3024644 51.2278268, 5.3024375 51.2279041)",,,,,,
47072436,False,Arendstraat,residential,False,16.435,"LINESTRING (5.3024277 51.2265705, 5.3026602 51.2265959)",,,,,,
47072436,False,Arendstraat,residential,True,119.368,"LINESTRING (5.3024277 51.2265705, 5.3023034 51.226557, 5.3007777 51.2262811)",,,,,,
47072229,False,Valkstraat,residential,False,33.699,"LINESTRING (5.3007777 51.2262811, 5.3007504 51.2264915, 5.3007374 51.2265831)",,,,,,
47072436,False,Arendstraat,residential,False,119.368,"LINESTRING (5.3007777 51.2262811, 5.3023034 51.226557, 5.3024277 51.2265705)",,,,,,
47072483,False,Nachtegaalstraat,residential,True,170.527,"LINESTRING (5.3073772 51.2264153, 5.3062624 51.2262882, 5.3049687 51.2261381)",,,,,,
92932474,False,Vreyshorring,secondary,True,48.247,"LINESTRING (5.3073772 51.2264153, 5.3072593 51.2268045, 5.3072481 51.2268416)",50,,,,,
47072483,False,Nachtegaalstraat,residential,False,170.527,"LINESTRING (5.3049687 51.2261381, 5.3062624 51.2262882, 5.3073772 51.2264153)",,,,,,
47072484,False,Nachtegaalstraat,residential,False,277.08400000000006,"LINESTRING (5.3049687 51.2261381, 5.3047845 51.2266712, 5.3047322 51.226848, 5.3046611 51.2269568, 5.3045645 51.2271147, 5.3044868 51.2272389, 5.3043634 51.2274355, 5.3042695 51.22759, 5.3040764 51.2279007, 5.3038725 51.228235, 5.3037626 51.2284097, 5.3037107 51.2284947)",,,,,,
47034471,False,Hees,secondary,True,119.314,"LINESTRING (5.3036389 51.2286678, 5.3030196 51.228581, 5.3027004 51.2285424, 5.3024644 51.2285172, 5.3022927 51.2285004, 5.3021802 51.2284921, 5.3020969 51.2284953, 5.3020191 51.2285105, 5.3019649 51.2285298)",50,,,,,
47072484,False,Nachtegaalstraat,residential,True,19.951,"LINESTRING (5.3036389 51.2286678, 5.303663 51.2285809, 5.3037107 51.2284947)",,,,,,
"[245750160, 47033968]",False,"['Hees', 'Vreyshorring']",secondary,False,222.935,"LINESTRING (5.3036389 51.2286678, 5.3038132 51.2286969, 5.3051506 51.229026, 5.3052757 51.2290547, 5.3062221 51.2292646, 5.3063383 51.2292798, 5.3063641 51.2292816, 5.3064302 51.2292863, 5.3065341 51.2292672, 5.3066311 51.2292153)",50,,,,,
47072509,False,Hezerpad,residential,True,81.03,"LINESTRING (5.3066987 51.2285288, 5.3065828 51.2285138, 5.3057213 51.2283327, 5.3056461 51.2283169, 5.3055918 51.2283055)",,,,,,
"[245750201, 521184319]",False,Vreyshorring,secondary,False,31.234,"LINESTRING (5.3066987 51.2285288, 5.3067005 51.2285222, 5.3067182 51.228457, 5.3067279 51.2284241, 5.3067785 51.2282524)",50,,,,,
"[521184320, 198465128, 245750201, 245750202, 510355164]",False,Vreyshorring,secondary,True,77.726,"LINESTRING (5.3066987 51.2285288, 5.3066732 51.2286811, 5.3066706 51.2287385, 5.3066912 51.2288792, 5.3067059 51.22898, 5.3067005 51.2291134, 5.3066783 51.2291709, 5.3066311 51.2292153)",50,,,,,
47072509,False,Hezerpad,residential,False,81.03,"LINESTRING (5.3055918 51.2283055, 5.3056461 51.2283169, 5.3057213 51.2283327, 5.3065828 51.2285138, 5.3066987 51.2285288)",,,,,,
47036370,True,Kerkstraat,living_street,False,5.795,"LINESTRING (5.3125072 51.2294807, 5.3124499 51.2295185)",20,,,,,
47034490,False,Klachtloopstraat,secondary,False,182.072,"LINESTRING (5.3019677 51.2293559, 5.3019848 51.2295402, 5.3020057 51.2297635, 5.3020513 51.2300557, 5.3020969 51.2302606, 5.302172 51.2305428, 5.3022578 51.2307947, 5.3023266 51.2309746)",,,,,,
47034490,False,Klachtloopstraat,secondary,True,92.339,"LINESTRING (5.3019677 51.2293559, 5.3019603 51.2292166, 5.3019333 51.2289337, 5.3019279 51.2287876, 5.3019252 51.228623, 5.3019413 51.2285676, 5.3019649 51.2285298)",,,,,,
47153475,True,Kanunnik J. Huybrechtsstraat,residential,False,52.623000000000005,"LINESTRING (5.3019677 51.2293559, 5.3023624 51.2294057, 5.3027064 51.2294556)",,,,,,
"[47153475, 47153477]",True,"['Kanunnik J. Huybrechtsstraat', 'Schepenbank']",residential,False,212.947,"LINESTRING (5.3027064 51.2294556, 5.3037903 51.2296095, 5.3037809 51.2296541, 5.30368 51.2306282, 5.3036651 51.2307765, 5.3036606 51.2308258)",,,,,,
47153478,True,Kapittelhof,residential,False,165.95,"LINESTRING (5.3027064 51.2294556, 5.3028283 51.2302018, 5.3030426 51.2309319)",,,,,,
47153476,False,Rector J. Vandewijerstraat,residential,True,44.618,"LINESTRING (5.3036606 51.2308258, 5.3030426 51.2309319)",,,,,,
47034490,False,Klachtloopstraat,secondary,True,7.843,"LINESTRING (5.3023528 51.2310432, 5.3023266 51.2309746)",,,,,,
47153476,False,Rector J. Vandewijerstraat,residential,False,49.599,"LINESTRING (5.3023528 51.2310432, 5.3030426 51.2309319)",,,,,,
47034490,False,Klachtloopstraat,secondary,False,99.75000000000001,"LINESTRING (5.3023528 51.2310432, 5.3024023 51.2311738, 5.3024925 51.2314129, 5.3025063 51.2314497, 5.3025356 51.2315279, 5.3026526 51.2318257, 5.3026903 51.231915)",,,,,,
47153476,False,Rector J. Vandewijerstraat,residential,False,44.618,"LINESTRING (5.3030426 51.2309319, 5.3036606 51.2308258)",,,,,,
47153476,False,Rector J. Vandewijerstraat,residential,True,49.599,"LINESTRING (5.3030426 51.2309319, 5.3023528 51.2310432)",,,,,,
37120212,True,Molsekiezel,residential,False,24.612,"LINESTRING (5.3053235 51.2315033, 5.3055672 51.2314642, 5.3056628 51.2314863)",,,,,,
47153481,False,Hertog Janplein,residential,False,60.963,"LINESTRING (5.3053235 51.2315033, 5.3053011 51.2314449, 5.3051573 51.2310296, 5.3051516 51.2310111, 5.305142 51.2309671)",,,,,,
47153483,False,Heerdgang,living_street,False,1.065,"LINESTRING (5.3071907 51.2304786, 5.3072058 51.2304801)",20,,,,,
47153483,False,Heerdgang,living_street,True,60.979,"LINESTRING (5.3071907 51.2304786, 5.3063167 51.2304438)",20,,,,,
47034334,True,Dorp,living_street,False,34.825,"LINESTRING (5.3071907 51.2304786, 5.3072167 51.2302496, 5.3072261 51.2301662)",20,,,,,
47153483,False,Heerdgang,living_street,False,48.219,"LINESTRING (5.3056261 51.2304116, 5.3063167 51.2304438)",20,,,,,
47153587,False,Gasstraat,living_street,False,63.298,"LINESTRING (5.3057667 51.2317294, 5.3065684 51.231461)",20,,,,,
47153586,True,Gasstraat,residential,False,11.952,"LINESTRING (5.3057667 51.2317294, 5.30574 51.2317831, 5.3056955 51.2318261)",,,,,,
570333332,True,Gasstraat,residential,False,29.067999999999998,"LINESTRING (5.3056628 51.2314863, 5.3057212 51.2315262, 5.3057394 51.2315896, 5.3057756 51.2316816, 5.3057667 51.2317294)",,,,,,
"[634256857, 36988479]",False,Molsekiezel,living_street,False,118.56,"LINESTRING (5.3056628 51.2314863, 5.3057694 51.2314509, 5.3066078 51.2312939, 5.3067426 51.2312498, 5.3069386 51.2311319, 5.3070333 51.2310435, 5.3070677 51.230976)",20,,,,,no
47153587,False,Gasstraat,living_street,True,63.298,"LINESTRING (5.3065684 51.231461, 5.3057667 51.2317294)",20,,,,,
47153586,True,Gasstraat,residential,False,185.165,"LINESTRING (5.3056955 51.2318261, 5.3055938 51.2319112, 5.3055104 51.2320184, 5.3047818 51.2333839)",,,,,,
47154296,False,Adelbergpark,residential,True,91.85400000000001,"LINESTRING (5.3056955 51.2318261, 5.306338 51.2320383, 5.3067957 51.232191, 5.3068271 51.2322085, 5.3068406 51.2322268)",,,,,,
47154296,False,Adelbergpark,residential,False,91.854,"LINESTRING (5.3068406 51.2322268, 5.3068271 51.2322085, 5.3067957 51.232191, 5.306338 51.2320383, 5.3056955 51.2318261)",,,,,,
47154471,False,De Vryheyt,residential,True,80.43,"LINESTRING (5.3068406 51.2322268, 5.3069935 51.2322226, 5.3070312 51.2322083, 5.3070523 51.2321822, 5.3071904 51.2319082, 5.3072494 51.2318444, 5.3073382 51.2317888, 5.3074892 51.2316982)",,,,,,
92932469,False,Prinses Astridpark,residential,True,163.674,"LINESTRING (5.3068406 51.2322268, 5.3068391 51.2322509, 5.3068254 51.2322851, 5.3068176 51.2323046, 5.3065655 51.2327883, 5.3065682 51.2328538, 5.3066212 51.2328886, 5.3066781 51.2329109, 5.3071158 51.232999, 5.3077856 51.2331325)",,,,,,
668080907,False,Adelberg,secondary,True,45.607,"LINESTRING (5.3073613 51.2339526, 5.3067417 51.2338195)",,,,,,
47154760,False,Adelbergpark,residential,False,95.857,"LINESTRING (5.3073613 51.2339526, 5.3075959 51.233499, 5.3077856 51.2331325)",,,,,,
"[341843693, 315223286]",False,Adelberg,secondary,False,95.81600000000002,"LINESTRING (5.3073613 51.2339526, 5.3077002 51.2340306, 5.3078349 51.2340606, 5.3082473 51.2341487, 5.308373 51.2341767, 5.308482 51.2342184, 5.3086098 51.2342935)",,,,,,
"[1104621419, 47154294]",False,Adelbergpark,residential,True,99.797,"LINESTRING (5.3077856 51.2331325, 5.3079119 51.2331578, 5.307987 51.2331444, 5.3080219 51.2331242, 5.308178 51.2327993, 5.3083431 51.2324558, 5.308361 51.2324197)",,,,,,
47154760,False,Adelbergpark,residential,True,95.857,"LINESTRING (5.3077856 51.2331325, 5.3075959 51.233499, 5.3073613 51.2339526)",,,,,,
92932469,False,Prinses Astridpark,residential,False,163.674,"LINESTRING (5.3077856 51.2331325, 5.3071158 51.232999, 5.3066781 51.2329109, 5.3066212 51.2328886, 5.3065682 51.2328538, 5.3065655 51.2327883, 5.3068176 51.2323046, 5.3068254 51.2322851, 5.3068391 51.2322509, 5.3068406 51.2322268)",,,,,,
"[1104621419, 47154294]",False,Adelbergpark,residential,False,99.797,"LINESTRING (5.308361 51.2324197, 5.3083431 51.2324558, 5.308178 51.2327993, 5.3080219 51.2331242, 5.307987 51.2331444, 5.3079119 51.2331578, 5.3077856 51.2331325)",,,,,,
47245842,False,Erfstraat,residential,False,82.12299999999999,"LINESTRING (5.3018689 51.2348624, 5.3018501 51.23476, 5.3018421 51.2346676, 5.3018501 51.2345685, 5.3018823 51.2343384, 5.3019103 51.2341264)",,,,,,
47223825,False,Teugelstraat,residential,False,82.889,"LINESTRING (5.3033639 51.234765, 5.3035212 51.2340261)",,,,,,
47223833,False,Teugelstraat,residential,True,102.95100000000001,"LINESTRING (5.3033639 51.234765, 5.303202 51.2346072, 5.3033146 51.2340042, 5.3035212 51.2340261)",,,,,,
47223825,False,Teugelstraat,residential,False,79.237,"LINESTRING (5.3035212 51.2340261, 5.304645 51.2341386)",,,,,,
47223825,False,Teugelstraat,residential,True,82.889,"LINESTRING (5.3035212 51.2340261, 5.3033639 51.234765)",,,,,,
47223833,False,Teugelstraat,residential,False,102.95100000000001,"LINESTRING (5.3035212 51.2340261, 5.3033146 51.2340042, 5.303202 51.2346072, 5.3033639 51.234765)",,,,,,
47223825,False,Teugelstraat,residential,True,79.237,"LINESTRING (5.304645 51.2341386, 5.3035212 51.2340261)",,,,,,
47245908,False,Wanstraat,residential,True,83.76,"LINESTRING (5.304645 51.2341386, 5.3048477 51.2333961)",,,,,,
47223066,False,Adelberg,residential,True,89.519,"LINESTRING (5.3007784 51.2334829, 5.3010358 51.2334582, 5.3011876 51.2334265, 5.3013217 51.2333963, 5.3019848 51.2332162)",,,,,,
343509722,False,Tuierstraat,residential,True,34.803,"LINESTRING (5.3019103 51.2341264, 5.3014125 51.2340979)",,,,,,
47245842,False,Erfstraat,residential,False,102.035,"LINESTRING (5.3019103 51.2341264, 5.3019655 51.233707, 5.3020276 51.2333106, 5.3020111 51.2332586, 5.3019848 51.2332162)",,,,,,
47245842,False,Erfstraat,residential,True,82.123,"LINESTRING (5.3019103 51.2341264, 5.3018823 51.2343384, 5.3018501 51.2345685, 5.3018421 51.2346676, 5.3018501 51.23476, 5.3018689 51.2348624)",,,,,,
47223066,False,Adelberg,residential,False,89.519,"LINESTRING (5.3019848 51.2332162, 5.3013217 51.2333963, 5.3011876 51.2334265, 5.3010358 51.2334582, 5.3007784 51.2334829)",,,,,,
47223066,False,Adelberg,residential,True,61.48799999999999,"LINESTRING (5.3019848 51.2332162, 5.3023123 51.2331488, 5.3024671 51.2331242, 5.3025636 51.2331158, 5.3026414 51.2330973, 5.3027111 51.2330738, 5.3027594 51.233052, 5.3028047 51.233028)",,,,,,
47245842,False,Erfstraat,residential,True,102.035,"LINESTRING (5.3019848 51.2332162, 5.3020111 51.2332586, 5.3020276 51.2333106, 5.3019655 51.233707, 5.3019103 51.2341264)",,,,,,
47245843,False,Tuierstraat,residential,False,13.179,"LINESTRING (5.3013932 51.2342158, 5.3014125 51.2340979)",,,,,,
47245843,False,Tuierstraat,residential,False,12.851,"LINESTRING (5.3014125 51.2340979, 5.3014251 51.2339826)",,,,,,
47245843,False,Tuierstraat,residential,True,13.179,"LINESTRING (5.3014125 51.2340979, 5.3013932 51.2342158)",,,,,,
343509722,False,Tuierstraat,residential,False,34.803,"LINESTRING (5.3014125 51.2340979, 5.3019103 51.2341264)",,,,,,
47245908,False,Wanstraat,residential,False,83.76,"LINESTRING (5.3048477 51.2333961, 5.304645 51.2341386)",,,,,,
570333331,False,Adelberg,secondary,True,4.785,"LINESTRING (5.3048477 51.2333961, 5.3047818 51.2333839)",,,,,,
315223285,False,Adelberg,secondary,False,140.021,"LINESTRING (5.3048477 51.2333961, 5.3049491 51.2334188, 5.3067417 51.2338195)",,,,,,
668080907,False,Adelberg,secondary,False,45.607,"LINESTRING (5.3067417 51.2338195, 5.3073613 51.2339526)",,,,,,
315223285,False,Adelberg,secondary,True,140.021,"LINESTRING (5.3067417 51.2338195, 5.3049491 51.2334188, 5.3048477 51.2333961)",,,,,,
47883303,False,Don Boscostraat,residential,False,262.897,"LINESTRING (5.3072481 51.2268416, 5.3079477 51.2268963, 5.3109152 51.2273898)",,,,,,
92932474,False,Vreyshorring,secondary,False,48.247,"LINESTRING (5.3072481 51.2268416, 5.3072593 51.2268045, 5.3073772 51.2264153)",50,,,,,
92932474,False,Vreyshorring,secondary,True,48.06,"LINESTRING (5.3072481 51.2268416, 5.3071894 51.2270306, 5.3071769 51.2270708, 5.3071054 51.2272644)",50,,,,,
47883303,False,Don Boscostraat,residential,True,262.897,"LINESTRING (5.3109152 51.2273898, 5.3079477 51.2268963, 5.3072481 51.2268416)",,,,,,
92932500,False,Einderpad,residential,True,67.883,"LINESTRING (5.3109152 51.2273898, 5.3108918 51.2274428, 5.310643 51.227976)",50,,,,,
126149445,True,Dorp,living_street,False,42.518,"LINESTRING (5.3072261 51.2301662, 5.3077898 51.2303132)",20,,,,,
126149502,False,Vreyshorring,living_street,True,115.643,"LINESTRING (5.3072261 51.2301662, 5.3071868 51.2299347, 5.3069292 51.2294736, 5.3066311 51.2292153)",20,,,,,
92444127,True,Stationsstraat,secondary,False,54.123999999999995,"LINESTRING (5.3143807 51.2272728, 5.3144229 51.2273405, 5.3144352 51.2273873, 5.3144582 51.2275053, 5.3145107 51.2275944, 5.3145492 51.2276359, 5.3146106 51.2276753, 5.3146748 51.2277046)",,N746,,,,
92932487,False,Mudakkers,residential,True,41.893,"LINESTRING (5.3110888 51.2307341, 5.3113424 51.2307771, 5.3115849 51.2308182, 5.3116693 51.2308331)",30,,,,,
126616140,False,Vreyshorring,secondary,True,112.194,"LINESTRING (5.3071054 51.2272644, 5.3067785 51.2282524)",50,,,,,
92932474,False,Vreyshorring,secondary,False,48.06,"LINESTRING (5.3071054 51.2272644, 5.3071769 51.2270708, 5.3071894 51.2270306, 5.3072481 51.2268416)",50,,,,,
"[543311048, 1094705375, 126149455]",True,Frans Van Hamstraat,unclassified,False,259.07599999999996,"LINESTRING (5.3071054 51.2272644, 5.3076699 51.227364, 5.3084906 51.2274853, 5.3087439 51.2275379, 5.3089741 51.2275872, 5.310047 51.2278403, 5.310643 51.227976)","['50', '30']",,,,,
"[966988464, 92932484]",False,Frans Van Hamstraat,"['residential', 'living_street']",False,220.858,"LINESTRING (5.310643 51.227976, 5.3111097 51.2280862, 5.3118186 51.2282055, 5.3122786 51.2282756, 5.312371 51.2282831, 5.3125978 51.2283015, 5.3127832 51.2283198, 5.3131393 51.2283759, 5.3133199 51.2284091, 5.3137015 51.2284853)","['20', '30']",,,,,
92932500,False,Einderpad,residential,False,67.883,"LINESTRING (5.310643 51.227976, 5.3108918 51.2274428, 5.3109152 51.2273898)",50,,,,,
126616140,False,Vreyshorring,secondary,False,112.194,"LINESTRING (5.3067785 51.2282524, 5.3071054 51.2272644)",50,,,,,
197590897,False,Rodekruisstraat,residential,True,101.616,"LINESTRING (5.3067785 51.2282524, 5.3081937 51.2284754)",50,,,,,
"[245750201, 521184319]",False,Vreyshorring,secondary,True,31.233999999999998,"LINESTRING (5.3067785 51.2282524, 5.3067279 51.2284241, 5.3067182 51.228457, 5.3067005 51.2285222, 5.3066987 51.2285288)",50,,,,,
47036370,True,Kerkstraat,living_street,False,139.12900000000002,"LINESTRING (5.3137015 51.2284853, 5.3135283 51.2285681, 5.3132728 51.2287761, 5.3129535 51.2290582, 5.3125072 51.2294807)",20,,,,,
"[966988464, 92932484]",False,Frans Van Hamstraat,"['living_street', 'residential']",True,220.858,"LINESTRING (5.3137015 51.2284853, 5.3133199 51.2284091, 5.3131393 51.2283759, 5.3127832 51.2283198, 5.3125978 51.2283015, 5.312371 51.2282831, 5.3122786 51.2282756, 5.3118186 51.2282055, 5.3111097 51.2280862, 5.310643 51.227976)","['20', '30']",,,,,
"[197590896, 197590897]",False,Rodekruisstraat,residential,False,138.69299999999998,"LINESTRING (5.3101824 51.228936, 5.3097741 51.2288349, 5.3084848 51.2285233, 5.30832 51.2284953)","['30', '50']",,,,,
428536644,True,Einderpad,residential,False,111.463,"LINESTRING (5.3101824 51.228936, 5.3102342 51.2288219, 5.310643 51.227976)",50,,,,,
