osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,junction,maxspeed,access
1228410980,,,unclassified,False,False,12.193999999999999,,"LINESTRING (3.9343567 51.1733532, 3.9344329 51.1733124, 3.9344904 51.1732825)",,,,no
38076561,,Heidestraat,residential,False,False,196.66400000000002,,"LINESTRING (3.9386506 51.1766818, 3.9387625 51.1767767, 3.9392565 51.1783173, 3.9392557 51.1783612, 3.9392551 51.1783965)",,,,
38076561,,Heidestraat,residential,False,True,38.868,,"LINESTRING (3.9386506 51.1766818, 3.9384591 51.1765958, 3.9383282 51.1765322, 3.9382296 51.1764561)",,,,
71816236,,Heidestraat,residential,False,True,31.618,,"LINESTRING (3.9386506 51.1766818, 3.9385671 51.1765768, 3.9385248 51.1764119)",,,,
38076559,,Bloemisterijhof,residential,False,True,24.869,,"LINESTRING (3.9388397 51.1752385, 3.9389105 51.1754577)",,,,
69727190,,Dorpvaart,tertiary,False,True,8.666,,"LINESTRING (3.9391314 51.1783887, 3.9392551 51.1783965)",,,,
156827374,,Boekweithof,residential,False,True,102.935,,"LINESTRING (3.943386 51.1766109, 3.9432103 51.1766132, 3.9428688 51.1766174, 3.9423996 51.1766232, 3.9419097 51.1766293)",,,,
156936962,N433,Opperstraat,secondary,False,False,205.39299999999997,,"LINESTRING (3.9344448 51.1734464, 3.9345648 51.1734373, 3.9347262 51.1734241, 3.9348516 51.1734324, 3.9354107 51.1735565, 3.9358595 51.1736589, 3.9367309 51.1738577, 3.9371079 51.1739338, 3.9372434 51.1739612)",,,,
217429096,N433,Statiestraat,secondary,True,False,21.031,,"LINESTRING (3.9344448 51.1734464, 3.9344453 51.1734779, 3.9344342 51.1735087, 3.9344122 51.173537, 3.9343803 51.1735614, 3.9343404 51.1735806, 3.9342945 51.1735934)",1,roundabout,50,
217429094,N433,Statiestraat,secondary,True,False,17.834,,"LINESTRING (3.9342945 51.1735934, 3.9342313 51.1735997, 3.934168 51.1735942, 3.9341099 51.1735773, 3.9340623 51.1735506)",1,roundabout,50,
353668737,,Boekweithof,residential,False,True,173.57999999999998,,"LINESTRING (3.9428649 51.1763474, 3.942847 51.1762314, 3.9427895 51.1761872, 3.9427576 51.176032, 3.9427335 51.1759723, 3.9418217 51.1760437, 3.9417954 51.1760875, 3.9419097 51.1766293)",,,,
353668737,,Boekweithof,residential,False,True,50.39,,"LINESTRING (3.9419097 51.1766293, 3.941187 51.1766383)",,,,
156827374,,Boekweithof,residential,False,False,102.935,,"LINESTRING (3.9419097 51.1766293, 3.9423996 51.1766232, 3.9428688 51.1766174, 3.9432103 51.1766132, 3.943386 51.1766109)",,,,
353668737,,Boekweithof,residential,False,False,173.58000000000004,,"LINESTRING (3.9419097 51.1766293, 3.9417954 51.1760875, 3.9418217 51.1760437, 3.9427335 51.1759723, 3.9427576 51.176032, 3.9427895 51.1761872, 3.942847 51.1762314, 3.9428649 51.1763474)",,,,
38112082,,Dorpvaart,tertiary,False,False,33.77,,"LINESTRING (3.9397374 51.1784251, 3.9392551 51.1783965)",,,,
38112082,,Dorpvaart,tertiary,False,True,130.0,,"LINESTRING (3.9397374 51.1784251, 3.9414476 51.1784946, 3.9415984 51.1785008)",,,,
404437202,,Herdershof,residential,False,False,129.867,,"LINESTRING (3.9397374 51.1784251, 3.9397405 51.1783835, 3.9397499 51.1782578, 3.9395219 51.1774452, 3.9396391 51.1774452, 3.9397755 51.1773898)",,,,
404437202,,Herdershof,residential,False,True,129.867,,"LINESTRING (3.9397755 51.1773898, 3.9396391 51.1774452, 3.9395219 51.1774452, 3.9397499 51.1782578, 3.9397405 51.1783835, 3.9397374 51.1784251)",,,,
436993834,,Maluslaan,residential,False,False,77.0,,"LINESTRING (3.9478637 51.1757025, 3.9478107 51.1757605, 3.9478138 51.1759492, 3.9477884 51.1761755, 3.947796 51.1763855)",,,,
"[1257140657, 38112079]",,Maluslaan,residential,False,"[False, True]",103.988,,"LINESTRING (3.9478637 51.1757025, 3.9477987 51.1756596, 3.9477829 51.1756239, 3.9477843 51.1755859, 3.9478304 51.1755137, 3.9479283 51.175363, 3.9479032 51.175077, 3.947941 51.174804)",,,,
436993834,,Maluslaan,residential,False,True,77.0,,"LINESTRING (3.947796 51.1763855, 3.9477884 51.1761755, 3.9478138 51.1759492, 3.9478107 51.1757605, 3.9478637 51.1757025)",,,,
762545561,N433,Hospicestraat,secondary,False,False,38.378,,"LINESTRING (3.9438406 51.1744622, 3.9443867 51.1745058)",,,,
444031468,,Vlinderhof,residential,False,False,325.03000000000003,,"LINESTRING (3.9438406 51.1744622, 3.9436849 51.1753525, 3.9436801 51.1754338, 3.9437569 51.175479, 3.9450688 51.175581, 3.9450768 51.1755817, 3.9451109 51.1755843, 3.9451301 51.1755602, 3.9452379 51.174929, 3.9452934 51.1746331, 3.9452983 51.1745682)",,,,
"[762545561, 1228410979]",N433,Hospicestraat,secondary,False,True,107.10100000000001,,"LINESTRING (3.9438406 51.1744622, 3.9437369 51.1744561, 3.942968 51.1744027, 3.9427385 51.1743846, 3.9425542 51.1743702, 3.9423151 51.1743489)",,,,
39357259,,Herfstvrede,residential,False,False,271.557,,"LINESTRING (3.9435553 51.1741003, 3.9436759 51.1739157, 3.9437334 51.1738277, 3.9438504 51.1736579, 3.9439303 51.173542, 3.9441282 51.1732548, 3.9441662 51.173231, 3.9442267 51.1732154, 3.9442898 51.1732199, 3.9444893 51.1732659, 3.9445629 51.1733465, 3.9444271 51.1736277, 3.9444521 51.1736523, 3.9444819 51.1736941, 3.9444573 51.1739477, 3.9444542 51.1739797, 3.9444294 51.1742347, 3.9444221 51.1743101, 3.9443867 51.1745058)",,,,
39357264,,Lindenplaats,living_street,False,False,68.335,,"LINESTRING (3.9386207 51.1722886, 3.9387044 51.1722394, 3.9394979 51.1721095, 3.9395356 51.1721253)",,,,
"[39357264, 39357262, 561330118]",,"['Lindenplaats', 'Plaisantstraat']","['living_street', 'residential']",False,True,266.96199999999993,,"LINESTRING (3.9386207 51.1722886, 3.937988 51.1723255, 3.9377073 51.1723419, 3.9375143 51.1723571, 3.9374376 51.1724077, 3.9374338 51.17253, 3.93746 51.1726372, 3.937708 51.1733857, 3.9377525 51.1735761, 3.9377482 51.173708, 3.9377162 51.1739357, 3.9377092 51.1739858, 3.9377042 51.1740211)",,,,
514369123,,Lindenplaats,living_street,False,True,69.381,,"LINESTRING (3.9386207 51.1722886, 3.9386889 51.1723105, 3.9389695 51.1723072, 3.9396058 51.1722788)",,,,
514486175,,Bevrijdersstraat,living_street,False,False,17.756,,"LINESTRING (3.9396058 51.1722788, 3.9395356 51.1721253)",,,,
514369123,,Lindenplaats,living_street,False,False,69.381,,"LINESTRING (3.9396058 51.1722788, 3.9389695 51.1723072, 3.9386889 51.1723105, 3.9386207 51.1722886)",,,,
514486175,,Bevrijdersstraat,living_street,False,True,51.078,,"LINESTRING (3.9396058 51.1722788, 3.9396982 51.1724688, 3.9397098 51.1724889, 3.9396759 51.1727273)",,,,
890756040,,Moerbeke Markt,residential,False,False,40.95,,"LINESTRING (3.9413791 51.1738312, 3.9407943 51.1737966)",,,,
38111191,,de Kerchovestraat,residential,False,False,109.744,,"LINESTRING (3.9407943 51.1737966, 3.9409219 51.1728129)",,,,
890756040,,Moerbeke Markt,residential,False,True,40.95,,"LINESTRING (3.9407943 51.1737966, 3.9413791 51.1738312)",,,,
38111191,,de Kerchovestraat,residential,False,True,54.408,,"LINESTRING (3.9407943 51.1737966, 3.9407281 51.1742137, 3.9407172 51.1742835)",,,,
353668741,,Heidewegel,residential,False,False,205.899,,"LINESTRING (3.9350621 51.1763815, 3.9379525 51.1760005)",,,,
926262831,,De Notelaar,residential,False,True,64.246,,"LINESTRING (3.9350621 51.1763815, 3.9348918 51.1758934, 3.9348114 51.1758337)",,,,
926262831,,De Notelaar,residential,False,False,64.246,,"LINESTRING (3.9348114 51.1758337, 3.9348918 51.1758934, 3.9350621 51.1763815)",,,,
1131692183,,Bloemisterijhof,residential,False,True,10.497,,"LINESTRING (3.9398915 51.1761179, 3.9399164 51.176211)",,,,
762545561,N433,Hospicestraat,secondary,False,True,6.023,,"LINESTRING (3.9452983 51.1745682, 3.9452124 51.1745624)",,,,
444031468,,Vlinderhof,residential,False,True,325.03,,"LINESTRING (3.9452983 51.1745682, 3.9452934 51.1746331, 3.9452379 51.174929, 3.9451301 51.1755602, 3.9451109 51.1755843, 3.9450768 51.1755817, 3.9450688 51.175581, 3.9437569 51.175479, 3.9436801 51.1754338, 3.9436849 51.1753525, 3.9438406 51.1744622)",,,,
762545561,N433,Hospicestraat,secondary,False,False,128.434,,"LINESTRING (3.9452983 51.1745682, 3.9454232 51.1745761, 3.946147 51.1746199, 3.9467604 51.1746847, 3.9469742 51.1747116, 3.9471214 51.174728)",,,,
1228410980,,,unclassified,False,True,12.193999999999999,,"LINESTRING (3.9344904 51.1732825, 3.9344329 51.1733124, 3.9343567 51.1733532)",,,,no
