osmid,name,highway,oneway,reversed,length,geometry,width,ref,maxspeed,lanes,junction,tunnel
445032160,Kasárenská,residential,False,False,93.667,"LINESTRING (17.8991508 49.9409735, 17.8986013 49.9412072, 17.8981633 49.9413125, 17.8979922 49.9413537)",,,50,,,
30997640,Kasárenská,residential,False,True,131.663,"LINESTRING (17.8962434 49.9413869, 17.89636 49.9414446, 17.8964709 49.9415, 17.896595 49.9415233, 17.8973862 49.9414468, 17.8979922 49.9413537)",,,50,,,
100611817,Krnovská,primary,False,True,152.828,"LINESTRING (17.8962434 49.9413869, 17.8965893 49.9412324, 17.8969392 49.9410766, 17.8969495 49.941072, 17.8977441 49.9406859, 17.8979637 49.9405732)",,57,50,,,
30999442,Na Rybníčku,residential,True,False,90.257,"LINESTRING (17.8966799 49.9378558, 17.8967241 49.9379013, 17.8973486 49.938544)",,,,,,
"[30999442, 103107957]","['Čapkova', 'Na Rybníčku']",residential,True,False,151.529,"LINESTRING (17.8973486 49.938544, 17.8975685 49.9387455, 17.8978366 49.9389911, 17.8979177 49.9391331, 17.8979133 49.9392373, 17.8978477 49.9393191, 17.8976988 49.9393923, 17.8972128 49.9395452)",,,,,,
76779840,Zacpalova,residential,True,False,58.864,"LINESTRING (17.8973486 49.938544, 17.8967905 49.9386739, 17.8965751 49.938724)",,,,,,
30997633,Masarykova třída,residential,False,False,93.741,"LINESTRING (17.9063675 49.9387597, 17.9062691 49.9386777, 17.9055721 49.9380899)",,,,,,
49302650,Sněmovní,residential,False,False,139.401,"LINESTRING (17.9063675 49.9387597, 17.9062294 49.9388394, 17.9060389 49.9389313, 17.9055853 49.939144, 17.9050441 49.9393565, 17.904861 49.9394267, 17.9047463 49.9394379)",,,,,,
49302650,Sněmovní,residential,False,True,80.383,"LINESTRING (17.9063675 49.9387597, 17.906501 49.9386839, 17.9069742 49.9384219, 17.9072316 49.9382985)",,,,,,
52663539,Na Valech,residential,False,False,39.113,"LINESTRING (17.8997199 49.9398434, 17.9000887 49.940103)",,,,,,
445024608,Pekařská,residential,False,True,58.73,"LINESTRING (17.9028172 49.9401456, 17.9029902 49.9406619)",8,,,,,
"[1201523874, 52564108, 399087398, 399087399]",Mnišská,residential,True,False,199.391,"LINESTRING (17.9028172 49.9401456, 17.9031842 49.940108, 17.9041744 49.9400225, 17.9043431 49.9399976, 17.9047027 49.9398748, 17.9047349 49.9398627, 17.9048314 49.9398265, 17.9049244 49.9397862, 17.9047681 49.9395483, 17.9047603 49.9395086, 17.9047463 49.9394379)","['3.5', '4']",,,,,yes
"[445024608, 52564122, 391087528, 1235563959]","['Horní náměstí', 'Pekařská', 'Mezi Trhy']",residential,False,"[False, True]",297.19700000000006,"LINESTRING (17.9028172 49.9401456, 17.9025787 49.9394338, 17.9025199 49.9392583, 17.9024859 49.9391574, 17.9024549 49.9390929, 17.9025662 49.9390776, 17.9030894 49.9389989, 17.9032527 49.938999, 17.9033101 49.9390031, 17.9035092 49.9390446, 17.9035848 49.9390721, 17.9037313 49.9391145, 17.9040715 49.9392626, 17.90446 49.9394033, 17.9045459 49.9394184, 17.9047463 49.9394379)",8,,,,,
30997638,Matiční,residential,False,True,91.546,"LINESTRING (17.9004208 49.9378227, 17.8998402 49.9370891)",,,,,,
"[1235568242, 52564414]",Popská,residential,False,False,145.727,"LINESTRING (17.9004208 49.9378227, 17.9009959 49.9376052, 17.9018463 49.9373107, 17.9021986 49.9371841)",,,,,,
1235568243,Matiční,residential,False,False,17.271,"LINESTRING (17.9004208 49.9378227, 17.9004758 49.9378932, 17.9005291 49.9379615)",,,,,,
30997634,U Pošty,residential,False,False,78.043,"LINESTRING (17.9029212 49.9368831, 17.9038358 49.9365009)",,,,,,
30997634,U Pošty,residential,False,True,9.4,"LINESTRING (17.9029212 49.9368831, 17.9028109 49.936929)",,,,,,
159813722,Růžová,residential,False,True,96.525,"LINESTRING (17.9029212 49.9368831, 17.9037746 49.9375553)",,,,,,
52565371,Lazebnická,residential,False,True,26.357,"LINESTRING (17.9040865 49.9378121, 17.9042535 49.9379628, 17.9043256 49.9379861)",,,,,,
52565370,Holubí,residential,True,False,61.655,"LINESTRING (17.9043256 49.9379861, 17.9045388 49.9378895, 17.9050322 49.9376689)",,,,,,
52565371,Lazebnická,residential,False,False,26.357,"LINESTRING (17.9043256 49.9379861, 17.9042535 49.9379628, 17.9040865 49.9378121)",,,,,,
30997633,Masarykova třída,residential,False,False,63.153999999999996,"LINESTRING (17.9050322 49.9376689, 17.9047872 49.9374518, 17.9045502 49.9371939)",,,,,,
30997633,Masarykova třída,residential,False,True,35.674,"LINESTRING (17.9050322 49.9376689, 17.9051922 49.9378074, 17.9053459 49.9379178)",,,,,,
30997633,Masarykova třída,residential,False,False,25.082,"LINESTRING (17.9055721 49.9380899, 17.9054337 49.9379786, 17.9053459 49.9379178)",,,,,,
30997633,Masarykova třída,residential,False,True,93.741,"LINESTRING (17.9055721 49.9380899, 17.9062691 49.9386777, 17.9063675 49.9387597)",,,,,,
52565369,Masařská,residential,True,False,65.354,"LINESTRING (17.9055721 49.9380899, 17.9054336 49.9381656, 17.9053263 49.938203, 17.9049374 49.9382554, 17.9047268 49.9382717)",,,,,,
52565373,Drůbeží trh,residential,False,False,54.381,"LINESTRING (17.9043149 49.9384834, 17.904758 49.9388807)",,,,,,
167309788,Masařská,residential,False,False,64.779,"LINESTRING (17.9043149 49.9384834, 17.9036093 49.9388483)",,,,,,
