osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,junction,access,lanes
87543568,,residential,,True,False,86.346,Dolní Valy,"LINESTRING (17.6479856 49.0217146, 17.6478901 49.0216077, 17.6478529 49.0215674, 17.6478135 49.0215345, 17.6477672 49.021504, 17.6477054 49.0214716, 17.6476617 49.0214539, 17.6475826 49.02143, 17.6473717 49.0213689, 17.6473124 49.0213539, 17.6472812 49.0213393, 17.6472534 49.0213216, 17.6472405 49.0213062, 17.6472273 49.0212848, 17.6471845 49.0211952)",,,
159698582,05019,tertiary,50,False,True,31.668,Pod Valy,"LINESTRING (17.6471845 49.0211952, 17.6474189 49.0211666, 17.6476126 49.0211476)",,,
234093319,05019,tertiary,50,False,False,291.716,Pod Valy,"LINESTRING (17.6471845 49.0211952, 17.6467548 49.0212693, 17.6462883 49.0213663, 17.6459355 49.0214499, 17.6457435 49.0215038, 17.6455548 49.0215689, 17.6452634 49.0216816, 17.6449961 49.0218094, 17.6449518 49.0218308, 17.6447466 49.0219349, 17.6444354 49.0221119, 17.6442336 49.0222356, 17.6440525 49.0223569, 17.6438203 49.0225189)",,,
48143356,,residential,50,True,False,93.3,Bří Lužů,"LINESTRING (17.647482 49.0234053, 17.6476815 49.0225765)",,,
48203557,,residential,,False,True,110.188,Naardenská,"LINESTRING (17.6459998 49.0234423, 17.6459958 49.0232056, 17.6459927 49.0231638, 17.6460044 49.0227947, 17.6460001 49.0224515)",,,
85526136,,residential,,True,False,108.297,Pecháčkova,"LINESTRING (17.6459998 49.0234423, 17.6461145 49.0234515, 17.6465349 49.0234348, 17.6469652 49.0234131, 17.6474263 49.0234055, 17.647482 49.0234053)",,,
48143357,,residential,,True,False,105.668,Komenského,"LINESTRING (17.6446922 49.0234778, 17.6447445 49.0243667, 17.6447598 49.0244266)",,,
85526136,,residential,,True,False,95.71300000000001,Pecháčkova,"LINESTRING (17.6446922 49.0234778, 17.6459158 49.0234282, 17.6459998 49.0234423)",,,
48143357,,residential,,True,False,8.171,Komenského,"LINESTRING (17.644687 49.0234044, 17.6446922 49.0234778)",,,
"[87548882, 36886532]",,residential,50,True,False,263.098,"['U Sboru', 'Pecháčkova']","LINESTRING (17.644687 49.0234044, 17.6440841 49.02348, 17.6436051 49.023596, 17.6429965 49.0238173, 17.6422182 49.0243738, 17.6421644 49.0244186, 17.6421389 49.0244591, 17.6421261 49.0244795, 17.6421668 49.0247727)",,,
397932199,,residential,50,True,False,93.419,U Sboru,"LINESTRING (17.6421668 49.0247727, 17.6423041 49.025608)",,,
36886531,,residential,50,True,False,75.186,Nerudova,"LINESTRING (17.643163 49.024605, 17.6426399 49.0246681, 17.6421668 49.0247727)",,,
48203556,,residential,50,True,False,99.337,Hodinářská,"LINESTRING (17.6432895 49.0254945, 17.643163 49.024605)",,,
48143340,49027,tertiary,50,False,False,120.61600000000001,Hradišťská,"LINESTRING (17.6432895 49.0254945, 17.6440077 49.0254278, 17.6447303 49.0253686, 17.6448389 49.0253667, 17.6448883 49.0253699, 17.6449103 49.0253741, 17.6449282 49.0253791)",,,
48143340,49027,tertiary,50,False,True,72.949,Hradišťská,"LINESTRING (17.6432895 49.0254945, 17.6427729 49.0255527, 17.6423041 49.025608)",,,
85068637,,residential,,False,False,95.28399999999999,Malá,"LINESTRING (17.6432895 49.0254945, 17.6433047 49.0256073, 17.6435348 49.0263355)",,,
