osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,tunnel,bridge,junction
293391651,2,,Strada Liviu Rebreanu,residential,50,,False,True,192.545,"LINESTRING (25.5782083 45.5018755, 25.5761406 45.5009278)",,,
30813504,2,,Strada Mihai Eminescu,residential,50,,False,True,535.1289999999999,"LINESTRING (25.5782083 45.5018755, 25.5782965 45.5020702, 25.5784423 45.5023987, 25.5786677 45.5031318, 25.5788105 45.5038883, 25.578864 45.5042234, 25.5789747 45.505389, 25.5789692 45.5054746, 25.5789396 45.5055599, 25.5788364 45.5057353, 25.5788049 45.5058555, 25.5788168 45.5059789, 25.5789343 45.5064131, 25.578955 45.5065026, 25.5789747 45.5066058)",,,
293391651,2,,Strada Liviu Rebreanu,residential,50,,False,False,367.555,"LINESTRING (25.5782083 45.5018755, 25.5786865 45.5021115, 25.5789963 45.5022701, 25.5791878 45.5023795, 25.5793643 45.5024935, 25.5795361 45.5026233, 25.5796883 45.5027632, 25.5797991 45.5028853, 25.5798991 45.5030229, 25.5800054 45.503206, 25.5801091 45.5034369, 25.5801715 45.5036179, 25.5802305 45.5038172, 25.5802519 45.5039488, 25.5802519 45.5040597, 25.5802358 45.5041499, 25.5802063 45.5042383, 25.5801795 45.5043191, 25.5801715 45.5044131, 25.5801822 45.504509, 25.5802079 45.5046128)",,,
293391651,2,,Strada Liviu Rebreanu,residential,50,,False,True,367.55500000000006,"LINESTRING (25.5802079 45.5046128, 25.5801822 45.504509, 25.5801715 45.5044131, 25.5801795 45.5043191, 25.5802063 45.5042383, 25.5802358 45.5041499, 25.5802519 45.5040597, 25.5802519 45.5039488, 25.5802305 45.5038172, 25.5801715 45.5036179, 25.5801091 45.5034369, 25.5800054 45.503206, 25.5798991 45.5030229, 25.5797991 45.5028853, 25.5796883 45.5027632, 25.5795361 45.5026233, 25.5793643 45.5024935, 25.5791878 45.5023795, 25.5789963 45.5022701, 25.5786865 45.5021115, 25.5782083 45.5018755)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,False,114.57900000000001,"LINESTRING (25.5802079 45.5046128, 25.5802548 45.5044648, 25.5803279 45.5043336, 25.5804152 45.504245, 25.5805364 45.5041728, 25.5806639 45.5041257, 25.5807888 45.5041091, 25.5809342 45.5041209, 25.5810678 45.5041538, 25.5812057 45.504236)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,True,243.63000000000002,"LINESTRING (25.5802079 45.5046128, 25.5801784 45.5048054, 25.5801432 45.5049511, 25.580081 45.5050972, 25.5799906 45.5052235, 25.5798208 45.5054353, 25.5794844 45.5058594, 25.5792528 45.506182, 25.5789747 45.5066058)",,,
293391650,2,,Strada Liviu Rebreanu,residential,RO:urban,,False,False,40.022,"LINESTRING (25.5757203 45.500721, 25.5761406 45.5009278)",,,
293391650,2,,Strada Liviu Rebreanu,residential,RO:urban,,False,True,18.472,"LINESTRING (25.5757203 45.500721, 25.5756192 45.5006641, 25.57554 45.5006133)",,,
30813517,,,Strada Unirii,residential,RO:urban,,False,False,59.369,"LINESTRING (25.5715605 45.4994201, 25.5719053 45.4996506, 25.5721156 45.4997857)",,,
31747307,,,Strada Independenței,residential,RO:urban,,False,True,278.09800000000007,"LINESTRING (25.5715605 45.4994201, 25.5714125 45.4995646, 25.5713538 45.4996286, 25.571309 45.4996804, 25.571278 45.4997397, 25.5712537 45.4998112, 25.5712387 45.4998835, 25.5712116 45.4999781, 25.5711716 45.5000424, 25.5711204 45.5000854, 25.5710424 45.500107, 25.5709655 45.5001037, 25.57089 45.5000744, 25.5708428 45.5000282, 25.5708148 45.4999608, 25.5708089 45.4998942, 25.5708249 45.4998023, 25.570858 45.4997061, 25.5708996 45.4996268, 25.5709512 45.4995413, 25.5710373 45.4994048, 25.5710806 45.4993172, 25.5711136 45.4992045, 25.5711252 45.4991002, 25.5711173 45.4990068, 25.5710898 45.4989276, 25.5710437 45.4988655, 25.5709759 45.4988232, 25.5708976 45.4988151, 25.5708504 45.4988233, 25.5707946 45.4988572, 25.5707598 45.4988962, 25.5707315 45.4989534)",,,
691375353,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,9.882,"LINESTRING (25.5734517 45.4990979, 25.5734049 45.4990153)",,,
"[691375353, 973273382]",2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,196.85799999999998,"LINESTRING (25.5734517 45.4990979, 25.5736367 45.4994187, 25.5736704 45.4994771, 25.5738469 45.4997833, 25.5739011 45.4998917, 25.573946 45.4999959, 25.5739903 45.5001182, 25.5740306 45.5002474, 25.5740671 45.5003874, 25.5740901 45.5005051, 25.5741093 45.5006441, 25.574127 45.5007918)",,,
30813517,,,Strada Unirii,residential,RO:urban,,False,True,59.369,"LINESTRING (25.5721156 45.4997857, 25.5719053 45.4996506, 25.5715605 45.4994201)",,,
31746988,,,Strada Unirii,residential,RO:urban,,False,False,182.29999999999998,"LINESTRING (25.5721156 45.4997857, 25.5722424 45.4997755, 25.5723611 45.4997844, 25.5724481 45.4998247, 25.5725172 45.4998832, 25.5725776 45.4999691, 25.5726826 45.5002377, 25.5727538 45.5003992, 25.5728168 45.5005341, 25.5728879 45.5006764, 25.5729526 45.5007966, 25.5730601 45.5009827, 25.5731244 45.5011279)",,,
865842645,,,Strada Unirii,residential,RO:urban,,False,False,100.30199999999999,"LINESTRING (25.5721156 45.4997857, 25.5720343 45.4998228, 25.571971 45.4998883, 25.5719448 45.4999771, 25.571939 45.5000719, 25.5719488 45.5001752, 25.5719727 45.5002838, 25.5719922 45.5003616, 25.5720257 45.5005178, 25.5720377 45.5006365)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,False,146.87099999999998,"LINESTRING (25.5731244 45.5011279, 25.5731416 45.5012767, 25.573141 45.5014227, 25.5731295 45.5015271, 25.5731062 45.5016481, 25.5730615 45.5018073, 25.573012 45.5019212, 25.5729364 45.502028, 25.5728298 45.5021216, 25.5727393 45.5021908, 25.5726351 45.5022511, 25.5725201 45.5022908)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,False,86.71799999999999,"LINESTRING (25.5731244 45.5011279, 25.5732399 45.5010766, 25.5733613 45.5010322, 25.574127 45.5007918)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,True,228.353,"LINESTRING (25.5731244 45.5011279, 25.5728042 45.5012958, 25.5723481 45.5015137, 25.5721037 45.5016156, 25.5718463 45.5017152, 25.5708281 45.5020623, 25.570582 45.5021358)",,,
31746988,,,Strada Unirii,residential,RO:urban,,False,True,182.29999999999998,"LINESTRING (25.5731244 45.5011279, 25.5730601 45.5009827, 25.5729526 45.5007966, 25.5728879 45.5006764, 25.5728168 45.5005341, 25.5727538 45.5003992, 25.5726826 45.5002377, 25.5725776 45.4999691, 25.5725172 45.4998832, 25.5724481 45.4998247, 25.5723611 45.4997844, 25.5722424 45.4997755, 25.5721156 45.4997857)",,,
30813504,2,,Strada Mihai Eminescu,residential,50,,False,False,535.129,"LINESTRING (25.5789747 45.5066058, 25.578955 45.5065026, 25.5789343 45.5064131, 25.5788168 45.5059789, 25.5788049 45.5058555, 25.5788364 45.5057353, 25.5789396 45.5055599, 25.5789692 45.5054746, 25.5789747 45.505389, 25.578864 45.5042234, 25.5788105 45.5038883, 25.5786677 45.5031318, 25.5784423 45.5023987, 25.5782965 45.5020702, 25.5782083 45.5018755)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,False,243.63,"LINESTRING (25.5789747 45.5066058, 25.5792528 45.506182, 25.5794844 45.5058594, 25.5798208 45.5054353, 25.5799906 45.5052235, 25.580081 45.5050972, 25.5801432 45.5049511, 25.5801784 45.5048054, 25.5802079 45.5046128)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,True,68.01100000000001,"LINESTRING (25.5789747 45.5066058, 25.5788281 45.5068923, 25.5787491 45.5070256, 25.5786462 45.5071717)",,,
28194422,2,DC15,Bulevardul Libertății,tertiary,50,,False,False,6.49,"LINESTRING (25.5824441 45.5052772, 25.5824973 45.5053221)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,True,150.726,"LINESTRING (25.5824441 45.5052772, 25.5812057 45.504236)",,,
31723137,2,,Strada Muncii,residential,50,,False,False,120.629,"LINESTRING (25.5824441 45.5052772, 25.5823819 45.5053064, 25.5811579 45.5058808)",,,
31723137,2,,Strada Muncii,residential,50,,False,False,242.929,"LINESTRING (25.5811579 45.5058808, 25.5806684 45.5061136, 25.5800939 45.5063775, 25.5798042 45.5065242, 25.5793483 45.5067836, 25.5790425 45.5069528, 25.5786462 45.5071717)",,,
31723137,2,,Strada Muncii,residential,50,,False,True,120.629,"LINESTRING (25.5811579 45.5058808, 25.5823819 45.5053064, 25.5824441 45.5052772)",,,
31723183,2,,Strada Eroilor,residential,50,,True,False,578.612,"LINESTRING (25.5775844 45.5053777, 25.5771797 45.5054704, 25.5769499 45.5048743, 25.576939 45.5046499, 25.5769115 45.5044156, 25.5768837 45.504267, 25.5767311 45.5036783, 25.5760725 45.5019874, 25.5756639 45.5011777, 25.5756302 45.5010503, 25.5756285 45.5009374, 25.5757203 45.500721)",,,
31723273,,,Strada Parcului,residential,RO:urban,,False,False,68.153,"LINESTRING (25.5725201 45.5022908, 25.5726744 45.5028941)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,False,68.08700000000002,"LINESTRING (25.5725201 45.5022908, 25.5722932 45.5023329, 25.572096 45.5023665, 25.5719445 45.5024085, 25.5718665 45.5024455, 25.5718055 45.5024894, 25.5717444 45.5025371)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,True,146.871,"LINESTRING (25.5725201 45.5022908, 25.5726351 45.5022511, 25.5727393 45.5021908, 25.5728298 45.5021216, 25.5729364 45.502028, 25.573012 45.5019212, 25.5730615 45.5018073, 25.5731062 45.5016481, 25.5731295 45.5015271, 25.573141 45.5014227, 25.5731416 45.5012767, 25.5731244 45.5011279)",,,
31723273,,,Strada Parcului,residential,RO:urban,,False,True,61.53999999999999,"LINESTRING (25.5728466 45.5034341, 25.5727982 45.5032634, 25.5727176 45.5030363, 25.5726744 45.5028941)",,,
31747449,,,Strada Belvedere,residential,RO:urban,,True,False,308.27500000000003,"LINESTRING (25.5728466 45.5034341, 25.5728387 45.5036411, 25.5728167 45.50379, 25.5727733 45.5039951, 25.5727121 45.5042376, 25.5727046 45.504356, 25.5727078 45.5044483, 25.5727203 45.5045387, 25.572799 45.5050779, 25.572851 45.5054397, 25.572867 45.5055864, 25.5728719 45.5057026, 25.5728763 45.5058057, 25.5728854 45.505939, 25.572902 45.5060403, 25.572956 45.5061883)",,,
180758087,2,,Strada Căprioarei,residential,50,,False,False,116.83200000000001,"LINESTRING (25.5728466 45.5034341, 25.5730476 45.5035391, 25.5732056 45.5036403, 25.5734652 45.5038568, 25.5735937 45.503966, 25.5737061 45.5040414, 25.5738386 45.504102, 25.5739448 45.5041332)",,,
180758087,2,,Strada Căprioarei,residential,50,,False,True,74.09500000000001,"LINESTRING (25.5728466 45.5034341, 25.5726245 45.5033581, 25.5723887 45.5032966, 25.5721743 45.5032589, 25.5719475 45.5032284)",,,
95381978,,,Strada Șoimului,residential,RO:urban,,True,False,49.897999999999996,"LINESTRING (25.572956 45.5061883, 25.5729968 45.5061587, 25.5731799 45.5060608, 25.5732565 45.5060069, 25.5734082 45.5058741)",,,
95381971,,,Strada Doctor Istrate,residential,RO:urban,,False,False,78.482,"LINESTRING (25.5719475 45.5032284, 25.5717444 45.5025371)",,,
180758087,2,,Strada Căprioarei,residential,50,,False,False,74.095,"LINESTRING (25.5719475 45.5032284, 25.5721743 45.5032589, 25.5723887 45.5032966, 25.5726245 45.5033581, 25.5728466 45.5034341)",,,
31747652,,,Strada Armata Română,residential,50,,True,False,184.05,"LINESTRING (25.5714262 45.5054808, 25.5715287 45.5053847, 25.5715942 45.5053091, 25.5716489 45.5052223, 25.5716981 45.5050349, 25.5717032 45.5049328, 25.5716842 45.5048495, 25.5716467 45.5047754, 25.571585 45.5046711, 25.5713751 45.5043805, 25.5713207 45.5043079, 25.5711666 45.5041483, 25.5709979 45.5040088)",,,
87008460,,,Strada Brândușelor,residential,50,,False,True,119.651,"LINESTRING (25.5714262 45.5054808, 25.5713645 45.5053952, 25.5712959 45.50531, 25.5712157 45.5052412, 25.5711191 45.5051626, 25.5709204 45.5050043, 25.570681 45.5048286, 25.5706126 45.5047926, 25.5705121 45.5047565, 25.5703807 45.5047265)",,,
31747652,,,Strada Armata Română,residential,50,,True,False,288.87,"LINESTRING (25.5709979 45.5040088, 25.5708326 45.503913, 25.570562 45.5037876, 25.5704623 45.5037294, 25.5704228 45.503689, 25.5704043 45.5036462, 25.5704119 45.5036011, 25.5704476 45.5035486, 25.5705272 45.5035117, 25.5706172 45.5035003, 25.570723 45.5035025, 25.5708463 45.5035209, 25.5710556 45.5035644, 25.5712569 45.5036155, 25.5714674 45.503683, 25.5716216 45.5037445, 25.5717517 45.5038042, 25.5718852 45.5038659, 25.5719828 45.5038945, 25.5720634 45.5038897, 25.5721121 45.5038582, 25.5721312 45.503813, 25.572136 45.5037358, 25.5721215 45.5036476, 25.572107 45.5035857, 25.57207 45.503492, 25.5719922 45.5033334, 25.5719475 45.5032284)",,,
865098969,,,,living_street,20,,False,True,43.057,"LINESTRING (25.5709979 45.5040088, 25.5708017 45.5041237, 25.5705791 45.5042613)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,True,135.722,"LINESTRING (25.570582 45.5021358, 25.5706049 45.5025389, 25.5708283 45.5025741, 25.5710592 45.5026013, 25.5712637 45.502613, 25.5714396 45.5026041, 25.5715686 45.5025854, 25.5716606 45.5025663, 25.5717444 45.5025371)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,False,228.353,"LINESTRING (25.570582 45.5021358, 25.5708281 45.5020623, 25.5718463 45.5017152, 25.5721037 45.5016156, 25.5723481 45.5015137, 25.5728042 45.5012958, 25.5731244 45.5011279)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,True,53.197,"LINESTRING (25.570582 45.5021358, 25.5703534 45.5021829, 25.5701171 45.5022214, 25.5699185 45.5022461)",,,
95381971,,,Strada Doctor Istrate,residential,RO:urban,,False,True,78.482,"LINESTRING (25.5717444 45.5025371, 25.5719475 45.5032284)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,False,135.722,"LINESTRING (25.5717444 45.5025371, 25.5716606 45.5025663, 25.5715686 45.5025854, 25.5714396 45.5026041, 25.5712637 45.502613, 25.5710592 45.5026013, 25.5708283 45.5025741, 25.5706049 45.5025389, 25.570582 45.5021358)",,,
31723320,,,Strada Ștefan cel Mare,residential,RO:urban,,False,True,68.087,"LINESTRING (25.5717444 45.5025371, 25.5718055 45.5024894, 25.5718665 45.5024455, 25.5719445 45.5024085, 25.572096 45.5023665, 25.5722932 45.5023329, 25.5725201 45.5022908)",,,
30813511,,,Strada Vârful cu Dor,residential,RO:urban,,False,False,146.61,"LINESTRING (25.5720377 45.5006365, 25.5720365 45.5007213, 25.5720231 45.5007828, 25.5719909 45.5008481, 25.5719308 45.5009012, 25.5718563 45.5009443, 25.5717834 45.5009737, 25.5714075 45.5010613, 25.5712345 45.5011155, 25.5710052 45.5011978, 25.5707581 45.5012633, 25.5705763 45.5012968)",,,
87008353,,,Strada Aurel Vlaicu,residential,RO:urban,,False,True,95.46099999999998,"LINESTRING (25.5720377 45.5006365, 25.5719195 45.5005878, 25.5717693 45.5005314, 25.5716329 45.5004952, 25.5714302 45.5004761, 25.571226 45.5004795, 25.5708676 45.5005186)",,,
865842645,,,Strada Unirii,residential,RO:urban,,False,True,100.30199999999999,"LINESTRING (25.5720377 45.5006365, 25.5720257 45.5005178, 25.5719922 45.5003616, 25.5719727 45.5002838, 25.5719488 45.5001752, 25.571939 45.5000719, 25.5719448 45.4999771, 25.571971 45.4998883, 25.5720343 45.4998228, 25.5721156 45.4997857)",,,
"[31723340, 397201973]",,,Strada Clăbucet,residential,RO:urban,,False,False,235.928,"LINESTRING (25.580344 45.49827, 25.5803693 45.4983884, 25.5803525 45.4984601, 25.5803089 45.4985488, 25.5799988 45.4987422, 25.5797595 45.4988407, 25.5796468 45.498902, 25.5795878 45.4989565, 25.5794917 45.4990511, 25.5794336 45.4991266, 25.5793916 45.4992585, 25.5794065 45.4993487, 25.579447 45.4994214, 25.5795114 45.4994719, 25.5796239 45.4995004, 25.5798063 45.4995276, 25.5799001 45.499553, 25.5799549 45.4995815, 25.580001 45.4996394, 25.5800348 45.4997115, 25.5800576 45.4997833, 25.5800637 45.4998426)",,,
95381973,,,Strada Panduri,residential,50,,False,False,98.31400000000001,"LINESTRING (25.5734082 45.5058741, 25.5737609 45.5055406, 25.5740352 45.5052858, 25.5740777 45.5052546, 25.5741953 45.5051868)",,,
95381973,,,Strada Panduri,residential,50,,False,True,98.314,"LINESTRING (25.5741953 45.5051868, 25.5740777 45.5052546, 25.5740352 45.5052858, 25.5737609 45.5055406, 25.5734082 45.5058741)",,,
"[694464011, 411236574]",2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,118.83399999999999,"LINESTRING (25.5741953 45.5051868, 25.5741465 45.5050136, 25.5741194 45.5049175, 25.5741076 45.5048746, 25.5740449 45.504647, 25.5739925 45.5044156, 25.5739557 45.5042146, 25.5739448 45.5041332)",,,
694464012,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,85.399,"LINESTRING (25.5741953 45.5051868, 25.5742291 45.505294, 25.5743976 45.5058276, 25.5744254 45.5059376)",,,
354385062,1,,Strada Cerna,living_street,30,,False,True,88.744,"LINESTRING (25.5812057 45.504236, 25.5821443 45.5037841)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,False,150.726,"LINESTRING (25.5812057 45.504236, 25.5824441 45.5052772)",,,
31746378,2,,Strada Vasile Alecsandri,residential,50,,False,False,211.387,"LINESTRING (25.5812057 45.504236, 25.5811717 45.5040519, 25.5811227 45.5038532, 25.5810482 45.5036231, 25.5809409 45.5033903, 25.5805598 45.5027803, 25.5804456 45.5026361, 25.5802702 45.5024754)",,,
48388315,1,,,residential,50,,True,False,183.54,"LINESTRING (25.5812057 45.504236, 25.5811587 45.5043563, 25.5811365 45.5044478, 25.5811524 45.5055113, 25.5811579 45.5058808)",,,
395959666,2,DC15,Bulevardul Libertății,tertiary,50,,False,True,114.57900000000001,"LINESTRING (25.5812057 45.504236, 25.5810678 45.5041538, 25.5809342 45.5041209, 25.5807888 45.5041091, 25.5806639 45.5041257, 25.5805364 45.5041728, 25.5804152 45.504245, 25.5803279 45.5043336, 25.5802548 45.5044648, 25.5802079 45.5046128)",,,
30813511,,,Strada Vârful cu Dor,residential,RO:urban,,False,True,146.61,"LINESTRING (25.5705763 45.5012968, 25.5707581 45.5012633, 25.5710052 45.5011978, 25.5712345 45.5011155, 25.5714075 45.5010613, 25.5717834 45.5009737, 25.5718563 45.5009443, 25.5719308 45.5009012, 25.5719909 45.5008481, 25.5720231 45.5007828, 25.5720365 45.5007213, 25.5720377 45.5006365)",,,
87008270,,,Strada Plăieșilor,residential,RO:urban,,False,True,93.62100000000001,"LINESTRING (25.5705763 45.5012968, 25.5706941 45.5011905, 25.5707798 45.501088, 25.5708522 45.5009724, 25.5708965 45.5008643, 25.5709166 45.5007929, 25.5709147 45.5007186, 25.5708991 45.5006396, 25.5708676 45.5005186)",,,
691375363,,,Strada Plăieșilor,residential,RO:urban,,False,False,120.885,"LINESTRING (25.5705763 45.5012968, 25.5700909 45.5017531, 25.5699861 45.5018888, 25.5699365 45.5019951, 25.569917 45.502108, 25.5699185 45.5022461)",,,
293391650,2,,Strada Liviu Rebreanu,residential,RO:urban,,False,True,40.022,"LINESTRING (25.5761406 45.5009278, 25.5757203 45.500721)",,,
293391651,2,,Strada Liviu Rebreanu,residential,50,,False,False,192.545,"LINESTRING (25.5761406 45.5009278, 25.5782083 45.5018755)",,,
"[48388312, 693468206]",2,,Strada Eroilor,residential,50,,True,False,512.962,"LINESTRING (25.5761406 45.5009278, 25.5763357 45.5012804, 25.5768373 45.5021423, 25.5771292 45.5026838, 25.5771988 45.5028621, 25.577259 45.5030681, 25.5774041 45.5037012, 25.5774735 45.5041488, 25.5774725 45.5048854, 25.5774809 45.5050706, 25.577524 45.5052584, 25.5775844 45.5053777)",,,
694464012,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,85.399,"LINESTRING (25.5744254 45.5059376, 25.5743976 45.5058276, 25.5742291 45.505294, 25.5741953 45.5051868)",,,
87007561,,,,residential,RO:urban,,False,False,49.511,"LINESTRING (25.5775717 45.4999592, 25.5777118 45.4995249)",,,
87007561,,,,residential,RO:urban,,False,True,49.511,"LINESTRING (25.5777118 45.4995249, 25.5775717 45.4999592)",,,
"[321657418, 31746798]",1,,Strada Teleferic,residential,40,,True,False,185.527,"LINESTRING (25.5777118 45.4995249, 25.5785408 45.4997249, 25.5789303 45.499871, 25.5791835 45.49996, 25.5793146 45.4999976, 25.5794192 45.5000127, 25.5795292 45.5000146, 25.5796043 45.5000052, 25.5797545 45.499977, 25.5799331 45.4999349)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,False,53.197,"LINESTRING (25.5699185 45.5022461, 25.5701171 45.5022214, 25.5703534 45.5021829, 25.570582 45.5021358)",,,
691375363,,,Strada Plăieșilor,residential,RO:urban,,False,True,120.885,"LINESTRING (25.5699185 45.5022461, 25.569917 45.502108, 25.5699365 45.5019951, 25.5699861 45.5018888, 25.5700909 45.5017531, 25.5705763 45.5012968)",,,
183848264,2,DC15,Strada Teleferic,tertiary,40,,False,False,73.376,"LINESTRING (25.574387 45.4987327, 25.5745537 45.4987134, 25.574746 45.4987244, 25.5749312 45.4987791, 25.5750586 45.4988383, 25.5752088 45.4989564)",,,
"[183848264, 30813424, 183848268]",2,DC15,Strada Teleferic,tertiary,"['40', '30']",,False,True,82.75999999999999,"LINESTRING (25.574387 45.4987327, 25.5741962 45.4987815, 25.5736191 45.4989503, 25.5734049 45.4990153)",yes,,
