osmid,name,highway,maxspeed,width,oneway,reversed,length,tunnel,geometry,bridge,lanes,ref,access
336858991,Kaiser Josef-Straße,secondary,30,,False,False,197.738,,"LINESTRING (16.1709111 48.2050485, 16.1709801 48.2051409, 16.1709999 48.2051632, 16.1710126 48.2051755, 16.1711177 48.20528, 16.1715943 48.2056946, 16.1719095 48.2059387, 16.1722711 48.2061619, 16.1724517 48.2062601, 16.1726614 48.206374)",,,,
21284540,Berggasse,residential,30,,True,False,56.223,,"LINESTRING (16.1706961 48.2054944, 16.1706892 48.2052516, 16.170736 48.2051441, 16.1708756 48.2050679, 16.1709111 48.2050485)",,,,
135450950,Berggasse,residential,30,,False,False,69.083,,"LINESTRING (16.1714725 48.2064436, 16.171275 48.2064954, 16.1710937 48.2065178, 16.1709509 48.2064998, 16.1707743 48.2064432, 16.170586 48.2064751)",,,,
279067915,Berggasse,residential,30,,True,False,125.123,,"LINESTRING (16.1714725 48.2064436, 16.1712389 48.2063409, 16.1711448 48.206286, 16.1710595 48.2062227, 16.1709959 48.2061229, 16.1709109 48.2060163, 16.1706961 48.2054944)",,,,
71089408,Kaiser Josef-Straße,secondary,30,,False,False,31.761,,"LINESTRING (16.1737943 48.2069477, 16.1740875 48.2071069, 16.1741266 48.2071281)",,,,
71089415,Berggasse,residential,30,,True,False,182.092,,"LINESTRING (16.1737943 48.2069477, 16.1731109 48.2068674, 16.1728989 48.206837, 16.1726932 48.2068004, 16.1723799 48.206715, 16.1720612 48.2066223, 16.1716917 48.2065182, 16.1714725 48.2064436)",,,,
336858991,Kaiser Josef-Straße,secondary,30,,False,True,105.582,,"LINESTRING (16.1737943 48.2069477, 16.1731662 48.2065995, 16.1729333 48.2064929, 16.1727679 48.2064216, 16.1727172 48.2063989, 16.1726614 48.206374)",,,,
21285311,Pummergasse,residential,30,4,True,False,119.556,,"LINESTRING (16.1751913 48.2060776, 16.1752378 48.2061034, 16.1755371 48.2062955, 16.1756342 48.2063402, 16.1757557 48.2063867, 16.1759192 48.2064478, 16.1759969 48.206474, 16.1761293 48.2065043, 16.1762753 48.2065253, 16.1763795 48.20657, 16.1764741 48.2066056, 16.1765482 48.2066301)",,,,
"[21285550, 919678447]",Alois-Mayer-Gasse,living_street,20,,True,False,140.985,,"LINESTRING (16.1751913 48.2060776, 16.1748619 48.2063831, 16.17483 48.2064154, 16.1745623 48.2066866, 16.174557 48.206692, 16.1743384 48.2069135, 16.1741622 48.207092, 16.1741266 48.2071281)",,,,yes
27612081,Pummergasse,residential,30,,True,False,96.061,,"LINESTRING (16.1741935 48.2055301, 16.1742646 48.205572, 16.1747656 48.2058047, 16.1751913 48.2060776)",,,,
"[219033952, 21285380]",Schwarzhubergasse,residential,30,5.5,False,True,147.756,,"LINESTRING (16.1741935 48.2055301, 16.1738229 48.2057444, 16.173754 48.2057994, 16.1733678 48.2060113, 16.1731887 48.2060747, 16.1728965 48.20624, 16.1726614 48.206374)",,,,
"[219033952, 21285380]",Schwarzhubergasse,residential,30,5.5,False,False,147.756,,"LINESTRING (16.1726614 48.206374, 16.1728965 48.20624, 16.1731887 48.2060747, 16.1733678 48.2060113, 16.173754 48.2057994, 16.1738229 48.2057444, 16.1741935 48.2055301)",,,,
336858991,Kaiser Josef-Straße,secondary,30,,False,False,105.582,,"LINESTRING (16.1726614 48.206374, 16.1727172 48.2063989, 16.1727679 48.2064216, 16.1729333 48.2064929, 16.1731662 48.2065995, 16.1737943 48.2069477)",,,,
336858991,Kaiser Josef-Straße,secondary,30,,False,True,197.738,,"LINESTRING (16.1726614 48.206374, 16.1724517 48.2062601, 16.1722711 48.2061619, 16.1719095 48.2059387, 16.1715943 48.2056946, 16.1711177 48.20528, 16.1710126 48.2051755, 16.1709999 48.2051632, 16.1709801 48.2051409, 16.1709111 48.2050485)",,,,
71089408,Kaiser Josef-Straße,secondary,30,,False,True,31.761,,"LINESTRING (16.1741266 48.2071281, 16.1740875 48.2071069, 16.1737943 48.2069477)",,,,
278952606,Kaiser Josef-Straße,secondary,30,7.9,False,False,60.5,,"LINESTRING (16.1741266 48.2071281, 16.1744821 48.2073094, 16.1747856 48.207449)",,,,
21286056,Hauptplatz,living_street,20,5.5,False,True,41.987,,"LINESTRING (16.1759296 48.2074461, 16.1758322 48.2076297, 16.1757558 48.2077716, 16.1757395 48.2078018)",,,,
"[437867560, 135450937, 135450941]",Hauptplatz,living_street,20,"['5.8', '6.5']",False,"[False, True]",92.244,,"LINESTRING (16.1759296 48.2074461, 16.1757559 48.2073791, 16.1757208 48.2073332, 16.1756182 48.2073171, 16.1753307 48.207265, 16.1753012 48.2072565, 16.1752819 48.2072496, 16.1752013 48.2073258, 16.1751572 48.2073813, 16.1751541 48.2074489, 16.1751212 48.2074882, 16.1751137 48.2074971, 16.1750685 48.2075497)",,,,
437867561,Hauptplatz,living_street,20,5.8,False,False,23.473,,"LINESTRING (16.1759296 48.2074461, 16.1759793 48.2074255, 16.1760467 48.20741, 16.1762269 48.2073769)",,,,
182991791,Hauptplatz,living_street,20,5.6,False,False,7.196,,"LINESTRING (16.1762269 48.2073769, 16.1763231 48.2073681)",,,,
23325695,Karl-Kurz-Gasse,living_street,20,2.8,False,False,83.21600000000001,,"LINESTRING (16.1762269 48.2073769, 16.176232 48.2073256, 16.1762403 48.2071775, 16.1762487 48.2070453, 16.1762783 48.2069261, 16.1762985 48.2068794, 16.1763714 48.2067955, 16.1764404 48.2067299, 16.17649 48.2066854, 16.1765027 48.2066736)",,,,
437867561,Hauptplatz,living_street,20,5.8,False,True,23.473,,"LINESTRING (16.1762269 48.2073769, 16.1760467 48.20741, 16.1759793 48.2074255, 16.1759296 48.2074461)",,,,
"[298347505, 15805129, 51229405]","['Gablitzbachbrücke', 'Herrengasse']",tertiary,"['50', '30']",,False,"[False, True]",41.172,,"LINESTRING (16.1774867 48.2079853, 16.1774991 48.2080514, 16.1775051 48.2080921, 16.1775208 48.2081785, 16.1775556 48.2083527)",yes,2,L2122,
"[148758481, 807366170, 408844167]",Linzer Straße,primary,50,,False,True,122.333,,"LINESTRING (16.1774867 48.2079853, 16.1772932 48.2080099, 16.1771492 48.2080214, 16.1767082 48.2080523, 16.1765179 48.2080656, 16.1763748 48.2080911, 16.1762309 48.2081359, 16.1761502 48.2081673, 16.1760544 48.2082151, 16.1759916 48.2082531, 16.1759423 48.2082854)",,3,B1,
"[762292288, 762292289, 19127170, 19127172, 881285811]","['Linzer Straße', 'Wiener Straße']",primary,50,,False,False,235.462,yes,"LINESTRING (16.1774867 48.2079853, 16.1776089 48.2079682, 16.1777258 48.207946, 16.1779543 48.2078762, 16.1782104 48.2077651, 16.1784773 48.2076493, 16.1788929 48.2074258, 16.1791371 48.2073337, 16.1793733 48.207261, 16.1796743 48.2071915, 16.1799381 48.2071521, 16.1801632 48.2071289, 16.1803254 48.2071122)",,"['2', '3']",B1,
889200784,Dr.-Hild-Gasse,residential,30,,False,False,122.03,,"LINESTRING (16.1771476 48.2112405, 16.1786804 48.2109923, 16.1787479 48.2109814)",,,,
23325366,Dr.-Hild-Gasse,residential,30,,False,False,136.59699999999998,,"LINESTRING (16.1787479 48.2109814, 16.1786595 48.2107552, 16.1784413 48.2104579, 16.1783743 48.2103667, 16.1782815 48.2098079)",,,,
"[237744371, 889199733, 889200134]",Prof.-Josef-Humplik-Gasse,residential,20,,False,True,225.43200000000002,,"LINESTRING (16.1787479 48.2109814, 16.1793157 48.2111249, 16.1794006 48.2111464, 16.1794382 48.2111483, 16.1798052 48.2111667, 16.180632 48.2111793, 16.1810726 48.211186, 16.1811957 48.211167, 16.1813183 48.2111605, 16.1814039 48.2111481, 16.1814591 48.2111381, 16.181726 48.2110897)",,,,
889200784,Dr.-Hild-Gasse,residential,30,,False,True,122.03,,"LINESTRING (16.1787479 48.2109814, 16.1786804 48.2109923, 16.1771476 48.2112405)",,,,
15805104,Wintergasse,tertiary,30,,False,True,35.075,,"LINESTRING (16.1782815 48.2098079, 16.178205 48.2098135, 16.1778093 48.209829)",,,L2122,
23325366,Dr.-Hild-Gasse,residential,30,,False,True,136.59699999999998,,"LINESTRING (16.1782815 48.2098079, 16.1783743 48.2103667, 16.1784413 48.2104579, 16.1786595 48.2107552, 16.1787479 48.2109814)",,,,
69316492,Wintergasse,tertiary,30,,False,False,214.69399999999996,,"LINESTRING (16.1782815 48.2098079, 16.1788232 48.209756, 16.1790583 48.2097334, 16.1797189 48.2096695, 16.1803219 48.2096111, 16.1804848 48.2095967, 16.18087 48.2095598, 16.1811493 48.209533)",,,L2122,
"[237744371, 889199733, 889200134]",Prof.-Josef-Humplik-Gasse,residential,20,,False,False,225.43200000000002,,"LINESTRING (16.181726 48.2110897, 16.1814591 48.2111381, 16.1814039 48.2111481, 16.1813183 48.2111605, 16.1811957 48.211167, 16.1810726 48.211186, 16.180632 48.2111793, 16.1798052 48.2111667, 16.1794382 48.2111483, 16.1794006 48.2111464, 16.1793157 48.2111249, 16.1787479 48.2109814)",,,,
23325390,Hardt Stremayr-Gasse,residential,30,,False,True,79.801,,"LINESTRING (16.177115 48.2103142, 16.1775128 48.2101676, 16.1776248 48.2101091, 16.1776711 48.2100782, 16.1777046 48.2100554, 16.1777415 48.2100242, 16.1777716 48.2099871, 16.1777903 48.2099555, 16.1778058 48.20992, 16.1778139 48.2098834, 16.1778093 48.209829)",,,,
163963327,Hardt Stremayr-Gasse,living_street,,,False,False,231.77999999999997,,"LINESTRING (16.177115 48.2103142, 16.176163 48.2107117, 16.1759537 48.210794, 16.1755636 48.2109473, 16.1754507 48.2110243, 16.1752984 48.2111441, 16.1751765 48.2112715, 16.1748754 48.2116813)",,,,
"[23325507, 48755685, 48755686]",Bad-Säckingen-Straße,residential,30,,True,False,183.63599999999997,,"LINESTRING (16.1752476 48.2093583, 16.1753211 48.2093761, 16.1754335 48.2094033, 16.1756273 48.2094472, 16.1757125 48.2094653, 16.1759697 48.20952, 16.1762538 48.2095805, 16.1763712 48.209628, 16.1765186 48.2097113, 16.1766132 48.2097834, 16.176763 48.209911, 16.1768009 48.2099433, 16.177115 48.2103142)",yes,,,
"[148758483, 881285812]",Linzer Straße,primary,50,,False,False,130.78,,"LINESTRING (16.1752476 48.2093583, 16.1754037 48.2091816, 16.1755465 48.2089892, 16.1756047 48.2089035, 16.1756481 48.2088246, 16.1757237 48.2086614, 16.1758047 48.2084465, 16.1758508 48.2083832, 16.1758824 48.2083411, 16.1759423 48.2082854)",,"['2', '3']",B1,
23325524,Dr.-Weiß-Gasse,residential,30,5.3,False,False,38.32599999999999,,"LINESTRING (16.1809695 48.2084269, 16.1809954 48.2085926, 16.1810233 48.2087697)",,,,
23325524,Dr.-Weiß-Gasse,residential,30,5.3,False,True,38.32599999999999,,"LINESTRING (16.1810233 48.2087697, 16.1809954 48.2085926, 16.1809695 48.2084269)",,,,
155186900,Dr.-Weiß-Gasse,residential,30,6,True,False,85.387,,"LINESTRING (16.1810233 48.2087697, 16.181135 48.2094463, 16.1811413 48.2094844, 16.1811493 48.209533)",,,,
"[143031234, 69316492]",Wintergasse,tertiary,30,,False,False,184.425,,"LINESTRING (16.1811493 48.209533, 16.1820286 48.2094551, 16.1822291 48.2094374, 16.1827041 48.2093943, 16.1829787 48.2093696, 16.183616 48.2093124)",,,L2122,
69316492,Wintergasse,tertiary,30,,False,True,214.694,,"LINESTRING (16.1811493 48.209533, 16.18087 48.2095598, 16.1804848 48.2095967, 16.1803219 48.2096111, 16.1797189 48.2096695, 16.1790583 48.2097334, 16.1788232 48.209756, 16.1782815 48.2098079)",,,L2122,
23325972,Neugasse,residential,30,,False,False,177.142,,"LINESTRING (16.1731362 48.2073332, 16.1742578 48.2079581, 16.1744531 48.2077697, 16.1747856 48.207449)",,,,
1158267162,Kaiser Josef-Straße,secondary,30,7.9,False,False,23.767,,"LINESTRING (16.1747856 48.207449, 16.1750685 48.2075497)",,,,
23325972,Neugasse,residential,30,,False,True,177.142,,"LINESTRING (16.1747856 48.207449, 16.1744531 48.2077697, 16.1742578 48.2079581, 16.1731362 48.2073332)",,,,
278952606,Kaiser Josef-Straße,secondary,30,7.9,False,True,60.5,,"LINESTRING (16.1747856 48.207449, 16.1744821 48.2073094, 16.1741266 48.2071281)",,,,
163963327,Hardt Stremayr-Gasse,living_street,,,False,True,231.78000000000003,,"LINESTRING (16.1748754 48.2116813, 16.1751765 48.2112715, 16.1752984 48.2111441, 16.1754507 48.2110243, 16.1755636 48.2109473, 16.1759537 48.210794, 16.176163 48.2107117, 16.177115 48.2103142)",,,,
23566734,Pfarrhofgasse,living_street,,,False,False,81.44699999999999,,"LINESTRING (16.1764785 48.2082153, 16.1765272 48.2082173, 16.1767882 48.2082427, 16.1769526 48.2082635, 16.1773819 48.2083254, 16.1774307 48.208332, 16.177477 48.2083344, 16.1774915 48.2083354, 16.1775556 48.2083527)",,,,
15805129,Herrengasse,tertiary,30,,False,False,165.24,,"LINESTRING (16.1775556 48.2083527, 16.1775827 48.2084974, 16.1776852 48.2090399, 16.1778093 48.209829)",,,L2122,
"[15805129, 298347505, 51229405]","['Gablitzbachbrücke', 'Herrengasse']",tertiary,"['30', '50']",,False,"[False, True]",41.172,,"LINESTRING (16.1775556 48.2083527, 16.1775208 48.2081785, 16.1775051 48.2080921, 16.1774991 48.2080514, 16.1774867 48.2079853)",yes,2,L2122,
23566734,Pfarrhofgasse,living_street,,,False,True,81.44699999999999,,"LINESTRING (16.1775556 48.2083527, 16.1774915 48.2083354, 16.177477 48.2083344, 16.1774307 48.208332, 16.1773819 48.2083254, 16.1769526 48.2082635, 16.1767882 48.2082427, 16.1765272 48.2082173, 16.1764785 48.2082153)",,,,
23567031,Schöffelgasse,residential,30,,False,True,97.322,,"LINESTRING (16.1736784 48.203683, 16.1726242 48.2042049)",,,,
40263541,Schöffelgasse,residential,30,,False,True,46.133,,"LINESTRING (16.1736784 48.203683, 16.1737243 48.203625, 16.1737414 48.2035635, 16.1738147 48.2033427, 16.1738343 48.2032835)",,,,
"[174700057, 40263542]",Fürstenberggasse,residential,30,,False,False,148.559,,"LINESTRING (16.1736784 48.203683, 16.1735622 48.2036383, 16.1726891 48.2030653, 16.1720795 48.2032059)",,,,
"[27612070, 1165008841, 161432791, 19127160, 151528570, 19127162]",Fürstenberggasse,residential,30,"['5.3', '6.1', '4.5', '8.4']",False,False,432.664,yes,"LINESTRING (16.1736784 48.203683, 16.1740878 48.2038136, 16.1741693 48.2038715, 16.1744989 48.2044271, 16.1745805 48.204737, 16.1746209 48.2048902, 16.1746593 48.2050491, 16.1746709 48.2051024, 16.1746891 48.2051579, 16.1747239 48.2052014, 16.174774 48.2052519, 16.1749386 48.2054084, 16.1755424 48.205765, 16.1763399 48.2061106, 16.176466 48.2061574, 16.1765426 48.2061855, 16.1766495 48.2062444, 16.1766994 48.2063151, 16.1767273 48.2063595, 16.1767555 48.2064215, 16.1767491 48.2064489, 16.1767411 48.2064779, 16.1767052 48.2065122, 16.1766406 48.2065825, 16.1765482 48.2066301)",,,,
"[174700057, 40263542]",Fürstenberggasse,residential,30,,False,True,148.559,,"LINESTRING (16.1720795 48.2032059, 16.1726891 48.2030653, 16.1735622 48.2036383, 16.1736784 48.203683)",,,,
"[26299505, 69322409]",Tullnerbachstraße,primary,50,,False,False,168.494,,"LINESTRING (16.1750287 48.2045595, 16.1748273 48.2042852, 16.174712 48.204114, 16.174555 48.2038922, 16.1742513 48.2035952, 16.1738343 48.2032835)",yes,2,B44,
"[881287619, 71244623]",Tullnerbachstraße,primary,50,,False,True,239.675,,"LINESTRING (16.1750287 48.2045595, 16.1751596 48.2047744, 16.175306 48.2049485, 16.1754723 48.2051036, 16.1757201 48.2052775, 16.1760149 48.2054161, 16.1763815 48.2055677, 16.1768119 48.2056778, 16.1774814 48.2057822)",,"['2', '3']",B44,
"[27612073, 27612075, 23626753, 789965903]",Wiener Straße,"['living_street', 'residential']","['20', '50']","['3.3', '4.2']",False,True,109.347,,"LINESTRING (16.177507 48.2067351, 16.1775315 48.2066964, 16.1775555 48.2066575, 16.1775508 48.2066233, 16.1775303 48.2065774, 16.1775201 48.2065544, 16.1774697 48.2064403, 16.1774278 48.2063208, 16.1774111 48.2062517, 16.1773677 48.2060891, 16.1773911 48.2060102, 16.177428 48.2059074, 16.1774814 48.2057822)",yes,,,
"[69316504, 437867564]",Wiener Straße,residential,30,,False,False,107.771,,"LINESTRING (16.177507 48.2067351, 16.177743 48.206846, 16.1778602 48.2069109, 16.1779226 48.2069404, 16.1779389 48.2069482, 16.1781141 48.2070497, 16.1781576 48.2070835, 16.1784965 48.2072952, 16.1786195 48.207356)",,,,
"[19127157, 161432793, 27612068, 23626789]",Wiener Straße,residential,30,,False,True,43.21,yes,"LINESTRING (16.177507 48.2067351, 16.1774501 48.2067108, 16.1774025 48.2067001, 16.1773199 48.206702, 16.1772561 48.2067153, 16.1772155 48.206747, 16.1771322 48.2068178, 16.1770545 48.2068772)",,,,
"[23626753, 27612073, 27612075, 789965903]",Wiener Straße,"['residential', 'living_street']","['20', '50']","['3.3', '4.2']",False,False,109.34700000000002,,"LINESTRING (16.1774814 48.2057822, 16.177428 48.2059074, 16.1773911 48.2060102, 16.1773677 48.2060891, 16.1774111 48.2062517, 16.1774278 48.2063208, 16.1774697 48.2064403, 16.1775201 48.2065544, 16.1775303 48.2065774, 16.1775508 48.2066233, 16.1775555 48.2066575, 16.1775315 48.2066964, 16.177507 48.2067351)",yes,,,
"[881287619, 71244623]",Tullnerbachstraße,primary,50,,False,False,239.675,,"LINESTRING (16.1774814 48.2057822, 16.1768119 48.2056778, 16.1763815 48.2055677, 16.1760149 48.2054161, 16.1757201 48.2052775, 16.1754723 48.2051036, 16.175306 48.2049485, 16.1751596 48.2047744, 16.1750287 48.2045595)",,"['2', '3']",B44,
"[881285810, 881287620]",Tullnerbachstraße,primary,50,,False,True,300.787,,"LINESTRING (16.1774814 48.2057822, 16.1775995 48.2058015, 16.1778506 48.2058451, 16.1780767 48.2058828, 16.1801294 48.2062727, 16.1812761 48.2066952)",,2,B44,
"[161432792, 313290867]",Wiener Straße,residential,"['30', '50']",,False,False,136.114,,"LINESTRING (16.1786195 48.207356, 16.1787078 48.2072723, 16.1787542 48.2072355, 16.1787997 48.2072132, 16.1788534 48.2072025, 16.1789221 48.2071973, 16.1791448 48.2071864, 16.1793179 48.2071715, 16.1794704 48.2071469, 16.1796325 48.2071167, 16.1797967 48.2070928, 16.1799567 48.2070767, 16.1801167 48.2070739, 16.1803254 48.2071122)",,2,,
"[69316504, 437867564]",Wiener Straße,residential,30,,False,True,107.77099999999999,,"LINESTRING (16.1786195 48.207356, 16.1784965 48.2072952, 16.1781576 48.2070835, 16.1781141 48.2070497, 16.1779389 48.2069482, 16.1779226 48.2069404, 16.1778602 48.2069109, 16.177743 48.206846, 16.177507 48.2067351)",,,,
"[161432792, 313290867]",Wiener Straße,residential,"['50', '30']",,False,True,136.114,,"LINESTRING (16.1803254 48.2071122, 16.1801167 48.2070739, 16.1799567 48.2070767, 16.1797967 48.2070928, 16.1796325 48.2071167, 16.1794704 48.2071469, 16.1793179 48.2071715, 16.1791448 48.2071864, 16.1789221 48.2071973, 16.1788534 48.2072025, 16.1787997 48.2072132, 16.1787542 48.2072355, 16.1787078 48.2072723, 16.1786195 48.207356)",,2,,
"[762292288, 26360324, 26360325]",Wiener Straße,primary,50,,False,False,120.30099999999999,,"LINESTRING (16.1803254 48.2071122, 16.1813334 48.2070623, 16.1818466 48.2070426, 16.1819449 48.2070379)",yes,2,B1,
"[762292288, 762292289, 19127170, 19127172, 881285811]","['Wiener Straße', 'Linzer Straße']",primary,50,,False,True,235.46200000000005,yes,"LINESTRING (16.1803254 48.2071122, 16.1801632 48.2071289, 16.1799381 48.2071521, 16.1796743 48.2071915, 16.1793733 48.207261, 16.1791371 48.2073337, 16.1788929 48.2074258, 16.1784773 48.2076493, 16.1782104 48.2077651, 16.1779543 48.2078762, 16.1777258 48.207946, 16.1776089 48.2079682, 16.1774867 48.2079853)",,"['2', '3']",B1,
23567031,Schöffelgasse,residential,30,,False,False,97.322,,"LINESTRING (16.1726242 48.2042049, 16.1736784 48.203683)",,,,
"[23633313, 23386053]","['Kieslinggasse', 'Franz-Guschl-Gasse']",residential,30,,True,False,260.144,,"LINESTRING (16.183616 48.2093124, 16.1834473 48.2088104, 16.183383 48.2086114, 16.1833672 48.2085663, 16.1831464 48.2085851, 16.1829965 48.2085977, 16.1819863 48.2086872, 16.181586 48.2087215, 16.1810233 48.2087697)",,,,
"[143031234, 69316492]",Wintergasse,tertiary,30,,False,True,184.42499999999998,,"LINESTRING (16.183616 48.2093124, 16.1829787 48.2093696, 16.1827041 48.2093943, 16.1822291 48.2094374, 16.1820286 48.2094551, 16.1811493 48.209533)",,,L2122,
4582399,Pummergasse,residential,30,3.2,False,True,48.737,,"LINESTRING (16.1773816 48.2072367, 16.1773734 48.2071313, 16.1773624 48.2071105, 16.1771454 48.2069459, 16.1770545 48.2068772)",,,,
"[881285810, 881287620]",Tullnerbachstraße,primary,50,,False,False,300.787,,"LINESTRING (16.1812761 48.2066952, 16.1801294 48.2062727, 16.1780767 48.2058828, 16.1778506 48.2058451, 16.1775995 48.2058015, 16.1774814 48.2057822)",,2,B44,
"[984867595, 408623556]",Tullnerbachstraße,primary,50,,True,False,56.09,,"LINESTRING (16.1812761 48.2066952, 16.1815161 48.2067429, 16.1816683 48.2067704, 16.1818307 48.2068066, 16.1819938 48.2068533)",,"['1', '2']",B44,
152745512,Wiener Straße,primary,50,,False,False,51.203,,"LINESTRING (16.1827723 48.2069834, 16.1830056 48.2069629, 16.1834581 48.2069273)",,4,B1,
"[984867601, 984867597, 320562670]",Wiener Straße,primary,50,,False,"[False, True]",51.059,,"LINESTRING (16.1827723 48.2069834, 16.1822637 48.207019, 16.1821806 48.2070242, 16.1820868 48.2070296)",,3,B1,
1158267162,Kaiser Josef-Straße,secondary,30,7.9,False,True,23.767,,"LINESTRING (16.1750685 48.2075497, 16.1747856 48.207449)",,,,
"[437867560, 135450937, 135450941]",Hauptplatz,living_street,20,"['5.8', '6.5']",False,"[False, True]",92.244,,"LINESTRING (16.1750685 48.2075497, 16.1751137 48.2074971, 16.1751212 48.2074882, 16.1751541 48.2074489, 16.1751572 48.2073813, 16.1752013 48.2073258, 16.1752819 48.2072496, 16.1753012 48.2072565, 16.1753307 48.207265, 16.1756182 48.2073171, 16.1757208 48.2073332, 16.1757559 48.2073791, 16.1759296 48.2074461)",,,,
407032140,Kaiser Josef-Straße,secondary,30,,False,False,57.093,,"LINESTRING (16.1750685 48.2075497, 16.1756012 48.2077449, 16.1757395 48.2078018)",,,,
