osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction,access
"[182775848, 1205561225, 1205561228, 122996122, 182775838]",False,"['Rua Comandante Francisco Manuel', 'Rua do Trem']",residential,True,265.321,"LINESTRING (-7.9353119 37.0128527, -7.9354282 37.0127074, -7.9356325 37.0126072, -7.9357041 37.012581, -7.9357394 37.0126352, -7.9358518 37.012866, -7.9359756 37.0135646, -7.9359779 37.0137291, -7.9359698 37.0137869, -7.93593 37.0138602, -7.9355729 37.0144359)",,,,
204817866,False,Rua do Trem,residential,False,12.015,"LINESTRING (-7.9353119 37.0128527, -7.93528 37.0129205, -7.9352659 37.0129543)",,,,
927364798,True,Rua Gil Eanes,residential,False,67.182,"LINESTRING (-7.9378455 37.0161174, -7.9381636 37.0166656)",,,,
178471125,False,,unclassified,False,258.527,"LINESTRING (-7.9378455 37.0161174, -7.9372767 37.0151074, -7.937067 37.0147595, -7.9369248 37.0147014, -7.936839 37.0145901, -7.9367808 37.0144915, -7.9369193 37.0144356, -7.9367869 37.0142266, -7.936656 37.0142084)",,,,
38130160,True,Rua Serpa Pinto,residential,False,71.657,"LINESTRING (-7.9370308 37.0203135, -7.9365193 37.019815)",,,,
1019783330,False,Rua Serpa Pinto,residential,True,39.088,"LINESTRING (-7.9371547 37.0204273, -7.9374336 37.0206993)",,,,
38130160,True,Rua Serpa Pinto,residential,False,16.766000000000002,"LINESTRING (-7.9371547 37.0204273, -7.9371122 37.0203883, -7.9370308 37.0203135)",,,,
37004009,False,Rua do Castelo,residential,True,31.415,"LINESTRING (-7.9345819 37.0122827, -7.9343471 37.0122852, -7.9342425 37.0123305)",,,,
"[85730058, 476098957]",True,Rua do Trem,residential,False,92.895,"LINESTRING (-7.9345819 37.0122827, -7.9348651 37.0127055, -7.935011 37.0129603, -7.9350331 37.0130117, -7.9350424 37.0130318)",,,,
944828432,True,,tertiary,False,5.633,"LINESTRING (-7.9352497 37.0161988, -7.935221 37.0161881, -7.9351898 37.0161833)",,,roundabout,
182973396,True,Rua da Misericórdia,residential,False,40.42,"LINESTRING (-7.9353243 37.0146654, -7.9352458 37.0147014, -7.9351807 37.014726, -7.9351063 37.0147421, -7.9348995 37.0147908)",,,,
944603126,True,,tertiary,False,16.576,"LINESTRING (-7.9353243 37.0146654, -7.935294 37.0146937, -7.9352795 37.0147292, -7.9352828 37.0147663, -7.9353036 37.0147997)",,,roundabout,
78048831,False,Avenida da República,tertiary,False,13.161,"LINESTRING (-7.9363428 37.0167561, -7.9364661 37.0168218)",,,,
78048832,True,Avenida da República,tertiary,False,75.282,"LINESTRING (-7.9363428 37.0167561, -7.9356758 37.0163381)",,,,
78048831,False,Avenida da República,tertiary,True,13.161,"LINESTRING (-7.9364661 37.0168218, -7.9363428 37.0167561)",,,,
78048835,True,,residential,False,20.747999999999998,"LINESTRING (-7.9364661 37.0168218, -7.9365198 37.0167143, -7.9364953 37.0166462)",,,,
284190633,False,Avenida da República,tertiary,True,82.017,"LINESTRING (-7.9364661 37.0168218, -7.9366553 37.0169097, -7.9368688 37.0170089, -7.9372094 37.0171631, -7.9372671 37.0171892)",2,,,
204817856,True,Avenida da República,tertiary,False,14.35,"LINESTRING (-7.9356758 37.0163381, -7.9355327 37.0162781)",,,,
944828431,True,,tertiary,False,10.093,"LINESTRING (-7.9352768 37.0163571, -7.935298 37.0163321, -7.9353093 37.0163032, -7.9353097 37.0162729)",,,roundabout,
938380922,True,,tertiary,False,7.229,"LINESTRING (-7.9353097 37.0162729, -7.9353163 37.0162081)",,,,
