osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,bridge,maxspeed,junction,tunnel
194072610,Rua José Luís de Morais,residential,False,True,68.571,,,"LINESTRING (-9.1054377 38.7950575, -9.1053995 38.794498, -9.1054185 38.7944436)",,,,
413768827,Rua da Fábrica de Loiça de Sacavém,residential,False,False,26.82,,,"LINESTRING (-9.1033074 38.7928622, -9.1036037 38.7929318)",,,,
193892443,Rua da Fábrica de Loiça de Sacavém,residential,True,False,92.881,,,"LINESTRING (-9.1033074 38.7928622, -9.1027054 38.7926524, -9.1025133 38.792628, -9.1023005 38.7926635)",,,,
413768822,Rua Estado da Índia,primary,True,False,20.294,3,EN 10,"LINESTRING (-9.1046821 38.79653, -9.1046841 38.7967125)",,,,
413768840,Rua Roald Amundsen,tertiary,False,True,32.939,2,,"LINESTRING (-9.0992186 38.7960793, -9.0995862 38.7961546)",,30,,
"[744795745, 41202715]",Rua Roald Amundsen,"['residential', 'tertiary']",True,False,81.606,1,,"LINESTRING (-9.0992186 38.7960793, -9.0991831 38.7962055, -9.0991867 38.7962433, -9.09921 38.796281, -9.0996633 38.7963711, -9.0998363 38.7964101, -9.0998611 38.7964152)",,30,,
41202725,Rua Domingos José de Morais,tertiary,True,False,38.291,,,"LINESTRING (-9.1003166 38.7965526, -9.1001506 38.7964443, -9.1000802 38.7963891, -9.100008 38.7963091)",,,,
99176129,Rua Domingos José de Morais,tertiary,False,False,377.07899999999995,2,,"LINESTRING (-9.1003166 38.7965526, -9.1010223 38.7968549, -9.1012028 38.796919, -9.101574 38.7969819, -9.101759 38.7970042, -9.1019553 38.7970028, -9.1023022 38.7969603, -9.1030706 38.7968244, -9.1036905 38.7967193, -9.1037968 38.7966912, -9.1042861 38.7965215, -9.1044366 38.7964731)",,,,
"[413768845, 1007608198]",,tertiary,True,False,23.466,,,"LINESTRING (-9.0998529 38.796187, -9.0997372 38.7961645, -9.0995862 38.7961546)",,,,
413768840,Rua Roald Amundsen,tertiary,False,False,32.939,2,,"LINESTRING (-9.0995862 38.7961546, -9.0992186 38.7960793)",,30,,
43112292,Rua da Mina de São Domingos,residential,False,True,44.333,,,"LINESTRING (-9.1042846 38.7907551, -9.1037756 38.7907946)",,,,
43112267,Rua da Mina de São Domingos,residential,True,False,65.73899999999999,,,"LINESTRING (-9.1042846 38.7907551, -9.1043096 38.7908175, -9.1043773 38.7908807, -9.1045007 38.7909186, -9.1045843 38.7909135, -9.1046749 38.7908782, -9.1047303 38.7908291, -9.1047609 38.7907682, -9.1047592 38.7907032)",,,roundabout,
43112292,Rua da Mina de São Domingos,residential,False,False,44.333,,,"LINESTRING (-9.1037756 38.7907946, -9.1042846 38.7907551)",,,,
"[1031823003, 633082143]",Rua Cidade de Goa,tertiary,False,False,26.456,2,,"LINESTRING (-9.1037756 38.7907946, -9.1037957 38.7909632, -9.1038039 38.7910315)",,50,,
43112267,Rua da Mina de São Domingos,residential,True,False,64.914,,,"LINESTRING (-9.1047592 38.7907032, -9.1047529 38.790671, -9.1047324 38.7906361, -9.1046781 38.7905863, -9.1046052 38.790554, -9.1045287 38.7905431, -9.1044501 38.7905521, -9.1043725 38.7905848, -9.1043209 38.7906296, -9.1042886 38.7906899, -9.1042846 38.7907551)",,,roundabout,
99176094,Rua Domingos José de Morais,residential,True,False,20.224999999999998,,,"LINESTRING (-9.1000379 38.796101, -9.0999953 38.7961478, -9.09997 38.7961672, -9.0999394 38.7961825, -9.0999072 38.7961887, -9.0998821 38.7961905, -9.0998529 38.796187)",,,,
152640963,Rua Domingos José de Morais,residential,False,True,194.73200000000003,,,"LINESTRING (-9.1000379 38.796101, -9.1000915 38.7958526, -9.1001 38.7958118, -9.1001096 38.7957712, -9.1001201 38.7957324, -9.1001843 38.795522, -9.1002478 38.7953274, -9.1003135 38.7950682, -9.1003425 38.7949612, -9.1003764 38.7948361, -9.1004198 38.7945899, -9.1004445 38.7944494, -9.100465 38.794383)",,,,
41202728,Rua Domingos José de Morais,residential,True,False,23.284,,,"LINESTRING (-9.100008 38.7963091, -9.1000379 38.796101)",,,,
413768845,,tertiary,True,False,19.309,,,"LINESTRING (-9.100008 38.7963091, -9.0999452 38.7962444, -9.0999078 38.7962157, -9.0998837 38.7962013, -9.0998529 38.796187)",,,,
413768825,Rua Domingos José de Morais,tertiary,True,False,42.331,,,"LINESTRING (-9.0998611 38.7964152, -9.1000125 38.796459, -9.1003166 38.7965526)",,,,
1181003110,Rua Domingos José de Morais,tertiary,True,False,18.164,,,"LINESTRING (-9.0998611 38.7964152, -9.0999402 38.7963859, -9.0999927 38.7963424, -9.100008 38.7963091)",,,,
131698430,Rua Sport Grupo Sacavenense,residential,False,True,35.753,,,"LINESTRING (-9.1063569 38.7906156, -9.1064427 38.7909301)",,,,
136219391,Rua Luís de Camões,residential,True,False,9.192,,,"LINESTRING (-9.1103217 38.7950543, -9.1103984 38.7949972)",,,,
135806437,Rua Barbosa du Bocage,residential,False,False,78.72999999999999,,,"LINESTRING (-9.1103217 38.7950543, -9.1100803 38.7949861, -9.1094297 38.7950152)",,,,
135806439,Praceta Almeida Garrett,residential,False,False,59.922,,,"LINESTRING (-9.1090608 38.7957816, -9.1094618 38.7953426)",,,,
136219389,Rua Luís de Camões,residential,True,False,27.904,,,"LINESTRING (-9.1090608 38.7957816, -9.1093128 38.7959378)",,,,
135806440,Rua Luís de Camões,residential,True,False,27.342,,,"LINESTRING (-9.1088108 38.7956316, -9.1090608 38.7957816)",,,,
135806436,Rua Sofia de Mello Breyner,residential,False,False,87.406,,,"LINESTRING (-9.1088108 38.7956316, -9.1092016 38.7952185, -9.1093241 38.7951001, -9.1094041 38.7950227, -9.1094297 38.7950152)",,,,
135806436,Rua Sofia de Mello Breyner,residential,False,True,87.406,,,"LINESTRING (-9.1094297 38.7950152, -9.1094041 38.7950227, -9.1093241 38.7951001, -9.1092016 38.7952185, -9.1088108 38.7956316)",,,,
135806437,Rua Barbosa du Bocage,residential,False,True,78.72999999999999,,,"LINESTRING (-9.1094297 38.7950152, -9.1100803 38.7949861, -9.1103217 38.7950543)",,,,
135806441,Rua Barbosa du Bocage,residential,True,False,100.374,,,"LINESTRING (-9.1094297 38.7950152, -9.1092968 38.7949914, -9.1091202 38.795003, -9.1090536 38.7950233, -9.1089616 38.7950854, -9.1087698 38.7952896, -9.1085787 38.7954961)",,,,
135806438,Rua Luís de Camões,residential,True,False,25.132,,,"LINESTRING (-9.1085787 38.7954961, -9.1088108 38.7956316)",,,,
135806439,Praceta Almeida Garrett,residential,False,True,59.922,,,"LINESTRING (-9.1094618 38.7953426, -9.1090608 38.7957816)",,,,
136219389,Rua Luís de Camões,residential,True,False,28.805,,,"LINESTRING (-9.109817 38.7958625, -9.1099633 38.7956299)",,,,
136219389,Rua Luís de Camões,residential,True,False,63.172000000000004,,,"LINESTRING (-9.1093128 38.7959378, -9.1094737 38.7960381, -9.1095649 38.7960841, -9.10964 38.79608, -9.1097044 38.7960465, -9.109817 38.7958625)",,,,
131698424,Rua Estado da Índia,primary,True,False,24.017,2,EN 10,"LINESTRING (-9.1080598 38.7906243, -9.1077904 38.7906749)",,,,
138933456,,primary_link,True,False,19.207,1,,"LINESTRING (-9.1080598 38.7906243, -9.1078651 38.7905418)",,,,
131698424,Rua Estado da Índia,primary,True,False,85.6,2,EN 10,"LINESTRING (-9.1077904 38.7906749, -9.107055 38.7908132, -9.1068305 38.7908561)",,,,
138933451,,primary_link,True,False,16.154,1,,"LINESTRING (-9.1078651 38.7905418, -9.1077904 38.7906749)",,,,
152640963,Rua Domingos José de Morais,residential,False,False,194.73200000000003,,,"LINESTRING (-9.100465 38.794383, -9.1004445 38.7944494, -9.1004198 38.7945899, -9.1003764 38.7948361, -9.1003425 38.7949612, -9.1003135 38.7950682, -9.1002478 38.7953274, -9.1001843 38.795522, -9.1001201 38.7957324, -9.1001096 38.7957712, -9.1001 38.7958118, -9.1000915 38.7958526, -9.1000379 38.796101)",,,,
744795744,,residential,True,False,16.918,,,"LINESTRING (-9.100465 38.794383, -9.1005033 38.7943891, -9.1005419 38.7943846, -9.1005761 38.7943699, -9.1006018 38.794347, -9.1006157 38.7943186)",,,roundabout,
152640958,Rua Álvaro Pedro Gomes,residential,False,True,154.131,,,"LINESTRING (-9.1023706 38.7945207, -9.1022795 38.79452, -9.1020426 38.794521, -9.1018154 38.7944863, -9.1011252 38.7943918, -9.1008502 38.7943494, -9.100698 38.7943283, -9.1006157 38.7943186)",,,,
152640960,Rua Álvaro Pedro Gomes,residential,True,False,13.051,,,"LINESTRING (-9.1023706 38.7945207, -9.1023781 38.7945435, -9.1023936 38.7945635, -9.1024159 38.7945793, -9.1024431 38.7945894, -9.1024729 38.794593)",,,roundabout,
193891521,,tertiary,True,False,25.169,,,"LINESTRING (-9.1044998 38.7939235, -9.1044133 38.7939087, -9.1043905 38.7939048, -9.1042161 38.7938751)",,,,
194073074,Avenida São José,tertiary,False,True,253.92799999999997,,,"LINESTRING (-9.1044998 38.7939235, -9.10486 38.7939743, -9.1050337 38.7939785, -9.1051734 38.7939255, -9.1053155 38.7938525, -9.1056017 38.7937143, -9.1057717 38.7936645, -9.1060698 38.7935851, -9.1067044 38.7932769, -9.1068244 38.7932215, -9.1069123 38.7931996, -9.1070363 38.7932007, -9.1071597 38.7932265)",,,,
152640967,,residential,True,False,27.093999999999998,,,"LINESTRING (-9.1005125 38.7942155, -9.1004737 38.7942191, -9.1004389 38.794233, -9.1004124 38.7942554, -9.1003974 38.7942835, -9.1003958 38.7943139, -9.1004077 38.7943429, -9.1004318 38.7943669, -9.100465 38.794383)",,,roundabout,
193894796,Rua da Fábrica de Loiça de Sacavém,residential,False,True,292.905,,,"LINESTRING (-9.1005125 38.7942155, -9.1005248 38.7941006, -9.1005407 38.7939733, -9.1005602 38.7938395, -9.1006313 38.7935534, -9.100698 38.7933091, -9.1008442 38.7927434, -9.1010755 38.7927265, -9.1016581 38.7926896, -9.1017583 38.7926852, -9.1023005 38.7926635)",,,,
152640969,Rua da Fábrica de Loiça de Sacavém,residential,True,False,95.28900000000002,,,"LINESTRING (-9.1023005 38.7926635, -9.102395 38.792699, -9.1025685 38.7927932, -9.1027833 38.7928899, -9.1030258 38.7929155, -9.1031884 38.792892, -9.1033074 38.7928622)",,,,
193894796,Rua da Fábrica de Loiça de Sacavém,residential,False,False,292.90500000000003,,,"LINESTRING (-9.1023005 38.7926635, -9.1017583 38.7926852, -9.1016581 38.7926896, -9.1010755 38.7927265, -9.1008442 38.7927434, -9.100698 38.7933091, -9.1006313 38.7935534, -9.1005602 38.7938395, -9.1005407 38.7939733, -9.1005248 38.7941006, -9.1005125 38.7942155)",,,,
152640958,Rua Álvaro Pedro Gomes,residential,False,False,154.131,,,"LINESTRING (-9.1006157 38.7943186, -9.100698 38.7943283, -9.1008502 38.7943494, -9.1011252 38.7943918, -9.1018154 38.7944863, -9.1020426 38.794521, -9.1022795 38.79452, -9.1023706 38.7945207)",,,,
152640967,,residential,True,False,16.384,,,"LINESTRING (-9.1006157 38.7943186, -9.1006164 38.7942891, -9.1006045 38.7942612, -9.1005812 38.7942379, -9.1005493 38.7942221, -9.1005125 38.7942155)",,,roundabout,
"[155167277, 744795742]",Rua Álvaro Pedro Gomes,residential,True,False,130.846,,,"LINESTRING (-9.1025737 38.7944921, -9.1026842 38.7944763, -9.1029765 38.7944264, -9.1031388 38.7943546, -9.1031775 38.7943375, -9.1033788 38.7942484, -9.1034815 38.794203, -9.1036974 38.7941143, -9.1037565 38.7940959, -9.1038355 38.7940811, -9.1039619 38.7940627)",,,,
744795743,Rua Álvaro Pedro Gomes,residential,True,False,26.715,,,"LINESTRING (-9.1025737 38.7944921, -9.1025598 38.7944677, -9.1025364 38.7944482, -9.1025061 38.7944358, -9.1024723 38.7944317, -9.1024385 38.7944364, -9.1024087 38.7944495, -9.1023859 38.7944694, -9.1023727 38.7944941, -9.1023706 38.7945207)",,,roundabout,
195734455,Rua do Forte de Monte Cintra,residential,False,True,42.562,,,"LINESTRING (-9.1024729 38.794593, -9.1025494 38.7949711)",,,,
152640960,Rua Álvaro Pedro Gomes,residential,True,False,16.351,,,"LINESTRING (-9.1024729 38.794593, -9.102504 38.7945894, -9.1025323 38.7945787, -9.1025551 38.7945619, -9.1025705 38.7945405, -9.1025769 38.7945165, -9.1025737 38.7944921)",,,roundabout,
99176129,Rua Domingos José de Morais,tertiary,False,True,377.07899999999995,2,,"LINESTRING (-9.1044366 38.7964731, -9.1042861 38.7965215, -9.1037968 38.7966912, -9.1036905 38.7967193, -9.1030706 38.7968244, -9.1023022 38.7969603, -9.1019553 38.7970028, -9.101759 38.7970042, -9.101574 38.7969819, -9.1012028 38.796919, -9.1010223 38.7968549, -9.1003166 38.7965526)",,,,
