osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,access,bridge,junction,maxspeed,tunnel
32111409,True,Rua da Igreja,residential,False,9.557,"LINESTRING (-8.7575052 41.3805958, -8.7573914 41.380586)",,,,,,,
32726801,False,Rua dos Gaios,residential,False,49.562,"LINESTRING (-8.7575052 41.3805958, -8.7575104 41.3801501)",,,,,,,
32726801,False,Rua dos Gaios,residential,True,68.973,"LINESTRING (-8.7577693 41.3795435, -8.7575119 41.3799949, -8.7575106 41.3801242)",,,,,,,
169908809,True,Rua Primeiro de Maio,residential,False,34.565,"LINESTRING (-8.7577693 41.3795435, -8.7581476 41.3796158, -8.7581709 41.3796198)",,,,,,,
82289656,False,,residential,False,10.369,"LINESTRING (-8.7548067 41.3794741, -8.7547004 41.3794258)",,,,,,,
"[169908885, 169908862, 82289655]",False,,residential,False,35.262,"LINESTRING (-8.7548067 41.3794741, -8.7549124 41.3795222, -8.755093 41.3796043, -8.7551681 41.3796385)",,,,yes,,,
36333613,True,Largo Senhora das Dores,secondary,False,29.225,"LINESTRING (-8.7585022 41.3826631, -8.7587596 41.3826744, -8.758851 41.382664)",,,,,,,
169908815,True,,secondary,False,16.65,"LINESTRING (-8.7598575 41.3830137, -8.7598839 41.3830056, -8.7599068 41.3829929, -8.7599248 41.3829763, -8.7599368 41.3829569, -8.759942 41.3829358, -8.7599401 41.3829145, -8.7599312 41.3828942)",,,,,roundabout,,
36333613,True,Largo Senhora das Dores,secondary,False,65.539,"LINESTRING (-8.757718 41.3826287, -8.7583342 41.3826557, -8.7584097 41.382659, -8.7585022 41.3826631)",,,,,,,
169908876,True,,tertiary,False,84.579,"LINESTRING (-8.757718 41.3826287, -8.7575846 41.3826275, -8.7567055 41.3825923)",,,,,,,
38329790,True,Rua Santos Minho,residential,False,111.753,"LINESTRING (-8.7615133 41.3795276, -8.7628435 41.3796452)",1,,,,,50,
"[38503336, 38503419]",True,"['Rua João Dias', 'Rua Manuel Silva']",residential,False,182.736,"LINESTRING (-8.7615133 41.3795276, -8.7621229 41.3788172, -8.7621751 41.3787197, -8.7621609 41.3786239, -8.7621524 41.3785994, -8.7619987 41.3781825, -8.7619493 41.3780484)",,,,,,,
1082966614,True,Rua da Caverneira,residential,False,24.422,"LINESTRING (-8.76284 41.3764383, -8.7629426 41.376644)",,,,,,,
1082966617,True,Rua da Caverneira,secondary,False,17.531,"LINESTRING (-8.76284 41.3764383, -8.762894 41.3764806, -8.7629492 41.3764981, -8.7630202 41.3765076)",2,,,,roundabout,,
"[38376593, 38329790]",True,"['Rua José Malagueira', 'Rua Santos Minho']",residential,False,462.356,"LINESTRING (-8.7628435 41.3796452, -8.7652673 41.3798508, -8.7653327 41.3798998, -8.7652956 41.3799553, -8.7636968 41.3814218, -8.7635289 41.3815767, -8.7634949 41.3816143, -8.7635265 41.3816657)",1,,,,,50,
38376609,True,Rua das Hortas,residential,False,108.873,"LINESTRING (-8.7628435 41.3796452, -8.7628366 41.3796838, -8.7628826 41.3798468, -8.7629615 41.380099, -8.7631175 41.3806)",,,,,,,
38376609,True,Rua das Hortas,residential,False,135.428,"LINESTRING (-8.7631175 41.3806, -8.7629971 41.3814454, -8.7631355 41.3817131, -8.7631927 41.3817813)",,,,,,,
38376638,False,Travessa das Hortas,residential,True,62.873999999999995,"LINESTRING (-8.7631175 41.3806, -8.7633205 41.3805149, -8.7633475 41.3805035, -8.7636993 41.3802475)",,,,,,,
38376638,False,Travessa das Hortas,residential,False,62.873999999999995,"LINESTRING (-8.7636993 41.3802475, -8.7633475 41.3805035, -8.7633205 41.3805149, -8.7631175 41.3806)",,,,,,,
"[166178026, 998258483, 38377975]",True,"['Rua das Ribeiras', 'Rua Alberto Jacques', 'Largo Doutor Vasques Calafate']",residential,False,215.783,"LINESTRING (-8.76537 41.3791706, -8.7653973 41.3791143, -8.7654195 41.3790688, -8.7655341 41.3787756, -8.7656157 41.3784422, -8.7655228 41.3784191, -8.7647982 41.3782388, -8.7647602 41.3782345, -8.7647214 41.3782431, -8.7643804 41.3783835, -8.764236 41.3784433, -8.76415 41.3784598)",,,,,,,
166173444,False,Rua Tenente Valadim,residential,True,145.48600000000002,"LINESTRING (-8.76537 41.3791706, -8.7639255 41.3786909, -8.7637831 41.3786298)",,,,,,,
41889415,True,Rua de Trás os Quintais,residential,False,341.533,"LINESTRING (-8.7615164 41.3779751, -8.761484 41.377904, -8.7614736 41.3778813, -8.7613453 41.3776081, -8.761247 41.3774529, -8.7610029 41.3765102, -8.7609989 41.376495, -8.7609971 41.3764881, -8.7609243 41.3762068, -8.7605984 41.3749897)",,,,,,,
166173445,False,Rua Tenente Valadim,residential,True,37.028,"LINESTRING (-8.7615164 41.3779751, -8.7618997 41.37804, -8.7619493 41.3780484)",,,,,,,
422528130,False,Rua Costa Novo,residential,False,45.749,"LINESTRING (-8.7615164 41.3779751, -8.7613668 41.3779491, -8.7609822 41.3778824)",,,,,,,
38503666,True,,residential,False,77.68,"LINESTRING (-8.7609822 41.3778824, -8.7609778 41.3779439, -8.7609696 41.3780573, -8.7609562 41.3783246, -8.760928 41.3785456, -8.7609237 41.3785794)",,,,,,,
"[166174652, 386578517, 386578518]",True,Rua Agonia Frasco,residential,False,204.43099999999998,"LINESTRING (-8.7609822 41.3778824, -8.7608712 41.3778667, -8.7607979 41.3778564, -8.7603899 41.3778919, -8.7603718 41.3778935, -8.7602908 41.3779005, -8.7597652 41.3779549, -8.7596866 41.3779315, -8.7594446 41.3776158, -8.758954 41.3778305, -8.7588817 41.3778621)","['1', '2']",,,,,,
422528130,False,Rua Costa Novo,residential,True,45.749,"LINESTRING (-8.7609822 41.3778824, -8.7613668 41.3779491, -8.7615164 41.3779751)",,,,,,,
38376948,True,Avenida dos Descobrimentos,secondary,False,112.595,"LINESTRING (-8.7630126 41.3761405, -8.7627025 41.3757688, -8.7622966 41.3752822)",2,,,,,,
"[1082966617, 38378034]",True,"['Rua da Caverneira', 'Avenida dos Descobrimentos']",secondary,False,31.39,"LINESTRING (-8.7630126 41.3761405, -8.7629585 41.3761167, -8.7628967 41.3761101, -8.7628357 41.3761219, -8.7627857 41.3761503, -8.7627539 41.3761908, -8.7627451 41.3762374)",2,,,,roundabout,,
38378032,True,Rua da Caverneira,secondary,False,112.61399999999999,"LINESTRING (-8.7622966 41.3752822, -8.7625497 41.3758212, -8.7625727 41.3758702, -8.7627451 41.3762374)",,,,,,,
166173445,False,Rua Tenente Valadim,residential,False,152.62699999999998,"LINESTRING (-8.7636394 41.3785688, -8.7635021 41.3785466, -8.7634376 41.3785267, -8.7621815 41.3781228, -8.7620003 41.3780645, -8.7619493 41.3780484)",,,,,,,
166178028,True,,residential,False,15.347,"LINESTRING (-8.7636394 41.3785688, -8.7636474 41.378585, -8.7636595 41.3785997, -8.7636752 41.3786122, -8.763694 41.3786222, -8.7637151 41.3786291, -8.7637375 41.3786328, -8.7637605 41.378633, -8.7637831 41.3786298)",,,,,,,
1082966617,True,Rua da Caverneira,secondary,False,23.701,"LINESTRING (-8.7627451 41.3762374, -8.76284 41.3764383)",2,,,,roundabout,,
38378034,True,Avenida dos Descobrimentos,secondary,False,16.641000000000002,"LINESTRING (-8.7631108 41.3764757, -8.7631481 41.3764483, -8.7631699 41.3764092, -8.763176 41.3763742, -8.763175 41.3763414)",2,,,,roundabout,,
1082966615,True,Avenida dos Descobrimentos,secondary,False,19.917,"LINESTRING (-8.7631108 41.3764757, -8.7632048 41.3764938, -8.7633332 41.3765387)",2,,,,,,
924448769,False,Rua da Cidade do Porto,tertiary,False,173.022,"LINESTRING (-8.7602174 41.3810428, -8.759106 41.3823565)",,,,,,,
213541576,False,,residential,False,182.928,"LINESTRING (-8.7602174 41.3810428, -8.76042 41.3811324, -8.7604911 41.3811998, -8.7605219 41.381229, -8.7607431 41.3815003, -8.7613874 41.3823143, -8.7614429 41.3823834)",,,,,,,
441946829,True,Rua Rocha Peixoto,residential,False,129.285,"LINESTRING (-8.7602174 41.3810428, -8.7598354 41.380889, -8.7590818 41.380562, -8.758848 41.3806182)",,,,,,,
924448769,False,Rua da Cidade do Porto,tertiary,True,100.68900000000001,"LINESTRING (-8.7602174 41.3810428, -8.7605417 41.3806684, -8.7608165 41.3803586, -8.7608806 41.3802863)",,,,,,,
"[166174650, 261461131]",True,Rua Doutor Sousa Campos,residential,False,101.193,"LINESTRING (-8.7609237 41.3785794, -8.7611958 41.3786317, -8.7612137 41.3785951, -8.7614915 41.378026, -8.7615164 41.3779751)",,,,,,,
261461133,False,Praça do Almada,residential,False,110.09599999999999,"LINESTRING (-8.7609237 41.3785794, -8.7608803 41.3785756, -8.7607006 41.3785739, -8.7604648 41.3786051, -8.7602081 41.3786783, -8.7598342 41.3788567, -8.7597169 41.3789126)",,,,,,,
38504143,True,Rua do Século,residential,False,90.026,"LINESTRING (-8.75748 41.3761425, -8.7576135 41.376093, -8.7584474 41.375784)",1,,,,,,
169908808,True,,residential,False,171.978,"LINESTRING (-8.75748 41.3761425, -8.7574171 41.3761763, -8.7574034 41.3761815, -8.7571111 41.3762926, -8.7570427 41.3762984, -8.7569589 41.3762797, -8.7566352 41.3759631, -8.7560992 41.3753721)",1,,,,,,
459428867,False,Rua Almirante Reis,primary,False,224.16299999999998,"LINESTRING (-8.75748 41.3761425, -8.7578825 41.376659, -8.7585136 41.3774237, -8.7586197 41.3775522, -8.7588817 41.3778621)",2,EN 13,,,,,
459428867,False,Rua Almirante Reis,primary,True,133.405,"LINESTRING (-8.75748 41.3761425, -8.7574598 41.376117, -8.7567122 41.3751758, -8.7566615 41.3751119)",2,EN 13,,,,,
38504143,True,Rua do Século,residential,False,2.761,"LINESTRING (-8.7605984 41.3749897, -8.7606278 41.3749783)",1,,,,,,
38504143,True,Rua do Século,residential,False,49.738,"LINESTRING (-8.7600686 41.3751947, -8.7604921 41.3750308, -8.7605984 41.3749897)",1,,,,,,
213920974,True,Rua Doutor Leonardo Coimbra,tertiary,False,78.118,"LINESTRING (-8.7623797 41.3835404, -8.7631011 41.3832921, -8.7632402 41.3832684)",,,,,,,
459428874,False,Rua Gomes de Amorim,primary,True,71.972,"LINESTRING (-8.7636937 41.383819, -8.7632402 41.3832684)",2,EN 13,,,,,
41890279,False,Rua de Penalves,tertiary,False,40.35,"LINESTRING (-8.754805 41.3760559, -8.7544094 41.3762646)",2,,,,,,
41890364,False,,residential,True,41.79,"LINESTRING (-8.754805 41.3760559, -8.7549549 41.3764145)",,,,,,,
41890279,False,Rua de Penalves,tertiary,True,116.344,"LINESTRING (-8.754805 41.3760559, -8.7558905 41.3755084, -8.7559622 41.3754722)",2,,,,,,
41890279,False,Rua de Penalves,tertiary,False,29.137,"LINESTRING (-8.7544094 41.3762646, -8.7541197 41.3764109)",2,,,,,,
41890279,False,Rua de Penalves,tertiary,True,40.35,"LINESTRING (-8.7544094 41.3762646, -8.754805 41.3760559)",2,,,,,,
41890364,False,,residential,False,53.998,"LINESTRING (-8.7561583 41.3788674, -8.7557105 41.3785168)",,,,,,,
41890363,False,,residential,True,103.003,"LINESTRING (-8.7561583 41.3788674, -8.7561154 41.3789567, -8.7560205 41.3790241, -8.7558839 41.3790783, -8.755813 41.3790877, -8.7557218 41.3790713, -8.7551369 41.3788467)",,,,,,,
441943801,False,,residential,True,19.313000000000002,"LINESTRING (-8.7561583 41.3788674, -8.756282 41.3788864, -8.7563872 41.3788874)",,,,,,,
41890364,False,,residential,True,53.998,"LINESTRING (-8.7557105 41.3785168, -8.7561583 41.3788674)",,,,,,,
308856722,False,,residential,False,53.96,"LINESTRING (-8.7557105 41.3785168, -8.7562981 41.3783141)",,,,,,,
41890364,False,,residential,False,171.904,"LINESTRING (-8.7557105 41.3785168, -8.7556294 41.3784044, -8.7554676 41.3781401, -8.7554368 41.3780013, -8.7554906 41.3775866, -8.7552762 41.3771611, -8.755222 41.3770535)",,,,,,,
41890364,False,,residential,False,8.064,"LINESTRING (-8.755222 41.3770535, -8.7551931 41.3769843)",,,,,,,
41890365,False,,residential,False,131.385,"LINESTRING (-8.755222 41.3770535, -8.7566201 41.3765099)",,,,,,,
41890364,False,,residential,True,171.904,"LINESTRING (-8.755222 41.3770535, -8.7552762 41.3771611, -8.7554906 41.3775866, -8.7554368 41.3780013, -8.7554676 41.3781401, -8.7556294 41.3784044, -8.7557105 41.3785168)",,,,,,,
169908811,False,,residential,False,128.917,"LINESTRING (-8.7568539 41.376419, -8.7559622 41.3754722)",2,,,,,,
41890365,False,,residential,True,21.971,"LINESTRING (-8.7568539 41.376419, -8.7567753 41.3764495, -8.7566201 41.3765099)",,,,,,,
169908811,False,,residential,True,242.64299999999997,"LINESTRING (-8.7568539 41.376419, -8.7569023 41.3764705, -8.757286 41.3768785, -8.7576695 41.3773577, -8.7577458 41.3775204, -8.7577832 41.3776486, -8.7577978 41.3777945, -8.7577874 41.3779364, -8.7577477 41.3780801, -8.7576954 41.378193, -8.7576174 41.3782991, -8.7575488 41.3783619)",2,,,,,,
169908811,False,,residential,True,128.917,"LINESTRING (-8.7559622 41.3754722, -8.7568539 41.376419)",2,,,,,,
41890279,False,Rua de Penalves,tertiary,False,116.344,"LINESTRING (-8.7559622 41.3754722, -8.7558905 41.3755084, -8.754805 41.3760559)",2,,,,,,
32111376,True,Rua do Padre João José da Cruz,residential,False,127.06,"LINESTRING (-8.7555777 41.3817852, -8.7548806 41.3819251, -8.7541452 41.3821639)",,,,,,,
202442759,True,Rua Padre José Leites Morais,residential,False,83.82,"LINESTRING (-8.7555777 41.3817852, -8.7555685 41.3824813, -8.7555724 41.3825389)",,,,,,,
82289654,True,,residential,False,73.979,"LINESTRING (-8.7551369 41.3788467, -8.7547004 41.3794258)",,,,,,,
41890363,False,,residential,False,103.00300000000001,"LINESTRING (-8.7551369 41.3788467, -8.7557218 41.3790713, -8.755813 41.3790877, -8.7558839 41.3790783, -8.7560205 41.3790241, -8.7561154 41.3789567, -8.7561583 41.3788674)",,,,,,,
82289656,False,,residential,True,10.369,"LINESTRING (-8.7547004 41.3794258, -8.7548067 41.3794741)",,,,,,,
106462255,False,,residential,True,51.759,"LINESTRING (-8.7563872 41.3788874, -8.7564952 41.3788556, -8.7569338 41.3786688)",2,,,,,,
441943801,False,,residential,False,19.313000000000002,"LINESTRING (-8.7563872 41.3788874, -8.756282 41.3788864, -8.7561583 41.3788674)",,,,,,,
699055219,False,,residential,False,28.177999999999997,"LINESTRING (-8.76415 41.3784598, -8.7641642 41.3784985, -8.7641884 41.3785186, -8.7644029 41.3786122)",,,,,,,
"[166178024, 998258483]",True,"['Rua das Ribeiras', 'Rua Alberto Jacques']",residential,False,26.241,"LINESTRING (-8.76415 41.3784598, -8.7640216 41.3784721, -8.7638385 41.3784923)",,,,,,,
459428867,False,Rua Almirante Reis,primary,False,136.03,"LINESTRING (-8.7588817 41.3778621, -8.7589971 41.3780087, -8.7592088 41.3782778, -8.7595812 41.3787321, -8.7596872 41.3788731, -8.7597169 41.3789126)",2,EN 13,,,,,
459428867,False,Rua Almirante Reis,primary,True,224.163,"LINESTRING (-8.7588817 41.3778621, -8.7586197 41.3775522, -8.7585136 41.3774237, -8.7578825 41.376659, -8.75748 41.3761425)",2,EN 13,,,,,
166178028,True,,residential,False,11.674999999999999,"LINESTRING (-8.7638385 41.3784923, -8.7638181 41.3784779, -8.7637937 41.3784677, -8.7637667 41.3784622, -8.7637387 41.3784618, -8.7637114 41.3784665)",,,,,,,
"[1082966617, 38378034]",True,"['Rua da Caverneira', 'Avenida dos Descobrimentos']",secondary,False,8.376,"LINESTRING (-8.7630202 41.3765076, -8.7630731 41.3764922, -8.7631108 41.3764757)",2,,,,roundabout,,
38504336,False,,residential,False,86.349,"LINESTRING (-8.7575488 41.3783619, -8.757822 41.3784003, -8.7582782 41.3784712, -8.7583986 41.3784827, -8.7585446 41.3784833, -8.7585683 41.3784834)",2,,,,,,
169908811,False,,residential,False,242.64300000000003,"LINESTRING (-8.7575488 41.3783619, -8.7576174 41.3782991, -8.7576954 41.378193, -8.7577477 41.3780801, -8.7577874 41.3779364, -8.7577978 41.3777945, -8.7577832 41.3776486, -8.7577458 41.3775204, -8.7576695 41.3773577, -8.757286 41.3768785, -8.7569023 41.3764705, -8.7568539 41.376419)",2,,,,,,
"[169908811, 106462255]",False,,residential,"[False, True]",42.037,"LINESTRING (-8.7575488 41.3783619, -8.7573952 41.3784588, -8.7572853 41.3785086, -8.7571357 41.3785764)",2,,,,,,
"[1082966618, 38377933]",False,"['Rua da Caverneira', 'Rua Tenente Veiga Leal']",residential,True,212.767,"LINESTRING (-8.7637114 41.3784665, -8.7636575 41.3783396, -8.7634943 41.3778652, -8.7633439 41.37747, -8.7633129 41.3774024, -8.7631562 41.3770608, -8.7631417 41.3770325, -8.7631314 41.3770124, -8.7629426 41.376644)",,,,,,,
166178028,True,,residential,False,14.075,"LINESTRING (-8.7637114 41.3784665, -8.7636863 41.378476, -8.7636651 41.3784899, -8.7636491 41.3785072, -8.7636391 41.3785269, -8.7636358 41.3785479, -8.7636394 41.3785688)",,,,,,,
166173444,False,Rua Tenente Valadim,residential,False,145.48600000000002,"LINESTRING (-8.7637831 41.3786298, -8.7639255 41.3786909, -8.76537 41.3791706)",,,,,,,
166178028,True,,residential,False,18.816,"LINESTRING (-8.7637831 41.3786298, -8.7638169 41.3786174, -8.7638435 41.3785975, -8.7638602 41.3785722, -8.763865 41.3785443, -8.7638575 41.3785166, -8.7638385 41.3784923)",,,,,,,
198510612,True,,residential,False,152.772,"LINESTRING (-8.7602942 41.3795971, -8.7603458 41.3795728, -8.7613929 41.3790788, -8.7615025 41.3789329, -8.7616212 41.378718)",,,,,,,
"[261461128, 261461129]",True,,residential,False,146.153,"LINESTRING (-8.7602942 41.3795971, -8.7602404 41.3796216, -8.7598809 41.3797854, -8.7594816 41.3799703, -8.7593056 41.3800662, -8.7591687 41.3801248, -8.7590103 41.380177, -8.7588449 41.3802179, -8.7587694 41.380228)",,,,,,,
"[219534481, 459428871]",False,"['Rua Paulo Barreto', 'Praça do Almada']",primary,True,90.077,"LINESTRING (-8.7602942 41.3795971, -8.7600885 41.3793478, -8.7600585 41.3793114, -8.7600404 41.3792901, -8.7599113 41.3791377, -8.7597848 41.3789912, -8.7597169 41.3789126)",2,EN 13,,,,,
971024133,False,,primary,False,90.922,"LINESTRING (-8.7602942 41.3795971, -8.7603545 41.3796679, -8.7608806 41.3802863)",2,EN 13,,,,,
169908969,True,,residential,False,47.845,"LINESTRING (-8.7587158 41.3793771, -8.7582597 41.3795554, -8.7582137 41.3795833)",,,,,,,
459428869,False,Praça do Almada,residential,True,98.207,"LINESTRING (-8.7587158 41.3793771, -8.7587782 41.3793481, -8.7596013 41.3789663, -8.7597169 41.3789126)",,,,,,,
254833618,False,Avenida Mouzinho de Albuquerque,secondary,False,30.673,"LINESTRING (-8.7635265 41.3816657, -8.7631927 41.3817813)",1,,,,,,
254833618,False,Avenida Mouzinho de Albuquerque,secondary,True,35.774,"LINESTRING (-8.7635265 41.3816657, -8.7636422 41.3816257, -8.7639157 41.3815307)",1,,,,,,
"[844036105, 844036106, 844036107, 844036108, 844036109]",True,Praça João XXIII,residential,False,78.195,"LINESTRING (-8.7651346 41.3818759, -8.7651412 41.381836, -8.7650977 41.3817629, -8.7650097 41.3816237, -8.7649115 41.3814596, -8.7648285 41.381322, -8.7648187 41.3813058, -8.7647745 41.3812328)",,,,,,,building_passage
198510624,True,Largo Senhora das Dores,secondary,False,13.545,"LINESTRING (-8.7577275 41.3825071, -8.757718 41.3826287)",,,,,,,
32726742,True,Rua de São Pedro,residential,False,122.865,"LINESTRING (-8.7577275 41.3825071, -8.7576811 41.3824368, -8.7573123 41.3814483)",,,,,,,
169908817,True,,secondary,False,3.356,"LINESTRING (-8.7589916 41.3825475, -8.7589631 41.3825262)",,,,,roundabout,,
169908817,True,,secondary,False,14.614,"LINESTRING (-8.7588116 41.3825501, -8.7587995 41.38257, -8.758795 41.3825917, -8.7587985 41.3826134, -8.7588096 41.3826337, -8.7588276 41.382651, -8.758851 41.382664)",,,,,roundabout,,
"[799512784, 169908953]",True,Largo Senhora das Dores,secondary,False,39.112,"LINESTRING (-8.7588116 41.3825501, -8.758769 41.3825529, -8.7584222 41.3825376, -8.7583437 41.3825342)",,,,,,,
42108266,True,,tertiary,False,23.228,"LINESTRING (-8.7559397 41.3825604, -8.7558602 41.3825405, -8.7556656 41.3825391)",,,,,,,
169908901,True,,residential,False,15.495000000000001,"LINESTRING (-8.7559397 41.3825604, -8.7558487 41.3825836, -8.7557888 41.3826336)",,,,,,,
169908902,True,Rua da Portela,residential,False,94.83500000000001,"LINESTRING (-8.7557888 41.3826336, -8.7557856 41.3828898, -8.755811 41.383109, -8.7558975 41.38348)",,,,,,,
169908817,True,,secondary,False,7.968999999999999,"LINESTRING (-8.758851 41.382664, -8.7588809 41.3826722, -8.7589127 41.3826736, -8.7589436 41.3826679)",,,,,roundabout,,
169908817,True,,secondary,False,15.971,"LINESTRING (-8.7589436 41.3826679, -8.7589673 41.3826578, -8.758987 41.3826435, -8.7590012 41.3826259, -8.759009 41.3826063, -8.75901 41.3825858, -8.7590041 41.3825657, -8.7589916 41.3825475)",,,,,roundabout,,
