osmid,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry
241036126,,,unclassified,,False,False,45.732,,"LINESTRING (33.8243645 51.1997126, 33.8250199 51.1996904)"
241036126,,,unclassified,,False,True,45.732,,"LINESTRING (33.8250199 51.1996904, 33.8243645 51.1997126)"
241036126,,,unclassified,,False,False,137.251,,"LINESTRING (33.8250199 51.1996904, 33.8263533 51.1997686, 33.8269701 51.1998509)"
241036099,,,unclassified,,False,True,56.934,,"LINESTRING (33.8269701 51.1998509, 33.8271049 51.1993459)"
241036126,,,unclassified,,False,True,137.251,,"LINESTRING (33.8269701 51.1998509, 33.8263533 51.1997686, 33.8250199 51.1996904)"
1197033711,,Ярмаркова вулиця,secondary_link,,False,False,61.753,,"LINESTRING (33.8298466 51.1959006, 33.82897 51.1959822)"
230368701,,Ярмаркова вулиця,residential,,False,True,327.348,,"LINESTRING (33.8298466 51.1959006, 33.8301348 51.1958723, 33.8303686 51.1958473, 33.8305032 51.1958181, 33.8306502 51.1957391, 33.8313143 51.1949942, 33.8318448 51.1942757, 33.8323906 51.1936005)"
300630752,,,secondary_link,,True,False,76.318,,"LINESTRING (33.8298466 51.1959006, 33.8296264 51.1960397, 33.8294283 51.1962719, 33.8293814 51.1964971)"
1197033710,Т-19-14,Першотравнева площа,secondary,50,False,False,47.106,,"LINESTRING (33.8282561 51.1956399, 33.8287554 51.1959255)"
241629372,Т-19-14,вулиця Успенський Шлях,secondary,50,False,True,201.566,,"LINESTRING (33.8282561 51.1956399, 33.8280554 51.195389, 33.8277881 51.1950157, 33.8275738 51.1945343, 33.8273724 51.1941226, 33.8273689 51.1939301)"
1197033708,Т-19-10,Першотравнева площа,secondary,50,False,False,56.956,,"LINESTRING (33.8278262 51.1958767, 33.8286031 51.1960359)"
366623020,Т-19-10,,secondary,50,False,True,118.53399999999999,,"LINESTRING (33.8278262 51.1958767, 33.827714 51.1958721, 33.8261389 51.1957424)"
644897247,,,secondary_link,,True,False,44.542,,"LINESTRING (33.8278262 51.1958767, 33.8280013 51.1958551, 33.8281542 51.1958013, 33.8282347 51.1957324, 33.8282561 51.1956399)"
528541873,Т-19-10,Першотравнева площа,secondary,50,False,False,22.853,,"LINESTRING (33.8293814 51.1964971, 33.8294307 51.1965826, 33.8294804 51.1966929)"
528541873,Т-19-10,Першотравнева площа,secondary,50,False,True,51.218,,"LINESTRING (33.8293814 51.1964971, 33.8292475 51.1963868, 33.8288846 51.1961588)"
1197033710,Т-19-14,Першотравнева площа,secondary,50,False,True,47.106,,"LINESTRING (33.8287554 51.1959255, 33.8282561 51.1956399)"
644897248,Т-19-10,,secondary,50,True,False,17.218,roundabout,"LINESTRING (33.8287554 51.1959255, 33.8288378 51.1959245, 33.8289137 51.1959446, 33.82897 51.1959822)"
1197033711,,Ярмаркова вулиця,secondary_link,,False,True,61.753,,"LINESTRING (33.82897 51.1959822, 33.8298466 51.1959006)"
644897248,Т-19-10,,secondary,50,True,False,22.958000000000002,roundabout,"LINESTRING (33.82897 51.1959822, 33.828997 51.196031, 33.82899 51.1960824, 33.8289502 51.1961276, 33.8288846 51.1961588)"
