osmid,bridge,highway,oneway,reversed,length,name,geometry,ref
143220925,,unclassified,False,True,109.99000000000001,,"LINESTRING (31.6554415 48.7984965, 31.655744 48.79832, 31.6562631 48.797683)",
156466401,,residential,False,True,130.851,Виноградівська вулиця,"LINESTRING (31.6554415 48.7984965, 31.6540317 48.798776, 31.6538434 48.7989417)",
143098614,,residential,False,False,25.098,вулиця Ціолковського,"LINESTRING (31.6492016 48.7992416, 31.6495442 48.7992371)",
143098614,,residential,False,True,187.851,вулиця Ціолковського,"LINESTRING (31.6492016 48.7992416, 31.6480069 48.7999523, 31.6473171 48.8003873)",
406777812,,residential,False,False,141.732,Виноградівська вулиця,"LINESTRING (31.6492016 48.7992416, 31.649627 48.7988781, 31.6507658 48.7985578)",
406777812,,residential,False,True,229.321,Виноградівська вулиця,"LINESTRING (31.6492016 48.7992416, 31.6469126 48.7992668, 31.6460712 48.7992786)",
143098679,,residential,False,True,198.799,вулиця Назаревського,"LINESTRING (31.6460712 48.7992786, 31.6462747 48.799299, 31.6464298 48.799924, 31.6462903 48.8006943, 31.6465049 48.8008922)",
406777812,,residential,False,False,229.321,Виноградівська вулиця,"LINESTRING (31.6460712 48.7992786, 31.6469126 48.7992668, 31.6492016 48.7992416)",
161710146,,residential,False,False,24.376,вулиця Ціолковського,"LINESTRING (31.6516303 48.7995847, 31.6519583 48.7995476)",
294867594,,secondary,False,False,23.462,вулиця Соборності,"LINESTRING (31.6516303 48.7995847, 31.651514 48.7993881)",Т-24-01
294867594,,secondary,False,True,200.34300000000002,вулиця Соборності,"LINESTRING (31.6516303 48.7995847, 31.6518569 48.7999797, 31.6518953 48.8001274, 31.6519349 48.8002708, 31.6519025 48.8008002, 31.6518076 48.8013507)",Т-24-01
294867594,,secondary,False,True,23.462,вулиця Соборності,"LINESTRING (31.651514 48.7993881, 31.6516303 48.7995847)",Т-24-01
143098614,,residential,False,True,146.459,вулиця Ціолковського,"LINESTRING (31.651514 48.7993881, 31.651402 48.7993726, 31.6500883 48.7992032, 31.6495442 48.7992371)",
294867594,,secondary,False,False,61.403,вулиця Соборності,"LINESTRING (31.651514 48.7993881, 31.6512529 48.7990055, 31.6511399 48.7988956)",Т-24-01
143098614,,residential,False,True,81.797,вулиця Ціолковського,"LINESTRING (31.6473171 48.8003873, 31.6465049 48.8008922)",
143098614,,residential,False,False,187.851,вулиця Ціолковського,"LINESTRING (31.6473171 48.8003873, 31.6480069 48.7999523, 31.6492016 48.7992416)",
156466401,,residential,False,False,125.74100000000001,Виноградівська вулиця,"LINESTRING (31.6511399 48.7988956, 31.6518157 48.7988004, 31.6528027 48.7989841)",
294867594,,secondary,False,False,46.691,вулиця Соборності,"LINESTRING (31.6511399 48.7988956, 31.6510029 48.7987408, 31.6508942 48.7986507, 31.6507658 48.7985578)",Т-24-01
294867594,,secondary,False,True,61.403,вулиця Соборності,"LINESTRING (31.6511399 48.7988956, 31.6512529 48.7990055, 31.651514 48.7993881)",Т-24-01
143098614,,residential,False,True,25.098,вулиця Ціолковського,"LINESTRING (31.6495442 48.7992371, 31.6492016 48.7992416)",
143098614,,residential,False,False,146.459,вулиця Ціолковського,"LINESTRING (31.6495442 48.7992371, 31.6500883 48.7992032, 31.651402 48.7993726, 31.651514 48.7993881)",
294867594,,secondary,False,False,200.34300000000002,вулиця Соборності,"LINESTRING (31.6518076 48.8013507, 31.6519025 48.8008002, 31.6519349 48.8002708, 31.6518953 48.8001274, 31.6518569 48.7999797, 31.6516303 48.7995847)",Т-24-01
"[294867594, 143907717, 949808398]",yes,secondary,False,False,346.733,вулиця Соборності,"LINESTRING (31.6507658 48.7985578, 31.6501264 48.7981959, 31.6499491 48.7980749, 31.6498541 48.7979911, 31.6498093 48.7979308, 31.6497814 48.7978531, 31.6497752 48.7977542, 31.6497302 48.7970472, 31.6496341 48.7967729, 31.649333 48.7960893, 31.6492386 48.7957517)",Т-24-01
294867594,,secondary,False,True,46.691,вулиця Соборності,"LINESTRING (31.6507658 48.7985578, 31.6508942 48.7986507, 31.6510029 48.7987408, 31.6511399 48.7988956)",Т-24-01
406777812,,residential,False,True,141.732,Виноградівська вулиця,"LINESTRING (31.6507658 48.7985578, 31.649627 48.7988781, 31.6492016 48.7992416)",
156466401,,residential,False,True,76.371,Виноградівська вулиця,"LINESTRING (31.6538434 48.7989417, 31.6528027 48.7989841)",
143769601,,unclassified,False,False,25.236,,"LINESTRING (31.6538434 48.7989417, 31.6539825 48.7989735, 31.6540783 48.7989749, 31.6541756 48.7989559)",
156466401,,residential,False,False,130.851,Виноградівська вулиця,"LINESTRING (31.6538434 48.7989417, 31.6540317 48.798776, 31.6554415 48.7984965)",
156466401,,residential,False,False,76.371,Виноградівська вулиця,"LINESTRING (31.6528027 48.7989841, 31.6538434 48.7989417)",
161710146,,residential,False,True,88.041,вулиця Ціолковського,"LINESTRING (31.6528027 48.7989841, 31.6519583 48.7995476)",
143769597,,unclassified,False,False,71.56,,"LINESTRING (31.6528027 48.7989841, 31.6529303 48.7987877, 31.6529786 48.7987382, 31.6530859 48.7987135, 31.65322 48.7987311, 31.6533388 48.7987227, 31.6535212 48.7986802)",
156466401,,residential,False,True,125.74100000000001,Виноградівська вулиця,"LINESTRING (31.6528027 48.7989841, 31.6518157 48.7988004, 31.6511399 48.7988956)",
143220925,,unclassified,False,False,109.99000000000001,,"LINESTRING (31.6562631 48.797683, 31.655744 48.79832, 31.6554415 48.7984965)",
143220925,,unclassified,False,True,412.42900000000003,,"LINESTRING (31.6562631 48.797683, 31.6570637 48.7966945, 31.6579971 48.7954789, 31.6582867 48.7947933, 31.6583156 48.7943881, 31.6583234 48.7942791)",
143220932,,residential,False,False,136.274,Річковий провулок,"LINESTRING (31.6562631 48.797683, 31.6564612 48.797938, 31.6563663 48.7982776, 31.6569242 48.798744)",
143220932,,residential,False,False,49.49,Річковий провулок,"LINESTRING (31.6569242 48.798744, 31.6573437 48.7990929)",
143220948,,unclassified,False,False,29.078,,"LINESTRING (31.6569242 48.798744, 31.6573189 48.7987159)",
143220948,,unclassified,False,True,112.033,,"LINESTRING (31.6569242 48.798744, 31.6554415 48.7984965)",
143220932,,residential,False,True,136.274,Річковий провулок,"LINESTRING (31.6569242 48.798744, 31.6563663 48.7982776, 31.6564612 48.797938, 31.6562631 48.797683)",
143068821,,residential,False,True,41.96,вулиця Гастелло,"LINESTRING (31.6573437 48.7990929, 31.6573189 48.7987159)",
143220932,,residential,False,True,49.49,Річковий провулок,"LINESTRING (31.6573437 48.7990929, 31.6569242 48.798744)",
143068821,,residential,False,False,233.097,вулиця Гастелло,"LINESTRING (31.6573437 48.7990929, 31.6574562 48.7998456, 31.657519 48.8003413, 31.6576181 48.8011813)",
143065331,,secondary,False,False,44.398,вулиця Євгенія Присяжного,"LINESTRING (31.6534487 48.7941362, 31.6531287 48.7937971)",Т-24-01
143769593,,secondary,True,False,33.166,,"LINESTRING (31.6534487 48.7941362, 31.6537054 48.7943819)",Т-24-01
144113419,,secondary,False,False,138.527,вулиця Андрія Гурічева,"LINESTRING (31.6538633 48.7943785, 31.6557534 48.7943375)",
144113419,,secondary,False,True,11.573,вулиця Андрія Гурічева,"LINESTRING (31.6538633 48.7943785, 31.6537054 48.7943819)",
143085483,,residential,False,False,78.935,вулиця Євгенія Присяжного,"LINESTRING (31.6538633 48.7943785, 31.653915 48.7944421, 31.654272 48.7948497, 31.6543818 48.7950004)",
143098676,,unclassified,False,False,202.755,,"LINESTRING (31.6577021 48.7925112, 31.6581237 48.7933446, 31.6583173 48.7941219, 31.6583234 48.7942791)",
949808398,,secondary,False,False,117.26,вулиця Соборності,"LINESTRING (31.6492276 48.7954625, 31.6491438 48.7944094)",Т-24-01
949808398,,secondary,False,True,32.168,вулиця Соборності,"LINESTRING (31.6492276 48.7954625, 31.6492386 48.7957517)",Т-24-01
"[143545410, 143068820]",,residential,False,True,406.769,вулиця Котляревського,"LINESTRING (31.6492276 48.7954625, 31.6498195 48.7954541, 31.6501551 48.7950395, 31.6542719 48.7949558, 31.6543818 48.7950004)",
144113417,,secondary,False,False,38.957,вулиця Андрія Гурічева,"LINESTRING (31.6537054 48.7943819, 31.6531736 48.7943787)",Т-24-01
144113419,,secondary,False,False,11.573,вулиця Андрія Гурічева,"LINESTRING (31.6537054 48.7943819, 31.6538633 48.7943785)",
143769601,,unclassified,False,True,25.236,,"LINESTRING (31.6541756 48.7989559, 31.6540783 48.7989749, 31.6539825 48.7989735, 31.6538434 48.7989417)",
143769597,,unclassified,False,True,71.56,,"LINESTRING (31.6535212 48.7986802, 31.6533388 48.7987227, 31.65322 48.7987311, 31.6530859 48.7987135, 31.6529786 48.7987382, 31.6529303 48.7987877, 31.6528027 48.7989841)",
144113417,,secondary,False,True,38.957,вулиця Андрія Гурічева,"LINESTRING (31.6531736 48.7943787, 31.6537054 48.7943819)",Т-24-01
114928595,,secondary,False,True,295.209,вулиця Андрія Гурічева,"LINESTRING (31.6531736 48.7943787, 31.6520943 48.7943884, 31.6516246 48.7943893, 31.649924 48.7944052, 31.6491438 48.7944094)",Т-24-01
143769591,,secondary,True,False,33.873000000000005,,"LINESTRING (31.6531736 48.7943787, 31.6532702 48.7943177, 31.653335 48.7942601, 31.6534487 48.7941362)",Т-24-01
143085524,,residential,False,True,174.886,вулиця Поповкіна,"LINESTRING (31.6498711 48.7928524, 31.6500505 48.7928497, 31.6516644 48.7928653, 31.6520475 48.792912, 31.6522327 48.7928552)",
"[143098656, 143098572]",,"['unclassified', 'residential']",False,"[False, True]",349.749,Виноградівський провулок,"LINESTRING (31.6549621 48.8007343, 31.6547521 48.8002848, 31.654551 48.7998604, 31.6542455 48.7996642, 31.6532834 48.8002237, 31.6519583 48.7995476)",
143954990,,unclassified,False,False,250.79199999999997,,"LINESTRING (31.6549621 48.8007343, 31.6550338 48.8006487, 31.655066 48.8005533, 31.6551024 48.8004822, 31.6552097 48.8004681, 31.6553932 48.8004826, 31.6555434 48.8005391, 31.6556979 48.800567, 31.6559296 48.8005603, 31.6561764 48.8005321, 31.6563363 48.8005282, 31.6564152 48.8005239, 31.6565079 48.8004999, 31.6565777 48.8004999, 31.6566935 48.8005354, 31.6568684 48.8006381, 31.6571141 48.8007578, 31.6573458 48.8008925, 31.6574907 48.8010161, 31.6576181 48.8011813)",
143068821,,residential,False,True,233.097,вулиця Гастелло,"LINESTRING (31.6576181 48.8011813, 31.657519 48.8003413, 31.6574562 48.7998456, 31.6573437 48.7990929)",
143954990,,unclassified,False,True,250.79200000000003,,"LINESTRING (31.6576181 48.8011813, 31.6574907 48.8010161, 31.6573458 48.8008925, 31.6571141 48.8007578, 31.6568684 48.8006381, 31.6566935 48.8005354, 31.6565777 48.8004999, 31.6565079 48.8004999, 31.6564152 48.8005239, 31.6563363 48.8005282, 31.6561764 48.8005321, 31.6559296 48.8005603, 31.6556979 48.800567, 31.6555434 48.8005391, 31.6553932 48.8004826, 31.6552097 48.8004681, 31.6551024 48.8004822, 31.655066 48.8005533, 31.6550338 48.8006487, 31.6549621 48.8007343)",
220212964,,residential,False,False,32.217,,"LINESTRING (31.6556006 48.7966174, 31.6554372 48.7963484)",
143068820,,residential,False,False,99.504,вулиця Котляревського,"LINESTRING (31.65574 48.7949848, 31.6543818 48.7950004)",
143068821,,residential,False,False,200.311,вулиця Гастелло,"LINESTRING (31.6582925 48.7970358, 31.6582303 48.7972092, 31.6574369 48.7985745, 31.6573189 48.7987159)",
