osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
"[1146882373, 220796215]",False,1,,"['Strada Muscel', 'Strada Constantin Brâncuși']",residential,"['50', 'RO:urban']",True,83.837,"LINESTRING (26.3589709 45.3185113, 26.3587412 45.3184814, 26.3579781 45.3183801, 26.3579164 45.3183848)",
220796217,False,,,Strada Nicolae Grigorescu,residential,RO:urban,True,176.706,"LINESTRING (26.3589709 45.3185113, 26.3589228 45.3187566, 26.358824 45.3192166, 26.3588239 45.3192609, 26.3588566 45.3192929, 26.3589075 45.3193175, 26.3590497 45.3193344, 26.3595405 45.3193835, 26.3599574 45.3194433)",
133402662,False,2,,Strada Industriilor,residential,RO:urban,True,111.55600000000001,"LINESTRING (26.3591405 45.3230853, 26.35927 45.3230159, 26.3593608 45.3229463, 26.3594168 45.3228717, 26.3594331 45.3228006, 26.3594358 45.3227199, 26.3594104 45.3225605, 26.3594024 45.3224636, 26.359414 45.3223986, 26.3594538 45.3223386, 26.359567 45.3221906)",
220796206,False,,,Strada Iazul Morii,residential,RO:urban,True,393.528,"LINESTRING (26.3591405 45.3230853, 26.3595223 45.3231278, 26.3603163 45.3232334, 26.3610566 45.3233428, 26.3621884 45.3234937, 26.362694 45.3235776, 26.362837 45.3235967, 26.3629582 45.3236021, 26.3630341 45.3235882, 26.3631138 45.3235502, 26.363162 45.3234955, 26.3632437 45.3233593, 26.3633801 45.3231129, 26.363427 45.3230064, 26.3634693 45.3229179)",
220796211,False,,,Strada Mihai Eminescu,residential,RO:urban,False,190.21699999999998,"LINESTRING (26.3612765 45.3191221, 26.3610606 45.3197972, 26.3610137 45.3199274, 26.3609761 45.3199745, 26.3609178 45.320004, 26.3608688 45.3200085, 26.3607722 45.3199972, 26.3601875 45.3198915, 26.3598424 45.3198244)",
318135803,False,,,Strada Fântânii,residential,50,True,123.61499999999998,"LINESTRING (26.3570075 45.3194954, 26.3570271 45.3195808, 26.3570647 45.3197053, 26.3571621 45.3199304, 26.3571822 45.3199634, 26.3572003 45.3199832, 26.3572137 45.3199938, 26.3572268 45.3200002, 26.3572513 45.3200054, 26.3572637 45.3200049, 26.3580464 45.3199768)",
318178174,False,1,,Strada Muscel,residential,50,True,142.81899999999996,"LINESTRING (26.3570075 45.3194954, 26.3569427 45.3194757, 26.3568783 45.3194811, 26.3567497 45.3195171, 26.3566379 45.3195624, 26.3564774 45.3196456, 26.3563246 45.3197371, 26.3561703 45.3198455, 26.3559517 45.3199993, 26.355831 45.3200728, 26.3557935 45.3201256, 26.355768 45.3201973, 26.3557278 45.3202482, 26.3556781 45.3202774)",
1146882373,False,1,,Strada Muscel,residential,50,False,169.99700000000004,"LINESTRING (26.3570075 45.3194954, 26.357081 45.3194913, 26.3572046 45.3194572, 26.3573328 45.3194047, 26.3574289 45.3193637, 26.3577346 45.3192466, 26.3578592 45.3191967, 26.3579226 45.3191597, 26.3579501 45.3191204, 26.3579548 45.3190502, 26.3579277 45.3188725, 26.3578994 45.318736, 26.3578749 45.3185998, 26.3578601 45.3184791, 26.3578776 45.3184093, 26.3579164 45.3183848)",
318135803,False,,,Strada Fântânii,residential,50,False,123.61500000000001,"LINESTRING (26.3580464 45.3199768, 26.3572637 45.3200049, 26.3572513 45.3200054, 26.3572268 45.3200002, 26.3572137 45.3199938, 26.3572003 45.3199832, 26.3571822 45.3199634, 26.3571621 45.3199304, 26.3570647 45.3197053, 26.3570271 45.3195808, 26.3570075 45.3194954)",
220796206,False,,,Strada Iazul Morii,residential,RO:urban,False,393.528,"LINESTRING (26.3634693 45.3229179, 26.363427 45.3230064, 26.3633801 45.3231129, 26.3632437 45.3233593, 26.363162 45.3234955, 26.3631138 45.3235502, 26.3630341 45.3235882, 26.3629582 45.3236021, 26.362837 45.3235967, 26.362694 45.3235776, 26.3621884 45.3234937, 26.3610566 45.3233428, 26.3603163 45.3232334, 26.3595223 45.3231278, 26.3591405 45.3230853)",
220796206,False,,,Strada Iazul Morii,residential,RO:urban,True,16.483,"LINESTRING (26.3634693 45.3229179, 26.3634954 45.3228555, 26.3634957 45.3227723)",
318178179,False,,,Strada Orizontului,residential,50,True,120.85000000000001,"LINESTRING (26.3634693 45.3229179, 26.363182 45.3228765, 26.3627556 45.322835, 26.3619455 45.322737)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,False,45.015,"LINESTRING (26.3556366 45.3206584, 26.355717 45.3205641, 26.3557452 45.3204972, 26.3557318 45.3204283, 26.3556781 45.3202774)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,True,129.338,"LINESTRING (26.3556366 45.3206584, 26.3555561 45.3207046, 26.3555199 45.3207376, 26.3554864 45.3207881, 26.3554508 45.3208838, 26.3553174 45.3213524, 26.355249 45.3217655)",
544721297,False,,,,living_street,30,True,65.737,"LINESTRING (26.3556366 45.3206584, 26.3558744 45.3206753, 26.3561212 45.3206904, 26.3564752 45.3206942)",
"[1196031172, 1196031173, 48467438]",False,2,DN10,"['Strada Nicolae Bălcescu', 'Strada Alexandru Ioan Cuza']",primary,50,False,91.422,"LINESTRING (26.3604471 45.3168395, 26.3604385 45.3169198, 26.3604225 45.3171065, 26.3604147 45.3172001, 26.3604047 45.3173846, 26.360396 45.3175577, 26.3603893 45.3176606)",yes
48467438,False,2,DN10,Strada Nicolae Bălcescu,primary,50,True,55.724,"LINESTRING (26.3604471 45.3168395, 26.3604523 45.3167142, 26.3604759 45.3165333, 26.3605012 45.31634)",
854809205,False,,,Strada Tudor Arghezi,living_street,30,True,66.126,"LINESTRING (26.3604471 45.3168395, 26.3605005 45.3169376, 26.3605454 45.3169634, 26.3607943 45.316972, 26.3610586 45.3169933, 26.36118 45.3170077)",
318178187,False,1,,Strada Pieții,residential,50,False,308.863,"LINESTRING (26.3576486 45.3191197, 26.3576878 45.3190765, 26.3577106 45.3190308, 26.3577227 45.3189709, 26.3577273 45.3189176, 26.3576701 45.3186821, 26.3576326 45.3183427, 26.3576237 45.3182055, 26.3576164 45.3181149, 26.3576152 45.3180409, 26.3576332 45.3179929, 26.3576712 45.3179563, 26.3577231 45.3179376, 26.3577849 45.3179243, 26.357875 45.3179131, 26.3579557 45.3179055, 26.3580298 45.3178748, 26.3581141 45.3178163, 26.3583646 45.3176317, 26.3584862 45.3175409, 26.3585844 45.317459, 26.3586632 45.3173794, 26.3587406 45.3172883, 26.3587995 45.3172102, 26.358915 45.3169918, 26.3589655 45.3168817, 26.3590049 45.3167766)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,True,45.015,"LINESTRING (26.3556781 45.3202774, 26.3557318 45.3204283, 26.3557452 45.3204972, 26.355717 45.3205641, 26.3556366 45.3206584)",
318178174,False,1,,Strada Muscel,residential,50,False,142.819,"LINESTRING (26.3556781 45.3202774, 26.3557278 45.3202482, 26.355768 45.3201973, 26.3557935 45.3201256, 26.355831 45.3200728, 26.3559517 45.3199993, 26.3561703 45.3198455, 26.3563246 45.3197371, 26.3564774 45.3196456, 26.3566379 45.3195624, 26.3567497 45.3195171, 26.3568783 45.3194811, 26.3569427 45.3194757, 26.3570075 45.3194954)",
