osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction,width
"[328841609, 328841610, 229301297]",,,"['Bogengasse', 'Lederergasse']",residential,30,False,"[False, True]",186.888,"LINESTRING (13.4999145 46.7984529, 13.4999484 46.7980181, 13.4999384 46.7978679, 13.4998828 46.797728, 13.4998182 46.7974555, 13.4997971 46.7973861, 13.4997525 46.7972386, 13.4997203 46.7971322, 13.4996885 46.7970259, 13.4996651 46.797026, 13.4994862 46.797027, 13.4993929 46.7970281, 13.4993502 46.7970131)",,yes,,
328841609,,,Lederergasse,residential,30,False,True,319.334,"LINESTRING (13.4999145 46.7984529, 13.4999694 46.7993233, 13.5000284 46.799797, 13.5000217 46.7999237, 13.4999869 46.8000318, 13.49982 46.8001297, 13.4996186 46.8002187, 13.4994124 46.8002764, 13.4992404 46.8002988, 13.4989711 46.8003129, 13.4986935 46.8002547, 13.4982848 46.8001052)",,,,
"[919653777, 919653779, 919653780, 29362230]",2,,Koschatstraße,tertiary,30,False,False,125.103,"LINESTRING (13.4913124 46.7956083, 13.491953 46.7951369, 13.4920427 46.7950849, 13.4922027 46.7949922, 13.4923787 46.7948901, 13.4924894 46.7948259)",,,,
29362230,2,,Koschatstraße,tertiary,30,False,True,134.46699999999998,"LINESTRING (13.4913124 46.7956083, 13.490252 46.7964237, 13.4901365 46.7965107)",,,,
29362368,,,Goldeckstraße,residential,30,False,False,132.02,"LINESTRING (13.4913124 46.7956083, 13.4913569 46.7956356, 13.4918619 46.7959456, 13.49248 46.7964167, 13.4925276 46.796453)",,,,
261103472,,,Jahnstraße,residential,30,False,True,60.702,"LINESTRING (13.4978138 46.796122, 13.4971999 46.7964704)",,,,
38960432,,,Kanaltaler Straße,residential,30,False,True,252.63600000000002,"LINESTRING (13.4978138 46.796122, 13.4976094 46.7956322, 13.4974476 46.7952928, 13.4973417 46.7950681, 13.497234 46.7949336, 13.4967224 46.7950089, 13.49647 46.7950897, 13.4959409 46.7953846)",,,,
261103472,,,Jahnstraße,residential,30,False,False,127.383,"LINESTRING (13.4978138 46.796122, 13.4977617 46.7957085, 13.4977078 46.7954443, 13.4977783 46.7953617, 13.4979741 46.7952643, 13.4980774 46.795189, 13.4981109 46.7951412, 13.4981261 46.7950963)",,,,
29362664,,,Aicher Gasse,residential,30,False,False,158.097,"LINESTRING (13.5006369 46.7954015, 13.5005775 46.7955684, 13.5004709 46.7960527, 13.5004189 46.7962631, 13.500487 46.7964562, 13.5005533 46.7966873, 13.5005962 46.7967961)",,,,
39243684,,,Hößlgasse,residential,30,False,False,39.684000000000005,"LINESTRING (13.5006369 46.7954015, 13.5006131 46.7952671, 13.5006112 46.7951071, 13.5006547 46.7950533)",,,,
39243684,,,Hößlgasse,residential,30,False,True,61.492000000000004,"LINESTRING (13.5006369 46.7954015, 13.5007171 46.795522, 13.5008734 46.7957482, 13.5009129 46.7959164)",,,,
