osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
91454221,,,residential,,False,True,102.022,"LINESTRING (55.3269209 57.9436316, 55.326594 57.943513, 55.3254937 57.9431139)"
91454221,,,residential,,False,False,102.022,"LINESTRING (55.3254937 57.9431139, 55.326594 57.943513, 55.3269209 57.9436316)"
91454221,,,residential,,False,True,113.888,"LINESTRING (55.3254937 57.9431139, 55.3250903 57.9429553, 55.3247676 57.9428283, 55.3239433 57.9425041)"
135999537,,Комсомольская улица,residential,,False,False,116.83099999999999,"LINESTRING (55.3254937 57.9431139, 55.3252475 57.9432853, 55.3242904 57.9439482)"
135999537,,Комсомольская улица,residential,,False,True,119.869,"LINESTRING (55.3254937 57.9431139, 55.3257279 57.942931, 55.3266353 57.9422223)"
91454221,,,residential,,False,False,113.88799999999999,"LINESTRING (55.3239433 57.9425041, 55.3247676 57.9428283, 55.3250903 57.9429553, 55.3254937 57.9431139)"
203843402,2,улица Карла Маркса,tertiary,60,False,False,124.136,"LINESTRING (55.3239433 57.9425041, 55.3240809 57.9424018, 55.3244289 57.9421429, 55.3249741 57.9417027, 55.3251414 57.941587)"
91454219,,Красноармейская улица,residential,,False,True,81.07300000000001,"LINESTRING (55.3389205 57.9475625, 55.3383384 57.947211, 55.3380709 57.9469918)"
91451279,,улица Серова,residential,,False,True,66.491,"LINESTRING (55.3370755 57.9463482, 55.3361445 57.946685)"
91451279,,улица Серова,residential,,False,False,121.702,"LINESTRING (55.3370755 57.9463482, 55.3374276 57.9461898, 55.3385664 57.9455928)"
91454219,,Красноармейская улица,residential,,False,False,92.701,"LINESTRING (55.3370755 57.9463482, 55.3375274 57.946608, 55.3380709 57.9469918)"
91454219,,Красноармейская улица,residential,,False,True,127.773,"LINESTRING (55.3370755 57.9463482, 55.3357187 57.9457634, 55.3353514 57.9456583)"
91452487,,улица Степана Разина,residential,,False,True,115.66,"LINESTRING (55.3284345 57.9441857, 55.3272578 57.9450175)"
91452487,,улица Степана Разина,residential,,False,False,118.011,"LINESTRING (55.3284345 57.9441857, 55.3285442 57.9440602, 55.3295791 57.9433185)"
"[91451899, 91454221]",,улица Демьяна Бедного,residential,,False,"[False, True]",252.69,"LINESTRING (55.3284345 57.9441857, 55.3298906 57.944772, 55.3300596 57.9450125, 55.3286003 57.9457152)"
91454221,,,residential,,False,True,108.564,"LINESTRING (55.3284345 57.9441857, 55.3274703 57.9438158, 55.3269209 57.9436316)"
91614950,,Майская улица,residential,,False,False,83.888,"LINESTRING (55.3256362 57.9395767, 55.3248297 57.9401979)"
91615001,,улица Урицкого,residential,,False,False,304.772,"LINESTRING (55.3360709 57.9417674, 55.3341562 57.9412751, 55.3338129 57.9411778, 55.3325436 57.9408178, 55.331737 57.9405928, 55.3315117 57.9404903)"
91615001,,улица Урицкого,residential,,False,True,304.772,"LINESTRING (55.3315117 57.9404903, 55.331737 57.9405928, 55.3325436 57.9408178, 55.3338129 57.9411778, 55.3341562 57.9412751, 55.3360709 57.9417674)"
208859044,,улица Ширинкина,residential,,False,False,100.061,"LINESTRING (55.3315117 57.9404903, 55.3326977 57.9398651, 55.3327146 57.9398562)"
"[208859044, 44645110]",,"['улица Ширинкина', 'улица Свердлова']",residential,,False,True,206.414,"LINESTRING (55.3315117 57.9404903, 55.3312725 57.940591, 55.3304539 57.9409737, 55.3303476 57.9410489, 55.3300676 57.9412471, 55.3292401 57.9418838)"
44645357,,улица Володарского,residential,,False,False,234.441,"LINESTRING (55.339724 57.9405932, 55.3393992 57.9404165, 55.3376506 57.9399969, 55.3361797 57.9396793)"
91615710,,,residential,,False,False,113.73500000000001,"LINESTRING (55.339724 57.9405932, 55.339209 57.9408916, 55.3389841 57.9410217, 55.3384219 57.9413472)"
44645354,2,улица Карла Либкнехта,secondary,40,False,False,112.42599999999999,"LINESTRING (55.3397595 57.9420609, 55.3385947 57.941399, 55.3384219 57.9413472)"
203839936,,,residential,,False,True,145.755,"LINESTRING (55.3397595 57.9420609, 55.3389981 57.9424585, 55.338831 57.9425961, 55.3388358 57.9426848, 55.3389836 57.9428571, 55.3393251 57.9430988)"
44645354,2,улица Карла Либкнехта,secondary,40,False,False,5.094,"LINESTRING (55.3384219 57.9413472, 55.3383452 57.9413262)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,112.42599999999999,"LINESTRING (55.3384219 57.9413472, 55.3385947 57.941399, 55.3397595 57.9420609)"
91615710,,,residential,,False,True,113.73499999999999,"LINESTRING (55.3384219 57.9413472, 55.3389841 57.9410217, 55.339209 57.9408916, 55.339724 57.9405932)"
91290977,,улица Луначарского,residential,,False,False,117.043,"LINESTRING (55.3379453 57.939019, 55.3383224 57.9392619, 55.3390883 57.9394588, 55.3395882 57.9395658)"
91615707,,улица Тибора Самуэли,residential,,False,False,127.491,"LINESTRING (55.3379453 57.939019, 55.3373402 57.9392539, 55.3372936 57.939271, 55.3361797 57.9396793)"
91290977,,улица Луначарского,residential,,False,True,117.043,"LINESTRING (55.3395882 57.9395658, 55.3390883 57.9394588, 55.3383224 57.9392619, 55.3379453 57.939019)"
44645357,,улица Володарского,residential,,False,False,117.27,"LINESTRING (55.3361797 57.9396793, 55.3354385 57.9394944, 55.3343815 57.9392308)"
44645357,,улица Володарского,residential,,False,True,234.441,"LINESTRING (55.3361797 57.9396793, 55.3376506 57.9399969, 55.3393992 57.9404165, 55.339724 57.9405932)"
