osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
348892674,,Пряничные ряды,residential,,False,False,190.81099999999998,"LINESTRING (40.9238178 57.7663064, 40.9238689 57.7662789, 40.9243171 57.7659829, 40.9249268 57.7655844, 40.9256246 57.7651486, 40.9258654 57.7649833)"
570248331,,,residential,,False,False,188.00799999999998,"LINESTRING (40.9275931 57.7673572, 40.9287111 57.7666343, 40.9287517 57.766608, 40.9296103 57.7660529)"
335582940,4,Советская улица,secondary,60,False,True,81.654,"LINESTRING (40.9296103 57.7660529, 40.9291068 57.7661565, 40.9287286 57.7662438, 40.9283721 57.7663672)"
570248331,,,residential,,False,True,188.00799999999998,"LINESTRING (40.9296103 57.7660529, 40.9287517 57.766608, 40.9287111 57.7666343, 40.9275931 57.7673572)"
"[987373722, 987373723, 987373724, 987373725]",4,Советская улица,secondary,60,False,False,99.328,"LINESTRING (40.9296103 57.7660529, 40.9298638 57.7659965, 40.9302724 57.7659057, 40.9305122 57.7658524, 40.9308116 57.7657859, 40.9311562 57.7657093)"
186454783,2,проспект Мира,tertiary,,True,False,194.134,"LINESTRING (40.9300329 57.7694844, 40.929478 57.7692259, 40.9291623 57.7690803, 40.9278452 57.76846, 40.9275685 57.7683353)"
692061319,,,tertiary_link,,False,True,17.6,"LINESTRING (40.9300329 57.7694844, 40.9301229 57.7694282, 40.9302249 57.7693637)"
41397883,2,проспект Мира,tertiary,,True,False,233.508,"LINESTRING (40.9302249 57.7693637, 40.931058 57.7697518, 40.9312017 57.7698166, 40.9318923 57.7701349, 40.9330492 57.7706683, 40.933198 57.7707405)"
692061319,,,tertiary_link,,False,False,17.6,"LINESTRING (40.9302249 57.7693637, 40.9301229 57.7694282, 40.9300329 57.7694844)"
335582942,,улица Молочная Гора,residential,,True,False,9.048,"LINESTRING (40.9234843 57.7664093, 40.9233747 57.7663527)"
827165696,,,residential,,False,True,22.003999999999998,"LINESTRING (40.9234843 57.7664093, 40.9236117 57.7663427, 40.9237493 57.7662708)"
41397889,,улица Молочная Гора,residential,,True,False,5.672,"LINESTRING (40.9237493 57.7662708, 40.9238178 57.7663064)"
827165696,,,residential,,False,False,22.003999999999998,"LINESTRING (40.9237493 57.7662708, 40.9236117 57.7663427, 40.9234843 57.7664093)"
