osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
25421901,,улица Космонавта Пацаева,residential,,False,True,223.165,"LINESTRING (36.2529676 54.5118788, 36.2529294 54.5118054, 36.2528173 54.5114089, 36.2527727 54.5112511, 36.2527214 54.5110697, 36.2526934 54.5109705, 36.252658 54.5108454, 36.2525632 54.51051, 36.2525341 54.5104072, 36.2524624 54.5101533, 36.252411 54.5099716, 36.2523995 54.5099309, 36.2523909 54.5099006)"
"[138221910, 138221911]","['1', '2']",улица Достоевского,tertiary,,True,False,114.69300000000001,"LINESTRING (36.2529676 54.5118788, 36.2530751 54.5118591, 36.2535885 54.5117765, 36.253707 54.5117585, 36.2543351 54.5116521, 36.254556 54.5116182, 36.2546777 54.5115993)"
145012011,2,улица Кирова,primary,60,True,False,100.356,"LINESTRING (36.2587766 54.5141753, 36.2580052 54.5142583, 36.257248 54.5143401)"
25421901,,улица Космонавта Пацаева,residential,,False,False,223.16500000000002,"LINESTRING (36.2523909 54.5099006, 36.2523995 54.5099309, 36.252411 54.5099716, 36.2524624 54.5101533, 36.2525341 54.5104072, 36.2525632 54.51051, 36.252658 54.5108454, 36.2526934 54.5109705, 36.2527214 54.5110697, 36.2527727 54.5112511, 36.2528173 54.5114089, 36.2529294 54.5118054, 36.2529676 54.5118788)"
25421904,,улица Дарвина,residential,,False,True,109.197,"LINESTRING (36.2523909 54.5099006, 36.2529777 54.5098101, 36.2533441 54.5097519, 36.2538575 54.5096722, 36.2539417 54.509664, 36.2540269 54.509652)"
160492751,1,,secondary_link,,True,False,37.477000000000004,"LINESTRING (36.2596242 54.5098936, 36.2599074 54.5098306, 36.2601742 54.5097868)"
242544564,2,Воскресенская улица,residential,60,True,False,131.644,"LINESTRING (36.2596242 54.5098936, 36.2596281 54.5098042, 36.2596227 54.5096238, 36.2596172 54.5094666, 36.2595993 54.5091704, 36.2595872 54.5087709, 36.2595716 54.5087107)"
95615578,2,Старичков переулок,secondary,,False,False,174.067,"LINESTRING (36.2626293 54.5091412, 36.262542 54.5091582, 36.2624664 54.509173, 36.2621766 54.5092484, 36.2615159 54.5094227, 36.2611044 54.5095312, 36.2607534 54.5096238, 36.2606773 54.5096439, 36.2605736 54.5096712, 36.2601742 54.5097868)"
132985441,2,улица Луначарского,secondary,,False,True,206.634,"LINESTRING (36.2626293 54.5091412, 36.262616 54.5090775, 36.2625581 54.508634, 36.2624658 54.5078857, 36.2624598 54.5078422, 36.2624456 54.5077398, 36.2624381 54.5076855, 36.2624028 54.5073546, 36.2623922 54.5072881)"
"[144188786, 396964107, 396964106]",2,улица Луначарского,secondary,,False,False,166.774,"LINESTRING (36.2626293 54.5091412, 36.2626465 54.5092266, 36.2626778 54.5095744, 36.2627227 54.5100745, 36.2627523 54.5103329, 36.2627845 54.5105498, 36.2628052 54.5106371)"
