osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
112602088,1,,Круговая улица,residential,RU:urban,True,False,124.341,"LINESTRING (30.5494897 59.5679383, 30.5497534 59.5680035, 30.5515166 59.568381)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,False,179.92499999999998,"LINESTRING (30.5494897 59.5679383, 30.5492985 59.568167, 30.549191 59.5683003, 30.5491057 59.5684032, 30.5487574 59.5688176, 30.548407 59.5692548, 30.5482898 59.5694373)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,True,127.188,"LINESTRING (30.5494897 59.5679383, 30.5495674 59.5678481, 30.5498121 59.567545, 30.5499364 59.5673895, 30.5503578 59.5668824)",
"[112602082, 172945019]",,,,residential,,False,True,208.59699999999998,"LINESTRING (30.5440622 59.5671978, 30.5444985 59.5668859, 30.5448835 59.5665609, 30.5450423 59.5663924, 30.545883 59.5666114, 30.5463669 59.5668062, 30.5465604 59.5669005)",
913575473,,,,residential,,False,False,77.808,"LINESTRING (30.5440622 59.5671978, 30.5438101 59.5671192, 30.5429202 59.566934, 30.5428452 59.5668844)",
"[112602112, 913575473]",,,Пионерская улица,residential,,False,True,49.969,"LINESTRING (30.5440622 59.5671978, 30.5441594 59.5672614, 30.5446709 59.5675033, 30.5446918 59.5675132)",
112602090,,,,residential,,False,False,58.80200000000001,"LINESTRING (30.5461739 59.5686649, 30.5457983 59.5686893, 30.5451352 59.5687172)",
112602090,,,,residential,,False,True,72.618,"LINESTRING (30.5461739 59.5686649, 30.54662 59.56862, 30.5467987 59.5685833, 30.546914 59.568537, 30.5470079 59.5684623, 30.5471313 59.5683129)",
112602147,,,Ленинградская улица,residential,,False,False,200.081,"LINESTRING (30.5461739 59.5686649, 30.5463091 59.5682259, 30.5462569 59.5681404, 30.5462354 59.5680005, 30.5462998 59.5679556, 30.5463937 59.5679122, 30.5464956 59.5678619, 30.5465868 59.5677844, 30.5471423 59.5670417, 30.5471764 59.566996)",
112602088,1,,Круговая улица,residential,RU:urban,True,False,33.358,"LINESTRING (30.5515166 59.568381, 30.552059 59.5685015)",
495054808,1,,Школьная улица,residential,RU:urban,False,True,99.319,"LINESTRING (30.5515166 59.568381, 30.5508631 59.5692106)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,False,28.14,"LINESTRING (30.5482898 59.5694373, 30.5481913 59.5696854)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,True,179.925,"LINESTRING (30.5482898 59.5694373, 30.548407 59.5692548, 30.5487574 59.5688176, 30.5491057 59.5684032, 30.549191 59.5683003, 30.5492985 59.568167, 30.5494897 59.5679383)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,True,28.14,"LINESTRING (30.5481913 59.5696854, 30.5482898 59.5694373)",
112602112,,,Пионерская улица,residential,,False,False,216.989,"LINESTRING (30.5481913 59.5696854, 30.5470356 59.5696346, 30.5469343 59.5696273, 30.5467665 59.5695954, 30.5465117 59.5695098, 30.5461562 59.5693433, 30.545927 59.5692557, 30.5457044 59.5691566, 30.5453905 59.5689229, 30.5451352 59.5687172)",
"[323345631, 323345634, 171922247]",2,41К-176,"['Павловское шоссе', 'Павловско-Лисинское шоссе']",secondary,RU:urban,False,False,222.654,"LINESTRING (30.5481913 59.5696854, 30.5481537 59.5698119, 30.5481264 59.5699337, 30.5480242 59.5707641, 30.5480085 59.5709568, 30.5479234 59.5716825)",yes
172945022,1,,Круговая улица,residential,RU:urban,True,False,163.349,"LINESTRING (30.5538118 59.5700534, 30.5525116 59.5702787, 30.5523849 59.5702999, 30.5521461 59.5703318, 30.5518118 59.5703684, 30.5514407 59.5703496, 30.5511926 59.5703183, 30.5510469 59.570269)",
697599949,,,Круговая улица,residential,,False,False,52.307,"LINESTRING (30.5538118 59.5700534, 30.5539763 59.5703453, 30.5540353 59.5704132, 30.5541495 59.5704856)",
323345634,2,41К-176,Павловско-Лисинское шоссе,secondary,RU:urban,False,True,14.557,"LINESTRING (30.5477671 59.5728547, 30.5477899 59.5727243)",
913571309,,,Заводская улица,residential,,False,False,293.09200000000004,"LINESTRING (30.5477671 59.5728547, 30.5479613 59.5728578, 30.5487326 59.5728896, 30.5506743 59.5729322, 30.5514619 59.5729883, 30.5520479 59.57312, 30.5520845 59.5731354, 30.5522486 59.5731795, 30.5527637 59.5733571)",
913571309,,,Заводская улица,residential,,False,True,293.09200000000004,"LINESTRING (30.5527637 59.5733571, 30.5522486 59.5731795, 30.5520845 59.5731354, 30.5520479 59.57312, 30.5514619 59.5729883, 30.5506743 59.5729322, 30.5487326 59.5728896, 30.5479613 59.5728578, 30.5477671 59.5728547)",
323345745,,,Советская улица,unclassified,,False,False,41.342,"LINESTRING (30.5510469 59.570269, 30.5508729 59.5706302)",
172945022,1,,Круговая улица,residential,RU:urban,True,False,57.289,"LINESTRING (30.5510469 59.570269, 30.5508024 59.5701681, 30.5502584 59.5699435)",
323345745,,,Советская улица,unclassified,,False,True,41.342,"LINESTRING (30.5508729 59.5706302, 30.5510469 59.570269)",
1118236970,1,,Советская улица,residential,40,False,True,73.836,"LINESTRING (30.5508729 59.5706302, 30.5498692 59.570203)",
323345745,,,Советская улица,unclassified,,False,False,441.379,"LINESTRING (30.5508729 59.5706302, 30.5516706 59.5709874, 30.5527452 59.5714117, 30.5538539 59.5718457, 30.5540548 59.5719249, 30.5547065 59.5721708, 30.5563992 59.5728057, 30.5568045 59.5729576, 30.5569723 59.5729902, 30.5571227 59.5729991)",
112602177,,,,residential,,False,True,76.48,"LINESTRING (30.5484965 59.5671951, 30.5472398 59.5669346)",
