osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,access,width
135335347,False,,Λιαπίδη,residential,False,29.555999999999997,50,"LINESTRING (21.6253147 39.7077681, 21.6253733 39.7077184, 21.6256062 39.7076325)",,,,
"[921679850, 921679851]",True,,,secondary,False,9.876999999999999,,"LINESTRING (21.6230724 39.7068551, 21.6230982 39.7068691, 21.6231177 39.7068883, 21.6231291 39.7069109, 21.6231317 39.7069267)",,roundabout,,
13867086,False,2,Τρικάλων,secondary,False,142.758,,"LINESTRING (21.6285891 39.7042773, 21.6299975 39.7035887)",,,,
891939036,False,,Βενιζέλου Ελευθέριου,residential,False,27.044,50,"LINESTRING (21.6285891 39.7042773, 21.6286536 39.7045154)",,,,
13867086,False,2,Τρικάλων,secondary,True,133.708,,"LINESTRING (21.6285891 39.7042773, 21.6283722 39.7043841, 21.6283061 39.7044182, 21.6282367 39.7044528, 21.6280079 39.7045662, 21.6277251 39.7047027, 21.6274811 39.7048228, 21.6272727 39.7049255)",,,,
481138561,True,,Τρικάλων - Παναγίας,trunk,False,156.144,,"LINESTRING (21.6255757 39.7032613, 21.624723 39.7037075, 21.624225 39.7039852, 21.6240816 39.7040675)",ΕΟ6,,,
674408923,False,,Κονδύλη Γ.,residential,False,80.363,50,"LINESTRING (21.6255757 39.7032613, 21.6256022 39.7032899, 21.6261195 39.7038506)",,,,
674408923,False,,Κονδύλη Γ.,residential,False,78.008,50,"LINESTRING (21.6261195 39.7038506, 21.6266509 39.7044207)",,,,
298184418,True,,Αβέρωφ,residential,False,77.9,50,"LINESTRING (21.6261195 39.7038506, 21.6262741 39.7037802, 21.62691 39.7035029)",,,,
674408923,False,,Κονδύλη Γ.,residential,True,80.363,50,"LINESTRING (21.6261195 39.7038506, 21.6256022 39.7032899, 21.6255757 39.7032613)",,,,
674408923,False,,Κονδύλη Γ.,residential,True,78.008,50,"LINESTRING (21.6266509 39.7044207, 21.6261195 39.7038506)",,,,
299624957,True,,Χατζηπέτρου,residential,False,164.165,50,"LINESTRING (21.6266509 39.7044207, 21.6264233 39.7045388, 21.6261733 39.7046646, 21.626016 39.7047374, 21.6258886 39.7048143, 21.6255992 39.7049236, 21.6254072 39.7049898, 21.6252895 39.7050368, 21.625183 39.7050795, 21.6250655 39.7051252, 21.6249984 39.7051629)",,,,
435015869,True,,Χατζηπέτρου,residential,False,38.294,50,"LINESTRING (21.6270314 39.7042393, 21.6266509 39.7044207)",,,,
236142327,True,,Μεγάλου Αλεξάνδρου,residential,False,79.052,50,"LINESTRING (21.6270314 39.7042393, 21.627237 39.7048363, 21.6272727 39.7049255)",,,,
13867086,False,2,Τρικάλων,secondary,False,133.708,,"LINESTRING (21.6272727 39.7049255, 21.6274811 39.7048228, 21.6277251 39.7047027, 21.6280079 39.7045662, 21.6282367 39.7044528, 21.6283061 39.7044182, 21.6283722 39.7043841, 21.6285891 39.7042773)",,,,
13867086,False,2,Τρικάλων,secondary,True,104.84299999999999,,"LINESTRING (21.6272727 39.7049255, 21.6266662 39.7052142, 21.6262257 39.7054155)",,,,
236142340,False,,Ραμμίδη Γ.,residential,False,109.982,50,"LINESTRING (21.6272727 39.7049255, 21.6274504 39.7052469, 21.6275331 39.7053867, 21.6276826 39.7056603, 21.6277781 39.7058349)",,,,
440525818,False,,Φειδία,residential,False,43.485,50,"LINESTRING (21.6272685 39.709045, 21.627306 39.708655)",,,,
674453908,False,,Θεοτοκόπουλου,residential,True,31.256,50,"LINESTRING (21.6272685 39.709045, 21.6276315 39.7090771)",,,,
280570467,False,,Καλοστύπη Σωτ.,residential,False,99.65300000000002,50,"LINESTRING (21.6272685 39.709045, 21.627051 39.7090535, 21.6268218 39.7090553, 21.6264242 39.7091091, 21.6262638 39.7091304, 21.6261216 39.7091706)",,,,
435331450,False,2,Αγίας Τριάδας,residential,True,122.57400000000001,50,"LINESTRING (21.6301897 39.7112889, 21.6302311 39.7112681, 21.6302991 39.7112041, 21.6303394 39.7111681, 21.6304451 39.7110861, 21.6304886 39.7110339, 21.6305134 39.7109797, 21.63053 39.7109012, 21.630541 39.7108042, 21.6306057 39.7105019, 21.6306066 39.710286)",,,,
440525817,False,,Κλεισούρας,residential,True,35.071000000000005,50,"LINESTRING (21.6301897 39.7112889, 21.6301695 39.7112622, 21.6301599 39.711234, 21.6301481 39.711201, 21.6301214 39.7111627, 21.6300848 39.7111256, 21.6300598 39.7110954, 21.6300328 39.7110583, 21.6300227 39.7110061)",,,,
449121326,False,,Λευκωσίας,residential,False,37.596,50,"LINESTRING (21.6301897 39.7112889, 21.6300719 39.7112977, 21.6299842 39.7113009, 21.6299242 39.7113036, 21.6298758 39.7113102, 21.629812 39.7113178, 21.6297637 39.7113446)",,,,
26200365,False,,Ε. Βλαχάβα,tertiary,False,91.64,50,"LINESTRING (21.62733 39.7085184, 21.6282943 39.7088774)",,,,
26200365,False,,Ε. Βλαχάβα,tertiary,True,19.148,50,"LINESTRING (21.62733 39.7085184, 21.6271285 39.7084434)",,,,
440525818,False,,Φειδία,residential,True,15.327,50,"LINESTRING (21.62733 39.7085184, 21.627306 39.708655)",,,,
117872619,False,,Αντισυνταγματάρχη Σκαρλάτου Ηλία,residential,False,36.965,50,"LINESTRING (21.6276378 39.7094095, 21.6276315 39.7090771)",,,,
