osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
191031389,2,residential,50,False,False,83.02,"LINESTRING (20.8903156 38.9154974, 20.8899986 38.9162021)",,
191031378,2,residential,50,False,True,58.646,"LINESTRING (20.8903156 38.9154974, 20.89 38.9154315, 20.8899048 38.9154075, 20.8896663 38.9153466)",,
191031437,2,primary,50,False,False,50.887,"LINESTRING (20.8898981 38.914926, 20.8896663 38.9153466)",Ελευθερίου Βενιζέλου,ΕΟ42
191031437,2,primary,50,False,True,64.217,"LINESTRING (20.8898981 38.914926, 20.8901823 38.9143925)",Ελευθερίου Βενιζέλου,ΕΟ42
191031457,2,residential,50,False,True,96.707,"LINESTRING (20.8898981 38.914926, 20.8909866 38.9151237)",,
191031438,2,residential,50,False,True,48.02,"LINESTRING (20.8884967 38.9176794, 20.8890515 38.9176923)",25ης Μαρτίου,
191031416,1,residential,50,False,False,72.278,"LINESTRING (20.8884967 38.9176794, 20.8884638 38.9178701, 20.8883771 38.9183227)",Πόυντας,
191031438,2,residential,50,False,False,56.403,"LINESTRING (20.8884967 38.9176794, 20.8879698 38.917685, 20.8878448 38.917685)",25ης Μαρτίου,
1118295739,2,residential,50,False,False,13.023,"LINESTRING (20.8877537 38.9182217, 20.8876069 38.9181958)",Εθνικού Σταδίου,
1118295739,2,residential,50,False,True,17.316,"LINESTRING (20.8877537 38.9182217, 20.8879441 38.9182697)",Εθνικού Σταδίου,
191031454,2,residential,50,False,False,60.281,"LINESTRING (20.8877537 38.9182217, 20.8877543 38.91817, 20.8877767 38.9180002, 20.8878033 38.917853, 20.8878227 38.9177731, 20.8878448 38.917685)",,
191031410,2,residential,50,False,False,35.027,"LINESTRING (20.8902004 38.9199398, 20.890605 38.9199515)",,
191031406,2,residential,50,False,False,86.406,"LINESTRING (20.8902004 38.9199398, 20.8901569 38.9201353, 20.8901462 38.9202626, 20.8901569 38.9204922, 20.8901516 38.9205861, 20.8901238 38.9207116)",,
191031410,2,residential,50,False,True,125.165,"LINESTRING (20.8902004 38.9199398, 20.8899553 38.919928, 20.8887543 38.9199105)",,
191031438,2,residential,50,False,False,107.842,"LINESTRING (20.8874997 38.9176843, 20.8862532 38.9176821)",25ης Μαρτίου,
223190818,,living_street,,False,True,35.435,"LINESTRING (20.8874997 38.9176843, 20.8874863 38.9180028)",,
191031438,2,residential,50,False,True,29.863999999999997,"LINESTRING (20.8874997 38.9176843, 20.8876773 38.9176877, 20.8878448 38.917685)",25ης Μαρτίου,
191031380,2,residential,50,False,False,15.449,"LINESTRING (20.8877684 38.9169815, 20.8879462 38.9169686)",,
191031454,2,residential,50,False,False,23.671,"LINESTRING (20.8877684 38.9169815, 20.8877557 38.9168969, 20.887749 38.9167693)",,
191031454,2,residential,50,False,True,72.311,"LINESTRING (20.8877684 38.9169815, 20.8878516 38.9172177, 20.8878793 38.9173551, 20.8878779 38.9174773, 20.8878583 38.9176206)",,
223190844,,residential,,False,True,84.09200000000001,"LINESTRING (20.8877684 38.9169815, 20.8872875 38.9170308, 20.8868059 38.9170867)",,
191031454,2,residential,50,False,False,7.256,"LINESTRING (20.8878448 38.917685, 20.8878583 38.9176206)",,
191031438,2,residential,50,False,False,29.863999999999997,"LINESTRING (20.8878448 38.917685, 20.8876773 38.9176877, 20.8874997 38.9176843)",25ης Μαρτίου,
191031438,2,residential,50,False,True,56.403,"LINESTRING (20.8878448 38.917685, 20.8879698 38.917685, 20.8884967 38.9176794)",25ης Μαρτίου,
191031454,2,residential,50,False,True,60.281,"LINESTRING (20.8878448 38.917685, 20.8878227 38.9177731, 20.8878033 38.917853, 20.8877767 38.9180002, 20.8877543 38.91817, 20.8877537 38.9182217)",,
191031398,2,residential,50,False,False,91.201,"LINESTRING (20.8913996 38.9200015, 20.8910258 38.9207684)",,
191031410,2,residential,50,False,True,68.967,"LINESTRING (20.8913996 38.9200015, 20.890605 38.9199515)",,
191031377,2,residential,50,False,False,78.862,"LINESTRING (20.8913996 38.9200015, 20.891474 38.9197723, 20.8916062 38.9193108)",,
191031410,2,residential,50,False,False,83.851,"LINESTRING (20.8913996 38.9200015, 20.8916402 38.9200164, 20.8917958 38.9200184, 20.8919486 38.920008, 20.8920827 38.9200059, 20.8921914 38.9200164, 20.8922786 38.9200466, 20.8923215 38.9200989)",,
992423872,2,primary,50,False,True,29.043,"LINESTRING (20.8893503 38.9158984, 20.8894883 38.9156603)",Ελευθερίου Βενιζέλου,ΕΟ42
