osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,bridge,width
76987253,2,Tuomiojantie,tertiary,40,False,False,310.863,"LINESTRING (25.0927878 64.6607734, 25.092945 64.6608236, 25.0932263 64.6609156, 25.09343 64.6609976, 25.0936878 64.6611117, 25.0939368 64.6612242, 25.0941604 64.6613371, 25.09433 64.6614319, 25.0945906 64.661595, 25.0948737 64.661782, 25.0950396 64.6619066, 25.0953399 64.6621587, 25.0959467 64.6627115, 25.0962542 64.6629666, 25.0963866 64.6630665)",8121,,,
217692720,,Kyyräntie,residential,,False,False,190.625,"LINESTRING (25.0927878 64.6607734, 25.092554 64.660851, 25.0900398 64.6616274, 25.0896358 64.6618227)",,,,3
217692757,,Pihlajatie,residential,,False,True,63.968999999999994,"LINESTRING (25.0926108 64.6618508, 25.09208 64.6619794, 25.0917846 64.6621444, 25.0917446 64.6622494)",,,,
217692791,,Virastotie,residential,20,False,False,138.70000000000002,"LINESTRING (25.0942263 64.662136, 25.0944424 64.662321, 25.0950274 64.6628216, 25.0954352 64.6631576, 25.0955555 64.6632459)",,,,
86299131,,Rapakontie,residential,,False,True,18.211,"LINESTRING (25.0917446 64.6622494, 25.0920788 64.6623292)",,,,3
86299131,,Rapakontie,residential,,False,False,111.037,"LINESTRING (25.0917446 64.6622494, 25.0905304 64.6619901, 25.0896358 64.6618227)",,,,3
217692757,,Pihlajatie,residential,,False,False,63.968999999999994,"LINESTRING (25.0917446 64.6622494, 25.0917846 64.6621444, 25.09208 64.6619794, 25.0926108 64.6618508)",,,,
86299131,,Rapakontie,residential,,False,False,18.211,"LINESTRING (25.0920788 64.6623292, 25.0917446 64.6622494)",,,,3
217692722,,LKaarnatie,residential,,False,True,59.855,"LINESTRING (25.0920788 64.6623292, 25.0917546 64.6628493)",,,,
86299131,,Rapakontie,residential,,False,True,312.09,"LINESTRING (25.0920788 64.6623292, 25.092975 64.6625435, 25.0931839 64.6626572, 25.0939423 64.6633198, 25.0943285 64.6636688, 25.0945112 64.663835, 25.0946847 64.6639501, 25.0949268 64.664069, 25.0950662 64.6641232, 25.0951872 64.6641591, 25.0956765 64.6642541, 25.0958802 64.6642823, 25.0959448 64.6642912, 25.0961119 64.6642945, 25.0962352 64.6642803)",,,,3
217692722,,LKaarnatie,residential,,False,False,59.855,"LINESTRING (25.0917546 64.6628493, 25.0920788 64.6623292)",,,,
217692791,,Virastotie,residential,20,False,False,119.90199999999999,"LINESTRING (25.0955555 64.6632459, 25.0956173 64.6633698, 25.095796 64.663753, 25.0958723 64.6638802, 25.0960189 64.6640626, 25.0961366 64.6641891, 25.0962352 64.6642803)",,,,
217692791,,Virastotie,residential,20,False,True,138.7,"LINESTRING (25.0955555 64.6632459, 25.0954352 64.6631576, 25.0950274 64.6628216, 25.0944424 64.662321, 25.0942263 64.662136)",,,,
217692856,2,,residential,20,False,False,44.357,"LINESTRING (25.0955555 64.6632459, 25.0957567 64.663203, 25.0961984 64.6631168, 25.0963866 64.6630665)",,,,
217692798,2,,unclassified,,False,True,7.416,"LINESTRING (25.1025879 64.664217, 25.1025734 64.6642834)",,,,
"[455128853, 217692798]",2,,unclassified,,False,False,250.55499999999998,"LINESTRING (25.1025879 64.664217, 25.102629 64.6640583, 25.1026318 64.6640403, 25.1026551 64.6638314, 25.102664 64.6636154, 25.1026593 64.663486, 25.1024954 64.6634646, 25.1022486 64.6634323, 25.1018548 64.6633809, 25.1015902 64.6634174, 25.1015124 64.663476, 25.1014447 64.6635488, 25.1014101 64.6636182, 25.1014144 64.6636607, 25.1014793 64.6637385, 25.1015729 64.6638158, 25.1017717 64.6639402, 25.1018278 64.6639753, 25.1020666 64.6641117, 25.1021944 64.6641547, 25.1023358 64.6641829, 25.1025879 64.664217)",,,,
"[455128853, 217692798]",2,,unclassified,,False,True,250.55499999999998,"LINESTRING (25.1025879 64.664217, 25.1023358 64.6641829, 25.1021944 64.6641547, 25.1020666 64.6641117, 25.1018278 64.6639753, 25.1017717 64.6639402, 25.1015729 64.6638158, 25.1014793 64.6637385, 25.1014144 64.6636607, 25.1014101 64.6636182, 25.1014447 64.6635488, 25.1015124 64.663476, 25.1015902 64.6634174, 25.1018548 64.6633809, 25.1022486 64.6634323, 25.1024954 64.6634646, 25.1026593 64.663486, 25.102664 64.6636154, 25.1026551 64.6638314, 25.1026318 64.6640403, 25.102629 64.6640583, 25.1025879 64.664217)",,,,
217692791,,Virastotie,residential,20,False,False,8.187,"LINESTRING (25.0962352 64.6642803, 25.0963372 64.6643396)",,,,
86299131,,Rapakontie,residential,,False,False,312.09,"LINESTRING (25.0962352 64.6642803, 25.0961119 64.6642945, 25.0959448 64.6642912, 25.0958802 64.6642823, 25.0956765 64.6642541, 25.0951872 64.6641591, 25.0950662 64.6641232, 25.0949268 64.664069, 25.0946847 64.6639501, 25.0945112 64.663835, 25.0943285 64.6636688, 25.0939423 64.6633198, 25.0931839 64.6626572, 25.092975 64.6625435, 25.0920788 64.6623292)",,,,3
217692791,,Virastotie,residential,20,False,True,119.902,"LINESTRING (25.0962352 64.6642803, 25.0961366 64.6641891, 25.0960189 64.6640626, 25.0958723 64.6638802, 25.095796 64.663753, 25.0956173 64.6633698, 25.0955555 64.6632459)",,,,
217692791,,Virastotie,residential,20,False,True,8.187,"LINESTRING (25.0963372 64.6643396, 25.0962352 64.6642803)",,,,
217692791,,Virastotie,residential,20,False,False,97.00299999999999,"LINESTRING (25.0963372 64.6643396, 25.0964626 64.6644125, 25.0966487 64.6645207, 25.0968477 64.6646364, 25.0975456 64.6650422)",,,,
217692793,,Vähämaantie,residential,,False,False,125.066,"LINESTRING (25.0963372 64.6643396, 25.0960084 64.664447, 25.0945789 64.6651709)",,,,
217692707,,Kaunistontie,residential,,False,True,54.212,"LINESTRING (25.0937498 64.6648365, 25.0945789 64.6651709)",,,,
217692776,,Suutarinkuja,residential,,False,True,95.29899999999999,"LINESTRING (25.0997735 64.6649798, 25.10036 64.6651282, 25.1006818 64.6652168, 25.1013545 64.6653775, 25.1015025 64.6654119)",,,,
217692707,,Kaunistontie,residential,,False,False,54.212,"LINESTRING (25.0945789 64.6651709, 25.0937498 64.6648365)",,,,
217692793,,Vähämaantie,residential,,False,False,80.015,"LINESTRING (25.0945789 64.6651709, 25.0934241 64.665694)",,,,
217692707,,Kaunistontie,residential,,False,True,106.982,"LINESTRING (25.0945789 64.6651709, 25.0954978 64.6655311, 25.0959736 64.6657468, 25.0961981 64.6658377)",,,,
217692793,,Vähämaantie,residential,,False,True,125.066,"LINESTRING (25.0945789 64.6651709, 25.0960084 64.664447, 25.0963372 64.6643396)",,,,
42728406,2,Siikasavontie,residential,50,False,False,80.80199999999998,"LINESTRING (25.1015025 64.6654119, 25.101784 64.6652369, 25.1018043 64.6652242, 25.1019941 64.6650964, 25.1021881 64.6649615, 25.1022029 64.6649472, 25.1022742 64.6648819, 25.1022962 64.6648602, 25.1023623 64.6647879)",,,,
42728406,2,Siikasavontie,residential,50,False,True,81.441,"LINESTRING (25.1015025 64.6654119, 25.101242 64.6655783, 25.1006858 64.6659367, 25.1005541 64.6660216)",,,,
217692776,,Suutarinkuja,residential,,False,False,95.299,"LINESTRING (25.1015025 64.6654119, 25.1013545 64.6653775, 25.1006818 64.6652168, 25.10036 64.6651282, 25.0997735 64.6649798)",,,,
217692764,,Ruukinkuja,residential,,False,True,69.21,"LINESTRING (25.0985653 64.6655344, 25.0988756 64.6656185, 25.0990761 64.6656728, 25.0992618 64.6657153, 25.0997571 64.6658287, 25.0998249 64.6658449)",,,,
217692793,,Vähämaantie,residential,,False,True,80.015,"LINESTRING (25.0934241 64.665694, 25.0945789 64.6651709)",,,,
217692705,,Katajatie,residential,,False,False,110.81299999999999,"LINESTRING (25.0934241 64.665694, 25.0933887 64.6658334, 25.0939062 64.6660383, 25.0943201 64.6661733, 25.0946146 64.6662813, 25.0949092 64.6663893)",,,,
217692707,,Kaunistontie,residential,,False,False,106.982,"LINESTRING (25.0961981 64.6658377, 25.0959736 64.6657468, 25.0954978 64.6655311, 25.0945789 64.6651709)",,,,
217692764,,Ruukinkuja,residential,,False,False,69.21,"LINESTRING (25.0998249 64.6658449, 25.0997571 64.6658287, 25.0992618 64.6657153, 25.0990761 64.6656728, 25.0988756 64.6656185, 25.0985653 64.6655344)",,,,
217692764,,Ruukinkuja,residential,,False,True,39.873,"LINESTRING (25.0998249 64.6658449, 25.0998486 64.6658506, 25.1003532 64.6659729, 25.1003957 64.6659832, 25.1005541 64.6660216)",,,,
217692893,,,unclassified,,False,True,89.04799999999999,"LINESTRING (25.0998249 64.6658449, 25.0997677 64.665884, 25.0992843 64.6662146, 25.0992815 64.6662461, 25.0993045 64.6662701, 25.0993464 64.6662921, 25.0996798 64.6663807, 25.099758 64.6664014, 25.0999 64.6664393)",,,,
"[217692717, 217692718, 217692719]",,Kreivintie,unclassified,,False,True,118.90199999999999,"LINESTRING (25.105291 64.6660978, 25.1054574 64.6663205, 25.1057318 64.6664389, 25.1059043 64.666473, 25.1067271 64.6664826, 25.1070109 64.6664837, 25.1072666 64.6664523)",,,yes,
217692869,,,unclassified,,False,True,33.102,"LINESTRING (25.0987302 64.6662123, 25.0986892 64.666239, 25.0986507 64.6662644, 25.0984587 64.6664132, 25.0983903 64.6664718)",,,,
217692705,,Katajatie,residential,,False,True,110.813,"LINESTRING (25.0949092 64.6663893, 25.0946146 64.6662813, 25.0943201 64.6661733, 25.0939062 64.6660383, 25.0933887 64.6658334, 25.0934241 64.665694)",,,,
42728406,2,Siikasavontie,residential,50,False,False,55.908,"LINESTRING (25.0999 64.6664393, 25.1000411 64.6663492, 25.1003381 64.6661596, 25.1003985 64.666121, 25.1005541 64.6660216)",,,,
42728406,2,Siikasavontie,residential,50,False,True,22.268,"LINESTRING (25.0999 64.6664393, 25.0997947 64.6665087, 25.09976 64.6665316, 25.0996453 64.6666073)",,,,
217692893,,,unclassified,,False,False,89.04800000000002,"LINESTRING (25.0999 64.6664393, 25.099758 64.6664014, 25.0996798 64.6663807, 25.0993464 64.6662921, 25.0993045 64.6662701, 25.0992815 64.6662461, 25.0992843 64.6662146, 25.0997677 64.665884, 25.0998249 64.6658449)",,,,
76987275,,Ahlströmintie,unclassified,,False,False,21.244,"LINESTRING (25.1072666 64.6664523, 25.1073422 64.6665346, 25.1074624 64.6666234)",,,,
76987275,,Ahlströmintie,unclassified,,False,True,110.507,"LINESTRING (25.1072666 64.6664523, 25.1072206 64.6663766, 25.1071897 64.666295, 25.1071851 64.666016, 25.1072712 64.6654633)",,,,
"[217692717, 217692718, 217692719]",,Kreivintie,unclassified,,False,False,118.902,"LINESTRING (25.1072666 64.6664523, 25.1070109 64.6664837, 25.1067271 64.6664826, 25.1059043 64.666473, 25.1057318 64.6664389, 25.1054574 64.6663205, 25.105291 64.6660978)",,,yes,
