osmid,highway,oneway,reversed,length,geometry,name,junction
246814298,residential,False,True,66.425,"LINESTRING (7.9859894 13.7549891, 7.9859709 13.754392)",,
545215214,residential,False,False,172.399,"LINESTRING (7.9859894 13.7549891, 7.9875677 13.7552206)",,
255018625,residential,False,True,39.905,"LINESTRING (7.9875677 13.7552206, 7.9878445 13.7554583)",,
545215214,residential,False,True,172.399,"LINESTRING (7.9875677 13.7552206, 7.9859894 13.7549891)",,
"[254800729, 255018625]",residential,False,False,63.153999999999996,"LINESTRING (7.9875677 13.7552206, 7.987388 13.7550554, 7.9874122 13.7548134, 7.9874206 13.7547293)",,
254800729,residential,False,False,29.549,"LINESTRING (7.9874206 13.7547293, 7.987447 13.7544648)",,
374266804,residential,False,False,161.006,"LINESTRING (7.9874206 13.7547293, 7.9859709 13.754392)",,
"[254800729, 255018625]",residential,False,True,63.153999999999996,"LINESTRING (7.9874206 13.7547293, 7.9874122 13.7548134, 7.987388 13.7550554, 7.9875677 13.7552206)",,
246814280,residential,False,False,158.76,"LINESTRING (7.9890861 13.7597195, 7.9905555 13.7596807)",,
246814280,residential,False,True,162.131,"LINESTRING (7.9890861 13.7597195, 7.9875858 13.7597687)",,
246814280,residential,False,False,162.131,"LINESTRING (7.9875858 13.7597687, 7.9890861 13.7597195)",,
374266515,unclassified,False,False,57.12,"LINESTRING (7.9875858 13.7597687, 7.9875651 13.7592554)",,
246814280,residential,False,True,151.302,"LINESTRING (7.9875858 13.7597687, 7.9873744 13.7597758, 7.9861857 13.7598144)",,
284313531,trunk,False,True,29.3,"LINESTRING (7.9907684 13.7534835, 7.9905697 13.7533041)",,
445524472,trunk_link,True,False,24.438,"LINESTRING (7.9907684 13.7534835, 7.9905714 13.7535916)",,
284313531,trunk,False,False,378.049,"LINESTRING (7.9907684 13.7534835, 7.9909222 13.7536265, 7.9912976 13.7539886, 7.99202 13.754649, 7.9924743 13.7550883, 7.9928633 13.7553906, 7.9931583 13.7555677, 7.9934031 13.7557002)",,
284313537,secondary,False,False,153.062,"LINESTRING (7.9905714 13.7535916, 7.9905791 13.7549681)",,
284313537,secondary,False,True,31.969,"LINESTRING (7.9905714 13.7535916, 7.9905697 13.7533041)",,
445524333,secondary,True,False,20.133000000000003,"LINESTRING (7.9905954 13.7578463, 7.9906459 13.7578519, 7.9906838 13.7578759, 7.9907072 13.7579134, 7.9907115 13.7579571)",Rond point Tribune,roundabout
"[284313537, 445524334]",secondary,False,True,197.875,"LINESTRING (7.9905954 13.7578463, 7.9905941 13.7576077, 7.9905893 13.7567614, 7.9905854 13.7560668)",,
246814281,residential,False,True,324.002,"LINESTRING (7.9905144 13.7579755, 7.9892863 13.758075, 7.98752 13.758139)",,
445524333,secondary,True,False,9.762,"LINESTRING (7.9905144 13.7579755, 7.9905101 13.7579318, 7.9905257 13.7578906)",Rond point Tribune,roundabout
284291273,secondary,False,False,83.06,"LINESTRING (7.9906205 13.7580427, 7.9905928 13.7585833, 7.9905858 13.7587889)",Route Mayahi,
445524333,secondary,True,False,14.645,"LINESTRING (7.9906205 13.7580427, 7.9905757 13.758037, 7.9905378 13.7580131, 7.9905144 13.7579755)",Rond point Tribune,roundabout
500945834,residential,False,True,86.871,"LINESTRING (7.9934863 13.7585132, 7.9935845 13.7592886)",,
983659197,residential,False,True,94.727,"LINESTRING (7.9934863 13.7585132, 7.9926134 13.7585961)",,
500945834,residential,False,False,86.871,"LINESTRING (7.9935845 13.7592886, 7.9934863 13.7585132)",,
500945834,residential,False,True,72.15,"LINESTRING (7.9935845 13.7592886, 7.9936661 13.7599326)",,
500945834,residential,False,False,72.15,"LINESTRING (7.9936661 13.7599326, 7.9935845 13.7592886)",,
1006641145,residential,False,False,116.191,"LINESTRING (7.9936661 13.7599326, 7.9947349 13.7598136)",,
983659194,residential,False,False,54.104,"LINESTRING (7.9950745 13.7554769, 7.9950202 13.7549932)",,
255018623,residential,False,True,8.601,"LINESTRING (7.9943481 13.7550408, 7.9942918 13.7549861)",,
983659193,residential,False,False,96.434,"LINESTRING (7.9943481 13.7550408, 7.9949541 13.7544039)",,
255018623,residential,False,False,77.994,"LINESTRING (7.9943481 13.7550408, 7.9944312 13.7551215, 7.9948389 13.7550486, 7.9950202 13.7549932)",,
983659193,residential,False,True,96.434,"LINESTRING (7.9949541 13.7544039, 7.9943481 13.7550408)",,
983659194,residential,False,True,65.915,"LINESTRING (7.9949541 13.7544039, 7.9950202 13.7549932)",,
983659194,residential,False,False,65.915,"LINESTRING (7.9950202 13.7549932, 7.9949541 13.7544039)",,
983659194,residential,False,True,54.104,"LINESTRING (7.9950202 13.7549932, 7.9950745 13.7554769)",,
255018623,residential,False,True,77.994,"LINESTRING (7.9950202 13.7549932, 7.9948389 13.7550486, 7.9944312 13.7551215, 7.9943481 13.7550408)",,
544721473,residential,False,False,41.921,"LINESTRING (7.9946054 13.7513249, 7.9948886 13.7515827)",,
544721467,residential,False,True,97.222,"LINESTRING (7.9948886 13.7515827, 7.9942623 13.7522107)",,
544721473,residential,False,True,41.921,"LINESTRING (7.9948886 13.7515827, 7.9946054 13.7513249)",,
255018624,residential,False,False,109.026,"LINESTRING (7.9932615 13.753213, 7.9925622 13.7525059)",,
544721467,residential,False,False,155.26,"LINESTRING (7.9932615 13.753213, 7.9942623 13.7522107)",,
544721467,residential,False,True,68.503,"LINESTRING (7.9932615 13.753213, 7.9928199 13.7536552)",,
255018624,residential,False,False,59.909,"LINESTRING (7.9922481 13.7521884, 7.9918638 13.7517999)",,
255018624,residential,False,True,48.962,"LINESTRING (7.9922481 13.7521884, 7.9925622 13.7525059)",,
1219811627,residential,False,False,154.843,"LINESTRING (7.9922481 13.7521884, 7.9932514 13.7511937)",,
255018623,residential,False,False,8.601,"LINESTRING (7.9942918 13.7549861, 7.9943481 13.7550408)",,
1219811629,residential,False,True,115.753,"LINESTRING (7.9942918 13.7549861, 7.9935708 13.7557563)",,
255018623,residential,False,True,217.224,"LINESTRING (7.9942918 13.7549861, 7.9940021 13.754736, 7.9936802 13.7544338, 7.9932296 13.7540169, 7.9928199 13.7536552)",,
255018622,residential,False,True,247.399,"LINESTRING (7.9927146 13.7542774, 7.992382 13.7539856, 7.9917705 13.7534333, 7.9909965 13.752807)",,
284313531,trunk,False,False,29.3,"LINESTRING (7.9905697 13.7533041, 7.9907684 13.7534835)",,
284313533,secondary,False,True,71.974,"LINESTRING (7.9905697 13.7533041, 7.9909965 13.752807)",,
284313537,secondary,False,False,31.969,"LINESTRING (7.9905697 13.7533041, 7.9905714 13.7535916)",,
284308376,trunk,False,True,102.293,"LINESTRING (7.9905697 13.7533041, 7.9904883 13.753214, 7.9899419 13.7526153)",,
246814273,residential,False,False,68.18,"LINESTRING (7.9869103 13.754142, 7.987447 13.7544648)",,
246814273,residential,False,True,50.053,"LINESTRING (7.9869103 13.754142, 7.9869532 13.7536938)",,
284299107,residential,False,True,113.0,"LINESTRING (7.9869103 13.754142, 7.9859516 13.7537351)",,
246814273,residential,False,False,50.053,"LINESTRING (7.9869532 13.7536938, 7.9869103 13.754142)",,
545215213,residential,False,True,57.029,"LINESTRING (7.9869532 13.7536938, 7.9869932 13.7531824)",,
246814273,residential,False,True,116.96000000000001,"LINESTRING (7.9869532 13.7536938, 7.9865348 13.7535271, 7.9859419 13.7533183)",,
1198269366,residential,False,False,58.037,"LINESTRING (7.9859419 13.7533183, 7.9859297 13.7527965)",,
1198269366,residential,False,True,46.358,"LINESTRING (7.9859419 13.7533183, 7.9859516 13.7537351)",,
246814273,residential,False,False,116.96000000000001,"LINESTRING (7.9859419 13.7533183, 7.9865348 13.7535271, 7.9869532 13.7536938)",,
284299107,residential,False,False,113.0,"LINESTRING (7.9859516 13.7537351, 7.9869103 13.754142)",,
1198269366,residential,False,False,46.358,"LINESTRING (7.9859516 13.7537351, 7.9859419 13.7533183)",,
1198269366,residential,False,True,73.074,"LINESTRING (7.9859516 13.7537351, 7.9859709 13.754392)",,
284313537,secondary,False,False,61.659,"LINESTRING (7.9905822 13.7555123, 7.9905854 13.7560668)",,
284313537,secondary,False,True,60.513,"LINESTRING (7.9905822 13.7555123, 7.9905791 13.7549681)",,
968306065,residential,False,True,13.631,"LINESTRING (7.9905822 13.7555123, 7.990456 13.755513)",,
544721467,residential,False,False,68.503,"LINESTRING (7.9928199 13.7536552, 7.9932615 13.753213)",,
255018623,residential,False,False,217.224,"LINESTRING (7.9928199 13.7536552, 7.9932296 13.7540169, 7.9936802 13.7544338, 7.9940021 13.754736, 7.9942918 13.7549861)",,
255018623,residential,False,True,212.683,"LINESTRING (7.9928199 13.7536552, 7.9927575 13.7536001, 7.9924035 13.7532249, 7.9919636 13.7528185, 7.9914314 13.7523)",,
983659191,residential,False,False,48.098,"LINESTRING (7.9932514 13.7511937, 7.9935608 13.7515048)",,
1219811627,residential,False,True,154.843,"LINESTRING (7.9932514 13.7511937, 7.9922481 13.7521884)",,
544721467,residential,False,False,97.222,"LINESTRING (7.9942623 13.7522107, 7.9948886 13.7515827)",,
544721467,residential,False,True,155.26,"LINESTRING (7.9942623 13.7522107, 7.9932615 13.753213)",,
983659191,residential,False,True,109.095,"LINESTRING (7.9942623 13.7522107, 7.9935608 13.7515048)",,
983659191,residential,False,False,109.095,"LINESTRING (7.9935608 13.7515048, 7.9942623 13.7522107)",,
983659191,residential,False,True,48.098,"LINESTRING (7.9935608 13.7515048, 7.9932514 13.7511937)",,
983659192,residential,False,False,154.999,"LINESTRING (7.9935608 13.7515048, 7.9925622 13.7525059)",,
255018624,residential,False,False,48.962,"LINESTRING (7.9925622 13.7525059, 7.9922481 13.7521884)",,
255018624,residential,False,True,109.026,"LINESTRING (7.9925622 13.7525059, 7.9932615 13.753213)",,
983659192,residential,False,True,154.999,"LINESTRING (7.9925622 13.7525059, 7.9935608 13.7515048)",,
284291273,secondary,False,False,99.218,"LINESTRING (7.9905858 13.7587889, 7.9905555 13.7596807)",Route Mayahi,
983659197,residential,False,False,220.037,"LINESTRING (7.9905858 13.7587889, 7.9926134 13.7585961)",,
284291273,secondary,False,True,83.06,"LINESTRING (7.9905858 13.7587889, 7.9905928 13.7585833, 7.9906205 13.7580427)",Route Mayahi,
983659197,residential,False,False,94.727,"LINESTRING (7.9926134 13.7585961, 7.9934863 13.7585132)",,
983659197,residential,False,True,220.037,"LINESTRING (7.9926134 13.7585961, 7.9905858 13.7587889)",,
1006641145,residential,False,True,116.191,"LINESTRING (7.9947349 13.7598136, 7.9936661 13.7599326)",,
246814314,residential,False,False,5.986,"LINESTRING (7.9859768 13.7516884, 7.9859655 13.7517411)",,
246814314,residential,False,True,52.674,"LINESTRING (7.9859768 13.7516884, 7.986076 13.7512246)",,
1218778166,residential,False,False,24.168,"LINESTRING (7.9859768 13.7516884, 7.9861927 13.7517455)",,
1218778166,residential,False,True,129.393,"LINESTRING (7.9873487 13.7520509, 7.9861927 13.7517455)",,
284299108,residential,False,True,59.277,"LINESTRING (7.9861927 13.7517455, 7.986076 13.7512246)",,
1218778166,residential,False,False,129.393,"LINESTRING (7.9861927 13.7517455, 7.9873487 13.7520509)",,
1218778166,residential,False,True,24.168,"LINESTRING (7.9861927 13.7517455, 7.9859768 13.7516884)",,
284299108,residential,False,False,71.908,"LINESTRING (7.9861927 13.7517455, 7.9862121 13.7518323, 7.9863342 13.7523774)",,
968306065,residential,False,False,13.631,"LINESTRING (7.990456 13.755513, 7.9905822 13.7555123)",,
374266669,residential,False,False,39.564,"LINESTRING (7.9876809 13.7567986, 7.9877234 13.7564452)",,
374266669,residential,False,True,17.833,"LINESTRING (7.9876809 13.7567986, 7.9876618 13.7569579)",,
1218777415,residential,False,False,165.688,"LINESTRING (7.9876809 13.7567986, 7.9892106 13.7566862)",,
255018625,residential,False,False,78.078,"LINESTRING (7.9892106 13.7566862, 7.9886802 13.7562091)",,
1218777415,residential,False,True,165.688,"LINESTRING (7.9892106 13.7566862, 7.9876809 13.7567986)",,
255018625,residential,False,True,195.221,"LINESTRING (7.9892106 13.7566862, 7.9895352 13.7569781, 7.9905257 13.7578906)",,
79900283,trunk,False,True,19.157,"LINESTRING (7.9935708 13.7557563, 7.9934031 13.7557002)",,
1219811629,residential,False,False,115.753,"LINESTRING (7.9935708 13.7557563, 7.9942918 13.7549861)",,
