osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,width,maxspeed
318705859,,,,residential,False,True,139.972,,"LINESTRING (27.5359689 56.0937926, 27.5364994 56.0934841, 27.5359415 56.0933674, 27.5356414 56.0928974)",,
41203196,,P61,Daugavpils iela,primary,False,True,78.611,,"LINESTRING (27.5357498 56.0940407, 27.5346129 56.0937283)",,50
41203196,,P61,Daugavpils iela,primary,False,False,60.825,,"LINESTRING (27.5357498 56.0940407, 27.5359985 56.0941101, 27.536627 56.0942852)",,50
318705858,,,,residential,False,True,30.785,,"LINESTRING (27.5357498 56.0940407, 27.5358102 56.0939591, 27.5359689 56.0937926)",,
318705861,,,,residential,False,True,92.451,,"LINESTRING (27.5373168 56.0936058, 27.5373919 56.0937255, 27.5368481 56.0941045, 27.5367165 56.0942008, 27.536627 56.0942852)",,
147576598,,,Tirdzniecības šķērsiela,residential,False,True,56.038,,"LINESTRING (27.540878 56.0940086, 27.5415674 56.0943343)",,
836474332,,,,residential,False,True,82.887,,"LINESTRING (27.5299108 56.0942957, 27.5305316 56.0949558)",,
37854695,,,Brīvības iela,residential,False,True,10.741,,"LINESTRING (27.5305316 56.0949558, 27.5306884 56.0949148)",5,
836474332,,,,residential,False,False,82.887,,"LINESTRING (27.5305316 56.0949558, 27.5299108 56.0942957)",,
41203196,,P61,Daugavpils iela,primary,False,False,43.966,,"LINESTRING (27.536627 56.0942852, 27.5372542 56.0944694)",,50
41203196,,P61,Daugavpils iela,primary,False,True,60.825,,"LINESTRING (27.536627 56.0942852, 27.5359985 56.0941101, 27.5357498 56.0940407)",,50
318705861,,,,residential,False,False,92.451,,"LINESTRING (27.536627 56.0942852, 27.5367165 56.0942008, 27.5368481 56.0941045, 27.5373919 56.0937255, 27.5373168 56.0936058)",,
41203196,,P61,Daugavpils iela,primary,False,False,240.654,,"LINESTRING (27.5309714 56.0927978, 27.5325656 56.0932056, 27.532588 56.0932113, 27.5345015 56.0936956)",,50
1099903674,,,,living_street,False,True,41.235,,"LINESTRING (27.5315733 56.0947933, 27.531745 56.0949631, 27.5318013 56.0950027, 27.5318536 56.095011, 27.5319247 56.0949998, 27.5320065 56.0949713)",,
1099903675,,,,living_street,False,True,20.8,,"LINESTRING (27.532332 56.0949263, 27.5320065 56.0949713)",,
199268952,,,,living_street,False,False,47.414,,"LINESTRING (27.532332 56.0949263, 27.5321419 56.0947054, 27.5320012 56.0945419)",,
199268952,,,,living_street,False,True,78.965,,"LINESTRING (27.532332 56.0949263, 27.5323952 56.0949997, 27.5324333 56.095044, 27.5326563 56.0953031, 27.5326811 56.0953319, 27.5327029 56.0953573, 27.5328275 56.0955021, 27.532883 56.0955665)",,
1099903675,,,,living_street,False,False,20.8,,"LINESTRING (27.5320065 56.0949713, 27.532332 56.0949263)",,
1099903675,,,,living_street,False,True,42.749,,"LINESTRING (27.5320065 56.0949713, 27.5316649 56.0946374)",,
1099903674,,,,living_street,False,False,41.235,,"LINESTRING (27.5320065 56.0949713, 27.5319247 56.0949998, 27.5318536 56.095011, 27.5318013 56.0950027, 27.531745 56.0949631, 27.5315733 56.0947933)",,
37854695,,,Brīvības iela,residential,False,False,67.971,,"LINESTRING (27.5316649 56.0946374, 27.5306884 56.0949148)",5,
37854695,,,Brīvības iela,residential,False,True,23.407,,"LINESTRING (27.5316649 56.0946374, 27.5320012 56.0945419)",5,
1099903675,,,,living_street,False,False,42.749,,"LINESTRING (27.5316649 56.0946374, 27.5320065 56.0949713)",,
984198879,2,P55,Rēzekne — Dagda,primary,False,True,87.944,,"LINESTRING (27.5453555 56.0991943, 27.5445397 56.0985474)",,
984198879,2,P55,Rēzekne — Dagda,primary,False,False,87.944,,"LINESTRING (27.5445397 56.0985474, 27.5453555 56.0991943)",,
984198879,2,P55,Rēzekne — Dagda,primary,False,True,94.37,,"LINESTRING (27.5445397 56.0985474, 27.5436644 56.0978532)",,
