osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction
260787908,,residential,False,True,100.669,"LINESTRING (26.6941417 57.5422171, 26.6928266 57.5416501)",,,
260786312,Vaidavas iela,residential,False,False,100.188,"LINESTRING (26.6941417 57.5422171, 26.6947709 57.5418334, 26.6952411 57.5415362)",,,
260781653,Jāņa iela,residential,False,False,70.901,"LINESTRING (26.6918873 57.5422222, 26.6909435 57.5418349)",,,
260781653,Jāņa iela,residential,False,True,102.889,"LINESTRING (26.6918873 57.5422222, 26.6932239 57.5428067)",,,
260781646,Lauku iela,residential,False,False,84.949,"LINESTRING (26.6918873 57.5422222, 26.6921385 57.5420995, 26.6928266 57.5416501)",,,
44077673,Dzirnavu iela,secondary,False,True,52.735,"LINESTRING (26.6851585 57.5425097, 26.68546 57.5420639)",P19,2,
44077673,Dzirnavu iela,secondary,False,False,89.166,"LINESTRING (26.6851585 57.5425097, 26.6849643 57.5428336, 26.684679 57.5432691)",P19,2,
260781651,Ziedu iela,residential,False,False,228.25499999999997,"LINESTRING (26.6851585 57.5425097, 26.6852392 57.5425301, 26.6853314 57.5425653, 26.6871179 57.5435067, 26.6872085 57.5435258, 26.6872828 57.5435144, 26.6878751 57.5431197)",,,
172794233,Stacijas iela,residential,False,False,44.05,"LINESTRING (26.689903 57.5425153, 26.6903569 57.5422029)",,,
172794233,Stacijas iela,residential,False,True,37.103,"LINESTRING (26.689903 57.5425153, 26.6895206 57.5427784)",,,
516545842,,residential,False,False,87.507,"LINESTRING (26.689903 57.5425153, 26.6904768 57.5427439, 26.6910804 57.5429844)",,,
172794233,Stacijas iela,residential,False,False,37.103,"LINESTRING (26.6895206 57.5427784, 26.689903 57.5425153)",,,
172794233,Stacijas iela,residential,False,True,92.927,"LINESTRING (26.6895206 57.5427784, 26.6885067 57.5434127)",,,
260781648,Smilšu iela,residential,False,False,263.943,"LINESTRING (26.6895206 57.5427784, 26.6861008 57.5412731)",,,
260781653,Jāņa iela,residential,False,False,102.889,"LINESTRING (26.6932239 57.5428067, 26.6918873 57.5422222)",,,
260786312,Vaidavas iela,residential,False,False,85.428,"LINESTRING (26.6932239 57.5428067, 26.6941417 57.5422171)",,,
260786312,Vaidavas iela,residential,False,True,236.061,"LINESTRING (26.6932239 57.5428067, 26.6920644 57.5435516, 26.6917513 57.5438069, 26.691679 57.5441042, 26.6914336 57.5444765, 26.6912359 57.5445853)",,,
260781655,Klusā iela,residential,False,False,9.792,"LINESTRING (26.6877452 57.5430659, 26.6878751 57.5431197)",,,
260781655,Klusā iela,residential,False,True,176.099,"LINESTRING (26.6877452 57.5430659, 26.68546 57.5420639)",,,
260781659,,residential,False,True,233.70800000000003,"LINESTRING (26.6877452 57.5430659, 26.6881607 57.5427833, 26.6881806 57.542719, 26.6881451 57.5426779, 26.687812 57.5425259, 26.686345 57.541944, 26.6856563 57.5417495)",,,
260781655,Klusā iela,residential,False,False,49.82,"LINESTRING (26.6878751 57.5431197, 26.6885067 57.5434127)",,,
260781655,Klusā iela,residential,False,True,9.792,"LINESTRING (26.6878751 57.5431197, 26.6877452 57.5430659)",,,
260781651,Ziedu iela,residential,False,True,228.25500000000002,"LINESTRING (26.6878751 57.5431197, 26.6872828 57.5435144, 26.6872085 57.5435258, 26.6871179 57.5435067, 26.6853314 57.5425653, 26.6852392 57.5425301, 26.6851585 57.5425097)",,,
172794233,Stacijas iela,residential,False,False,92.927,"LINESTRING (26.6885067 57.5434127, 26.6895206 57.5427784)",,,
172794233,Stacijas iela,residential,False,True,162.016,"LINESTRING (26.6885067 57.5434127, 26.6867394 57.5445188)",,,
260781655,Klusā iela,residential,False,True,49.82,"LINESTRING (26.6885067 57.5434127, 26.6878751 57.5431197)",,,
260781660,Klusā iela,residential,False,True,157.524,"LINESTRING (26.6885067 57.5434127, 26.6888656 57.5436221, 26.689264 57.5438733, 26.6894782 57.5440641, 26.6895205 57.5441471, 26.6897167 57.5446292)",,,
260781643,Upes iela,residential,False,True,90.785,"LINESTRING (26.6912359 57.5445853, 26.6897167 57.5446292)",,,
"[260784105, 260787909]","['Upes iela', 'Robežu iela']",residential,False,False,327.027,"LINESTRING (26.6912359 57.5445853, 26.6928876 57.5444804, 26.6935748 57.5442873, 26.694286 57.5440337, 26.6947067 57.5438526, 26.6950949 57.5436176, 26.6957815 57.5431821)",,,
260786312,Vaidavas iela,residential,False,False,236.06100000000004,"LINESTRING (26.6912359 57.5445853, 26.6914336 57.5444765, 26.691679 57.5441042, 26.6917513 57.5438069, 26.6920644 57.5435516, 26.6932239 57.5428067)",,,
260781643,Upes iela,residential,False,False,90.785,"LINESTRING (26.6897167 57.5446292, 26.6912359 57.5445853)",,,
260781643,Upes iela,residential,False,True,191.56,"LINESTRING (26.6897167 57.5446292, 26.6883372 57.5446955, 26.6871089 57.5447602, 26.6868198 57.5446115, 26.6867394 57.5445188)",,,
260781660,Klusā iela,residential,False,False,157.524,"LINESTRING (26.6897167 57.5446292, 26.6895205 57.5441471, 26.6894782 57.5440641, 26.689264 57.5438733, 26.6888656 57.5436221, 26.6885067 57.5434127)",,,
260784104,,residential,False,True,46.245,"LINESTRING (26.6968361 57.5425132, 26.6964896 57.5421412)",,,
260787909,Robežu iela,residential,False,True,97.431,"LINESTRING (26.6968361 57.5425132, 26.6957815 57.5431821)",,,
260787909,Robežu iela,residential,False,False,50.727,"LINESTRING (26.6968361 57.5425132, 26.6968756 57.5424865, 26.6973625 57.542155)",,,
1185931642,Avotu iela,residential,False,True,132.863,"LINESTRING (26.6978977 57.5387004, 26.6961727 57.5379451)",,,
260787907,Aptiekas iela,residential,False,False,176.915,"LINESTRING (26.6978977 57.5387004, 26.6960987 57.5399219, 26.6960595 57.5399486)",,,
1185947450,Pasta iela,residential,True,False,78.535,"LINESTRING (26.6960595 57.5399486, 26.6971157 57.5403699)",P39,,
260787907,Aptiekas iela,residential,False,True,176.915,"LINESTRING (26.6960595 57.5399486, 26.6960987 57.5399219, 26.6978977 57.5387004)",,,
260781646,Lauku iela,residential,False,False,104.216,"LINESTRING (26.6928266 57.5416501, 26.6939202 57.5409194)",,,
260787908,,residential,False,False,100.669,"LINESTRING (26.6928266 57.5416501, 26.6941417 57.5422171)",,,
260781646,Lauku iela,residential,False,True,84.949,"LINESTRING (26.6928266 57.5416501, 26.6921385 57.5420995, 26.6918873 57.5422222)",,,
806850104,Skolas iela,secondary,False,False,17.393,"LINESTRING (26.6931528 57.5376127, 26.6930294 57.5377544)",P19,,
806850104,Skolas iela,secondary,False,True,16.901,"LINESTRING (26.6931528 57.5376127, 26.6932347 57.5374672)",P19,,
260788865,,residential,False,False,124.41499999999999,"LINESTRING (26.6869239 57.5391697, 26.6870669 57.5391251, 26.6873084 57.5390701, 26.6873796 57.5390219, 26.6873706 57.5389439, 26.6872998 57.5388794, 26.6871467 57.538814, 26.6870342 57.5387885, 26.686859 57.538793, 26.6868094 57.5388046, 26.6867831 57.5388712, 26.6867677 57.5389219, 26.6869239 57.5391697)",,,
260788865,,residential,False,True,124.41499999999998,"LINESTRING (26.6869239 57.5391697, 26.6867677 57.5389219, 26.6867831 57.5388712, 26.6868094 57.5388046, 26.686859 57.538793, 26.6870342 57.5387885, 26.6871467 57.538814, 26.6872998 57.5388794, 26.6873706 57.5389439, 26.6873796 57.5390219, 26.6873084 57.5390701, 26.6870669 57.5391251, 26.6869239 57.5391697)",,,
260788865,,residential,False,False,143.47699999999998,"LINESTRING (26.6869239 57.5391697, 26.6870383 57.5393419, 26.6871405 57.5394498, 26.6875868 57.5396664, 26.6879017 57.5398507, 26.6881672 57.5399344, 26.6883931 57.5400796, 26.6884636 57.5401249)",,,
44077673,Dzirnavu iela,secondary,False,False,51.762,"LINESTRING (26.6884636 57.5401249, 26.6877838 57.540414)",P19,2,
44077673,Dzirnavu iela,secondary,False,True,223.51000000000002,"LINESTRING (26.6884636 57.5401249, 26.6893374 57.5397763, 26.6897351 57.5396546, 26.6901515 57.539543, 26.6915475 57.5393292, 26.6916314 57.5393159, 26.6917964 57.5392612)",P19,2,
