osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
100448154,Campbell Street,residential,False,True,124.285,"LINESTRING (-4.5711459 55.9822559, -4.5727346 55.9821313, -4.5731253 55.9821582)",,,,
101621423,George Street,residential,False,False,75.69800000000001,"LINESTRING (-4.5711459 55.9822559, -4.5710871 55.9818048, -4.5710581 55.9815769)",,,,
100448071,Union Street,residential,False,False,183.915,"LINESTRING (-4.5710971 55.983866, -4.5709287 55.9855173)",,,,
100448195,Hall Street,residential,False,True,82.656,"LINESTRING (-4.5710971 55.983866, -4.5697724 55.983808)",,,,
124348377,Union Street Lane,residential,False,True,33.508,"LINESTRING (-4.5710971 55.983866, -4.5711806 55.9835683)",,,,
100448190,Glebe Gardens,residential,False,False,22.027,"LINESTRING (-4.575155 55.981254, -4.5754967 55.9812021)",,,,
100448065,Glebe Gardens,residential,False,False,203.387,"LINESTRING (-4.575155 55.981254, -4.5753878 55.9824808, -4.5746329 55.9829005)",,,,
100448190,Glebe Gardens,residential,False,True,53.145,"LINESTRING (-4.575155 55.981254, -4.5744579 55.9813458, -4.5743319 55.9813141)",,,,
100448125,,tertiary,False,True,33.392,"LINESTRING (-4.5689795 55.9811588, -4.568474 55.9812598)",,30 mph,2,
119311344,Stirling Road,primary,False,False,351.38500000000005,"LINESTRING (-4.5689795 55.9811588, -4.5683959 55.9792794, -4.5682525 55.9787507, -4.5682864 55.9782835, -4.5682934 55.9782018, -4.5683079 55.9780336)",A813,30 mph,2,
232828217,,primary,False,True,194.28199999999998,"LINESTRING (-4.5689795 55.9811588, -4.569041 55.9814069, -4.5691725 55.9819337, -4.5693023 55.9821544, -4.5694648 55.9822787, -4.5698199 55.982489, -4.5702245 55.982669)",A813,30 mph,2,
30980163,Main Street,residential,False,True,95.678,"LINESTRING (-4.5808979 55.9851654, -4.5808361 55.9845623, -4.5808288 55.9844027, -4.5808679 55.9843085)",,30 mph,2,
100448223,Church Street,unclassified,False,False,156.416,"LINESTRING (-4.5808979 55.9851654, -4.5799737 55.9851921, -4.5796427 55.9852016, -4.5795722 55.9852066, -4.5795218 55.9852378, -4.579495 55.9852815, -4.5795885 55.9858547)",,,,
100448163,Burn Street,residential,False,True,78.977,"LINESTRING (-4.5695306 55.9855156, -4.5696294 55.9848075)",,,,
101621433,Dalmonach Road,residential,False,False,61.973,"LINESTRING (-4.5695306 55.9855156, -4.5685343 55.9855164)",,,,
101621433,Dalmonach Road,residential,False,True,86.966,"LINESTRING (-4.5695306 55.9855156, -4.5709287 55.9855173)",,,,
100448190,Glebe Gardens,residential,False,True,22.027,"LINESTRING (-4.5754967 55.9812021, -4.575155 55.981254)",,,,
100448125,,tertiary,False,False,33.392,"LINESTRING (-4.568474 55.9812598, -4.5689795 55.9811588)",,30 mph,2,
100448125,,tertiary,False,True,75.92,"LINESTRING (-4.568474 55.9812598, -4.568205 55.9814339, -4.5679496 55.9815278, -4.5674463 55.9815347)",,30 mph,2,
162459700,Ladyton,residential,False,False,172.11,"LINESTRING (-4.568474 55.9812598, -4.5683817 55.9811901, -4.5683334 55.9811372, -4.5682784 55.9806007, -4.5682542 55.9805589, -4.5681244 55.9805059, -4.5680321 55.9804481, -4.5679639 55.9803866, -4.5679045 55.979807)",,30 mph,,
100448073,Leven Street,residential,False,False,51.93,"LINESTRING (-4.5772229 55.9836229, -4.5771494 55.9831577)",,,,
100448073,Leven Street,residential,False,True,75.59,"LINESTRING (-4.5772229 55.9836229, -4.5772985 55.9839169, -4.5773706 55.9840737, -4.5775153 55.9842792)",,,,
100448120,Thomas Street,residential,False,False,36.263000000000005,"LINESTRING (-4.5772229 55.9836229, -4.5768089 55.9836557, -4.5766457 55.9836686)",,,,
