osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,lanes,name,tunnel
31873719,False,,residential,,,False,187.40300000000002,"LINESTRING (-0.8306897 51.7244207, -0.830593 51.7245045, -0.8304819 51.7245844, -0.830102 51.7247013, -0.8299946 51.7247555, -0.8297023 51.7249437, -0.8296016 51.7250344, -0.8295689 51.7251577, -0.8296079 51.7252497, -0.829676 51.7253164, -0.8302172 51.7256286)",,The Retreat,
28657411,False,,residential,,,False,42.965,"LINESTRING (-0.836794 51.72113, -0.8371158 51.720799)",,Chiltern Close,
"[28657411, 28657413]",False,,residential,,,True,71.002,"LINESTRING (-0.836794 51.72113, -0.8365192 51.7214269, -0.8364855 51.7214633, -0.8362762 51.7216821)",,"['Park Meadow', 'Chiltern Close']",
176380569,False,,residential,,,False,121.28999999999999,"LINESTRING (-0.836794 51.72113, -0.8360841 51.7208589, -0.8356764 51.720613, -0.8354493 51.7204417)",,Chiltern Close,
28657411,False,,residential,,,True,42.965,"LINESTRING (-0.8371158 51.720799, -0.836794 51.72113)",,Chiltern Close,
28657412,False,,residential,,,False,7.361,"LINESTRING (-0.8371158 51.720799, -0.8370243 51.7207648)",,Chiltern Close,
28657412,False,,residential,,,True,4.017,"LINESTRING (-0.8371158 51.720799, -0.8371714 51.7208099)",,Chiltern Close,
28657412,False,,residential,,,False,4.017,"LINESTRING (-0.8371714 51.7208099, -0.8371158 51.720799)",,Chiltern Close,
28657412,False,,residential,,,True,7.361,"LINESTRING (-0.8370243 51.7207648, -0.8371158 51.720799)",,Chiltern Close,
28657413,False,,residential,,,False,139.055,"LINESTRING (-0.8362762 51.7216821, -0.8361158 51.7218581, -0.8360236 51.7219054, -0.8359104 51.7218983, -0.8356235 51.7217226, -0.8355872 51.7216848, -0.8355738 51.72164, -0.8355819 51.7215968, -0.8356179 51.7215575, -0.8356472 51.7215316, -0.8357348 51.7215104, -0.8358072 51.721507, -0.8358777 51.7215204, -0.8362762 51.7216821)",,Park Meadow,
28657413,False,,residential,,,True,139.055,"LINESTRING (-0.8362762 51.7216821, -0.8358777 51.7215204, -0.8358072 51.721507, -0.8357348 51.7215104, -0.8356472 51.7215316, -0.8356179 51.7215575, -0.8355819 51.7215968, -0.8355738 51.72164, -0.8355872 51.7216848, -0.8356235 51.7217226, -0.8359104 51.7218983, -0.8360236 51.7219054, -0.8361158 51.7218581, -0.8362762 51.7216821)",,Park Meadow,
"[28657411, 28657413]",False,,residential,,,False,71.002,"LINESTRING (-0.8362762 51.7216821, -0.8364855 51.7214633, -0.8365192 51.7214269, -0.836794 51.72113)",,"['Park Meadow', 'Chiltern Close']",
28659880,False,A4010,trunk,30 mph,,True,49.333,"LINESTRING (-0.8346825 51.7208218, -0.8340978 51.721078)",2,Wycombe Road,
28657415,False,,residential,,,False,39.006,"LINESTRING (-0.8346825 51.7208218, -0.8348647 51.7209796, -0.8349028 51.7209733, -0.8350785 51.720898)",,,
28659880,False,A4010,trunk,30 mph,,False,52.554,"LINESTRING (-0.8346825 51.7208218, -0.8348684 51.7207275, -0.8350778 51.7206277, -0.8352827 51.7205301)",2,Wycombe Road,
28657415,False,,residential,,,True,39.006,"LINESTRING (-0.8350785 51.720898, -0.8349028 51.7209733, -0.8348647 51.7209796, -0.8346825 51.7208218)",,,
28659880,False,A4010,trunk,30 mph,,False,15.11,"LINESTRING (-0.8352827 51.7205301, -0.8354493 51.7204417)",2,Wycombe Road,
28657418,False,,residential,,,False,210.329,"LINESTRING (-0.8352827 51.7205301, -0.8350976 51.720383, -0.8350499 51.7203319, -0.8350269 51.7202804, -0.8350213 51.7201782, -0.8350093 51.7201286, -0.834976 51.7200806, -0.8349183 51.7200307, -0.8345946 51.7197746, -0.8344928 51.7196741, -0.8341261 51.719376, -0.8339549 51.7194654, -0.8334994 51.7197033)",,Culverton Hill,
28659880,False,A4010,trunk,30 mph,,True,52.554,"LINESTRING (-0.8352827 51.7205301, -0.8350778 51.7206277, -0.8348684 51.7207275, -0.8346825 51.7208218)",2,Wycombe Road,
28657418,False,,residential,,,True,210.32899999999998,"LINESTRING (-0.8334994 51.7197033, -0.8339549 51.7194654, -0.8341261 51.719376, -0.8344928 51.7196741, -0.8345946 51.7197746, -0.8349183 51.7200307, -0.834976 51.7200806, -0.8350093 51.7201286, -0.8350213 51.7201782, -0.8350269 51.7202804, -0.8350499 51.7203319, -0.8350976 51.720383, -0.8352827 51.7205301)",,Culverton Hill,
28659880,False,A4010,trunk,30 mph,,False,49.333,"LINESTRING (-0.8340978 51.721078, -0.8346825 51.7208218)",2,Wycombe Road,
28657419,False,,residential,,,False,77.926,"LINESTRING (-0.8340978 51.721078, -0.8336525 51.7207541, -0.8333536 51.7205503)",,Clifford Road,
28659880,False,A4010,trunk,30 mph,,True,52.124,"LINESTRING (-0.8340978 51.721078, -0.8339718 51.7211387, -0.8338721 51.7211863, -0.8335657 51.7213338, -0.8335004 51.7213657)",2,Wycombe Road,
28657419,False,,residential,,,False,145.10599999999997,"LINESTRING (-0.8333536 51.7205503, -0.832803 51.7201684, -0.8325711 51.7201004, -0.8319032 51.7200571, -0.8317667 51.7200328, -0.8315995 51.7199543)",,Clifford Road,
28657419,False,,residential,,,True,77.926,"LINESTRING (-0.8333536 51.7205503, -0.8336525 51.7207541, -0.8340978 51.721078)",,Clifford Road,
28657425,False,,residential,,,False,57.958999999999996,"LINESTRING (-0.8333536 51.7205503, -0.8331401 51.720662, -0.8329692 51.7207448, -0.8329086 51.7208274, -0.8329149 51.7208871, -0.832965 51.7209421)",,Gatensbury Place,
28657437,False,,residential,,,False,47.636,"LINESTRING (-0.8315995 51.7199543, -0.831095 51.7202473)",,Woodlands,
28657419,False,,residential,,,False,58.531,"LINESTRING (-0.8315995 51.7199543, -0.8315497 51.7198199, -0.8316673 51.7194383)",,Clifford Road,
28657419,False,,residential,,,True,145.106,"LINESTRING (-0.8315995 51.7199543, -0.8317667 51.7200328, -0.8319032 51.7200571, -0.8325711 51.7201004, -0.832803 51.7201684, -0.8333536 51.7205503)",,Clifford Road,
28657431,False,,residential,,,False,68.966,"LINESTRING (-0.8316673 51.7194383, -0.8306863 51.7193145)",,Merton Road,
28657419,False,,residential,,,False,66.4,"LINESTRING (-0.8316673 51.7194383, -0.8318146 51.7189833, -0.8318576 51.7188529)",,Clifford Road,
28657419,False,,residential,,,True,58.531,"LINESTRING (-0.8316673 51.7194383, -0.8315497 51.7198199, -0.8315995 51.7199543)",,Clifford Road,
28657419,False,,residential,,,True,66.4,"LINESTRING (-0.8318576 51.7188529, -0.8318146 51.7189833, -0.8316673 51.7194383)",,Clifford Road,
28659085,False,,residential,,,True,44.041,"LINESTRING (-0.8308027 51.7205585, -0.8303429 51.7208337)",,Ash Road,
28657883,False,,residential,,,True,29.939,"LINESTRING (-0.8316642 51.7210547, -0.8313374 51.7212322)",,Bell Lane,
28659880,False,A4010,trunk,30 mph,,True,5.563,"LINESTRING (-0.8324699 51.7218438, -0.8324018 51.7218707)",2,Wycombe Road,
28657424,False,,residential,,,False,83.49,"LINESTRING (-0.8324699 51.7218438, -0.8320175 51.721353, -0.8317654 51.7214534)",,Carlton Court,
28659880,False,A4010,trunk,30 mph,,False,88.718,"LINESTRING (-0.8324699 51.7218438, -0.832536 51.7218196, -0.832575 51.7218014, -0.8335004 51.7213657)",2,Wycombe Road,
28657424,False,,residential,,,True,83.49,"LINESTRING (-0.8317654 51.7214534, -0.8320175 51.721353, -0.8324699 51.7218438)",,Carlton Court,
28657425,False,,residential,,,True,13.107,"LINESTRING (-0.8316447 51.7205773, -0.8318081 51.7206377)",,Gatensbury Place,
28657425,False,,residential,,,False,13.107,"LINESTRING (-0.8318081 51.7206377, -0.8316447 51.7205773)",,Gatensbury Place,
28657426,False,,residential,,,False,8.207,"LINESTRING (-0.8318081 51.7206377, -0.8318624 51.720572)",,Gatensbury Place,
28657425,False,,residential,,,True,96.075,"LINESTRING (-0.8318081 51.7206377, -0.8319939 51.7207487, -0.8320537 51.7208152, -0.8321049 51.7209033, -0.8322155 51.7209896, -0.8323145 51.721032, -0.8324244 51.7210604, -0.832539 51.7210719, -0.8327272 51.7210507, -0.8328201 51.7210476, -0.8328649 51.7210465)",,Gatensbury Place,
28657426,False,,residential,,,True,8.207,"LINESTRING (-0.8318624 51.720572, -0.8318081 51.7206377)",,Gatensbury Place,
28657425,False,,residential,,,False,14.109000000000002,"LINESTRING (-0.832965 51.7209421, -0.8329535 51.7209677, -0.8329135 51.7210256, -0.8328914 51.7210394, -0.8328649 51.7210465)",,Gatensbury Place,
28657425,False,,residential,,,True,57.959,"LINESTRING (-0.832965 51.7209421, -0.8329149 51.7208871, -0.8329086 51.7208274, -0.8329692 51.7207448, -0.8331401 51.720662, -0.8333536 51.7205503)",,Gatensbury Place,
28657428,False,,residential,,,False,20.927,"LINESTRING (-0.832965 51.7209421, -0.8330956 51.720947, -0.8332685 51.7209496)",,Gatensbury Place,
28657428,False,,residential,,,True,20.927,"LINESTRING (-0.8332685 51.7209496, -0.8330956 51.720947, -0.832965 51.7209421)",,Gatensbury Place,
28657431,False,,residential,,,False,27.372,"LINESTRING (-0.8306863 51.7193145, -0.8302939 51.7192758)",,Merton Road,
28657431,False,,residential,,,True,68.966,"LINESTRING (-0.8306863 51.7193145, -0.8316673 51.7194383)",,Merton Road,
28657433,False,,residential,,,False,36.663,"LINESTRING (-0.8306863 51.7193145, -0.8305885 51.7196386)",,Merton Road,
28657433,False,,residential,,,True,34.796,"LINESTRING (-0.8306863 51.7193145, -0.8307935 51.7190087)",,Merton Road,
28657431,False,,residential,,,True,27.372,"LINESTRING (-0.8302939 51.7192758, -0.8306863 51.7193145)",,Merton Road,
28657433,False,,residential,,,True,36.663,"LINESTRING (-0.8305885 51.7196386, -0.8306863 51.7193145)",,Merton Road,
28657433,False,,residential,,,False,34.796,"LINESTRING (-0.8307935 51.7190087, -0.8306863 51.7193145)",,Merton Road,
28657437,False,,residential,,,True,47.636,"LINESTRING (-0.831095 51.7202473, -0.8315995 51.7199543)",,Woodlands,
1124800507,False,,residential,,,True,24.493,"LINESTRING (-0.8342396 51.721961, -0.8341946 51.7217425)",,Elmdale Gardens,
172714924,False,,residential,,,False,43.942,"LINESTRING (-0.8342396 51.721961, -0.8343544 51.7219442, -0.8344467 51.7218991, -0.8344471 51.7218478, -0.8343149 51.7217574, -0.8341946 51.7217425)",,Elmdale Gardens,
172714924,False,,residential,,,True,49.198,"LINESTRING (-0.8342396 51.721961, -0.834307 51.7220913, -0.8345775 51.7222591, -0.8346768 51.7222892)",,Elmdale Gardens,
"[28657443, 172714924]",False,,residential,,,False,89.629,"LINESTRING (-0.8346768 51.7222892, -0.834758 51.7222435, -0.8348466 51.7222322, -0.8349386 51.7222451, -0.8351359 51.7223856, -0.8351451 51.7224215, -0.8351094 51.7224549, -0.8350501 51.7224868, -0.8349796 51.722481, -0.8346768 51.7222892)",,Elmdale Gardens,
"[28657443, 172714924]",False,,residential,,,True,89.629,"LINESTRING (-0.8346768 51.7222892, -0.8349796 51.722481, -0.8350501 51.7224868, -0.8351094 51.7224549, -0.8351451 51.7224215, -0.8351359 51.7223856, -0.8349386 51.7222451, -0.8348466 51.7222322, -0.834758 51.7222435, -0.8346768 51.7222892)",,Elmdale Gardens,
