osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width,lanes
47418699,Slade Road,residential,False,False,26.893,"LINESTRING (-2.7714812 51.4807872, -2.7714823 51.4808066, -2.7714848 51.4808258, -2.7715431 51.4810257)",,,
47418699,Slade Road,residential,False,True,71.904,"LINESTRING (-2.7714812 51.4807872, -2.7715775 51.4802238, -2.7715769 51.4802053, -2.7715735 51.4801852, -2.7715627 51.4801444)",,,
203288923,West Hill,tertiary,False,True,8.913,"LINESTRING (-2.7804153 51.4830867, -2.7805033 51.4830282)",30 mph,,2
27197173,Channel View Road,residential,False,False,78.539,"LINESTRING (-2.7804153 51.4830867, -2.780185 51.4830113, -2.7800256 51.4829538, -2.7799956 51.4829426, -2.7799709 51.482934, -2.7797641 51.4828594, -2.7796972 51.4828353, -2.7795007 51.4827645, -2.7794287 51.4827385)",,,
203288923,West Hill,tertiary,False,False,98.544,"LINESTRING (-2.7804153 51.4830867, -2.7802686 51.4832527, -2.7802064 51.4833226, -2.7801196 51.4834356, -2.7800631 51.4835297, -2.779955 51.4837072, -2.779843 51.483896)",30 mph,,2
27197187,Severn Road,residential,False,False,39.132,"LINESTRING (-2.7791758 51.4808651, -2.7787272 51.4810791)",,,
27356744,Lower Down Road,residential,False,False,42.167,"LINESTRING (-2.7791758 51.4808651, -2.7790029 51.4808523, -2.7788602 51.480843, -2.7785711 51.4808207)",,,
27356744,Lower Down Road,residential,False,True,233.79199999999994,"LINESTRING (-2.7791758 51.4808651, -2.7794122 51.4808705, -2.7802263 51.4808677, -2.7803205 51.4808653, -2.7804162 51.4808605, -2.7804902 51.4808532, -2.7805609 51.4808429, -2.7807756 51.4808036, -2.7810296 51.4807699, -2.7811951 51.4807557, -2.7812591 51.4807521, -2.7814655 51.4807406, -2.7817558 51.480728, -2.7819523 51.4807252, -2.7822048 51.4807322, -2.7824083 51.4807398, -2.7825292 51.4807465)",,,
27197187,Severn Road,residential,False,False,58.07900000000001,"LINESTRING (-2.7762258 51.4836939, -2.7762741 51.4837354, -2.7763167 51.48377, -2.776753 51.4840724, -2.7767756 51.4840879)",,,
27197187,Severn Road,residential,False,True,77.89200000000001,"LINESTRING (-2.7762258 51.4836939, -2.7762074 51.4836727, -2.7761943 51.4836519, -2.7761867 51.4836319, -2.7761815 51.4836043, -2.7761785 51.4835782, -2.7761783 51.4835521, -2.7761799 51.4835335, -2.7761856 51.4835124, -2.776197 51.4834867, -2.7762322 51.4834282, -2.7762466 51.4834043, -2.7762671 51.4833761, -2.7762855 51.4833577, -2.7763015 51.4833426, -2.7763324 51.4833205, -2.7763668 51.4832974, -2.776462 51.4832426, -2.7764895 51.4832243, -2.7765026 51.4832132, -2.7765127 51.4832011, -2.7765986 51.4830782)",,,
30472665,Severn Road,residential,False,True,36.28,"LINESTRING (-2.7762258 51.4836939, -2.7761358 51.4837177, -2.7758161 51.4838106, -2.7757496 51.4838299)",,,
27197187,Severn Road,residential,False,True,39.132,"LINESTRING (-2.7787272 51.4810791, -2.7791758 51.4808651)",,,
27197187,Severn Road,residential,False,False,119.83,"LINESTRING (-2.7787272 51.4810791, -2.7783495 51.4812769, -2.7781006 51.4814426, -2.7778036 51.4816587, -2.7775331 51.4818554)",,,
27197190,Severn Road,residential,False,False,31.877000000000002,"LINESTRING (-2.7787272 51.4810791, -2.7787273 51.481024, -2.7787253 51.4809855, -2.7787201 51.4809676, -2.7787137 51.4809545, -2.7787045 51.4809402, -2.7786751 51.4809079, -2.7786389 51.4808777, -2.7785711 51.4808207)",,,
27197187,Severn Road,residential,False,False,17.797,"LINESTRING (-2.7773246 51.4820502, -2.7771891 51.4821862)",,,
