osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,junction,bridge
"[27123238, 235028265, 23370742, 664869047]","['1', '2']",A21,"['Priory Street', 'Cambridge Road']",trunk,30 mph,yes,True,False,207.361,"LINESTRING (0.5773497 50.8570364, 0.577315 50.8569843, 0.5773018 50.8569644, 0.577296 50.8569162, 0.5773042 50.8568695, 0.5773588 50.856771, 0.5773843 50.856725, 0.5774027 50.8566923, 0.5774872 50.8565408, 0.5775038 50.8565115, 0.5775731 50.8563891, 0.5776357 50.8562756, 0.5776844 50.8561875, 0.5777196 50.8561313, 0.5777334 50.8561021, 0.5777452 50.8560787, 0.5777648 50.85604, 0.5777779 50.8560142, 0.5778086 50.8558983, 0.5778138 50.8558004, 0.577812 50.8557204, 0.5778001 50.8556809, 0.5777803 50.8556513, 0.5777337 50.8556331, 0.5776617 50.8556272, 0.5775364 50.8556288, 0.577366 50.8556313, 0.577128 50.8556349)",,
178157125,2,A21,Cornwallis Terrace,trunk,30 mph,yes,True,False,18.374,"LINESTRING (0.5769486 50.8571299, 0.5772092 50.8571455)",,
235028266,1,,Cornwallis Terrace,tertiary,30 mph,,True,False,21.112000000000002,"LINESTRING (0.5765472 50.8569617, 0.5765363 50.8570186, 0.5765141 50.8570511, 0.5764629 50.8570854, 0.5763972 50.8571134)",,
1252143810,1,A21,Cambridge Gardens,trunk,30 mph,yes,True,False,34.792,"LINESTRING (0.5765472 50.8569617, 0.5766249 50.8570291, 0.5767517 50.8570839, 0.5769486 50.8571299)",,
"[26710224, 1090617072, 32229014]","['2', '3']",,South Terrace,tertiary,30 mph,,False,False,122.624,"LINESTRING (0.5785451 50.8595865, 0.5786332 50.8595257, 0.5786856 50.859484, 0.578936 50.8592671, 0.5793058 50.8589856, 0.5796769 50.8587488)",,yes
32229051,2,,Braybrooke Road,tertiary,30 mph,,False,False,227.13099999999994,"LINESTRING (0.5785451 50.8595865, 0.5784547 50.8595234, 0.5784032 50.8594853, 0.5782554 50.8594044, 0.5781161 50.8593447, 0.5779711 50.8592999, 0.5778199 50.8592682, 0.5776637 50.8592476, 0.5774539 50.8592381, 0.5773534 50.8592354, 0.5771485 50.8592269, 0.5768674 50.8592004, 0.5766062 50.8591632, 0.5764217 50.8591256, 0.5762235 50.8590659, 0.5760691 50.8590004, 0.5759129 50.8589016, 0.5758088 50.8588203, 0.5757288 50.8587613)",,
27791630,,,Braybrooke Close,residential,,,False,True,138.582,"LINESTRING (0.5757288 50.8587613, 0.5755749 50.858777, 0.5755252 50.8587648, 0.5754364 50.8587159, 0.5753512 50.8586733, 0.575207 50.85861, 0.5750885 50.8585485, 0.5750225 50.8585021, 0.5749851 50.8584688, 0.5749333 50.8584542, 0.574888 50.8584631, 0.5748693 50.8584802, 0.5748661 50.8585038, 0.5748814 50.8585208, 0.5749164 50.8585378, 0.5750512 50.8586096, 0.5752078 50.8586885, 0.5753688 50.8587785, 0.5754817 50.8588354, 0.5755301 50.8588579)",,
32229051,2,,Braybrooke Road,tertiary,30 mph,,False,True,227.131,"LINESTRING (0.5757288 50.8587613, 0.5758088 50.8588203, 0.5759129 50.8589016, 0.5760691 50.8590004, 0.5762235 50.8590659, 0.5764217 50.8591256, 0.5766062 50.8591632, 0.5768674 50.8592004, 0.5771485 50.8592269, 0.5773534 50.8592354, 0.5774539 50.8592381, 0.5776637 50.8592476, 0.5778199 50.8592682, 0.5779711 50.8592999, 0.5781161 50.8593447, 0.5782554 50.8594044, 0.5784032 50.8594853, 0.5784547 50.8595234, 0.5785451 50.8595865)",,
1158563608,2,,Cornwallis Terrace,tertiary,30 mph,,False,False,64.741,"LINESTRING (0.5754856 50.8571952, 0.5755858 50.8571824, 0.5756495 50.8571743, 0.5758547 50.8571476, 0.5761166 50.8571243, 0.5763972 50.8571134)",,
1090617072,2,,South Terrace,tertiary,30 mph,,False,True,24.037,"LINESTRING (0.579934 50.858606, 0.5796769 50.8587488)",,
"[1090617072, 1090617073]","['2', '3']",,South Terrace,tertiary,30 mph,,False,False,32.43,"LINESTRING (0.579934 50.858606, 0.5801558 50.8584926, 0.580293 50.8584224)",,
26711407,2,,,trunk,30 mph,yes,True,False,25.691000000000003,"LINESTRING (0.5834247 50.8551189, 0.5834707 50.8550936, 0.5835031 50.855061, 0.5835189 50.8550238, 0.5835169 50.8549853, 0.5834971 50.8549489, 0.5834613 50.8549177)",roundabout,
59962998,1,A259,Breeds Place,trunk,30 mph,yes,True,False,42.015,"LINESTRING (0.5834247 50.8551189, 0.5838224 50.8551446, 0.58402 50.8551311)",,
26711599,,,Castle Hill Road,residential,30 mph,,False,False,48.834,"LINESTRING (0.5820285 50.8554998, 0.5822803 50.8555062, 0.5825825 50.8555244, 0.5827138 50.8555553)",,
"[27783483, 1052456691, 1091697493, 1265853734]",3,A2101,Albert Road,primary,30 mph,,False,False,57.798,"LINESTRING (0.5820285 50.8554998, 0.5820438 50.8553833, 0.5820476 50.8553478, 0.5820604 50.8552492, 0.5820762 50.8551328, 0.582103 50.8549822)",,
"[1091697491, 1091697492]","['2', '3']",A2101,Albert Road,primary,30 mph,,False,True,34.259,"LINESTRING (0.5820285 50.8554998, 0.5820107 50.8556218, 0.5819881 50.8557029, 0.581971 50.8557485, 0.5819361 50.8558004)",,
27783483,3,A2101,Albert Road,primary,30 mph,,False,True,22.494,"LINESTRING (0.5821378 50.8547811, 0.5821159 50.8549045, 0.5821095 50.8549434, 0.582103 50.8549822)",,
36115318,3,A259,Denmark Place,trunk,30 mph,yes,False,True,52.665000000000006,"LINESTRING (0.5821378 50.8547811, 0.5823359 50.854802, 0.5823998 50.8548088, 0.5828761 50.8548652)",,
351635712,4,A259,Denmark Place,trunk,30 mph,yes,False,False,119.167,"LINESTRING (0.5821378 50.8547811, 0.5819174 50.8547583, 0.5818617 50.8547526, 0.581458 50.8547121, 0.5809681 50.8546671, 0.5808125 50.8546528, 0.5807782 50.8546504, 0.5804579 50.8546279)",,
"[1052456688, 1052456689, 1052456690, 26711544, 691384477]",2,A2101,"['Queens Road', 'Albert Road']",primary,"['20 mph', '30 mph']",,False,True,160.87699999999998,"LINESTRING (0.5814777 50.8561398, 0.581338 50.8562315, 0.581286 50.8562676, 0.5812439 50.8563014, 0.5812122 50.856339, 0.5812028 50.8563923, 0.5812198 50.856436, 0.5812434 50.856468, 0.5812759 50.8565033, 0.581697 50.8568499, 0.5818886 50.8570055, 0.5820511 50.85716, 0.5820893 50.8571932, 0.5821369 50.8572449, 0.582181 50.8572952, 0.5822061 50.8573239)",,
866464355,2,A2101,Albert Road,primary,30 mph,,False,False,49.653999999999996,"LINESTRING (0.5814777 50.8561398, 0.5815589 50.8560835, 0.5818206 50.855901, 0.5819361 50.8558004)",,
974477934,,,Wellington Square,residential,30 mph,,False,False,8.737,"LINESTRING (0.5819361 50.8558004, 0.582037 50.8558464)",,
866464355,2,A2101,Albert Road,primary,30 mph,,False,True,49.654,"LINESTRING (0.5819361 50.8558004, 0.5818206 50.855901, 0.5815589 50.8560835, 0.5814777 50.8561398)",,
"[1091697491, 1091697492]","['2', '3']",A2101,Albert Road,primary,30 mph,,False,False,34.259,"LINESTRING (0.5819361 50.8558004, 0.581971 50.8557485, 0.5819881 50.8557029, 0.5820107 50.8556218, 0.5820285 50.8554998)",,
26823100,,,Plynlimmon Road,residential,30 mph,,False,True,61.147999999999996,"LINESTRING (0.5879897 50.8589073, 0.5878348 50.8589411, 0.587724 50.8589871, 0.5876311 50.8590578, 0.5875812 50.8591057, 0.5875458 50.8591527, 0.5875504 50.8592198, 0.5875856 50.8593115)",,
183113085,,,Priory Road,residential,30 mph,,False,False,107.49399999999999,"LINESTRING (0.5879897 50.8589073, 0.5879362 50.8587945, 0.5879233 50.8587668, 0.5878732 50.8586595, 0.5877331 50.8583709, 0.5876066 50.8581524, 0.5875494 50.8580904, 0.5874301 50.8580216)",,
183113085,,,Priory Road,residential,30 mph,,False,True,104.63300000000001,"LINESTRING (0.5879897 50.8589073, 0.5881836 50.8592966, 0.5884306 50.8595664, 0.5886106 50.8597563)",,
182152982,2,,Milward Road,residential,30 mph,,False,True,189.108,"LINESTRING (0.5850459 50.8589911, 0.5848964 50.8587236, 0.5847448 50.8584932, 0.5846313 50.8584003, 0.5843717 50.858292, 0.5843643 50.8582894, 0.5843092 50.8582697, 0.5841355 50.8582076, 0.5840043 50.8581372, 0.5839315 50.8580621, 0.5839133 50.8579316, 0.583946 50.8577818, 0.5839517 50.8577556, 0.5839878 50.857644, 0.5840444 50.8575919)",,
182152982,2,,Milward Road,residential,30 mph,,False,False,189.108,"LINESTRING (0.5840444 50.8575919, 0.5839878 50.857644, 0.5839517 50.8577556, 0.583946 50.8577818, 0.5839133 50.8579316, 0.5839315 50.8580621, 0.5840043 50.8581372, 0.5841355 50.8582076, 0.5843092 50.8582697, 0.5843643 50.8582894, 0.5843717 50.858292, 0.5846313 50.8584003, 0.5847448 50.8584932, 0.5848964 50.8587236, 0.5850459 50.8589911)",,
182152983,,,Wellington Road,residential,30 mph,,False,True,174.43099999999995,"LINESTRING (0.5840444 50.8575919, 0.584199 50.8577232, 0.5842072 50.8577302, 0.5844026 50.8578668, 0.5846788 50.858022, 0.5849227 50.8581424, 0.5852034 50.8582461, 0.5853285 50.8582715, 0.5854744 50.8582535, 0.5855839 50.8582105, 0.5857564 50.8580986, 0.5858606 50.8580391, 0.5859649 50.8580029)",,
978745579,2,,Milward Road,residential,30 mph,,False,True,52.126999999999995,"LINESTRING (0.5840444 50.8575919, 0.5840255 50.8575504, 0.5840207 50.8575045, 0.5840633 50.857332, 0.5840995 50.8572122, 0.5841195 50.8571301)",,
182152983,,,Wellington Road,residential,30 mph,,False,False,103.707,"LINESTRING (0.5874301 50.8580216, 0.5873525 50.858001, 0.5872107 50.8579823, 0.5869514 50.8579865, 0.586616 50.8579851, 0.5863331 50.8579822, 0.5861722 50.8579825, 0.5860279 50.8579967, 0.5859649 50.8580029)",,
183113085,,,Priory Road,residential,30 mph,,False,True,107.494,"LINESTRING (0.5874301 50.8580216, 0.5875494 50.8580904, 0.5876066 50.8581524, 0.5877331 50.8583709, 0.5878732 50.8586595, 0.5879233 50.8587668, 0.5879362 50.8587945, 0.5879897 50.8589073)",,
26711725,,,Castle Hill Road,residential,30 mph,,True,False,218.85100000000003,"LINESTRING (0.5851091 50.8570944, 0.5851723 50.8570713, 0.585239 50.8570664, 0.585387 50.8570854, 0.5855079 50.8571169, 0.5856423 50.8571343, 0.5856543 50.8571358, 0.5858067 50.8571829, 0.5859938 50.8572457, 0.5861628 50.8573029, 0.5863473 50.8573566, 0.5865419 50.857383, 0.5865826 50.8573858, 0.5867882 50.8574025, 0.5869174 50.8574195, 0.5870316 50.8574352, 0.587125 50.8574939, 0.5873813 50.8577467, 0.5874644 50.8578475, 0.587483 50.8579308, 0.5874301 50.8580216)",,
26823017,,,Castle Hill Road,residential,30 mph,,True,False,29.061,"LINESTRING (0.5851091 50.8570944, 0.5850467 50.8570333, 0.584943 50.8570127, 0.5847558 50.8569917)",,
866464353,,,Castle Hill Road,residential,30 mph,,False,False,48.603,"LINESTRING (0.5847558 50.8569917, 0.5846237 50.8570211, 0.5844826 50.8570727, 0.584413 50.8571011, 0.5842893 50.8571356, 0.5842315 50.8571378, 0.5842128 50.8571385, 0.5842002 50.857139, 0.5841195 50.8571301)",,
866464354,,,Castledown Terrace,residential,,,False,False,37.113,"LINESTRING (0.5847558 50.8569917, 0.5845474 50.8567918, 0.5844651 50.8567129)",,
26823100,,,Plynlimmon Road,residential,30 mph,,False,False,61.147999999999996,"LINESTRING (0.5875856 50.8593115, 0.5875504 50.8592198, 0.5875458 50.8591527, 0.5875812 50.8591057, 0.5876311 50.8590578, 0.587724 50.8589871, 0.5878348 50.8589411, 0.5879897 50.8589073)",,
26711599,,,Castle Hill Road,residential,30 mph,,False,True,88.04100000000001,"LINESTRING (0.5841195 50.8571301, 0.5841605 50.8569989, 0.5841601 50.8568665, 0.5841421 50.8567589, 0.5841024 50.8566536, 0.5840236 50.856552, 0.5839934 50.8565131, 0.5839566 50.8564739, 0.58387 50.8563817)",,
26823188,,,Stonefield Road,residential,30 mph,,True,False,99.153,"LINESTRING (0.5841195 50.8571301, 0.5840711 50.8571394, 0.5840338 50.8571697, 0.5839668 50.8572388, 0.5839118 50.8573582, 0.583863 50.8574545, 0.5837739 50.8576613, 0.5836833 50.8578523, 0.5836477 50.857951)",,
866464353,,,Castle Hill Road,residential,30 mph,,False,True,48.603,"LINESTRING (0.5841195 50.8571301, 0.5842002 50.857139, 0.5842128 50.8571385, 0.5842315 50.8571378, 0.5842893 50.8571356, 0.584413 50.8571011, 0.5844826 50.8570727, 0.5846237 50.8570211, 0.5847558 50.8569917)",,
978745579,2,,Milward Road,residential,30 mph,,False,False,52.127,"LINESTRING (0.5841195 50.8571301, 0.5840995 50.8572122, 0.5840633 50.857332, 0.5840207 50.8575045, 0.5840255 50.8575504, 0.5840444 50.8575919)",,
26823206,,,Stonefield Place,residential,30 mph,,False,True,22.381999999999998,"LINESTRING (0.5846134 50.8597849, 0.5844982 50.8597886, 0.5842983 50.8598128)",,
27022026,,,Middle Street,unclassified,30 mph,,False,False,122.499,"LINESTRING (0.578437 50.8572235, 0.5785435 50.8571022, 0.5786231 50.8570241, 0.578664 50.856984, 0.5787336 50.8569352, 0.5788009 50.8568881, 0.5788341 50.8568648, 0.5789414 50.8568049, 0.5791481 50.8566896, 0.5793355 50.8565956, 0.5796426 50.8564436)",,
866464345,2,,Devonshire Road,unclassified,30 mph,,True,False,30.793,"LINESTRING (0.578437 50.8572235, 0.5783842 50.8572029, 0.5783046 50.8571831, 0.5782024 50.8571686, 0.5781608 50.857164, 0.5780189 50.8571482)",,
156347496,2,A21,Cambridge Road,trunk,30 mph,yes,False,False,24.753,"LINESTRING (0.5754393 50.8555692, 0.5757544 50.8556078, 0.5757859 50.8556098)",,
26823810,,,Claremont,unclassified,30 mph,,False,False,42.531,"LINESTRING (0.5762577 50.854326, 0.5762554 50.8544265, 0.5762563 50.8544938, 0.576283 50.8545432, 0.5763483 50.8545912, 0.5764685 50.8546551)",,
1188270829,4,A259,Grand Parade,trunk,30 mph,yes,False,True,18.494999999999997,"LINESTRING (0.5762577 50.854326, 0.5763812 50.8543183, 0.5764785 50.8543122, 0.5765199 50.8543096)",,
26823810,,,Claremont,unclassified,30 mph,,False,True,42.531000000000006,"LINESTRING (0.5764685 50.8546551, 0.5763483 50.8545912, 0.576283 50.8545432, 0.5762563 50.8544938, 0.5762554 50.8544265, 0.5762577 50.854326)",,
618616898,,,Robertson Street,unclassified,30 mph,,False,False,82.10399999999998,"LINESTRING (0.5764685 50.8546551, 0.577068 50.8549958, 0.57725 50.8551087, 0.5773242 50.8551581)",,
27787591,,,Claremont,unclassified,30 mph,,False,True,20.004,"LINESTRING (0.5764332 50.8552577, 0.5764395 50.855415, 0.5764046 50.8554198)",,
182972207,1,,Claremont,unclassified,30 mph,,True,False,68.99300000000001,"LINESTRING (0.5764332 50.8552577, 0.576421 50.8550207, 0.5763831 50.8547452, 0.5763978 50.8547119, 0.5764685 50.8546551)",,
618616898,,,Robertson Street,unclassified,30 mph,,False,True,3.152,"LINESTRING (0.5773288 50.8551863, 0.5773242 50.8551581)",,
26823825,,,Trinity Street,unclassified,30 mph,,True,False,65.047,"LINESTRING (0.5773288 50.8551863, 0.5773153 50.8552029, 0.5772805 50.8552216, 0.5772262 50.8552334, 0.5770756 50.8552364, 0.5764332 50.8552577)",,
26823878,,,Carlisle Parade,residential,30 mph,,False,False,107.473,"LINESTRING (0.5765199 50.8543096, 0.5765484 50.8543792, 0.5765728 50.8544099, 0.5766154 50.8544327, 0.5772497 50.8544934, 0.577906 50.8545625)",,
1188270829,4,A259,Grand Parade,trunk,30 mph,yes,False,False,18.494999999999997,"LINESTRING (0.5765199 50.8543096, 0.5764785 50.8543122, 0.5763812 50.8543183, 0.5762577 50.854326)",,
"[60070084, 1188270829]","['4', '3']",A259,Grand Parade,trunk,30 mph,yes,False,True,101.089,"LINESTRING (0.5765199 50.8543096, 0.5767087 50.8542978, 0.5768666 50.8542977, 0.5772809 50.8543317, 0.5779488 50.8543919)",,
941910070,,,Robertson Terrace,residential,30 mph,,False,True,19.206,"LINESTRING (0.577906 50.8545625, 0.5779488 50.8543919)",,
26823878,,,Carlisle Parade,residential,30 mph,,False,True,107.47300000000001,"LINESTRING (0.577906 50.8545625, 0.5772497 50.8544934, 0.5766154 50.8544327, 0.5765728 50.8544099, 0.5765484 50.8543792, 0.5765199 50.8543096)",,
60070084,3,A259,Grand Parade,trunk,30 mph,yes,False,False,107.977,"LINESTRING (0.5794707 50.8545329, 0.5779488 50.8543919)",,
60070084,3,A259,Grand Parade,trunk,30 mph,yes,False,True,70.099,"LINESTRING (0.5794707 50.8545329, 0.5802255 50.8546055, 0.5802593 50.8546088, 0.5804579 50.8546279)",,
941910071,,,Robertson Terrace,residential,30 mph,,False,True,20.445,"LINESTRING (0.5794707 50.8545329, 0.5794303 50.8546846, 0.5794232 50.8547143)",,
1090617072,2,,South Terrace,tertiary,30 mph,,False,False,24.037,"LINESTRING (0.5796769 50.8587488, 0.579934 50.858606)",,
27021273,,,Earl Street,residential,30 mph,,True,False,189.23000000000002,"LINESTRING (0.5796769 50.8587488, 0.5797349 50.8587958, 0.579921 50.8589466, 0.580402 50.8593625, 0.5808435 50.859732, 0.580879 50.859752, 0.5809027 50.8597578, 0.5809363 50.8597605, 0.5809721 50.8597493, 0.581404 50.8594837)",,
"[1090617072, 32229014, 26710224]","['2', '3']",,South Terrace,tertiary,30 mph,,False,True,122.62400000000001,"LINESTRING (0.5796769 50.8587488, 0.5793058 50.8589856, 0.578936 50.8592671, 0.5786856 50.859484, 0.5786332 50.8595257, 0.5785451 50.8595865)",,yes
"[1090617073, 1090617074]","['2', '3']",,South Terrace,tertiary,30 mph,,False,False,29.439,"LINESTRING (0.580293 50.8584224, 0.5803275 50.8584086, 0.5804002 50.8583795, 0.5804574 50.8583566, 0.5805262 50.8583307, 0.5806505 50.858284)",,
"[1090617072, 1090617073]","['2', '3']",,South Terrace,tertiary,30 mph,,False,True,32.43,"LINESTRING (0.580293 50.8584224, 0.5801558 50.8584926, 0.579934 50.858606)",,
27021246,,,St. Andrew's Square,residential,30 mph,,False,True,12.67,"LINESTRING (0.5822221 50.8585901, 0.5821778 50.8586072, 0.5820709 50.8586523)",,
180235815,,,St. Andrew's Square,residential,30 mph,,True,False,39.489999999999995,"LINESTRING (0.5822221 50.8585901, 0.5821904 50.8585622, 0.5819603 50.8583225, 0.5819089 50.8582982)",,
556145187,2,A2101,Queens Road,primary,30 mph,,False,True,3.953,"LINESTRING (0.5832587 50.8588923, 0.5832808 50.858925)",,
27021251,,,Cornwallis Street,residential,30 mph,,False,False,29.052,"LINESTRING (0.5832587 50.8588923, 0.5832021 50.8588934, 0.5831454 50.8588838, 0.5830524 50.8588526, 0.5828836 50.8587932)",,
556145187,2,A2101,Queens Road,primary,30 mph,,False,False,96.059,"LINESTRING (0.5832587 50.8588923, 0.5831723 50.8587669, 0.5827225 50.8580975)",,
180235811,,,Brook Street,residential,30 mph,,False,True,10.54,"LINESTRING (0.5828836 50.8587932, 0.5827591 50.8588462)",,
27021251,,,Cornwallis Street,residential,30 mph,,False,True,29.052000000000003,"LINESTRING (0.5828836 50.8587932, 0.5830524 50.8588526, 0.5831454 50.8588838, 0.5832021 50.8588934, 0.5832587 50.8588923)",,
180235812,,,Cornwallis Street,residential,30 mph,,True,False,51.691,"LINESTRING (0.5828836 50.8587932, 0.5826625 50.8587144, 0.5823476 50.8586223, 0.5822221 50.8585901)",,
"[691384482, 884521219]",2,A2101,Queens Road,primary,"['20 mph', '30 mph']",,False,False,26.527,"LINESTRING (0.582384 50.8575943, 0.5822947 50.857435, 0.5822479 50.857372)",,
"[556145187, 1052456687]","['2', '3']",A2101,Queens Road,primary,30 mph,,False,True,60.801,"LINESTRING (0.582384 50.8575943, 0.5824585 50.8577169, 0.5824867 50.8577583, 0.5825903 50.8579063, 0.5827225 50.8580975)",,
"[27021169, 1052457490, 1090617075, 1090617076]","['2', '3']",,South Terrace,tertiary,30 mph,,False,True,143.84099999999998,"LINESTRING (0.582384 50.8575943, 0.5821928 50.8576651, 0.5821516 50.8576819, 0.5821282 50.8576916, 0.5819459 50.8577673, 0.581195 50.8580653, 0.5810022 50.8581428, 0.580782 50.8582312, 0.5806505 50.858284)",,
129256808,,,Waldegrave Street,residential,30 mph,,False,False,43.768,"LINESTRING (0.5820452 50.8579141, 0.5819089 50.8582982)",,
180235813,,,St. Andrew's Square,residential,30 mph,,False,False,10.508,"LINESTRING (0.5817144 50.8587758, 0.5817674 50.8587619, 0.5818481 50.8587336)",,
180235816,,,Waldegrave Street,residential,30 mph,,True,False,50.672,"LINESTRING (0.5817144 50.8587758, 0.581631 50.8590611, 0.581586 50.8591991, 0.5815945 50.8592232)",,
27021255,,,Waldegrave Street,residential,30 mph,,False,True,20.335,"LINESTRING (0.5815499 50.8593276, 0.5814682 50.8594357, 0.5814496 50.859454, 0.581404 50.8594837)",,
129256808,,,Waldegrave Street,residential,30 mph,,False,True,43.768,"LINESTRING (0.5819089 50.8582982, 0.5820452 50.8579141)",,
180235815,,,St. Andrew's Square,residential,30 mph,,True,False,77.393,"LINESTRING (0.5819089 50.8582982, 0.5818453 50.8583033, 0.5814844 50.8584395, 0.5814485 50.858476, 0.581458 50.8585111, 0.5817 50.8587444, 0.5817144 50.8587758)",,
27021271,,,Brook Street,residential,30 mph,,True,False,95.883,"LINESTRING (0.5815945 50.8592232, 0.5816621 50.8592547, 0.5817393 50.8592509, 0.5827591 50.8588462)",,
180235817,,,Waldegrave Street,residential,30 mph,,True,False,12.024,"LINESTRING (0.5815945 50.8592232, 0.5815643 50.8592938, 0.5815499 50.8593276)",,
27021259,,,Cornwallis Street,residential,30 mph,,False,False,54.233000000000004,"LINESTRING (0.5806505 50.858284, 0.5807124 50.8583371, 0.5807286 50.8583509, 0.5807983 50.8583824, 0.581019 50.85842, 0.5813385 50.858463)",,
"[1090617073, 1090617074]","['2', '3']",,South Terrace,tertiary,30 mph,,False,True,29.439000000000004,"LINESTRING (0.5806505 50.858284, 0.5805262 50.8583307, 0.5804574 50.8583566, 0.5804002 50.8583795, 0.5803275 50.8584086, 0.580293 50.8584224)",,
"[27021169, 1052457490, 1090617075, 1090617076]","['2', '3']",,South Terrace,tertiary,30 mph,,False,False,143.841,"LINESTRING (0.5806505 50.858284, 0.580782 50.8582312, 0.5810022 50.8581428, 0.581195 50.8580653, 0.5819459 50.8577673, 0.5821282 50.8576916, 0.5821516 50.8576819, 0.5821928 50.8576651, 0.582384 50.8575943)",,
27021226,,,Mann Street,residential,30 mph,,True,False,141.448,"LINESTRING (0.581404 50.8594837, 0.5808321 50.8589374, 0.5803514 50.8584782, 0.580293 50.8584224)",,
27021255,,,Waldegrave Street,residential,30 mph,,False,False,20.335,"LINESTRING (0.581404 50.8594837, 0.5814496 50.859454, 0.5814682 50.8594357, 0.5815499 50.8593276)",,
941877308,,,Middle Street,unclassified,30 mph,,False,False,13.77,"LINESTRING (0.5796426 50.8564436, 0.5797705 50.8565375)",,
27022026,,,Middle Street,unclassified,30 mph,,False,False,45.444,"LINESTRING (0.5796426 50.8564436, 0.579723 50.8564028, 0.5798453 50.8563472, 0.5799441 50.8563176, 0.5800429 50.8563047, 0.5802253 50.8562934)",,
27022026,,,Middle Street,unclassified,30 mph,,False,True,122.49899999999997,"LINESTRING (0.5796426 50.8564436, 0.5793355 50.8565956, 0.5791481 50.8566896, 0.5789414 50.8568049, 0.5788341 50.8568648, 0.5788009 50.8568881, 0.5787336 50.8569352, 0.578664 50.856984, 0.5786231 50.8570241, 0.5785435 50.8571022, 0.578437 50.8572235)",,
"[1052457491, 26823650, 691384467, 1158563607]","['1', '2']",,Devonshire Road,tertiary,30 mph,,True,False,160.394,"LINESTRING (0.5786036 50.8574377, 0.5787179 50.8575286, 0.5788265 50.8576525, 0.5789384 50.8577848, 0.5790688 50.8579147, 0.5795846 50.8583205, 0.5797593 50.8584633, 0.579934 50.858606)",,
866464341,,,Station Road,unclassified,30 mph,,True,False,16.34,"LINESTRING (0.5786036 50.8574377, 0.5786598 50.8574412, 0.5787061 50.8574409, 0.578752 50.8574282, 0.5788131 50.8573957)",,
27022087,,,Stone Street,residential,30 mph,,False,False,56.382000000000005,"LINESTRING (0.5827225 50.8580975, 0.5830934 50.8580337, 0.5835009 50.8579726)",,
"[556145187, 1052456687]","['2', '3']",A2101,Queens Road,primary,30 mph,,False,False,60.801,"LINESTRING (0.5827225 50.8580975, 0.5825903 50.8579063, 0.5824867 50.8577583, 0.5824585 50.8577169, 0.582384 50.8575943)",,
556145187,2,A2101,Queens Road,primary,30 mph,,False,True,96.059,"LINESTRING (0.5827225 50.8580975, 0.5831723 50.8587669, 0.5832587 50.8588923)",,
27022087,,,Stone Street,residential,30 mph,,False,True,10.58,"LINESTRING (0.5836477 50.857951, 0.5835009 50.8579726)",,
