osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry
26280154,,,Annavale Avenue,residential,,,False,True,64.51499999999999,"LINESTRING (-5.8893135 54.5172093, -5.8891651 54.5172329, -5.8890655 54.5172486, -5.888996 54.5172596, -5.8888994 54.517275, -5.8888553 54.5172819, -5.8887439 54.5172995, -5.8886906 54.5173042, -5.8886094 54.5173113, -5.8883387 54.5172903)"
"[26280096, 762249493]",2,,"['Frankhill Drive', 'Annavale Drive']",residential,30 mph,,False,True,136.68,"LINESTRING (-5.8893135 54.5172093, -5.8893203 54.5171853, -5.8893226 54.5171773, -5.8893308 54.5171633, -5.8894031 54.51704, -5.8895586 54.5167749, -5.8895771 54.5167435, -5.8896103 54.516687, -5.889634 54.5166465, -5.8896682 54.5165881, -5.8897214 54.5164843, -5.8897761 54.5163774, -5.8897917 54.516347, -5.8899503 54.5160376)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,False,26.13,"LINESTRING (-5.8880152 54.5172468, -5.8879043 54.5174728)"
26280154,,,Annavale Avenue,residential,,,False,False,21.434,"LINESTRING (-5.8880152 54.5172468, -5.888095 54.5172581, -5.8883387 54.5172903)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,True,168.44700000000003,"LINESTRING (-5.8880152 54.5172468, -5.8881411 54.5169752, -5.8882 54.5168481, -5.8882039 54.5168397, -5.88822 54.5168064, -5.8882653 54.5167123, -5.8882796 54.5166827, -5.8883237 54.5165947, -5.8883354 54.5165715, -5.8884076 54.5164274, -5.8884416 54.5163596, -5.8885044 54.5162345, -5.8885605 54.5161225, -5.8885842 54.5160676, -5.888596 54.5160403, -5.888611 54.5160118, -5.888625 54.5159851, -5.8887276 54.5157896)"
26280154,,,Annavale Avenue,residential,,,False,False,64.515,"LINESTRING (-5.8883387 54.5172903, -5.8886094 54.5173113, -5.8886906 54.5173042, -5.8887439 54.5172995, -5.8888553 54.5172819, -5.8888994 54.517275, -5.888996 54.5172596, -5.8890655 54.5172486, -5.8891651 54.5172329, -5.8893135 54.5172093)"
26280154,,,Annavale Avenue,residential,,,False,True,21.434,"LINESTRING (-5.8883387 54.5172903, -5.888095 54.5172581, -5.8880152 54.5172468)"
26280168,,,Queensway,residential,,,False,False,82.947,"LINESTRING (-5.8883387 54.5172903, -5.8883025 54.5173354, -5.8882595 54.517389, -5.8881809 54.5174751, -5.8881427 54.5175246, -5.8881371 54.5175361, -5.8880787 54.5176566, -5.8880602 54.5176949, -5.8880435 54.5177293, -5.8880091 54.5178219, -5.8879643 54.5179426, -5.8879519 54.5179744, -5.8879451 54.517996)"
26280154,,,Annavale Avenue,residential,,,False,True,66.93799999999999,"LINESTRING (-5.8902308 54.5170929, -5.8900779 54.5170241, -5.8899691 54.5170191, -5.8898706 54.5170512, -5.8897821 54.5170801, -5.8896238 54.5171299, -5.8895729 54.5171459, -5.8894464 54.5171826, -5.8894152 54.5171889, -5.8893135 54.5172093)"
26280168,,,Queensway,residential,,,False,True,82.947,"LINESTRING (-5.8879451 54.517996, -5.8879519 54.5179744, -5.8879643 54.5179426, -5.8880091 54.5178219, -5.8880435 54.5177293, -5.8880602 54.5176949, -5.8880787 54.5176566, -5.8881371 54.5175361, -5.8881427 54.5175246, -5.8881809 54.5174751, -5.8882595 54.517389, -5.8883025 54.5173354, -5.8883387 54.5172903)"
26281819,,,Lough Beg Park,residential,,,False,False,66.041,"LINESTRING (-5.8920788 54.5150641, -5.8921645 54.5150232, -5.8928772 54.5146927)"
