osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,bridge,junction
4760388,,residential,,False,False,206.575,"LINESTRING (0.4317797 52.0807138, 0.4314167 52.0806696, 0.4309451 52.0806122, 0.4305898 52.0805689, 0.4304377 52.0805504, 0.4303732 52.0805196, 0.4303561 52.0804665, 0.4304012 52.0801853, 0.4303467 52.0801371, 0.4302402 52.0800795, 0.4301621 52.0800507, 0.4300387 52.0800136, 0.4299101 52.0799982, 0.4297981 52.0799927, 0.4295305 52.0799796, 0.429483 52.0799773)",Clements Drive,,,
4760389,,tertiary,30 mph,False,False,84.12100000000001,"LINESTRING (0.4317797 52.0807138, 0.4319352 52.0801254, 0.4319351 52.080035, 0.4319213 52.0799655)",Clements Lane,,,
4760388,,residential,,False,True,206.57500000000002,"LINESTRING (0.429483 52.0799773, 0.4295305 52.0799796, 0.4297981 52.0799927, 0.4299101 52.0799982, 0.4300387 52.0800136, 0.4301621 52.0800507, 0.4302402 52.0800795, 0.4303467 52.0801371, 0.4304012 52.0801853, 0.4303561 52.0804665, 0.4303732 52.0805196, 0.4304377 52.0805504, 0.4305898 52.0805689, 0.4309451 52.0806122, 0.4314167 52.0806696, 0.4317797 52.0807138)",Clements Drive,,,
4760389,,tertiary,30 mph,False,False,23.444000000000003,"LINESTRING (0.4319213 52.0799655, 0.4319015 52.0798877, 0.431832 52.0797627)",Clements Lane,,,
4760389,,tertiary,30 mph,False,True,84.12100000000001,"LINESTRING (0.4319213 52.0799655, 0.4319351 52.080035, 0.4319352 52.0801254, 0.4317797 52.0807138)",Clements Lane,,,
25578840,,residential,,False,True,257.676,"LINESTRING (0.4319213 52.0799655, 0.4322258 52.0799947, 0.4328416 52.0800746, 0.433064 52.0801142, 0.4343278 52.0805374, 0.4352406 52.0808528, 0.4353477 52.0808789)",Recreation Road,,,
1110149440,,tertiary,30 mph,False,True,8.649,"LINESTRING (0.4425748 52.0795957, 0.4424931 52.0796551)",Hamlet Road,,,
33779003,,residential,,False,False,135.92000000000002,"LINESTRING (0.4425748 52.0795957, 0.4421646 52.0794, 0.4418743 52.0792616, 0.441289 52.0789823, 0.4410036 52.0788462)",Colne Valley Road,,,
7397610,,residential,30 mph,False,False,48.767,"LINESTRING (0.4412009 52.0868696, 0.44112 52.0868285, 0.4410255 52.0867805, 0.440943 52.0866415, 0.4408548 52.0865008)",Jaywick Road,,,
848525525,,tertiary,30 mph,False,True,74.767,"LINESTRING (0.4412009 52.0868696, 0.4410437 52.0869943, 0.4408039 52.0871676, 0.4404994 52.0873097, 0.4404317 52.0873413)",Millfields Way,2,,
55445935,A143,primary,30 mph,False,False,39.628,"LINESTRING (0.4404317 52.0873413, 0.4407938 52.0876197)",Wratting Road,,,
37332728,A143,primary,30 mph,False,True,186.458,"LINESTRING (0.4404317 52.0873413, 0.4399865 52.0869934, 0.4394913 52.0866064, 0.4385896 52.0861129)",Wratting Road,,,
848525525,,tertiary,30 mph,False,False,74.767,"LINESTRING (0.4404317 52.0873413, 0.4404994 52.0873097, 0.4408039 52.0871676, 0.4410437 52.0869943, 0.4412009 52.0868696)",Millfields Way,2,,
7397603,,residential,30 mph,False,False,22.927,"LINESTRING (0.4405515 52.0860039, 0.4404661 52.0858045)",Yeldham Place,,,
7397613,,residential,30 mph,False,False,55.486,"LINESTRING (0.4405515 52.0860039, 0.4397915 52.0861797)",Yarmouth Place,,,
7397610,,residential,30 mph,False,True,59.012,"LINESTRING (0.4405515 52.0860039, 0.4406092 52.0860983, 0.4408548 52.0865008)",Jaywick Road,,,
7397603,,residential,30 mph,False,True,22.927,"LINESTRING (0.4404661 52.0858045, 0.4405515 52.0860039)",Yeldham Place,,,
7397607,,residential,30 mph,False,False,35.058,"LINESTRING (0.4404661 52.0858045, 0.4409401 52.0856838)",Wortham Place,,,
7397603,,residential,30 mph,False,False,125.156,"LINESTRING (0.4404661 52.0858045, 0.440338 52.0856156, 0.4402712 52.0855571, 0.440163 52.0855474, 0.4395865 52.0856602, 0.4391081 52.0859467)",Yeldham Place,,,
7397603,,residential,30 mph,False,True,125.156,"LINESTRING (0.4391081 52.0859467, 0.4395865 52.0856602, 0.440163 52.0855474, 0.4402712 52.0855571, 0.440338 52.0856156, 0.4404661 52.0858045)",Yeldham Place,,,
7397613,,residential,30 mph,False,True,55.486,"LINESTRING (0.4397915 52.0861797, 0.4405515 52.0860039)",Yarmouth Place,,,
7397607,,residential,30 mph,False,True,35.058,"LINESTRING (0.4409401 52.0856838, 0.4404661 52.0858045)",Wortham Place,,,
7985527,,residential,30 mph,False,False,127.345,"LINESTRING (0.4385896 52.0861129, 0.4384513 52.0862137, 0.4381241 52.0865013, 0.4380008 52.0866404, 0.4378648 52.0868029, 0.4375179 52.0870434)",Dove House Road,,,
37332728,A143,primary,30 mph,False,False,186.45799999999997,"LINESTRING (0.4385896 52.0861129, 0.4394913 52.0866064, 0.4399865 52.0869934, 0.4404317 52.0873413)",Wratting Road,,,
37332728,A143,primary,30 mph,False,True,103.417,"LINESTRING (0.4385896 52.0861129, 0.4383428 52.0859676, 0.4381671 52.0858589, 0.4378291 52.085544, 0.4377247 52.0853656)",Wratting Road,,,
7985527,,residential,30 mph,False,False,49.418,"LINESTRING (0.4375179 52.0870434, 0.4371458 52.0874245)",Dove House Road,,,
8167215,,residential,30 mph,False,False,37.758,"LINESTRING (0.4375179 52.0870434, 0.4370713 52.0868434)",Dove House Road,,,
7985527,,residential,30 mph,False,True,127.345,"LINESTRING (0.4375179 52.0870434, 0.4378648 52.0868029, 0.4380008 52.0866404, 0.4381241 52.0865013, 0.4384513 52.0862137, 0.4385896 52.0861129)",Dove House Road,,,
8167215,,residential,30 mph,False,True,37.758,"LINESTRING (0.4370713 52.0868434, 0.4375179 52.0870434)",Dove House Road,,,
7985527,,residential,30 mph,False,False,25.201,"LINESTRING (0.4371458 52.0874245, 0.4373716 52.0876037)",Dove House Road,,,
7985527,,residential,30 mph,False,True,49.418,"LINESTRING (0.4371458 52.0874245, 0.4375179 52.0870434)",Dove House Road,,,
7985527,,residential,30 mph,False,True,25.201,"LINESTRING (0.4373716 52.0876037, 0.4371458 52.0874245)",Dove House Road,,,
8022341,,residential,30 mph,False,False,155.78300000000002,"LINESTRING (0.4354245 52.0855089, 0.4356576 52.0856448, 0.4355741 52.0859298, 0.4363625 52.0867048)",Broad Street,,,
157264917,A1307,primary,30 mph,False,False,121.97300000000001,"LINESTRING (0.4354245 52.0855089, 0.4356444 52.0852997, 0.4358948 52.085094, 0.4359906 52.0850094, 0.4364289 52.084727, 0.4365746 52.0846879)",Withersfield Road,,,
157264917,A1307,primary,30 mph,False,True,60.583,"LINESTRING (0.4354245 52.0855089, 0.4352349 52.0856626, 0.4350335 52.0858519, 0.4349121 52.0859532)",Withersfield Road,,,
8022341,,residential,30 mph,False,True,155.78300000000002,"LINESTRING (0.4363625 52.0867048, 0.4355741 52.0859298, 0.4356576 52.0856448, 0.4354245 52.0855089)",Broad Street,,,
1239211449,,tertiary,30 mph,False,False,78.528,"LINESTRING (0.4394164 52.0793137, 0.4404431 52.0796309)",Duddery Hill,2,,
25578831,,residential,,False,False,108.258,"LINESTRING (0.4394164 52.0793137, 0.4393645 52.0793777, 0.4389139 52.079845, 0.4385129 52.0801059)",Helions Park Avenue,,,
1239211449,,tertiary,30 mph,False,True,117.05999999999999,"LINESTRING (0.4394164 52.0793137, 0.4388687 52.0791824, 0.4384387 52.0791205, 0.4380289 52.0790366, 0.437818 52.0789524)",Duddery Hill,2,,
25578831,,residential,,False,True,100.908,"LINESTRING (0.4365844 52.0810211, 0.4367263 52.0810204, 0.4369234 52.0809781, 0.437093 52.0809134, 0.4372355 52.0808399, 0.4377921 52.0805399)",Helions Park Avenue,,,
25578837,,residential,,True,False,114.043,"LINESTRING (0.4365844 52.0810211, 0.4367134 52.0814684, 0.4367866 52.0816256, 0.4369714 52.0820173)",Mill Road,,,
25578840,,residential,,False,False,86.13400000000001,"LINESTRING (0.4365844 52.0810211, 0.4359981 52.0809697, 0.4354899 52.0809096, 0.4353477 52.0808789)",Recreation Road,,,
25578834,,residential,,False,False,226.87999999999997,"LINESTRING (0.4369714 52.0820173, 0.4367314 52.0820126, 0.4366069 52.0820066, 0.4360415 52.0819794, 0.4358842 52.0819718, 0.4353723 52.0819313, 0.4350587 52.0819089, 0.4346062 52.0818766, 0.4345271 52.0818936, 0.4344769 52.0819942, 0.4343486 52.0822683, 0.434287 52.0824005)",Chauntry Road,,,
33787945,,residential,,False,False,106.518,"LINESTRING (0.4369714 52.0820173, 0.4371537 52.0821907, 0.4372796 52.0823587, 0.4373593 52.0827553, 0.4373479 52.0828167, 0.4372264 52.0828907)",Mill Road,,,
4760385,,residential,,False,False,202.13600000000002,"LINESTRING (0.434287 52.0824005, 0.4340546 52.0823631, 0.4334819 52.0822907, 0.4329547 52.082224, 0.4314733 52.0820368, 0.4313909 52.0820395)",Camps Road,,,
4760385,,residential,,False,True,209.05600000000004,"LINESTRING (0.434287 52.0824005, 0.4344647 52.0824321, 0.4354008 52.082593, 0.4358447 52.082666, 0.4359598 52.0826849, 0.436125 52.0827121, 0.4362128 52.0827265, 0.4367197 52.0828266, 0.436947 52.082887, 0.4371662 52.0828808, 0.4372264 52.0828907)",Camps Road,,,
25578834,,residential,,False,True,226.88,"LINESTRING (0.434287 52.0824005, 0.4343486 52.0822683, 0.4344769 52.0819942, 0.4345271 52.0818936, 0.4346062 52.0818766, 0.4350587 52.0819089, 0.4353723 52.0819313, 0.4358842 52.0819718, 0.4360415 52.0819794, 0.4366069 52.0820066, 0.4367314 52.0820126, 0.4369714 52.0820173)",Chauntry Road,,,
28433613,,tertiary,30 mph,False,False,229.08299999999997,"LINESTRING (0.4311426 52.0831878, 0.4313172 52.0835018, 0.4315015 52.0838128, 0.4317373 52.0841003, 0.4319594 52.0843171, 0.4322624 52.0845149, 0.432949 52.084864)",Crowland Road,,,
28433613,,tertiary,30 mph,False,True,130.264,"LINESTRING (0.4311426 52.0831878, 0.4310995 52.0829751, 0.4310987 52.0827927, 0.4311155 52.0827253, 0.4311615 52.0825834, 0.4312407 52.0823963, 0.4313909 52.0820395)",Crowland Road,,,
31724640,,residential,,False,False,119.06800000000001,"LINESTRING (0.4311426 52.0831878, 0.4304638 52.0834275, 0.429691 52.0837771)",Castle Lane,,,
157264917,A1307,primary,30 mph,False,False,11.545,"LINESTRING (0.4348119 52.0860368, 0.4349121 52.0859532)",Withersfield Road,,,
31724640,,residential,,False,False,80.687,"LINESTRING (0.429691 52.0837771, 0.4294616 52.0838734, 0.4292891 52.0839313, 0.4288916 52.0840382, 0.4287532 52.0840818, 0.4286515 52.0841174)",Castle Lane,,,
31724640,,residential,,False,True,119.06800000000001,"LINESTRING (0.429691 52.0837771, 0.4304638 52.0834275, 0.4311426 52.0831878)",Castle Lane,,,
31724643,,residential,,False,True,168.692,"LINESTRING (0.429691 52.0837771, 0.4296052 52.0837045, 0.4295803 52.0836325, 0.4295803 52.0835584, 0.4297152 52.0832596, 0.4297644 52.0831454, 0.4298636 52.0829146, 0.4299925 52.0826151, 0.4300239 52.0825421, 0.4301003 52.0823196)",St. Botolphs Way,,,
31724640,,residential,,False,True,80.687,"LINESTRING (0.4286515 52.0841174, 0.4287532 52.0840818, 0.4288916 52.0840382, 0.4292891 52.0839313, 0.4294616 52.0838734, 0.429691 52.0837771)",Castle Lane,,,
31724642,,residential,,False,True,43.647,"LINESTRING (0.4286515 52.0841174, 0.4284956 52.0839859, 0.4284062 52.0839435, 0.4282998 52.0839155, 0.4281562 52.0839018)",Castle Walk,,,
31724642,,residential,,False,False,43.647,"LINESTRING (0.4281562 52.0839018, 0.4282998 52.0839155, 0.4284062 52.0839435, 0.4284956 52.0839859, 0.4286515 52.0841174)",Castle Walk,,,
31724643,,residential,,False,False,168.692,"LINESTRING (0.4301003 52.0823196, 0.4300239 52.0825421, 0.4299925 52.0826151, 0.4298636 52.0829146, 0.4297644 52.0831454, 0.4297152 52.0832596, 0.4295803 52.0835584, 0.4295803 52.0836325, 0.4296052 52.0837045, 0.429691 52.0837771)",St. Botolphs Way,,,
92622370,,residential,,False,True,162.0,"LINESTRING (0.4292207 52.0815741, 0.429533 52.0801299)",Primrose Hill,,,
8020540,,tertiary,30 mph,False,False,71.779,"LINESTRING (0.4292207 52.0815741, 0.4288805 52.0815303, 0.4286021 52.0814944, 0.4281893 52.0814526)",Burton End,,,
8020540,,tertiary,30 mph,False,True,157.29399999999998,"LINESTRING (0.4292207 52.0815741, 0.4297179 52.0816721, 0.4297566 52.0816824, 0.4303131 52.0818311, 0.4304071 52.0818522, 0.4306248 52.081901, 0.4311207 52.0819979, 0.4313909 52.0820395)",Burton End,,,
8020540,,tertiary,30 mph,False,True,71.779,"LINESTRING (0.4281893 52.0814526, 0.4286021 52.0814944, 0.4288805 52.0815303, 0.4292207 52.0815741)",Burton End,,,
92622367,,residential,,False,True,59.763,"LINESTRING (0.4281893 52.0814526, 0.4282242 52.0811125, 0.4282325 52.0810404, 0.4282466 52.0809163)",Layer Road,,,
33779003,,residential,,False,True,135.92000000000002,"LINESTRING (0.4410036 52.0788462, 0.441289 52.0789823, 0.4418743 52.0792616, 0.4421646 52.0794, 0.4425748 52.0795957)",Colne Valley Road,,,
4760392,,tertiary,30 mph,False,False,65.503,"LINESTRING (0.4418231 52.080076, 0.4420245 52.0799536, 0.442347 52.0797575, 0.4424931 52.0796551)",Hamlet Road,,,
"[4760392, 1239211448]",,tertiary,30 mph,False,True,111.544,"LINESTRING (0.4418231 52.080076, 0.4417509 52.0801197, 0.4409697 52.0798185, 0.4407635 52.0797425, 0.4404431 52.0796309)","['Hamlet Road', 'Duddery Hill']",,,
25578831,,residential,,False,False,68.957,"LINESTRING (0.4385129 52.0801059, 0.4377921 52.0805399)",Helions Park Avenue,,,
33779013,,residential,,False,False,54.173,"LINESTRING (0.4385129 52.0801059, 0.4379777 52.0797465)",Helions Park Gardens,,,
25578831,,residential,,False,True,108.25799999999998,"LINESTRING (0.4385129 52.0801059, 0.4389139 52.079845, 0.4393645 52.0793777, 0.4394164 52.0793137)",Helions Park Avenue,,,
33779013,,residential,,False,True,54.173,"LINESTRING (0.4379777 52.0797465, 0.4385129 52.0801059)",Helions Park Gardens,,,
25578831,,residential,,False,True,68.957,"LINESTRING (0.4377921 52.0805399, 0.4385129 52.0801059)",Helions Park Avenue,,,
33779015,,residential,,False,False,55.346,"LINESTRING (0.4377921 52.0805399, 0.4372457 52.0801725)",Helions Park Grove,,,
25578831,,residential,,False,False,100.90800000000002,"LINESTRING (0.4377921 52.0805399, 0.4372355 52.0808399, 0.437093 52.0809134, 0.4369234 52.0809781, 0.4367263 52.0810204, 0.4365844 52.0810211)",Helions Park Avenue,,,
33779015,,residential,,False,True,55.346,"LINESTRING (0.4372457 52.0801725, 0.4377921 52.0805399)",Helions Park Grove,,,
33779018,,residential,,False,False,169.19,"LINESTRING (0.4365312 52.079239, 0.4341711 52.0787793)",Paske Avenue,,,
33779016,,residential,,False,False,87.094,"LINESTRING (0.4365312 52.079239, 0.4364646 52.0793979, 0.4363874 52.0795429, 0.4363218 52.0796646, 0.4360383 52.0799547)",Mill Hill,,,
33779016,,residential,,False,False,113.084,"LINESTRING (0.4360383 52.0799547, 0.4353477 52.0808789)",Mill Hill,,,
33779017,,residential,,False,False,98.665,"LINESTRING (0.4360383 52.0799547, 0.4346735 52.0796652)",Mill Hill,,,
33779016,,residential,,False,True,87.094,"LINESTRING (0.4360383 52.0799547, 0.4363218 52.0796646, 0.4363874 52.0795429, 0.4364646 52.0793979, 0.4365312 52.079239)",Mill Hill,,,
33779016,,residential,,False,True,113.084,"LINESTRING (0.4353477 52.0808789, 0.4360383 52.0799547)",Mill Hill,,,
25578840,,residential,,False,False,257.676,"LINESTRING (0.4353477 52.0808789, 0.4352406 52.0808528, 0.4343278 52.0805374, 0.433064 52.0801142, 0.4328416 52.0800746, 0.4322258 52.0799947, 0.4319213 52.0799655)",Recreation Road,,,
25578840,,residential,,False,True,86.134,"LINESTRING (0.4353477 52.0808789, 0.4354899 52.0809096, 0.4359981 52.0809697, 0.4365844 52.0810211)",Recreation Road,,,
33779017,,residential,,False,True,98.665,"LINESTRING (0.4346735 52.0796652, 0.4360383 52.0799547)",Mill Hill,,,
33779018,,residential,,False,True,169.19,"LINESTRING (0.4341711 52.0787793, 0.4365312 52.079239)",Paske Avenue,,,
4760389,,tertiary,30 mph,False,False,25.8,"LINESTRING (0.431832 52.0797627, 0.4316634 52.0795551)",Clements Lane,,,
4760389,,tertiary,30 mph,False,True,23.444000000000003,"LINESTRING (0.431832 52.0797627, 0.4319015 52.0798877, 0.4319213 52.0799655)",Clements Lane,,,
33779430,,residential,,False,False,89.00399999999999,"LINESTRING (0.431832 52.0797627, 0.4319019 52.0796804, 0.4314671 52.0790252)",Old Clements Lane,,,
33779430,,residential,,False,True,89.00399999999999,"LINESTRING (0.4314671 52.0790252, 0.4319019 52.0796804, 0.431832 52.0797627)",Old Clements Lane,,,
4760389,,tertiary,30 mph,False,False,57.791,"LINESTRING (0.4316634 52.0795551, 0.4313265 52.0790784)",Clements Lane,,,
4760389,,tertiary,30 mph,False,True,25.8,"LINESTRING (0.4316634 52.0795551, 0.431832 52.0797627)",Clements Lane,,,
33779431,,residential,,False,False,46.95700000000001,"LINESTRING (0.4316634 52.0795551, 0.4314923 52.0795977, 0.4314213 52.0796385, 0.4313414 52.0797155, 0.4312755 52.0798274, 0.4312435 52.0798608)",Clayhive Drive,,,
33779431,,residential,,False,True,46.957,"LINESTRING (0.4312435 52.0798608, 0.4312755 52.0798274, 0.4313414 52.0797155, 0.4314213 52.0796385, 0.4314923 52.0795977, 0.4316634 52.0795551)",Clayhive Drive,,,
4760389,,tertiary,30 mph,False,True,57.791,"LINESTRING (0.4313265 52.0790784, 0.4316634 52.0795551)",Clements Lane,,,
33779433,,residential,,False,False,108.238,"LINESTRING (0.4313265 52.0790784, 0.4311315 52.0791356, 0.4311058 52.0791483, 0.4310835 52.0791593, 0.4310364 52.0792006, 0.4308988 52.0793711, 0.430769 52.0795319, 0.4307403 52.0795737, 0.4306237 52.0797438, 0.4305894 52.0797939, 0.4305273 52.0798844)",Clements Close,,,
33779433,,residential,,False,True,108.23800000000001,"LINESTRING (0.4305273 52.0798844, 0.4305894 52.0797939, 0.4306237 52.0797438, 0.4307403 52.0795737, 0.430769 52.0795319, 0.4308988 52.0793711, 0.4310364 52.0792006, 0.4310835 52.0791593, 0.4311058 52.0791483, 0.4311315 52.0791356, 0.4313265 52.0790784)",Clements Close,,,
4617405,A1307,primary,30 mph,False,True,93.238,"LINESTRING (0.4375809 52.0852426, 0.4373509 52.0851554, 0.4368618 52.0848292, 0.4367307 52.0847418, 0.4365746 52.0846879)",,,,
7310339,A143,primary,30 mph,True,False,20.63,"LINESTRING (0.4375809 52.0852426, 0.4375667 52.0852708, 0.4375741 52.0853107, 0.4375982 52.0853362, 0.4376308 52.0853536, 0.4376754 52.0853646, 0.4377247 52.0853656)",Wratting Road,,,roundabout
40779583,A143,primary,30 mph,False,True,86.443,"LINESTRING (0.4377803 52.0852104, 0.4378827 52.0851208, 0.4379761 52.0849542, 0.438018 52.0848795, 0.4381145 52.084748, 0.4381443 52.0847137, 0.4382366 52.0846655, 0.4383293 52.0846172, 0.4384435 52.0845779)",Cangle Road,,,
828765644,A143,primary,30 mph,True,False,15.759999999999998,"LINESTRING (0.4377803 52.0852104, 0.4377361 52.0851987, 0.4376689 52.0851992, 0.4376252 52.0852115, 0.4375809 52.0852426)",Wratting Road,,,roundabout
37332728,A143,primary,30 mph,False,False,103.417,"LINESTRING (0.4377247 52.0853656, 0.4378291 52.085544, 0.4381671 52.0858589, 0.4383428 52.0859676, 0.4385896 52.0861129)",Wratting Road,,,
828746241,A143,primary,30 mph,True,False,22.628,"LINESTRING (0.4377247 52.0853656, 0.4377702 52.0853562, 0.4378127 52.0853342, 0.4378355 52.0853082, 0.4378402 52.0852661, 0.4378235 52.0852384, 0.4377803 52.0852104)",Wratting Road,,,roundabout
38806451,,residential,,False,False,26.343,"LINESTRING (0.4384206 52.0844883, 0.4382608 52.0844402, 0.4381413 52.0843359)",,,,
828746242,A143,primary,30 mph,True,False,10.614,"LINESTRING (0.4384206 52.0844883, 0.4384093 52.0845166, 0.4384114 52.0845379, 0.4384282 52.0845651, 0.4384435 52.0845779)",,,,roundabout
38806451,,residential,,False,True,26.343,"LINESTRING (0.4381413 52.0843359, 0.4382608 52.0844402, 0.4384206 52.0844883)",,,,
40779581,A143,primary,30 mph,True,False,36.19200000000001,"LINESTRING (0.4384435 52.0845779, 0.4384806 52.084596, 0.4385255 52.0846051, 0.4385549 52.0846058, 0.4386008 52.0845987, 0.4386546 52.0845722, 0.4386758 52.0845462, 0.4386809 52.0845144, 0.4386684 52.0844863, 0.438649 52.0844679, 0.4386125 52.0844494, 0.4385556 52.0844385)",,,,roundabout
40779583,A143,primary,30 mph,False,False,86.44300000000001,"LINESTRING (0.4384435 52.0845779, 0.4383293 52.0846172, 0.4382366 52.0846655, 0.4381443 52.0847137, 0.4381145 52.084748, 0.438018 52.0848795, 0.4379761 52.0849542, 0.4378827 52.0851208, 0.4377803 52.0852104)",Cangle Road,,,
38806402,A143,primary,30 mph,False,False,72.02099999999999,"LINESTRING (0.4385556 52.0844385, 0.4385616 52.0843687, 0.4386056 52.0842325, 0.4387586 52.0841189, 0.4391388 52.0839446)",Lord's Croft Lane,,,
