osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge,junction
4742482,False,,residential,,True,103.768,"LINESTRING (1.3308507 51.9634478, 1.3312363 51.9633511, 1.3316997 51.9632338, 1.3317469 51.9632219, 1.3322525 51.9630945)",Vicarage Road,,
4730293,False,,tertiary,30 mph,False,34.492000000000004,"LINESTRING (1.3303844 51.962896, 1.3302483 51.9627236, 1.33021 51.9626075)",Grange Road,,
4730293,False,,tertiary,30 mph,True,69.199,"LINESTRING (1.3303844 51.962896, 1.3304611 51.9629951, 1.3306524 51.9632289, 1.3308507 51.9634478)",Grange Road,,
4742506,False,,residential,,False,71.019,"LINESTRING (1.3303844 51.962896, 1.329983 51.9630101, 1.3298309 51.9630491, 1.329696 51.9630758, 1.3295674 51.9630913, 1.3294139 51.9631117)",Haven Close,,
4742506,False,,residential,,False,178.41600000000003,"LINESTRING (1.3294139 51.9631117, 1.3290854 51.963158, 1.3289209 51.9631828, 1.328854 51.9631926, 1.3288071 51.9631946, 1.3287612 51.9631904, 1.3287191 51.9631813, 1.3286833 51.9631673, 1.3286537 51.9631485, 1.3286306 51.9631167, 1.3286155 51.9630816, 1.3285655 51.9629438, 1.3285608 51.9629039, 1.3285718 51.9628711, 1.3285866 51.9628461, 1.3286108 51.96283, 1.3286504 51.9628149, 1.3287052 51.9628009, 1.3289407 51.9627675, 1.3291105 51.9627421, 1.3291678 51.9627435, 1.3292141 51.9627535, 1.3292505 51.9627668, 1.3292858 51.9627889, 1.3293106 51.9628133, 1.3293262 51.9628512, 1.3294139 51.9631117)",Haven Close,,
4742506,False,,residential,,True,178.416,"LINESTRING (1.3294139 51.9631117, 1.3293262 51.9628512, 1.3293106 51.9628133, 1.3292858 51.9627889, 1.3292505 51.9627668, 1.3292141 51.9627535, 1.3291678 51.9627435, 1.3291105 51.9627421, 1.3289407 51.9627675, 1.3287052 51.9628009, 1.3286504 51.9628149, 1.3286108 51.96283, 1.3285866 51.9628461, 1.3285718 51.9628711, 1.3285608 51.9629039, 1.3285655 51.9629438, 1.3286155 51.9630816, 1.3286306 51.9631167, 1.3286537 51.9631485, 1.3286833 51.9631673, 1.3287191 51.9631813, 1.3287612 51.9631904, 1.3288071 51.9631946, 1.328854 51.9631926, 1.3289209 51.9631828, 1.3290854 51.963158, 1.3294139 51.9631117)",Haven Close,,
4742506,False,,residential,,True,71.019,"LINESTRING (1.3294139 51.9631117, 1.3295674 51.9630913, 1.329696 51.9630758, 1.3298309 51.9630491, 1.329983 51.9630101, 1.3303844 51.962896)",Haven Close,,
4742482,False,,residential,,False,103.768,"LINESTRING (1.3322525 51.9630945, 1.3317469 51.9632219, 1.3316997 51.9632338, 1.3312363 51.9633511, 1.3308507 51.9634478)",Vicarage Road,,
4742482,False,,residential,,True,162.268,"LINESTRING (1.3322525 51.9630945, 1.332521 51.9630284, 1.3327217 51.9629795, 1.3328992 51.9629379, 1.3331025 51.9628928, 1.3332527 51.9628614, 1.3334529 51.9628229, 1.3335751 51.9628008, 1.3337454 51.9627747, 1.3339294 51.9627507, 1.334338 51.9626999, 1.3343895 51.9626953, 1.3344376 51.9626931, 1.3344778 51.9626924, 1.3345186 51.9626937)",Vicarage Road,,
6151228,False,,residential,,False,40.658,"LINESTRING (1.3322525 51.9630945, 1.3324081 51.9633329, 1.3324677 51.9634352)",Oak Close,,
4273060,False,,residential,,False,23.491,"LINESTRING (1.3350312 51.9627188, 1.3351631 51.9625238)",Wadgate Road,,
4273060,False,,residential,,True,17.259,"LINESTRING (1.3350312 51.9627188, 1.3349372 51.9628628)",Wadgate Road,,
4742483,True,,residential,,False,35.232,"LINESTRING (1.3350312 51.9627188, 1.3345186 51.9626937)",Vicarage Road,,
4273060,False,,residential,,True,23.491,"LINESTRING (1.3351631 51.9625238, 1.3350312 51.9627188)",Wadgate Road,,
4273060,False,,residential,,False,64.862,"LINESTRING (1.3351631 51.9625238, 1.3352465 51.9624015, 1.3352898 51.9623355, 1.3353443 51.9622516, 1.335384 51.962185, 1.3354153 51.9621292, 1.335466 51.9620501, 1.3355084 51.9619808)",Wadgate Road,,
4718923,False,2,tertiary,30 mph,False,64.917,"LINESTRING (1.3346059 51.9672729, 1.3343746 51.9670839, 1.3340277 51.9668104)",Maidstone Road,,
"[4718923, 4718924, 4273059]",False,2,tertiary,30 mph,True,179.334,"LINESTRING (1.3346059 51.9672729, 1.3348851 51.9675108, 1.3350777 51.9677298, 1.3351045 51.967774, 1.3352836 51.9679737, 1.3353862 51.9680957, 1.3354435 51.9681623, 1.3354918 51.968249, 1.3357119 51.9687202)",Maidstone Road,yes,
4742466,False,,residential,,False,116.58500000000001,"LINESTRING (1.3346059 51.9672729, 1.3347625 51.9672042, 1.3349238 51.967132, 1.3350192 51.9670915, 1.3350912 51.9670654, 1.3351548 51.9670458, 1.3352311 51.9670301, 1.3353716 51.9670071, 1.335445 51.9669905, 1.3355139 51.9669711, 1.3355784 51.9669466, 1.3356556 51.9669097, 1.3360324 51.9667202)",Grange Close,,
4742507,False,,residential,,True,77.864,"LINESTRING (1.3304788 51.9614095, 1.3301341 51.9614895, 1.329939 51.9615348, 1.3296832 51.9615932, 1.3295465 51.961627, 1.3294156 51.9616567)",Yeoman Road,,
39810019,False,,residential,,False,81.99,"LINESTRING (1.3297251 51.960093, 1.3295388 51.9601269, 1.3293519 51.9601616, 1.3291492 51.9602089, 1.3289713 51.9602547, 1.3286057 51.960351)",Coronation Drive,,
39810028,False,,tertiary,30 mph,False,9.94,"LINESTRING (1.3286057 51.960351, 1.3285461 51.9602695)",Grange Road,,
39810019,False,,residential,,True,81.99000000000001,"LINESTRING (1.3286057 51.960351, 1.3289713 51.9602547, 1.3291492 51.9602089, 1.3293519 51.9601616, 1.3295388 51.9601269, 1.3297251 51.960093)",Coronation Drive,,
39810048,False,,tertiary,30 mph,True,155.459,"LINESTRING (1.3286057 51.960351, 1.3287065 51.9605087, 1.3288196 51.9606873, 1.3290217 51.9610399, 1.3291213 51.961207, 1.3292419 51.9613966, 1.3294156 51.9616567)",Grange Road,,
4742484,True,,residential,,False,34.295,"LINESTRING (1.3345186 51.9626937, 1.3349372 51.9628628)",Vicarage Road,,
4742482,False,,residential,,False,162.268,"LINESTRING (1.3345186 51.9626937, 1.3344778 51.9626924, 1.3344376 51.9626931, 1.3343895 51.9626953, 1.334338 51.9626999, 1.3339294 51.9627507, 1.3337454 51.9627747, 1.3335751 51.9628008, 1.3334529 51.9628229, 1.3332527 51.9628614, 1.3331025 51.9628928, 1.3328992 51.9629379, 1.3327217 51.9629795, 1.332521 51.9630284, 1.3322525 51.9630945)",Vicarage Road,,
4273060,False,,residential,,False,17.259,"LINESTRING (1.3349372 51.9628628, 1.3350312 51.9627188)",Wadgate Road,,
4273060,False,,residential,,True,231.04700000000003,"LINESTRING (1.3349372 51.9628628, 1.3345761 51.9634176, 1.3335685 51.9647612)",Wadgate Road,,
