osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,width,maxspeed
41675458,True,,,Calle Maestro Ramis,residential,False,94.036,,"LINESTRING (-0.7672776 38.3824924, -0.7662652 38.3827846)",,
41675873,True,,,calle Nuestra Señora de la Fe,residential,False,96.934,,"LINESTRING (-0.7672776 38.3824924, -0.7669236 38.381666)",,
45074733,True,,CV-8420,calle Emilio Castelar,tertiary,False,51.068,,"LINESTRING (-0.768141 38.3845576, -0.7686902 38.3843976)",,
390303318,True,,,calle San Fernando,residential,False,46.852000000000004,,"LINESTRING (-0.768141 38.3845576, -0.7683118 38.3849411, -0.7683182 38.3849554)",,
41659640,False,,,Carrer de Viriato,residential,False,47.001,,"LINESTRING (-0.7699417 38.3840587, -0.7700913 38.3844648)",,
44733792,True,,CV-8420,calle San Roque,tertiary,False,33.903999999999996,,"LINESTRING (-0.7699417 38.3840587, -0.7701343 38.3840059, -0.7703115 38.3839644)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,37.245,,"LINESTRING (-0.7691915 38.3826402, -0.7687934 38.3827619)",,
41676598,False,,,calle maestro Parra,residential,True,133.517,,"LINESTRING (-0.7691915 38.3826402, -0.7692151 38.3814396)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,38.351,,"LINESTRING (-0.7687934 38.3827619, -0.7683856 38.3828914)",,
41676599,False,,,calle doctor Fleming,residential,True,151.712,,"LINESTRING (-0.7687934 38.3827619, -0.7686765 38.3814006)",,
41676600,True,,,calle María Auxiliadora,residential,False,84.775,,"LINESTRING (-0.7642899 38.3841616, -0.763965 38.383443)",,
1118610747,True,,,calle Virgen de los Desamparados,residential,False,52.224,,"LINESTRING (-0.7642899 38.3841616, -0.7648456 38.383986)",,
43170063,False,,,calle san pedro,residential,True,60.66,,"LINESTRING (-0.7642899 38.3841616, -0.7643561 38.3843031, -0.7644227 38.3844572, -0.7644631 38.3845691, -0.7644861 38.3846835)",,
41675458,True,,,Calle Maestro Ramis,residential,False,105.34,,"LINESTRING (-0.763965 38.383443, -0.7628313 38.3837712)",,
41676600,True,,,calle María Auxiliadora,residential,False,50.273,,"LINESTRING (-0.763965 38.383443, -0.7637747 38.3830162)",,
