osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,lanes
"[678414225, 42955354, 148830205]",False,,"['Calle del Romero', 'Calle de Nuestro Padre Jesús']",residential,,"[False, True]",297.55000000000007,"LINESTRING (-0.7199359 38.0851027, -0.7199769 38.0849759, -0.7199657 38.0849013, -0.7197197 38.0845546, -0.7195295 38.0843347, -0.7195443 38.0842851, -0.7193543 38.0841259, -0.7195076 38.0840391, -0.7196179 38.084261, -0.7199076 38.0847133, -0.7200158 38.0847452, -0.7200705 38.0847613, -0.7201608 38.0848371, -0.7202066 38.0849977, -0.7203121 38.0851298, -0.720368 38.0851997)",,,
678415803,False,,Calle del Romero,residential,,True,63.28800000000001,"LINESTRING (-0.7199359 38.0851027, -0.7198956 38.0850322, -0.7198521 38.0849745, -0.7197536 38.0848651, -0.719678 38.0847864, -0.71962 38.0847371, -0.7196055 38.0847136, -0.7195711 38.0846187)",,,
42955329,False,,Calle San Pedro,residential,,False,203.37900000000002,"LINESTRING (-0.721114 38.0845733, -0.7211356 38.0846223, -0.7214363 38.085306, -0.7214622 38.0853349, -0.7215391 38.0853775, -0.7218724 38.0855487, -0.7221867 38.0857864, -0.7224484 38.0859876)",,,
42955329,False,,Calle San Pedro,residential,,True,94.91799999999999,"LINESTRING (-0.721114 38.0845733, -0.7210805 38.0845013, -0.7207783 38.0838515, -0.7207412 38.0837717)",,,
42955594,False,,calle Atalaya,residential,,False,43.591,"LINESTRING (-0.721114 38.0845733, -0.7210113 38.084604, -0.7206483 38.0847123)",,,
42955594,False,,calle Atalaya,residential,,True,41.595,"LINESTRING (-0.721114 38.0845733, -0.7211926 38.0845498, -0.7215582 38.0844403)",,,
397724525,False,,Calle Palmera,residential,,False,39.384,"LINESTRING (-0.7210174 38.0859897, -0.720602 38.0861259)",,,
678414227,True,,Calle de Nuestro Padre Jesús,residential,,False,111.351,"LINESTRING (-0.7210174 38.0859897, -0.7213924 38.0868807, -0.7214175 38.0869403)",,,
42955354,False,,Calle del Romero,residential,,True,30.067,"LINESTRING (-0.7204334 38.0858903, -0.720602 38.0861259)",,,
148860649,False,,Calle Palmera,residential,,False,30.415,"LINESTRING (-0.7204334 38.0858903, -0.7207536 38.085784)",,,
42955354,False,,Calle del Romero,residential,,False,48.315,"LINESTRING (-0.7204334 38.0858903, -0.7202056 38.0855417, -0.7201676 38.0855115)",,,
42955354,False,,Calle del Romero,residential,,False,27.58,"LINESTRING (-0.7206676 38.0865033, -0.7206801 38.0863769, -0.7206416 38.0862595)",,,
190396279,True,,Calle Molino de Viento,residential,,False,31.844,"LINESTRING (-0.7206676 38.0865033, -0.7205884 38.0865823, -0.7204788 38.0867468)",,,
228976512,True,,Calle Molino de Viento,residential,,False,19.875,"LINESTRING (-0.7204788 38.0867468, -0.7204387 38.0867904, -0.7202982 38.0868485)",,,
678611043,False,,Calle Molino de Viento,residential,,False,18.506999999999998,"LINESTRING (-0.7204788 38.0867468, -0.7203935 38.0867772, -0.7203121 38.086777, -0.7202763 38.0867717)",,,
42955347,False,,Calle Moreras,residential,,False,8.752,"LINESTRING (-0.7202763 38.0867717, -0.7202982 38.0868485)",,,
678611043,False,,Calle Molino de Viento,residential,,False,53.134,"LINESTRING (-0.7202763 38.0867717, -0.7200674 38.0867304, -0.719714 38.0865974)",,,
678611043,False,,Calle Molino de Viento,residential,,True,18.506999999999998,"LINESTRING (-0.7202763 38.0867717, -0.7203121 38.086777, -0.7203935 38.0867772, -0.7204788 38.0867468)",,,
678611043,False,,Calle Molino de Viento,residential,,True,53.134,"LINESTRING (-0.719714 38.0865974, -0.7200674 38.0867304, -0.7202763 38.0867717)",,,
42955356,True,,Plaza Gratiniano Baches,residential,,False,25.487000000000002,"LINESTRING (-0.7239555 38.0871806, -0.7238911 38.0871521, -0.7238844 38.0871491, -0.7237131 38.087054)",,,
228975122,False,,Calle Francisco Serrano,tertiary,50,False,52.9,"LINESTRING (-0.7239555 38.0871806, -0.723925 38.0872098, -0.7238833 38.087259, -0.7238682 38.0872769, -0.7236938 38.0874236, -0.7236317 38.087475, -0.7236253 38.0874803, -0.7235568 38.0875369)",,,
228975122,False,,Calle Francisco Serrano,tertiary,50,True,14.828000000000001,"LINESTRING (-0.7239555 38.0871806, -0.7240009 38.0871353, -0.7240254 38.0871196, -0.7240754 38.0870875)",,,
42955352,True,,Calle de Nuestro Padre Jesús,residential,,False,40.709,"LINESTRING (-0.7215572 38.0872895, -0.7214175 38.0869403)",,,
148833143,True,,Calle Maestro José Serrano,residential,,False,52.238,"LINESTRING (-0.7201654 38.0875346, -0.7203701 38.0879759)",,,
42955336,True,,Calle Limonar,residential,,False,67.686,"LINESTRING (-0.7201654 38.0875346, -0.7200328 38.0872717, -0.7199762 38.0871256, -0.7199222 38.0869895, -0.7199067 38.0869615)",,,
148847236,False,,Calle de Zulaida,residential,,False,42.498999999999995,"LINESTRING (-0.7201654 38.0875346, -0.7202672 38.087481, -0.7203689 38.0874275, -0.720487 38.087345, -0.720549 38.0873017)",,,
148847237,False,,Avenida de Justo Quesada,residential,,True,70.271,"LINESTRING (-0.7201654 38.0875346, -0.7200984 38.0875597, -0.7200647 38.0875723, -0.7197452 38.0876814, -0.7195692 38.0877206, -0.719415 38.0877549)",,,
148833144,True,,Calle del Romero,residential,,False,69.313,"LINESTRING (-0.7209489 38.087086, -0.7206676 38.0865033)",,,
148847236,False,,Calle de Zulaida,residential,,False,44.096000000000004,"LINESTRING (-0.7209489 38.087086, -0.7210238 38.0870621, -0.7210289 38.0870605, -0.7211659 38.0870169, -0.7213381 38.0869645, -0.7214175 38.0869403)",,,
148847236,False,,Calle de Zulaida,residential,,True,42.522999999999996,"LINESTRING (-0.7209489 38.087086, -0.7208912 38.0871096, -0.7208728 38.0871193, -0.7206241 38.0872509, -0.720549 38.0873017)",,,
478731818,True,,Calle del Romero,residential,,False,86.13900000000001,"LINESTRING (-0.7209489 38.087086, -0.7212204 38.08765, -0.7212323 38.0876711, -0.7212405 38.0876857, -0.7213088 38.0878068)",,,
42955352,True,,Calle de Nuestro Padre Jesús,residential,,False,31.786,"LINESTRING (-0.7220559 38.0884264, -0.7219229 38.0881604)",,,
42956432,True,,Calle Malecón del Soto,residential,,False,72.732,"LINESTRING (-0.7220559 38.0884264, -0.7221333 38.0882748, -0.7221476 38.0882469, -0.722319 38.0879425, -0.7223794 38.087824)",,,
42955592,False,,Calle Vistabella,residential,,False,71.53299999999999,"LINESTRING (-0.7229609 38.0853589, -0.7229522 38.0853189, -0.7225503 38.0852614, -0.7225774 38.084981)",,,
148854761,False,,Calle de la Cuaresma,residential,,False,56.554,"LINESTRING (-0.7229609 38.0853589, -0.7230408 38.0853511, -0.7232289 38.0849312)",,,
