osmid,name,highway,oneway,reversed,length,geometry,ref
338282059,Avenida de la Constitución,secondary,False,True,50.237,"LINESTRING (-2.868787 40.7616801, -2.869077 40.7612853)",CM-2011
"[338282056, 254298180]","['Plaza de San Felipe', 'Calle Jacinto Mejías']",residential,False,False,85.99799999999999,"LINESTRING (-2.868787 40.7616801, -2.868292 40.7615144, -2.8684167 40.7611634)",
338282057,Calle Santa Lucia,residential,False,True,26.354999999999997,"LINESTRING (-2.8678371 40.7602922, -2.8679705 40.7604086, -2.8680711 40.7604412)",
338282059,Avenida de la Constitución,secondary,False,False,50.237,"LINESTRING (-2.869077 40.7612853, -2.868787 40.7616801)",CM-2011
338282059,Avenida de la Constitución,secondary,False,True,12.304,"LINESTRING (-2.869077 40.7612853, -2.8691468 40.7611881)",CM-2011
254298181,Calle de Sangre,residential,False,False,57.667,"LINESTRING (-2.869077 40.7612853, -2.8687952 40.761187, -2.8684275 40.7611334)",
338282056,Calle Jacinto Mejías,residential,False,False,21.715,"LINESTRING (-2.8684275 40.7611334, -2.8684944 40.7609448)",
338282056,Calle Jacinto Mejías,residential,False,True,3.458,"LINESTRING (-2.8684275 40.7611334, -2.8684167 40.7611634)",
254298181,Calle de Sangre,residential,False,True,57.667,"LINESTRING (-2.8684275 40.7611334, -2.8687952 40.761187, -2.869077 40.7612853)",
254298182,Calle del Rubio,residential,False,True,21.7,"LINESTRING (-2.8684944 40.7609448, -2.8687346 40.7610154)",
338282056,Calle Jacinto Mejías,residential,False,True,21.715,"LINESTRING (-2.8684944 40.7609448, -2.8684275 40.7611334)",
"[338282056, 338282057]","['Calle Santa Lucia', 'Calle Jacinto Mejías']",residential,False,False,22.819,"LINESTRING (-2.8684944 40.7609448, -2.8685622 40.7607951, -2.8685075 40.760773)",
254298183,Calle Berral,residential,False,False,73.94200000000001,"LINESTRING (-2.8685075 40.760773, -2.8688202 40.7601726, -2.8688277 40.7601539)",
338282057,Calle Santa Lucia,residential,False,False,18.466,"LINESTRING (-2.8685075 40.760773, -2.8684112 40.7607354, -2.8683147 40.760694)",
"[338282056, 338282057]","['Calle Santa Lucia', 'Calle Jacinto Mejías']",residential,False,True,22.819,"LINESTRING (-2.8685075 40.760773, -2.8685622 40.7607951, -2.8684944 40.7609448)",
254298183,Calle Berral,residential,False,True,55.253,"LINESTRING (-2.8689718 40.7596702, -2.8689581 40.7597624, -2.8689083 40.7599453, -2.8688702 40.7600481, -2.8688277 40.7601539)",
"[570035160, 570035323]",Calle Canales,residential,False,"[False, True]",82.495,"LINESTRING (-2.8689718 40.7596702, -2.8689587 40.7594757, -2.8688808 40.7592154, -2.8687991 40.7590111, -2.8687735 40.7589472)",
570035323,Calle Canales,residential,False,True,19.27,"LINESTRING (-2.8689718 40.7596702, -2.8691419 40.7596858, -2.8691983 40.7596941)",
943877130,,residential,False,False,22.509999999999998,"LINESTRING (-2.8689718 40.7596702, -2.8689171 40.7596464, -2.8687131 40.7596529)",
254298184,Calle Ledanca,residential,False,False,69.915,"LINESTRING (-2.8683147 40.760694, -2.8686002 40.7601036)",
338282057,Calle Santa Lucia,residential,False,False,34.989000000000004,"LINESTRING (-2.8683147 40.760694, -2.8682659 40.7606521, -2.8682017 40.7606029, -2.8681461 40.7605297, -2.8680711 40.7604412)",
338282057,Calle Santa Lucia,residential,False,True,18.466,"LINESTRING (-2.8683147 40.760694, -2.8684112 40.7607354, -2.8685075 40.760773)",
"[233189321, 569642260, 191453461]",Camino Nuevo,residential,False,False,85.405,"LINESTRING (-2.8662364 40.76089, -2.8662721 40.7609143, -2.866322 40.7609211, -2.8663925 40.7609007, -2.8671409 40.760612)",
191453461,Camino Nuevo,residential,False,True,96.28999999999999,"LINESTRING (-2.8662364 40.76089, -2.8662013 40.7608222, -2.8662082 40.7607466, -2.8662905 40.7606462, -2.8665344 40.7604088, -2.866588 40.760295, -2.8666524 40.7601243)",
569998234,,residential,False,True,102.604,"LINESTRING (-2.8662364 40.76089, -2.8660816 40.7610775, -2.8653735 40.7615298)",
254298184,Calle Ledanca,residential,False,False,46.562,"LINESTRING (-2.8683669 40.7588455, -2.8682949 40.7587732, -2.8680697 40.7585918, -2.8680216 40.7585215)",
