osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,tunnel
43734980,Calle Florentino La Puente,residential,False,False,1.962,"LINESTRING (-1.2440059 38.0288163, -1.2439983 38.0287997)",,,,
43734980,Calle Florentino La Puente,residential,False,True,86.011,"LINESTRING (-1.2440059 38.0288163, -1.244342 38.0295431)",,,,
530636528,Calle Oltra Moltó,residential,False,True,49.653,"LINESTRING (-1.2440059 38.0288163, -1.243442 38.0288621)",,,,
43734981,Calle Lorenzo Vicens,residential,False,True,98.449,"LINESTRING (-1.243442 38.0288621, -1.2438267 38.029694)",,,,
530636528,Calle Oltra Moltó,residential,False,False,49.653,"LINESTRING (-1.243442 38.0288621, -1.2440059 38.0288163)",,,,
530636528,Calle Oltra Moltó,residential,False,True,39.427,"LINESTRING (-1.243442 38.0288621, -1.2429958 38.0289089)",,,,
373585121,Calle Tirso de Molina,living_street,False,True,170.331,"LINESTRING (-1.243442 38.0288621, -1.2433948 38.0283763, -1.2433818 38.0282423, -1.2433746 38.0281673, -1.2432944 38.0273347)",,,,
43734960,Calle Salceda,residential,False,True,51.29,"LINESTRING (-1.2423751 38.0290736, -1.2418317 38.0292455)",,,,
530365250,Calle Campo,residential,False,False,52.124,"LINESTRING (-1.2423751 38.0290736, -1.2421809 38.0286305)",,,,
530365250,Calle Campo,residential,False,True,108.479,"LINESTRING (-1.2423751 38.0290736, -1.2427817 38.0299951)",,,,
43734960,Calle Salceda,residential,False,False,57.46,"LINESTRING (-1.2423751 38.0290736, -1.2427451 38.0289608, -1.2427549 38.0289578, -1.2429958 38.0289089)",,,,
43734989,Calle Antonio Machado,residential,False,True,53.808,"LINESTRING (-1.2428001 38.0284502, -1.2429958 38.0289089)",,,,
252981777,Calle Calvillo,residential,False,False,57.822,"LINESTRING (-1.2428001 38.0284502, -1.2421809 38.0286305)",,,,
252981777,Calle Calvillo,residential,False,True,60.414,"LINESTRING (-1.2415407 38.0288327, -1.2421809 38.0286305)",,,,
43734997,Calle Príncipe,residential,False,False,154.05599999999998,"LINESTRING (-1.2415407 38.0288327, -1.2411549 38.0280198, -1.2409031 38.0275417)",,,,
252981777,Calle Calvillo,residential,False,False,69.12,"LINESTRING (-1.2415407 38.0288327, -1.2411275 38.0289824, -1.2410235 38.0290189, -1.2408232 38.0290915)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,58.804,"LINESTRING (-1.2470895 38.0300889, -1.2464605 38.0302738)",,,,
43734969,Calle Severo Ochoa,residential,False,True,65.369,"LINESTRING (-1.2470895 38.0300889, -1.2468307 38.0295375)",,,,
43734986,Calle San Fernando,residential,False,False,63.775,"LINESTRING (-1.24719 38.0338954, -1.2465047 38.0340893)",,,,
198813400,Calle San Agustín,residential,False,False,42.929,"LINESTRING (-1.24719 38.0338954, -1.2470612 38.0335229)",,,,
198813406,Calle Chile,residential,False,False,73.9,"LINESTRING (-1.2456581 38.0298699, -1.2453712 38.0292449)",,,,
198813406,Calle Chile,residential,False,True,65.877,"LINESTRING (-1.2456581 38.0298699, -1.2459094 38.0304283)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,47.522,"LINESTRING (-1.2456581 38.0298699, -1.2451492 38.0300181)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,49.642,"LINESTRING (-1.2456581 38.0298699, -1.2461916 38.0297192)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,47.564,"LINESTRING (-1.2459094 38.0304283, -1.245398 38.0305722)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,51.235,"LINESTRING (-1.2459094 38.0304283, -1.2464605 38.0302738)",,,,
198813406,Calle Chile,residential,False,False,65.877,"LINESTRING (-1.2459094 38.0304283, -1.2456581 38.0298699)",,,,
198813406,Calle Chile,residential,False,True,78.058,"LINESTRING (-1.2459094 38.0304283, -1.246196 38.031093)",,,,
43734969,Calle Severo Ochoa,residential,False,False,65.369,"LINESTRING (-1.2468307 38.0295375, -1.2470895 38.0300889)",,,,
43734969,Calle Severo Ochoa,residential,False,True,37.294,"LINESTRING (-1.2468307 38.0295375, -1.2466814 38.0292234)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,59.512,"LINESTRING (-1.2468307 38.0295375, -1.2461916 38.0297192)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,51.235,"LINESTRING (-1.2464605 38.0302738, -1.2459094 38.0304283)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,58.804,"LINESTRING (-1.2464605 38.0302738, -1.2470895 38.0300889)",,,,
43734971,Calle Perú,residential,False,False,66.013,"LINESTRING (-1.2464605 38.0302738, -1.2461916 38.0297192)",,,,
43734971,Calle Perú,residential,False,True,81.353,"LINESTRING (-1.2464605 38.0302738, -1.2467878 38.0309585)",,,,
43734971,Calle Perú,residential,False,False,73.967,"LINESTRING (-1.2461916 38.0297192, -1.2458997 38.029095)",,,,
43734971,Calle Perú,residential,False,True,66.013,"LINESTRING (-1.2461916 38.0297192, -1.2464605 38.0302738)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,49.642,"LINESTRING (-1.2461916 38.0297192, -1.2456581 38.0298699)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,59.512,"LINESTRING (-1.2461916 38.0297192, -1.2468307 38.0295375)",,,,
43734972,Calle Santa Rita,residential,False,False,47.27,"LINESTRING (-1.2453712 38.0292449, -1.2448669 38.0293963)",,,,
43734972,Calle Santa Rita,residential,False,True,49.2,"LINESTRING (-1.2453712 38.0292449, -1.2458997 38.029095)",,,,
198813406,Calle Chile,residential,False,False,64.311,"LINESTRING (-1.2453712 38.0292449, -1.2451205 38.0287013)",,,,
198813406,Calle Chile,residential,False,True,73.9,"LINESTRING (-1.2453712 38.0292449, -1.2456581 38.0298699)",,,,
43734978,Calle Argentina,residential,False,False,73.429,"LINESTRING (-1.2451492 38.0300181, -1.2448669 38.0293963)",,,,
43734978,Calle Argentina,residential,False,True,65.353,"LINESTRING (-1.2451492 38.0300181, -1.245398 38.0305722)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,47.501,"LINESTRING (-1.2451492 38.0300181, -1.2446378 38.0301603)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,47.522,"LINESTRING (-1.2451492 38.0300181, -1.2456581 38.0298699)",,,,
43734972,Calle Santa Rita,residential,False,False,48.787,"LINESTRING (-1.2448669 38.0293963, -1.244342 38.0295431)",,,,
43734972,Calle Santa Rita,residential,False,True,47.27,"LINESTRING (-1.2448669 38.0293963, -1.2453712 38.0292449)",,,,
43734978,Calle Argentina,residential,False,False,76.808,"LINESTRING (-1.2448669 38.0293963, -1.2445632 38.0287483)",,,,
43734978,Calle Argentina,residential,False,True,73.429,"LINESTRING (-1.2448669 38.0293963, -1.2451492 38.0300181)",,,,
43734980,Calle Florentino La Puente,residential,False,False,73.357,"LINESTRING (-1.2446378 38.0301603, -1.244342 38.0295431)",,,,
43734980,Calle Florentino La Puente,residential,False,True,65.187,"LINESTRING (-1.2446378 38.0301603, -1.2448895 38.030712)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,31.476,"LINESTRING (-1.2446378 38.0301603, -1.2443008 38.0302586)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,47.501,"LINESTRING (-1.2446378 38.0301603, -1.2451492 38.0300181)",,,,
43734972,Calle Santa Rita,residential,False,False,48.152,"LINESTRING (-1.244342 38.0295431, -1.2438267 38.029694)",,,,
43734972,Calle Santa Rita,residential,False,True,48.787,"LINESTRING (-1.244342 38.0295431, -1.2448669 38.0293963)",,,,
43734980,Calle Florentino La Puente,residential,False,False,86.011,"LINESTRING (-1.244342 38.0295431, -1.2440059 38.0288163)",,,,
43734980,Calle Florentino La Puente,residential,False,True,73.357,"LINESTRING (-1.244342 38.0295431, -1.2446378 38.0301603)",,,,
43734982,Calle Capitán Cortés,residential,False,False,64.3,"LINESTRING (-1.2443008 38.0302586, -1.2445367 38.0308062)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,18.39,"LINESTRING (-1.2443008 38.0302586, -1.2441031 38.0303143)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,31.476,"LINESTRING (-1.2443008 38.0302586, -1.2446378 38.0301603)",,,,
43734961,Calle Mula,residential,False,False,1.853,"LINESTRING (-1.2448097 38.0314374, -1.2448298 38.0314322)",,,,
43734961,Calle Mula,residential,False,True,54.35,"LINESTRING (-1.2448097 38.0314374, -1.2442003 38.0315296)",,,,
43734982,Calle Capitán Cortés,residential,False,True,74.148,"LINESTRING (-1.2448097 38.0314374, -1.2445367 38.0308062)",,,,
43734961,Calle Mula,residential,False,False,22.003,"LINESTRING (-1.2454536 38.0312867, -1.2456911 38.0312222)",,,,
43734961,Calle Mula,residential,False,True,26.107,"LINESTRING (-1.2454536 38.0312867, -1.2451698 38.0313585)",,,,
43734983,Calle Conde de Romanones,residential,False,False,48.626,"LINESTRING (-1.2454536 38.0312867, -1.2456313 38.031701)",,,,
43734961,Calle Mula,residential,False,False,53.948,"LINESTRING (-1.246196 38.031093, -1.2467878 38.0309585)",,,,
