osmid,highway,oneway,reversed,length,name,geometry,junction
249537228,residential,False,True,96.21000000000001,,"LINESTRING (95.465174 17.6432432, 95.4651848 17.6434101, 95.4652431 17.6441059)",
567201360,residential,False,True,43.754999999999995,,"LINESTRING (95.465174 17.6432432, 95.4653032 17.6431769, 95.4655552 17.6430952)",
567598833,residential,False,False,65.512,,"LINESTRING (95.465174 17.6432432, 95.4651304 17.6427323, 95.4651236 17.642656)",
250772033,secondary,False,False,49.292,Bo Myat Tun Road,"LINESTRING (95.4647819 17.644162, 95.4648512 17.6441484, 95.4652431 17.6441059)",
250772033,secondary,False,True,69.99000000000001,Bo Myat Tun Road,"LINESTRING (95.4647819 17.644162, 95.4646005 17.6441977, 95.4643634 17.6442579, 95.4641695 17.6443756)",
"[567201361, 567201565, 567201566]",residential,False,"[False, True]",373.109,,"LINESTRING (95.4647819 17.644162, 95.464803 17.6446289, 95.4648557 17.6450871, 95.4648942 17.6453383, 95.4648831 17.6453823, 95.4648352 17.6454067, 95.4646694 17.645431, 95.4643456 17.6454811, 95.4641175 17.6455115, 95.463864 17.6455161, 95.4631937 17.6455353, 95.4631267 17.6455657, 95.4630996 17.6456326, 95.4630171 17.6459852)",
249526947,residential,False,True,111.097,Manawhari Road,"LINESTRING (95.4630171 17.6459852, 95.4619752 17.6458737)",
249526947,residential,False,False,63.819,Manawhari Road,"LINESTRING (95.4630171 17.6459852, 95.4631316 17.6459907, 95.463619 17.646005)",
"[567201361, 567201565, 567201566]",residential,False,"[False, True]",373.10900000000004,,"LINESTRING (95.4630171 17.6459852, 95.4630996 17.6456326, 95.4631267 17.6455657, 95.4631937 17.6455353, 95.463864 17.6455161, 95.4641175 17.6455115, 95.4643456 17.6454811, 95.4646694 17.645431, 95.4648352 17.6454067, 95.4648831 17.6453823, 95.4648942 17.6453383, 95.4648557 17.6450871, 95.464803 17.6446289, 95.4647819 17.644162)",
110553802,residential,False,False,3.129,,"LINESTRING (95.4651505 17.6426444, 95.4651236 17.642656)",
"[567598832, 250813651]",residential,False,"[False, True]",76.14699999999999,,"LINESTRING (95.4651505 17.6426444, 95.4650952 17.6424599, 95.4650832 17.6423627, 95.4650417 17.6422247, 95.4649434 17.6419913)",
110553802,residential,False,False,117.122,,"LINESTRING (95.4651236 17.642656, 95.4641108 17.6430778)",
110553802,residential,False,True,3.129,,"LINESTRING (95.4651236 17.642656, 95.4651505 17.6426444)",
567598833,residential,False,True,65.512,,"LINESTRING (95.4651236 17.642656, 95.4651304 17.6427323, 95.465174 17.6432432)",
250813651,residential,False,True,7.435,,"LINESTRING (95.4649502 17.6419385, 95.4649276 17.6419537, 95.4649434 17.6419913)",
252001583,residential,False,True,44.931,,"LINESTRING (95.4624134 17.6412755, 95.4619919 17.6413194)",
252001583,residential,False,False,44.453,,"LINESTRING (95.4615765 17.6413744, 95.461858 17.6413328, 95.4619919 17.6413194)",
252001583,residential,False,True,41.571,,"LINESTRING (95.4615765 17.6413744, 95.4613301 17.6414236, 95.4612012 17.641477)",
567957180,residential,False,True,40.703,,"LINESTRING (95.4606967 17.6413328, 95.4607537 17.6416948)",
252001583,residential,False,False,4.73,,"LINESTRING (95.4605259 17.6417512, 95.4605691 17.6417405)",
252001583,residential,False,True,46.706,,"LINESTRING (95.4605259 17.6417512, 95.4600902 17.6418147)",
570371274,residential,False,True,132.294,,"LINESTRING (95.4581389 17.6467063, 95.457429 17.647685)",
250575857,residential,False,False,149.39,Sit Care Street,"LINESTRING (95.4639959 17.6487174, 95.4640563 17.6487978, 95.464243 17.649012, 95.4644805 17.6492729, 95.4645924 17.6493991, 95.4646818 17.6495381, 95.4647299 17.6496501, 95.4647652 17.6498183)",
250575857,residential,False,True,77.07000000000001,Sit Care Street,"LINESTRING (95.4639959 17.6487174, 95.4638922 17.6485793, 95.4637382 17.648077)",
"[570392625, 570393812]",residential,False,True,85.93299999999999,,"LINESTRING (95.4639959 17.6487174, 95.463595 17.6489345, 95.4632617 17.6490359)",
"[570392625, 570393812]",residential,False,False,85.93299999999999,,"LINESTRING (95.4632617 17.6490359, 95.463595 17.6489345, 95.4639959 17.6487174)",
250772033,secondary,False,False,69.99000000000001,Bo Myat Tun Road,"LINESTRING (95.4641695 17.6443756, 95.4643634 17.6442579, 95.4646005 17.6441977, 95.4647819 17.644162)",
250772033,secondary,False,True,144.887,Bo Myat Tun Road,"LINESTRING (95.4641695 17.6443756, 95.4641308 17.6444011, 95.4638759 17.6445522, 95.4636821 17.6446387, 95.4633836 17.6447131, 95.4632033 17.6447902, 95.4629337 17.6449154)",
570476559,residential,False,False,145.261,,"LINESTRING (95.4641695 17.6443756, 95.4640607 17.6441362, 95.4640503 17.6439744, 95.4640465 17.6438705, 95.4640493 17.6437205, 95.4640522 17.6436165, 95.4640863 17.6435027, 95.4640901 17.6432912, 95.4640696 17.6430967)",
110553802,residential,False,True,4.845,,"LINESTRING (95.4640696 17.6430967, 95.4641108 17.6430778)",
110553802,residential,False,False,91.166,,"LINESTRING (95.4640696 17.6430967, 95.4638427 17.6432011, 95.4632971 17.6434576)",
570476559,residential,False,True,145.26100000000002,,"LINESTRING (95.4640696 17.6430967, 95.4640901 17.6432912, 95.4640863 17.6435027, 95.4640522 17.6436165, 95.4640493 17.6437205, 95.4640465 17.6438705, 95.4640503 17.6439744, 95.4640607 17.6441362, 95.4641695 17.6443756)",
250772033,secondary,False,False,144.887,Bo Myat Tun Road,"LINESTRING (95.4629337 17.6449154, 95.4632033 17.6447902, 95.4633836 17.6447131, 95.4636821 17.6446387, 95.4638759 17.6445522, 95.4641308 17.6444011, 95.4641695 17.6443756)",
"[250580304, 250772033]",secondary,False,True,150.86,Bo Myat Tun Road,"LINESTRING (95.4629337 17.6449154, 95.4628055 17.6449803, 95.4626306 17.6451095, 95.4624643 17.6452308, 95.4623821 17.645311, 95.462195 17.6455192, 95.4620671 17.6456638, 95.4619878 17.6457832, 95.4619752 17.6458737)",
"[570478794, 570480668, 570478818]",residential,False,"[False, True]",220.13199999999998,,"LINESTRING (95.4629337 17.6449154, 95.46282 17.6447081, 95.4627828 17.6445717, 95.4627196 17.6444588, 95.4624986 17.644058, 95.4629966 17.6437583, 95.4633273 17.6435168, 95.4632971 17.6434576)",
570480667,residential,False,False,46.914,,"LINESTRING (95.4622134 17.6444866, 95.4620215 17.6441586, 95.4619978 17.6441181)",
110553802,residential,False,False,56.218,,"LINESTRING (95.4619978 17.6441181, 95.4617931 17.6442379, 95.4615506 17.64439)",
110553802,residential,False,True,103.023,,"LINESTRING (95.4619978 17.6441181, 95.4624049 17.6438902, 95.4628478 17.6436689)",
570480667,residential,False,True,46.914,,"LINESTRING (95.4619978 17.6441181, 95.4620215 17.6441586, 95.4622134 17.6444866)",
110553802,residential,False,False,53.092,,"LINESTRING (95.4632971 17.6434576, 95.4628478 17.6436689)",
110553802,residential,False,True,91.166,,"LINESTRING (95.4632971 17.6434576, 95.4638427 17.6432011, 95.4640696 17.6430967)",
"[570478794, 570478818, 570480668]",residential,False,"[False, True]",220.132,,"LINESTRING (95.4632971 17.6434576, 95.4633273 17.6435168, 95.4629966 17.6437583, 95.4624986 17.644058, 95.4627196 17.6444588, 95.4627828 17.6445717, 95.46282 17.6447081, 95.4629337 17.6449154)",
570480680,residential,False,False,13.15,,"LINESTRING (95.4615429 17.6445413, 95.4614498 17.6444631)",
110553802,residential,False,False,23.355,,"LINESTRING (95.4614498 17.6444631, 95.4612669 17.6445803)",
110553802,residential,False,True,13.422,,"LINESTRING (95.4614498 17.6444631, 95.4615506 17.64439)",
570480680,residential,False,True,13.15,,"LINESTRING (95.4614498 17.6444631, 95.4615429 17.6445413)",
570480682,residential,False,False,14.404,,"LINESTRING (95.4616692 17.6444533, 95.4615506 17.64439)",
570484390,residential,False,False,105.9,,"LINESTRING (95.462388 17.6428233, 95.4628478 17.6436689)",
570484464,residential,False,False,39.459,,"LINESTRING (95.462388 17.6428233, 95.4622487 17.6424942)",
"[570484456, 570484412, 570484454]",residential,False,"[False, True]",224.68599999999998,,"LINESTRING (95.462388 17.6428233, 95.4629118 17.6425796, 95.4626931 17.6418303, 95.4619962 17.6420078)",
"[570484467, 570499563]",residential,False,"[False, True]",94.923,,"LINESTRING (95.462388 17.6428233, 95.4619634 17.6430202, 95.461848 17.6426318)",
"[570484435, 524345382]",residential,False,True,86.87299999999999,,"LINESTRING (95.4637687 17.6423867, 95.4638707 17.6424579, 95.4641108 17.6430778)",
570484453,residential,False,False,45.133,,"LINESTRING (95.461848 17.6426318, 95.4622487 17.6424942)",
570484454,residential,False,False,62.213,,"LINESTRING (95.461848 17.6426318, 95.4616861 17.642094)",
"[570499563, 570484467]",residential,False,"[False, True]",94.923,,"LINESTRING (95.461848 17.6426318, 95.4619634 17.6430202, 95.462388 17.6428233)",
570484453,residential,False,True,6.578,,"LINESTRING (95.4623072 17.6424744, 95.4622487 17.6424942)",
570484454,residential,False,False,34.229,,"LINESTRING (95.4616861 17.642094, 95.4619962 17.6420078)",
570484454,residential,False,True,62.213,,"LINESTRING (95.4616861 17.642094, 95.461848 17.6426318)",
570484460,residential,False,False,28.889,,"LINESTRING (95.4616861 17.642094, 95.4615354 17.6418775)",
570484454,residential,False,True,34.229,,"LINESTRING (95.4619962 17.6420078, 95.4616861 17.642094)",
"[570484456, 570484412, 570484454]",residential,False,"[False, True]",224.68599999999998,,"LINESTRING (95.4619962 17.6420078, 95.4626931 17.6418303, 95.4629118 17.6425796, 95.462388 17.6428233)",
