osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
697544236,1,,Częstochowska,tertiary,40,True,False,102.05,"LINESTRING (19.867871 51.0890494, 19.8687694 51.0896592, 19.8687911 51.0896729, 19.868863 51.0897232)",,,
187444576,,,Sukiennicza,residential,,False,True,92.928,"LINESTRING (19.8703474 51.0901587, 19.8701298 51.0899609, 19.8698272 51.0896921, 19.8696472 51.0895259, 19.8695889 51.0894721)",,,
187444693,2,,Podzamcze,residential,50,False,False,133.276,"LINESTRING (19.8752707 51.0887226, 19.875306 51.0886772, 19.8754887 51.0884532, 19.8756511 51.0882694, 19.8756956 51.0882181, 19.8757206 51.088182, 19.8757388 51.0881408, 19.8757481 51.0881015, 19.8757559 51.0880329, 19.8757536 51.087985, 19.8757445 51.0879283, 19.8757245 51.0878631, 19.8757021 51.0878142, 19.8756313 51.0877013, 19.8755764 51.0876143)",,,
696091290,2,42,Konecka,primary,50,False,False,100.71099999999998,"LINESTRING (19.8752707 51.0887226, 19.8749122 51.0886556, 19.8748205 51.0886374, 19.8747405 51.0886187, 19.8746645 51.0885975, 19.8745965 51.088574, 19.8745299 51.0885455, 19.8744737 51.0885177, 19.8744201 51.0884848, 19.8743535 51.0884375, 19.8742859 51.0883811, 19.8741399 51.0882269)",,,
696091290,2,42,Konecka,primary,50,False,True,116.569,"LINESTRING (19.8752707 51.0887226, 19.8756937 51.0888049, 19.8757256 51.0888115, 19.8758518 51.0888378, 19.8768281 51.0890965)",,,
123814658,2,,Mostowa,tertiary,50,False,False,55.572,"LINESTRING (19.8748213 51.0877718, 19.8752987 51.087672, 19.8755764 51.0876143)",,,
123814658,2,,Mostowa,tertiary,50,False,True,18.525,"LINESTRING (19.8748213 51.0877718, 19.8746984 51.0877949, 19.8745668 51.0878187)",,,
188809058,,,Wodna,residential,50,False,False,35.519999999999996,"LINESTRING (19.8748213 51.0877718, 19.8748734 51.0878557, 19.8750239 51.0880647)",,,
188809059,,,Wodna,residential,50,False,True,29.194,"LINESTRING (19.8750239 51.0880647, 19.8754018 51.0879525)",,,
188809058,,,Wodna,residential,50,False,True,35.519999999999996,"LINESTRING (19.8750239 51.0880647, 19.8748734 51.0878557, 19.8748213 51.0877718)",,,
188809059,,,Wodna,residential,50,False,False,21.726,"LINESTRING (19.8750239 51.0880647, 19.8749879 51.0880771, 19.8747512 51.0881587)",,,
188809059,,,Wodna,residential,50,False,False,29.194,"LINESTRING (19.8754018 51.0879525, 19.8750239 51.0880647)",,,
188809059,,,Wodna,residential,50,False,True,21.726,"LINESTRING (19.8747512 51.0881587, 19.8749879 51.0880771, 19.8750239 51.0880647)",,,
188809060,2,,Szkolna,residential,50,False,False,106.471,"LINESTRING (19.877608 51.0869333, 19.8776595 51.08698, 19.87812 51.0873977, 19.8782996 51.0875586, 19.8784758 51.0877205)",,,
188809061,2,,Mostowa,residential,30,False,False,151.452,"LINESTRING (19.877608 51.0869333, 19.8777282 51.0868903, 19.8784753 51.086623, 19.8786307 51.0865674, 19.8788813 51.0864783, 19.8790631 51.0864137, 19.8794928 51.0862599)",,,
188809061,2,,Mostowa,residential,30,False,True,93.97500000000001,"LINESTRING (19.877608 51.0869333, 19.8765287 51.0873081, 19.8764305 51.0873422)",,,
188809060,2,,Szkolna,residential,50,False,True,106.471,"LINESTRING (19.8784758 51.0877205, 19.8782996 51.0875586, 19.87812 51.0873977, 19.8776595 51.08698, 19.877608 51.0869333)",,,
188809061,2,,Mostowa,residential,30,False,True,29.516,"LINESTRING (19.8814956 51.0855342, 19.8811298 51.0856671)",,,
188809072,2,,Kielecka,tertiary,,False,True,34.311,"LINESTRING (19.8754456 51.0856651, 19.8751192 51.0858957)",,,
