osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,access,bridge
302382484,False,,Starowałowa,living_street,,False,161.40800000000002,"LINESTRING (16.0932611 51.6615923, 16.0932447 51.6616641, 16.0932303 51.6616888, 16.0932159 51.6617134, 16.0931819 51.6617428, 16.0931146 51.6617722, 16.0930173 51.6617984, 16.092864 51.66184, 16.0923502 51.6619696, 16.0922924 51.6619841, 16.0918918 51.6620852, 16.091458 51.6621876, 16.0913297 51.6622179, 16.0912604 51.6622335)",,,,
1180237676,False,,Rzeźnicza,living_street,,True,47.184,"LINESTRING (16.0932611 51.6615923, 16.0933106 51.6616008, 16.0938544 51.6616215, 16.0938924 51.6616264, 16.0939359 51.6616405)",,,,
599175020,False,,Smolna,living_street,,True,76.804,"LINESTRING (16.0939359 51.6616405, 16.0937899 51.6617585, 16.0936923 51.6618558, 16.0936534 51.6619509, 16.0936473 51.6620056, 16.0936893 51.6621154, 16.0937606 51.6622708)",,,,
"[1106448492, 1180237677]",False,,Stanisława Staszica,"['living_street', 'residential']",30,False,82.568,"LINESTRING (16.0939359 51.6616405, 16.0939712 51.6616164, 16.0939843 51.6616075, 16.094105 51.661516, 16.0944026 51.6612902, 16.0944862 51.6612246, 16.0945978 51.6611505, 16.094674 51.6611128, 16.0947293 51.6610876)",,,,
1180237676,False,,Rzeźnicza,living_street,,False,47.184,"LINESTRING (16.0939359 51.6616405, 16.0938924 51.6616264, 16.0938544 51.6616215, 16.0933106 51.6616008, 16.0932611 51.6615923)",,,,
"[96132982, 142479878]",False,,Starowałowa,living_street,,True,87.62600000000002,"LINESTRING (16.0904381 51.665583, 16.09035 51.6655078, 16.0901745 51.6653635, 16.0897171 51.6649774, 16.089684 51.6649488)",,,,
"[142481345, 404592937]",True,,Długa,living_street,,False,103.53,"LINESTRING (16.0904381 51.665583, 16.0917949 51.6652311, 16.091823 51.6652238)",,,,
"[550008644, 1106448493]",False,,Długa,"['living_street', 'residential']",,False,20.445,"LINESTRING (16.0904381 51.665583, 16.0902887 51.6656351, 16.0901797 51.6656731)",,,,
404592941,False,,Polska,living_street,,False,79.913,"LINESTRING (16.0974061 51.6632382, 16.0963228 51.6634931)",,,,
733977203,False,,Piotra Skargi,residential,,True,66.378,"LINESTRING (16.0974061 51.6632382, 16.0970509 51.6626834)",,,,
