osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
196556657,,,Natalii Żurowskiej-Machałowej,residential,,False,False,172.501,"LINESTRING (20.2499616 50.9446455, 20.2499736 50.9446612, 20.2501855 50.9449147, 20.2503947 50.9451783, 20.2510558 50.9460351)",
196556667,,,Spacerowa,residential,,False,True,136.712,"LINESTRING (20.2499616 50.9446455, 20.2490938 50.9449087, 20.2482922 50.9451492, 20.2482006 50.9451751)",
343539378,,728;786,Włoszczowska,secondary,,False,False,127.39,"LINESTRING (20.2482006 50.9451751, 20.2474274 50.9441382)",
196556667,,,Spacerowa,residential,,False,False,136.712,"LINESTRING (20.2482006 50.9451751, 20.2482922 50.9451492, 20.2490938 50.9449087, 20.2499616 50.9446455)",
343539378,,728;786,Włoszczowska,secondary,,False,True,122.86699999999999,"LINESTRING (20.2482006 50.9451751, 20.2482813 50.9452825, 20.2486122 50.9457253, 20.248948 50.9461747)",
196556654,,,Natalii Żurowskiej-Machałowej,residential,,False,True,234.712,"LINESTRING (20.2510558 50.9460351, 20.2511028 50.9460182, 20.2515347 50.9458915, 20.251575 50.9458696, 20.2518245 50.9457852, 20.2518575 50.9457692, 20.2518628 50.9457381, 20.2518493 50.9457019, 20.2516241 50.9454019, 20.2515101 50.9452547, 20.2513807 50.9450813, 20.2508523 50.944373)",
196556657,,,Natalii Żurowskiej-Machałowej,residential,,False,False,104.90100000000001,"LINESTRING (20.2510558 50.9460351, 20.2512905 50.9463002, 20.2522429 50.9465223)",
196556657,,,Natalii Żurowskiej-Machałowej,residential,,False,True,172.50099999999998,"LINESTRING (20.2510558 50.9460351, 20.2503947 50.9451783, 20.2501855 50.9449147, 20.2499736 50.9446612, 20.2499616 50.9446455)",
343539378,,728;786,Włoszczowska,secondary,,False,False,122.86699999999999,"LINESTRING (20.248948 50.9461747, 20.2486122 50.9457253, 20.2482813 50.9452825, 20.2482006 50.9451751)",
"[343539378, 1137844987]",2,728;786,Włoszczowska,secondary,,False,True,266.963,"LINESTRING (20.248948 50.9461747, 20.2493858 50.9467601, 20.2495088 50.9469245, 20.2496093 50.9470604, 20.2496853 50.9471592, 20.2497311 50.9472165, 20.2498116 50.9473136, 20.249888 50.9474026, 20.2500882 50.9476249, 20.2502486 50.9478105, 20.2502818 50.9478489, 20.2503173 50.9478925, 20.2503381 50.9479237, 20.2503649 50.9479634, 20.2503857 50.9479985, 20.2504085 50.9480357, 20.2504246 50.9480652, 20.250438 50.9480936, 20.2504461 50.9481131, 20.2504688 50.9481704, 20.2504883 50.9482266, 20.2505273 50.94835)",
"[1137856530, 35715054]",,,Strażacka,tertiary,,False,True,254.08200000000002,"LINESTRING (20.2522429 50.9465223, 20.2518764 50.947126, 20.2517679 50.9472824, 20.2516084 50.947541, 20.2514737 50.9477996, 20.2511977 50.9485972, 20.2511776 50.9486546, 20.2511583 50.9486961)",
196556657,,,Natalii Żurowskiej-Machałowej,residential,,False,True,104.90100000000001,"LINESTRING (20.2522429 50.9465223, 20.2512905 50.9463002, 20.2510558 50.9460351)",
228191160,2,,Przedborska,tertiary,50,False,False,451.14900000000006,"LINESTRING (20.2438375 50.9496395, 20.2466293 50.9492317, 20.2474192 50.9491125, 20.2484116 50.9489596, 20.2489427 50.9488785, 20.2494362 50.9487964, 20.2500972 50.9486871)",
219908446,2,786,Rynek,secondary,50,False,False,6.473,"LINESTRING (20.2512477 50.9487108, 20.2511583 50.9486961)",
"[1137842680, 219908443, 1137843557, 1137842679]",2,786,Kielecka,secondary,50,False,True,216.8470000000001,"LINESTRING (20.2512477 50.9487108, 20.2514169 50.9487418, 20.2517395 50.9488016, 20.2518237 50.9488166, 20.2518911 50.948828, 20.2519608 50.9488398, 20.2520131 50.9488472, 20.2520672 50.9488548, 20.2521379 50.948865, 20.2521982 50.9488736, 20.2522552 50.948881, 20.2523352 50.9488899, 20.2524193 50.9488977, 20.2524919 50.9489047, 20.2525747 50.9489117, 20.2527406 50.948924, 20.2528561 50.9489327, 20.2529392 50.9489402, 20.2530259 50.9489483, 20.2530994 50.948956, 20.2531586 50.9489634, 20.2532255 50.948974, 20.2532922 50.9489873, 20.2533762 50.9490063, 20.2534258 50.9490183, 20.2534789 50.9490318, 20.2535352 50.949049, 20.2535923 50.9490686, 20.2536461 50.9490881, 20.2536979 50.9491075, 20.2537458 50.949126, 20.2537873 50.9491438, 20.2538288 50.9491635, 20.2538706 50.9491843, 20.253917 50.9492095, 20.2539743 50.9492424, 20.2541214 50.9493277)",
219908445,,,Rynek,residential,,False,True,56.277,"LINESTRING (20.2512477 50.9487108, 20.2512191 50.9487821, 20.2510823 50.949206)",
219908445,,,Rynek,residential,,False,False,56.277,"LINESTRING (20.2510823 50.949206, 20.2512191 50.9487821, 20.2512477 50.9487108)",
"[681636120, 219908447]",,,Rynek,residential,,False,False,57.827,"LINESTRING (20.2510823 50.949206, 20.2512238 50.949227, 20.2514931 50.949155, 20.2518752 50.9491142)",
219908447,,,Rynek,residential,,False,True,40.263999999999996,"LINESTRING (20.2510823 50.949206, 20.2509752 50.9492419, 20.2508704 50.949277, 20.2507421 50.94929, 20.2507041 50.9492939, 20.2506078 50.9492939, 20.2505378 50.9492939)",
219908447,,,Rynek,residential,,False,False,40.264,"LINESTRING (20.2505378 50.9492939, 20.2506078 50.9492939, 20.2507041 50.9492939, 20.2507421 50.94929, 20.2508704 50.949277, 20.2509752 50.9492419, 20.2510823 50.949206)",
"[219908448, 1265186532]",2,728,Rynek,secondary,50,False,False,35.588,"LINESTRING (20.2505378 50.9492939, 20.2505493 50.9491802, 20.25057 50.9489745)",
587057836,2,728,Konecka,secondary,50,False,True,117.46599999999998,"LINESTRING (20.2505378 50.9492939, 20.2505326 50.9493803, 20.2505291 50.9494424, 20.2505279 50.9495019, 20.2505291 50.9495495, 20.2505335 50.9496016, 20.2505422 50.949649, 20.2505528 50.9496898, 20.2505683 50.9497374, 20.250579 50.9497688, 20.250593 50.9498045, 20.2506158 50.9498504, 20.2506384 50.9498901, 20.2507069 50.9499971, 20.2507721 50.9500915, 20.2508089 50.9501398, 20.2508482 50.9501874, 20.2508688 50.9502101, 20.2509476 50.9502969)",
