osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge
179891494,False,,,Plac Gwiaździsty,residential,,True,59.536,"LINESTRING (16.1830507 54.1874328, 16.1832819 54.1873622, 16.183362 54.1873322, 16.1835017 54.1872754, 16.1838398 54.1871628)",,,
"[1031454824, 1031454828]",True,,,Rondo Lecha Żyły,tertiary,,False,20.028999999999996,"LINESTRING (16.1830507 54.1874328, 16.1830387 54.1874682, 16.1830086 54.1874996, 16.1829633 54.1875239, 16.1829073 54.1875389, 16.1828461 54.1875429)",roundabout,,
"[24047445, 1243034663]",False,5,,1 Maja,tertiary,,False,86.00999999999999,"LINESTRING (16.1825827 54.1891872, 16.1825593 54.1893576, 16.182495 54.1898066, 16.1824907 54.1898482, 16.1824793 54.1899583)",,,
24047445,False,,,1 Maja,tertiary,,True,183.699,"LINESTRING (16.1825827 54.1891872, 16.182603 54.1890604, 16.1826531 54.1886067, 16.182728 54.1880839, 16.1828154 54.1876993, 16.1828461 54.1875429)",,,
24047817,False,,,Władysława Andersa,residential,,False,84.72800000000001,"LINESTRING (16.1825827 54.1891872, 16.1828254 54.1891978, 16.1838821 54.1892378)",,,
24048060,True,,,Kardynała Stefana Wyszyńskiego,residential,,False,94.656,"LINESTRING (16.1825827 54.1891872, 16.1824123 54.1891832, 16.182094 54.1891756, 16.181129 54.1891528)",,,
173054652,True,2,,Zwycięstwa,tertiary,50,False,13.123,"LINESTRING (16.1719889 54.1893196, 16.1721678 54.1893741)",,,
"[550183881, 493343749, 397990886, 173054615]",True,"['2', '3']",165,Krakusa i Wandy,tertiary,50,False,372.7050000000001,"LINESTRING (16.1719889 54.1893196, 16.1720757 54.189245, 16.1721614 54.1891723, 16.172193 54.1891439, 16.1724812 54.1888977, 16.17255 54.1888381, 16.1726189 54.1887784, 16.1731826 54.1882906, 16.1734482 54.1880607, 16.174477 54.1871701, 16.1745184 54.1871344, 16.1745767 54.1870842, 16.1746642 54.1870079, 16.1747488 54.186934, 16.1750797 54.1866477, 16.1751999 54.1865439)",,,
24047998,False,,,Połtawska,residential,,True,124.54499999999999,"LINESTRING (16.1790172 54.1881537, 16.1788885 54.1882772, 16.1788237 54.18835, 16.1787628 54.1884432, 16.1787329 54.1885069, 16.1787059 54.188603, 16.1786075 54.1889416, 16.178556 54.1891228, 16.1785245 54.1892241)",,,
24048049,False,2,,Michała Drzymały,residential,,False,81.417,"LINESTRING (16.1790172 54.1881537, 16.1787826 54.1880506, 16.1782954 54.1878383, 16.1780143 54.1877158)",,,
24048103,False,,,Harcerska,residential,,False,89.95999999999998,"LINESTRING (16.1790172 54.1881537, 16.1791452 54.1880532, 16.1791927 54.1880159, 16.1792907 54.1879306, 16.1794855 54.187796, 16.1796652 54.1877171, 16.180027 54.1876364)",,,
233718702,False,,,Komisji Edukacji Narodowej,residential,,False,66.005,"LINESTRING (16.1809874 54.1874452, 16.180027 54.1876364)",,,
24048073,False,,,Komisji Edukacji Narodowej,residential,,True,85.619,"LINESTRING (16.1809874 54.1874452, 16.1812331 54.1874094, 16.1820824 54.1873695, 16.182293 54.1873729)",,,
180996000,False,,,Biskupa Czesława Domina,residential,,True,85.619,"LINESTRING (16.1809874 54.1874452, 16.1810004 54.1875536, 16.1810221 54.1877356, 16.1811086 54.1882118)",,,
397997297,False,2,,Dzieci Wrzesińskich,residential,,True,324.2049999999999,"LINESTRING (16.1752295 54.1870524, 16.1751172 54.1873314, 16.1749017 54.187752, 16.1747542 54.1880399, 16.1746911 54.1881629, 16.1743583 54.1888114, 16.1743114 54.1889028, 16.1742021 54.1891159, 16.1741255 54.1892651, 16.174106 54.1893532, 16.174106 54.1894112, 16.1741218 54.1896532, 16.174119 54.189705, 16.1741151 54.1897273, 16.174112 54.1897441, 16.1740896 54.1898403, 16.1740812 54.1898728)",,,
172137085,False,,,Kolejowa,residential,,False,26.954,"LINESTRING (16.1694673 54.1867576, 16.1694966 54.1865158)",,,
172137086,True,,,Kolejowa,residential,,False,158.42199999999997,"LINESTRING (16.1694673 54.1867576, 16.1696236 54.1870353, 16.1697689 54.1873084, 16.1698391 54.1875479, 16.169854 54.1877446, 16.169706 54.1881417)",,,
172137085,False,,,Kolejowa,residential,,True,26.954,"LINESTRING (16.1694966 54.1865158, 16.1694673 54.1867576)",,,
252256632,False,,,Bolesława Krzywoustego,residential,,False,91.614,"LINESTRING (16.1811086 54.1882118, 16.1825135 54.1881564)",,,
180996000,False,,,Biskupa Czesława Domina,residential,,False,85.619,"LINESTRING (16.1811086 54.1882118, 16.1810221 54.1877356, 16.1810004 54.1875536, 16.1809874 54.1874452)",,,
252256631,False,,,Bolesława Krzywoustego,residential,,True,69.837,"LINESTRING (16.1811086 54.1882118, 16.1807965 54.1882449, 16.1800617 54.1883494)",,,
24048112,False,,,Bolesława Krzywoustego,residential,,True,168.611,"LINESTRING (16.1800617 54.1883494, 16.1797516 54.1883972, 16.1796264 54.1884376, 16.17953 54.1884737, 16.1794427 54.1885291, 16.1793939 54.1885879, 16.1793717 54.1886146, 16.179327 54.1887252, 16.1792521 54.1891517, 16.1792284 54.1893056, 16.179225 54.1893275, 16.1791898 54.1893866, 16.1791573 54.189612)",,,
252256631,False,,,Bolesława Krzywoustego,residential,,False,69.837,"LINESTRING (16.1800617 54.1883494, 16.1807965 54.1882449, 16.1811086 54.1882118)",,,
252256632,False,,,Bolesława Krzywoustego,residential,,True,91.614,"LINESTRING (16.1825135 54.1881564, 16.1811086 54.1882118)",,,
24048049,False,2,,Michała Drzymały,residential,,False,78.717,"LINESTRING (16.1780143 54.1877158, 16.1770842 54.1873293, 16.1770279 54.1873059)",,,
24048049,False,2,,Michała Drzymały,residential,,True,81.417,"LINESTRING (16.1780143 54.1877158, 16.1782954 54.1878383, 16.1787826 54.1880506, 16.1790172 54.1881537)",,,
24048049,False,2,,Michała Drzymały,residential,,True,64.332,"LINESTRING (16.1762241 54.186969, 16.1770279 54.1873059)",,,
24048049,False,2,,Michała Drzymały,residential,,False,69.77999999999999,"LINESTRING (16.1762241 54.186969, 16.1756073 54.1867106, 16.1755458 54.1866854, 16.1755057 54.1866688, 16.1753918 54.186622, 16.175351 54.1866046)",,,
180484836,False,,,Kaszubska,residential,,True,292.091,"LINESTRING (16.1762241 54.186969, 16.1761908 54.1870445, 16.1761185 54.1873159, 16.1759126 54.1880892, 16.1758512 54.188315, 16.1758355 54.1883725, 16.1758347 54.1883755, 16.1758271 54.1884036, 16.1756838 54.1889303, 16.1756732 54.1889694, 16.1756698 54.1889838, 16.1755918 54.1893154, 16.1755891 54.1895202, 16.1755836 54.1895663)",,,
24048049,False,2,,Michała Drzymały,residential,,False,64.332,"LINESTRING (16.1770279 54.1873059, 16.1762241 54.186969)",,,
24048049,False,2,,Michała Drzymały,residential,,True,78.717,"LINESTRING (16.1770279 54.1873059, 16.1770842 54.1873293, 16.1780143 54.1877158)",,,
261293643,False,,,Władysława Laskonogiego,residential,,False,60.25,"LINESTRING (16.1810411 54.1896922, 16.1810834 54.1894324, 16.1811242 54.1891821, 16.181129 54.1891528)",,,
233718702,False,,,Komisji Edukacji Narodowej,residential,,True,66.005,"LINESTRING (16.180027 54.1876364, 16.1809874 54.1874452)",,,
24048103,False,,,Harcerska,residential,,True,89.96,"LINESTRING (16.180027 54.1876364, 16.1796652 54.1877171, 16.1794855 54.187796, 16.1792907 54.1879306, 16.1791927 54.1880159, 16.1791452 54.1880532, 16.1790172 54.1881537)",,,
"[24048088, 24048079]",True,,,"['Kardynała Stefana Wyszyńskiego', 'Bolesława Chrobrego']",residential,,False,158.534,"LINESTRING (16.181129 54.1891528, 16.1800013 54.1891133, 16.1800617 54.1883494)",,,
24048093,True,,,Biskupa Czesława Domina,residential,,False,104.643,"LINESTRING (16.181129 54.1891528, 16.1811143 54.1885848, 16.1811086 54.1882118)",,,
261293643,False,,,Władysława Laskonogiego,residential,,True,60.25,"LINESTRING (16.181129 54.1891528, 16.1811242 54.1891821, 16.1810834 54.1894324, 16.1810411 54.1896922)",,,
172084780,False,,,Batalionów Chłopskich,residential,,False,67.03399999999999,"LINESTRING (16.1839749 54.1942196, 16.183393 54.1942311, 16.1832135 54.1942351, 16.1830887 54.194238, 16.1830173 54.1942288, 16.1829614 54.1942036)",,,
