osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
139994800,False,21. ulica,residential,True,48.739,"LINESTRING (18.6996726 45.0307883, 18.7002615 45.0309258)",,,,
139994800,False,21. ulica,residential,False,116.12899999999999,"LINESTRING (18.6996726 45.0307883, 18.6992858 45.0307002, 18.6989714 45.0306206, 18.6982816 45.0304364)",,,,
292189047,False,,residential,True,132.472,"LINESTRING (18.6996726 45.0307883, 18.6995007 45.0313124, 18.6994435 45.0313419, 18.6993769 45.0313474, 18.6986229 45.031189)",,,,
292189048,False,18. ulica,residential,False,59.283,"LINESTRING (18.6990186 45.0342378, 18.699193 45.0337191)",,,,
101274946,True,11. ulica,residential,False,65.342,"LINESTRING (18.6990186 45.0342378, 18.6991799 45.0342375, 18.6994529 45.0342403, 18.6996759 45.034249, 18.6998411 45.0342873)",,,,
292189048,False,18. ulica,residential,True,49.011,"LINESTRING (18.6993583 45.0332941, 18.699193 45.0337191)",,,,
100874201,False,19. ulica,residential,False,135.834,"LINESTRING (18.6993583 45.0332941, 18.6991195 45.0332147, 18.6988114 45.0331421, 18.6984593 45.0330739, 18.6981472 45.0330251, 18.6979374 45.0329914, 18.6977031 45.0329546)",,,,
100874201,False,19. ulica,residential,True,109.13199999999999,"LINESTRING (18.6993583 45.0332941, 18.6994522 45.0333148, 18.6997487 45.033397, 18.7000124 45.0334625, 18.7003435 45.0335308, 18.7006719 45.0336111)",,,,
292189048,False,18. ulica,residential,False,49.011,"LINESTRING (18.699193 45.0337191, 18.6993583 45.0332941)",,,,
292189048,False,18. ulica,residential,True,59.283,"LINESTRING (18.699193 45.0337191, 18.6990186 45.0342378)",,,,
101274947,False,13. ulica,residential,True,169.564,"LINESTRING (18.699193 45.0337191, 18.6985094 45.0336071, 18.6978976 45.0335966, 18.6970555 45.0336379)",,,,
100874223,True,5. ulica,residential,False,105.655,"LINESTRING (18.6973643 45.0364092, 18.69603 45.0365266)",,,,
102213627,False,16. ulica,residential,True,8.412,"LINESTRING (18.6973643 45.0364092, 18.6973575 45.0364847)",,,,
