osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,maxspeed,bridge
"[609338321, 1162756862]",2,SS78,"['Via Guglielmo Marconi', 'Via Fabio Filzi']",primary,False,True,191.82899999999998,"LINESTRING (13.3553976 42.9793252, 13.3553481 42.9792541, 13.3552681 42.9791942, 13.3551754 42.9791442, 13.3550255 42.9790996, 13.354753 42.9790544, 13.3545202 42.9790561, 13.3542643 42.979089, 13.3534779 42.9792926, 13.3533964 42.9793013, 13.3532958 42.9792974, 13.3532288 42.9792881)",,,
396873654,,,,residential,False,False,50.22,"LINESTRING (13.3532288 42.9792881, 13.3531444 42.9793295, 13.3530628 42.9793295, 13.3528851 42.9792136, 13.3528035 42.9792136, 13.3527075 42.9792592)",,,
"[609338321, 1162756862]",2,SS78,"['Via Guglielmo Marconi', 'Via Fabio Filzi']",primary,False,False,191.829,"LINESTRING (13.3532288 42.9792881, 13.3532958 42.9792974, 13.3533964 42.9793013, 13.3534779 42.9792926, 13.3542643 42.979089, 13.3545202 42.9790561, 13.354753 42.9790544, 13.3550255 42.9790996, 13.3551754 42.9791442, 13.3552681 42.9791942, 13.3553481 42.9792541, 13.3553976 42.9793252)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,True,142.44200000000004,"LINESTRING (13.3532288 42.9792881, 13.3530933 42.9792415, 13.3529887 42.9791541, 13.3528599 42.9789661, 13.3527412 42.9788314, 13.3526591 42.9787809, 13.3525767 42.9787595, 13.3524201 42.9787276, 13.3520587 42.9787105, 13.3519406 42.9786941, 13.3518518 42.9786668)",,,
396873663,,,,residential,False,False,38.818,"LINESTRING (13.3560902 42.9811324, 13.3558331 42.9814265)",,,
29469996,,,Piazzale Garibaldi,tertiary,False,False,37.45,"LINESTRING (13.3560902 42.9811324, 13.3560719 42.9809506, 13.3560544 42.9808782, 13.3560177 42.9808018)",,,
29469996,,,Piazzale Garibaldi,tertiary,False,True,51.482,"LINESTRING (13.3560902 42.9811324, 13.3561009 42.98136, 13.3561295 42.9814814, 13.3561746 42.9815885)",,,
524700616,2,SS78,Via Antonio Migliorati,primary,False,False,9.345,"LINESTRING (13.3559251 42.9799406, 13.3559054 42.9798578)",,,
"[524700616, 1238238065]",2,SS78,Via Antonio Migliorati,primary,False,True,45.185,"LINESTRING (13.3559251 42.9799406, 13.355947 42.9800405, 13.356015 42.9803416)",,,
1162756870,,SP239,Via XX Settembre,primary,False,True,130.414,"LINESTRING (13.3559251 42.9799406, 13.3559754 42.9799387, 13.3560108 42.9799349, 13.3560654 42.9799205, 13.3561285 42.979897, 13.3562298 42.9798313, 13.356361 42.9797396, 13.3565464 42.9796099, 13.3566848 42.9795047, 13.3570174 42.979252, 13.3571114 42.9791804)",,,
"[1162756861, 112597726]",,SP196,"['Strada Provinciale 196 Callugo', 'Via Bora']",tertiary,False,False,409.894,"LINESTRING (13.3605654 42.9825832, 13.3604465 42.9825793, 13.3602498 42.9825932, 13.3601193 42.9825822, 13.3599137 42.9825471, 13.3592838 42.9823684, 13.3590816 42.9823477, 13.3586704 42.9823581, 13.3583826 42.9823538, 13.3581204 42.9823119, 13.3578099 42.982229, 13.3575808 42.9821887, 13.3573794 42.982181, 13.3570479 42.9822133, 13.3567454 42.9821957, 13.3565895 42.9821653, 13.3564712 42.9821035, 13.3562065 42.9818495, 13.3561389 42.9817591, 13.3561268 42.9816837, 13.3561746 42.9815885)",,,
"[112597706, 610314094, 610314095]",,SP196,Strada Provinciale 196 Callugo,tertiary,False,False,629.17,"LINESTRING (13.3605654 42.9825832, 13.360578 42.9826217, 13.360579 42.9826619, 13.360552 42.9827211, 13.3604946 42.9827804, 13.3604003 42.9828048, 13.3602784 42.982807, 13.3601147 42.9827769, 13.359621 42.982703, 13.3594102 42.9826901, 13.3592229 42.9826982, 13.3590517 42.9827397, 13.3588469 42.9828316, 13.3585134 42.9830345, 13.3583592 42.983087, 13.3582187 42.9831217, 13.3580946 42.9831325, 13.3579117 42.9831347, 13.3576208 42.9830839, 13.3573254 42.9830373, 13.3570866 42.9830334, 13.3564269 42.9830538, 13.3562422 42.9830724, 13.356157 42.9830935, 13.3560448 42.9831436, 13.3559203 42.9832239, 13.3558282 42.9833137, 13.3557792 42.9833806, 13.3557593 42.9834534, 13.3557587 42.9835391, 13.3557973 42.9836108, 13.3558702 42.9836921, 13.3560358 42.9838793, 13.3560963 42.9839756, 13.3561237 42.9840784, 13.3561224 42.9841858, 13.3560822 42.9842876, 13.356012 42.9843732, 13.3559104 42.9844333, 13.3557877 42.9844714, 13.3556557 42.9844883, 13.3553864 42.9844847, 13.3551993 42.9844615)",,,yes
190337651,,,Via Pignotto,residential,False,True,15.58,"LINESTRING (13.3541786 42.9775965, 13.3543575 42.9776465)",,,
190337651,,,Via Pignotto,residential,False,False,151.929,"LINESTRING (13.3541786 42.9775965, 13.3535369 42.9773888, 13.3524986 42.9770009)",,,
230571963,,,Via Ugo La Malfa,residential,False,False,294.767,"LINESTRING (13.3541786 42.9775965, 13.3540734 42.9774994, 13.3538142 42.9774099, 13.3536317 42.9773098, 13.3532896 42.9770686, 13.3530491 42.9768699, 13.352933 42.9767264, 13.3528183 42.9765689, 13.3525698 42.97621, 13.3522871 42.9760502, 13.3521375 42.9760209, 13.3519631 42.9760825, 13.3518478 42.9761763, 13.3518806 42.9763217)",,,
624413318,,,Via Ugo La Malfa,residential,False,False,60.659,"LINESTRING (13.3518806 42.9763217, 13.3512897 42.975989)",,,
230571963,,,Via Ugo La Malfa,residential,False,True,294.76700000000005,"LINESTRING (13.3518806 42.9763217, 13.3518478 42.9761763, 13.3519631 42.9760825, 13.3521375 42.9760209, 13.3522871 42.9760502, 13.3525698 42.97621, 13.3528183 42.9765689, 13.352933 42.9767264, 13.3530491 42.9768699, 13.3532896 42.9770686, 13.3536317 42.9773098, 13.3538142 42.9774099, 13.3540734 42.9774994, 13.3541786 42.9775965)",,,
624413320,,,Via Ugo La Malfa,residential,False,False,99.086,"LINESTRING (13.3518806 42.9763217, 13.3521638 42.9764968, 13.3525622 42.9767296, 13.3528183 42.9768902)",,,
230571964,,,,residential,False,True,312.593,"LINESTRING (13.3508164 42.9763086, 13.3507304 42.9762987, 13.3506588 42.9762919, 13.3505935 42.9763351, 13.3505629 42.9763815, 13.350604 42.9764609, 13.350821 42.9767248, 13.3510819 42.9771667, 13.3512227 42.977334, 13.3514103 42.9774734, 13.3517739 42.9776901, 13.3520463 42.9778411, 13.3523512 42.9780034, 13.3524278 42.9779969, 13.3527239 42.9780527, 13.3529433 42.9780826)",,,
1162756867,,,,residential,False,False,18.059,"LINESTRING (13.3559228 42.9789769, 13.3557009 42.9789724)",,,
1162756867,,,,residential,False,True,15.309,"LINESTRING (13.3559228 42.9789769, 13.3560658 42.9790664)",,,
396873662,,,,residential,False,True,57.775,"LINESTRING (13.3559228 42.9789769, 13.3558913 42.9787308, 13.3561178 42.9785146)",,,
1162756867,,,,residential,False,False,15.309,"LINESTRING (13.3560658 42.9790664, 13.3559228 42.9789769)",,,
524700611,,,,residential,True,False,42.962,"LINESTRING (13.3560658 42.9790664, 13.356252 42.9791926, 13.356439 42.9793394)",,,
1162756866,,,Piazzale Mercato,residential,True,False,32.817,"LINESTRING (13.356439 42.9793394, 13.3561426 42.9795396)",,,
230571962,,,Via Pignotto,residential,False,True,57.735,"LINESTRING (13.356439 42.9793394, 13.3566547 42.9792241, 13.3568883 42.9789491)",,,
1162756868,,,Via Monte Basilio,residential,True,False,60.806,"LINESTRING (13.356439 42.9793394, 13.356511 42.9793498, 13.356834 42.9791904, 13.3569132 42.979167, 13.3571114 42.9791804)",,,
524700611,,,,residential,True,False,53.01,"LINESTRING (13.3561426 42.9795396, 13.3560928 42.9792924, 13.3560658 42.9790664)",,,
524700614,,,,residential,False,True,53.89,"LINESTRING (13.3561426 42.9795396, 13.3561255 42.9795515, 13.3561161 42.9795937, 13.3561349 42.9796291, 13.3561684 42.9796909, 13.3561738 42.9797654, 13.3561403 42.9798223, 13.356096 42.9798498, 13.3560075 42.9798635, 13.3559054 42.9798578)",,,
1239037828,2,SS78,Via Antonio Migliorati,primary,False,True,28.489,"LINESTRING (13.355851 42.9796047, 13.3559054 42.9798578)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,False,71.392,"LINESTRING (13.355851 42.9796047, 13.3557906 42.9792964, 13.355733 42.9790819, 13.3557009 42.9789724)",,,
"[524697152, 396873651]",,,,residential,False,False,568.451,"LINESTRING (13.3504614 42.9776957, 13.3503261 42.9777382, 13.350254 42.9777172, 13.3501388 42.9773132, 13.3500236 42.976969, 13.3499371 42.9768671, 13.3497163 42.9768636, 13.349457 42.9769128, 13.3493946 42.9769373, 13.3493562 42.9770041, 13.349433 42.9776083, 13.349529 42.9778717, 13.3497211 42.9781492, 13.3504173 42.9787148, 13.3508254 42.979052, 13.3511519 42.9792663, 13.3514784 42.9793962, 13.3518241 42.9794489, 13.3520353 42.9795121, 13.3522299 42.9795823)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,False,118.705,"LINESTRING (13.3504614 42.9776957, 13.350505 42.9777552, 13.3506187 42.9778618, 13.3507155 42.9779356, 13.3508403 42.9780004, 13.3512658 42.9781262, 13.3514436 42.9781902, 13.3515841 42.9783254)",,,
524697152,,,,residential,False,True,11.526,"LINESTRING (13.352357 42.9796281, 13.3522299 42.9795823)",,,
524697152,,,,residential,False,False,11.526,"LINESTRING (13.3522299 42.9795823, 13.352357 42.9796281)",,,
396873652,,,,residential,False,False,159.85399999999998,"LINESTRING (13.3522299 42.9795823, 13.3523666 42.9793435, 13.3523762 42.9792803, 13.352333 42.9792452, 13.3515552 42.9789466, 13.351488 42.9789045, 13.3514784 42.9788588, 13.3516464 42.9787042, 13.3517136 42.9787007, 13.3517954 42.9787319)",,,
"[524697152, 396873651]",,,,residential,False,True,568.4510000000001,"LINESTRING (13.3522299 42.9795823, 13.3520353 42.9795121, 13.3518241 42.9794489, 13.3514784 42.9793962, 13.3511519 42.9792663, 13.3508254 42.979052, 13.3504173 42.9787148, 13.3497211 42.9781492, 13.349529 42.9778717, 13.349433 42.9776083, 13.3493562 42.9770041, 13.3493946 42.9769373, 13.349457 42.9769128, 13.3497163 42.9768636, 13.3499371 42.9768671, 13.3500236 42.976969, 13.3501388 42.9773132, 13.350254 42.9777172, 13.3503261 42.9777382, 13.3504614 42.9776957)",,,
436861971,,,,residential,False,True,34.782,"LINESTRING (13.3521746 42.9788764, 13.3517954 42.9787319)",,,
396873653,,,,residential,False,False,8.57,"LINESTRING (13.3517954 42.9787319, 13.3518518 42.9786668)",,,
436861971,,,,residential,False,False,34.782,"LINESTRING (13.3517954 42.9787319, 13.3521746 42.9788764)",,,
396873652,,,,residential,False,True,159.854,"LINESTRING (13.3517954 42.9787319, 13.3517136 42.9787007, 13.3516464 42.9787042, 13.3514784 42.9788588, 13.351488 42.9789045, 13.3515552 42.9789466, 13.352333 42.9792452, 13.3523762 42.9792803, 13.3523666 42.9793435, 13.3522299 42.9795823)",,,
396873653,,,,residential,False,True,8.57,"LINESTRING (13.3518518 42.9786668, 13.3517954 42.9787319)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,False,142.442,"LINESTRING (13.3518518 42.9786668, 13.3519406 42.9786941, 13.3520587 42.9787105, 13.3524201 42.9787276, 13.3525767 42.9787595, 13.3526591 42.9787809, 13.3527412 42.9788314, 13.3528599 42.9789661, 13.3529887 42.9791541, 13.3530933 42.9792415, 13.3532288 42.9792881)",,,
609338321,2,SS78,Via Fabio Filzi,primary,False,True,44.466,"LINESTRING (13.3518518 42.9786668, 13.351773 42.9786146, 13.3516932 42.9785272, 13.3515841 42.9783254)",,,
396873654,,,,residential,False,True,50.22,"LINESTRING (13.3527075 42.9792592, 13.3528035 42.9792136, 13.3528851 42.9792136, 13.3530628 42.9793295, 13.3531444 42.9793295, 13.3532288 42.9792881)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,True,93.242,"LINESTRING (13.352055 42.9775527, 13.3529433 42.9780826)",,,
227402142,2,SS78,Via Cesare Battisti,primary,False,False,182.847,"LINESTRING (13.352055 42.9775527, 13.3516104 42.9772853, 13.3513917 42.9771184, 13.3512401 42.976847, 13.3509399 42.9761835)",,,
396873657,,,Via Europa,residential,False,False,144.27399999999997,"LINESTRING (13.352055 42.9775527, 13.3522178 42.9774678, 13.3522706 42.9774748, 13.3525779 42.9776188, 13.3526595 42.9776118, 13.3527411 42.9775169, 13.3527219 42.9774713, 13.3524242 42.9773062, 13.3523906 42.9772535, 13.352525 42.9771165, 13.3525442 42.9770814, 13.3524986 42.9770009)",,,
190337651,,,Via Pignotto,residential,False,False,156.821,"LINESTRING (13.3524986 42.9770009, 13.3523614 42.9769496, 13.3510847 42.976219, 13.3509399 42.9761835)",,,
190337651,,,Via Pignotto,residential,False,True,151.929,"LINESTRING (13.3524986 42.9770009, 13.3535369 42.9773888, 13.3541786 42.9775965)",,,
396873657,,,Via Europa,residential,False,True,144.274,"LINESTRING (13.3524986 42.9770009, 13.3525442 42.9770814, 13.352525 42.9771165, 13.3523906 42.9772535, 13.3524242 42.9773062, 13.3527219 42.9774713, 13.3527411 42.9775169, 13.3526595 42.9776118, 13.3525779 42.9776188, 13.3522706 42.9774748, 13.3522178 42.9774678, 13.352055 42.9775527)",,,
396873658,,,,residential,False,False,53.424,"LINESTRING (13.3546596 42.9772199, 13.3543575 42.9776465)",,,
190337651,,,Via Pignotto,residential,False,False,15.58,"LINESTRING (13.3543575 42.9776465, 13.3541786 42.9775965)",,,
190337651,,,Via Pignotto,residential,False,True,15.503,"LINESTRING (13.3543575 42.9776465, 13.3545355 42.9776963)",,,
396873658,,,,residential,False,True,53.424,"LINESTRING (13.3543575 42.9776465, 13.3546596 42.9772199)",,,
190337651,,,Via Pignotto,residential,False,False,15.503,"LINESTRING (13.3545355 42.9776963, 13.3543575 42.9776465)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,False,34.154,"LINESTRING (13.3545355 42.9776963, 13.354436 42.9779947)",,,
"[230571962, 190337651]",,,Via Pignotto,residential,False,"[False, True]",280.858,"LINESTRING (13.3545355 42.9776963, 13.3552054 42.9778836, 13.3560776 42.9780408, 13.3568044 42.9782813, 13.3569449 42.978358, 13.3570134 42.9784278, 13.3570382 42.9785158, 13.357003 42.9787979, 13.3569304 42.9788995, 13.3568883 42.9789491)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,True,34.154,"LINESTRING (13.354436 42.9779947, 13.3545355 42.9776963)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,False,152.182,"LINESTRING (13.354436 42.9779947, 13.3546856 42.978079, 13.3555114 42.9782265, 13.3558187 42.9783143, 13.356082 42.9784533, 13.3561178 42.9785146)",,,
436861992,,,,residential,False,False,41.147999999999996,"LINESTRING (13.354436 42.9779947, 13.3543593 42.9780398, 13.3543204 42.9780749, 13.3541876 42.9781818, 13.3540548 42.9782299)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,False,79.96600000000001,"LINESTRING (13.3561178 42.9785146, 13.3563458 42.9786901, 13.3566757 42.9788155, 13.3568883 42.9789491)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,True,152.18200000000002,"LINESTRING (13.3561178 42.9785146, 13.356082 42.9784533, 13.3558187 42.9783143, 13.3555114 42.9782265, 13.3546856 42.978079, 13.354436 42.9779947)",,,
396873662,,,,residential,False,False,57.775,"LINESTRING (13.3561178 42.9785146, 13.3558913 42.9787308, 13.3559228 42.9789769)",,,
230571962,,,Via Pignotto,residential,False,False,57.735,"LINESTRING (13.3568883 42.9789491, 13.3566547 42.9792241, 13.356439 42.9793394)",,,
"[230571962, 190337651]",,,Via Pignotto,residential,False,"[False, True]",280.858,"LINESTRING (13.3568883 42.9789491, 13.3569304 42.9788995, 13.357003 42.9787979, 13.3570382 42.9785158, 13.3570134 42.9784278, 13.3569449 42.978358, 13.3568044 42.9782813, 13.3560776 42.9780408, 13.3552054 42.9778836, 13.3545355 42.9776963)",,,
396873660,,,Via Giuseppe Treggiari,residential,False,True,79.966,"LINESTRING (13.3568883 42.9789491, 13.3566757 42.9788155, 13.3563458 42.9786901, 13.3561178 42.9785146)",,,
396873663,,,,residential,False,True,38.818,"LINESTRING (13.3558331 42.9814265, 13.3560902 42.9811324)",,,
"[396873666, 396873669]",,,"['Via Nazario Sauro', 'Via Roma']",residential,False,"[False, True]",276.16600000000005,"LINESTRING (13.3576456 42.9807381, 13.3579313 42.9807767, 13.3581435 42.9807466, 13.3586656 42.9806935, 13.3589063 42.9806584, 13.3591328 42.9807178, 13.3593209 42.9807215, 13.3595002 42.9807024, 13.3595958 42.9806891, 13.3598241 42.9806163, 13.3599747 42.9805301, 13.3600677 42.9804679, 13.3601112 42.9804157, 13.3601952 42.9804102, 13.3604693 42.9804451, 13.3608363 42.9805538)",,,
112597689,,,,residential,False,False,297.10999999999996,"LINESTRING (13.3593513 42.9814987, 13.3591937 42.9814458, 13.3589122 42.9814589, 13.358215 42.981642, 13.3568939 42.9820365, 13.3567598 42.9820371, 13.3566088 42.9820147, 13.3564658 42.981935, 13.3563067 42.9817989, 13.3561746 42.9815885)",,,
396873670,,,,residential,False,True,163.13400000000001,"LINESTRING (13.3593513 42.9814987, 13.3593983 42.9814053, 13.3595241 42.981323, 13.3602977 42.9809492, 13.3605766 42.9807994, 13.3607368 42.9806782, 13.3608363 42.9805538)",,,
"[396873666, 396873669]",,,"['Via Nazario Sauro', 'Via Roma']",residential,False,"[False, True]",276.166,"LINESTRING (13.3608363 42.9805538, 13.3604693 42.9804451, 13.3601952 42.9804102, 13.3601112 42.9804157, 13.3600677 42.9804679, 13.3599747 42.9805301, 13.3598241 42.9806163, 13.3595958 42.9806891, 13.3595002 42.9807024, 13.3593209 42.9807215, 13.3591328 42.9807178, 13.3589063 42.9806584, 13.3586656 42.9806935, 13.3581435 42.9807466, 13.3579313 42.9807767, 13.3576456 42.9807381)",,,
396873670,,,,residential,False,False,163.13400000000001,"LINESTRING (13.3608363 42.9805538, 13.3607368 42.9806782, 13.3605766 42.9807994, 13.3602977 42.9809492, 13.3595241 42.981323, 13.3593983 42.9814053, 13.3593513 42.9814987)",,,
"[112597706, 610314094, 610314095]",,SP196,Strada Provinciale 196 Callugo,tertiary,False,True,629.1699999999998,"LINESTRING (13.3551993 42.9844615, 13.3553864 42.9844847, 13.3556557 42.9844883, 13.3557877 42.9844714, 13.3559104 42.9844333, 13.356012 42.9843732, 13.3560822 42.9842876, 13.3561224 42.9841858, 13.3561237 42.9840784, 13.3560963 42.9839756, 13.3560358 42.9838793, 13.3558702 42.9836921, 13.3557973 42.9836108, 13.3557587 42.9835391, 13.3557593 42.9834534, 13.3557792 42.9833806, 13.3558282 42.9833137, 13.3559203 42.9832239, 13.3560448 42.9831436, 13.356157 42.9830935, 13.3562422 42.9830724, 13.3564269 42.9830538, 13.3570866 42.9830334, 13.3573254 42.9830373, 13.3576208 42.9830839, 13.3579117 42.9831347, 13.3580946 42.9831325, 13.3582187 42.9831217, 13.3583592 42.983087, 13.3585134 42.9830345, 13.3588469 42.9828316, 13.3590517 42.9827397, 13.3592229 42.9826982, 13.3594102 42.9826901, 13.359621 42.982703, 13.3601147 42.9827769, 13.3602784 42.982807, 13.3604003 42.9828048, 13.3604946 42.9827804, 13.360552 42.9827211, 13.360579 42.9826619, 13.360578 42.9826217, 13.3605654 42.9825832)",,,yes
913319329,,,,residential,False,False,14.745000000000001,"LINESTRING (13.3558385 42.9803718, 13.3559219 42.9803575, 13.356015 42.9803416)",,,
609338326,,,,residential,False,False,18.211,"LINESTRING (13.3552914 42.9804527, 13.3553752 42.9804037, 13.3554793 42.9803653)",,,
609338326,,,,residential,False,True,18.211,"LINESTRING (13.3554793 42.9803653, 13.3553752 42.9804037, 13.3552914 42.9804527)",,,
"[1162756859, 609338327]",2,SS78,"['Via Guglielmo Marconi', 'Piazzale Garibaldi']",primary,False,False,83.04899999999999,"LINESTRING (13.3554793 42.9803653, 13.3556142 42.9807121, 13.3556434 42.9807742, 13.3557117 42.980835, 13.3558061 42.9808584, 13.355916 42.9808489, 13.3560177 42.9808018)",,,
