osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel
995420212,,,Via Coppadoro,unclassified,,True,False,21.887999999999998,"LINESTRING (12.0713002 45.5463585, 12.0711903 45.5464167, 12.0711091 45.5464553, 12.0710751 45.5464761)",,,
"[134197625, 1081143614]",2,,Via A. De Gasperi,residential,,False,False,182.36599999999999,"LINESTRING (12.073681 45.5504861, 12.0738854 45.5516038, 12.0739781 45.5521129)",,,
123575866,,,Piazzale Bastia,residential,,False,False,14.666,"LINESTRING (12.0739781 45.5521129, 12.0741655 45.5520997)",,,
123575866,,,Piazzale Bastia,residential,,False,True,42.221000000000004,"LINESTRING (12.0739781 45.5521129, 12.0736073 45.5521431, 12.0734395 45.5521568)",,,
"[134197625, 1081143614]",2,,Via A. De Gasperi,residential,,False,True,182.36599999999999,"LINESTRING (12.0739781 45.5521129, 12.0738854 45.5516038, 12.073681 45.5504861)",,,
134197617,2,,Via Sant'Andrea,secondary,,False,False,66.806,"LINESTRING (12.0769402 45.5518764, 12.0769248 45.5512757)",,,
134197617,2,,Via Sant'Andrea,secondary,,False,True,260.087,"LINESTRING (12.0769402 45.5518764, 12.0769632 45.5521735, 12.0768872 45.5522766, 12.0767196 45.5523559, 12.0760424 45.5525128, 12.0758012 45.5525628, 12.0756722 45.5525786, 12.0752393 45.5526146, 12.0744506 45.5526785, 12.0742303 45.5526956)",,,
134197623,,,Via Battuti,residential,,False,False,331.671,"LINESTRING (12.0769402 45.5518764, 12.07617 45.5519392, 12.0761072 45.551893, 12.076053 45.5495684, 12.0760518 45.5495173)",,,
134197623,,,Via Battuti,residential,,False,True,331.671,"LINESTRING (12.0760518 45.5495173, 12.076053 45.5495684, 12.0761072 45.551893, 12.07617 45.5519392, 12.0769402 45.5518764)",,,
314839279,1,SP38,Via dei Novale,tertiary,,True,False,65.20100000000001,"LINESTRING (12.0760518 45.5495173, 12.0766517 45.5494189, 12.0768035 45.5493916, 12.0768677 45.5493956)",,,
134197737,,,Vicolo Sant'Andrea,residential,,False,False,66.463,"LINESTRING (12.0777712 45.5511985, 12.0769248 45.5512757)",,,
123576343,,,Strada degli Ongari,residential,,True,False,216.63799999999998,"LINESTRING (12.0777712 45.5511985, 12.0776806 45.5492851, 12.077679 45.5492513)",,,
134197617,2,,Via Sant'Andrea,secondary,,False,True,66.806,"LINESTRING (12.0769248 45.5512757, 12.0769402 45.5518764)",,,
134197737,,,Vicolo Sant'Andrea,residential,,False,True,66.463,"LINESTRING (12.0769248 45.5512757, 12.0777712 45.5511985)",,,
134197617,2,,Via Sant'Andrea,secondary,,False,False,209.24399999999997,"LINESTRING (12.0769248 45.5512757, 12.0769275 45.5511138, 12.0769017 45.5498526, 12.0768609 45.5494301, 12.0768613 45.5494186, 12.0768616 45.5494116, 12.0768677 45.5493956)",,,
150363939,,,Via Friuli,residential,,False,False,77.527,"LINESTRING (12.0696348 45.5461033, 12.0697005 45.546799)",,,
150363910,,,Via Arta Terme,residential,,False,False,12.233,"LINESTRING (12.0687939 45.5459483, 12.0687052 45.5460391)",,,
150363905,,,Via Aldo Moro,unclassified,50,False,False,38.915,"LINESTRING (12.0676982 45.5461165, 12.0677314 45.5464657)",,,
150363910,,,Via Arta Terme,residential,,False,True,78.89,"LINESTRING (12.0676982 45.5461165, 12.0687052 45.5460391)",,,
150363947,,,Via Antonio Gramsci,residential,,False,False,159.589,"LINESTRING (12.0671913 45.5465016, 12.0671622 45.5465462, 12.0671519 45.5466328, 12.0672812 45.5476369, 12.0672701 45.5479279)",,,
150363973,,,Via Montello,residential,,False,True,42.909,"LINESTRING (12.0671913 45.5465016, 12.0673201 45.5464637, 12.0677314 45.5464657)",,,
150363905,,,Via Aldo Moro,unclassified,50,False,True,38.915,"LINESTRING (12.0677314 45.5464657, 12.0676982 45.5461165)",,,
150363973,,,Via Montello,residential,,False,True,8.639,"LINESTRING (12.0677314 45.5464657, 12.0678422 45.5464695)",,,
150363973,,,Via Montello,residential,,False,False,42.909,"LINESTRING (12.0677314 45.5464657, 12.0673201 45.5464637, 12.0671913 45.5465016)",,,
150363973,,,Via Montello,residential,,False,False,8.639,"LINESTRING (12.0678422 45.5464695, 12.0677314 45.5464657)",,,
150364051,,,Vicolo del Palio,residential,,False,True,89.577,"LINESTRING (12.0678422 45.5464695, 12.0679208 45.5472732)",,,
150363973,,,Via Montello,residential,,False,True,149.968,"LINESTRING (12.0678422 45.5464695, 12.0683108 45.5465151, 12.0685811 45.5465713, 12.0686877 45.5465913, 12.0690825 45.5466975, 12.0693039 45.546751, 12.0694821 45.5467812, 12.0695908 45.5467915, 12.0697005 45.546799)",,,
150363939,,,Via Friuli,residential,,False,True,77.527,"LINESTRING (12.0697005 45.546799, 12.0696348 45.5461033)",,,
150363973,,,Via Montello,residential,,False,False,149.96800000000002,"LINESTRING (12.0697005 45.546799, 12.0695908 45.5467915, 12.0694821 45.5467812, 12.0693039 45.546751, 12.0690825 45.5466975, 12.0686877 45.5465913, 12.0685811 45.5465713, 12.0683108 45.5465151, 12.0678422 45.5464695)",,,
150363973,,,Via Montello,residential,,False,True,79.886,"LINESTRING (12.0697005 45.546799, 12.0698072 45.5467956, 12.0699943 45.5467757, 12.070295 45.5467339, 12.0704992 45.5467025, 12.0706326 45.5466827, 12.070709 45.5466724)",,,
150364043,,,Via del Palio,residential,,False,False,74.299,"LINESTRING (12.0686491 45.5472715, 12.068689 45.5479391)",,,
150364051,,,Vicolo del Palio,residential,,False,False,89.577,"LINESTRING (12.0679208 45.5472732, 12.0678422 45.5464695)",,,
64042495,2,,Via della Cerva,tertiary,,False,False,114.77799999999999,"LINESTRING (12.0712448 45.547815, 12.0711771 45.5478118, 12.071144 45.5478102, 12.0709941 45.5477944, 12.0707885 45.5477656, 12.0704986 45.547743, 12.0700951 45.5477399, 12.069784 45.5477804)",,,
150363923,,,Via Coppadoro,residential,,False,False,31.297,"LINESTRING (12.0712448 45.547815, 12.0713216 45.5478019, 12.0713536 45.5477965, 12.0716253 45.5477256)",,,
215454457,2,SR515,Via Ubaldo Bregolini,primary,50,False,False,124.874,"LINESTRING (12.0712448 45.547815, 12.0709944 45.5469354, 12.0709424 45.546832, 12.0709048 45.5467691, 12.0708767 45.546725)",,,
"[215454456, 215454457, 123585114]",2,SR515,Via Ubaldo Bregolini,primary,50,False,True,239.832,"LINESTRING (12.0712448 45.547815, 12.071389 45.5483591, 12.0715223 45.5488104, 12.0715615 45.548908, 12.0716275 45.5490811, 12.0717514 45.5493834, 12.0718191 45.5495661, 12.0719066 45.5497726, 12.0719818 45.549906)",yes,,
150364043,,,Via del Palio,residential,,False,True,74.299,"LINESTRING (12.068689 45.5479391, 12.0686491 45.5472715)",,,
64042495,2,,Via della Cerva,tertiary,,False,False,110.78500000000001,"LINESTRING (12.068689 45.5479391, 12.0685268 45.5479594, 12.0676552 45.5479477, 12.0672701 45.5479279)",,,
64042495,2,,Via della Cerva,tertiary,,False,True,87.17,"LINESTRING (12.068689 45.5479391, 12.0690952 45.547897, 12.0696961 45.5477918, 12.069784 45.5477804)",,,
64042495,2,,Via della Cerva,tertiary,,False,True,110.78500000000001,"LINESTRING (12.0672701 45.5479279, 12.0676552 45.5479477, 12.0685268 45.5479594, 12.068689 45.5479391)",,,
150363947,,,Via Antonio Gramsci,residential,,False,True,159.58900000000003,"LINESTRING (12.0672701 45.5479279, 12.0672812 45.5476369, 12.0671519 45.5466328, 12.0671622 45.5465462, 12.0671913 45.5465016)",,,
353663722,,,Via Tiziano Vecellio,residential,,False,True,77.666,"LINESTRING (12.0672701 45.5479279, 12.0672327 45.5480375, 12.0672812 45.5486223)",,,
353663722,,,Via Tiziano Vecellio,residential,,False,True,76.64,"LINESTRING (12.0672812 45.5486223, 12.0673378 45.5493104)",,,
150363908,,,Via Andrea Palladio,residential,,False,False,88.00699999999999,"LINESTRING (12.0672812 45.5486223, 12.0663236 45.5486533, 12.0661522 45.5486584)",,,
353663722,,,Via Tiziano Vecellio,residential,,False,False,77.666,"LINESTRING (12.0672812 45.5486223, 12.0672327 45.5480375, 12.0672701 45.5479279)",,,
150363908,,,Via Andrea Palladio,residential,,False,True,88.00699999999999,"LINESTRING (12.0661522 45.5486584, 12.0663236 45.5486533, 12.0672812 45.5486223)",,,
