osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed
114152218,True,,Via Sasso,residential,False,58.469,"LINESTRING (17.8058811 40.5597543, 17.8053513 40.5596584, 17.8052078 40.5596325)",,
114077018,True,,Via Paduano,residential,False,67.881,"LINESTRING (17.806075 40.5593396, 17.8068263 40.5595561)",,
114152216,True,,Via Duca Asparra,residential,False,48.936,"LINESTRING (17.806075 40.5593396, 17.8058811 40.5597543)",,
114077020,False,,Via Luigi di Savoia,residential,True,66.482,"LINESTRING (17.8056807 40.5578232, 17.8049049 40.5579235)",,
114152221,True,,Via Centrale Elettrica,residential,False,12.685,"LINESTRING (17.8056807 40.5578232, 17.8056632 40.5579365)",1,
114204124,False,,Via Ionima,residential,False,45.229,"LINESTRING (17.8056807 40.5578232, 17.806207 40.5577486)",,
114152216,True,,Via Duca Asparra,residential,False,40.547,"LINESTRING (17.8066108 40.5582856, 17.806408 40.5586161)",,
114152205,True,,Via degli Agnano,residential,False,45.095,"LINESTRING (17.8058746 40.5584121, 17.8053962 40.5582322)",,
114152214,True,,Via Fabio Filzi,residential,False,86.415,"LINESTRING (17.8033353 40.5594271, 17.8033236 40.5602042)",,
114157592,False,,Via Zara,residential,True,48.757,"LINESTRING (17.803473 40.5588153, 17.8029018 40.5587525)",,
114106809,True,,Via Dante Alighieri,residential,False,59.346000000000004,"LINESTRING (17.803473 40.5588153, 17.803612 40.5590581, 17.8036529 40.5592721, 17.803653 40.5593248)",,
114185621,False,,Piazzetta dei Giovanomo,residential,False,16.697,"LINESTRING (17.8082497 40.5588166, 17.8083962 40.5589174)",,
56683998,True,,Vico dei Venerio,unclassified,False,43.977999999999994,"LINESTRING (17.8073151 40.5596831, 17.8072868 40.5596624, 17.8070431 40.5596053, 17.8068263 40.5595561)",,
114078011,True,SS605,Via Dottor Roberto Antonucci,secondary,False,46.438,"LINESTRING (17.8061436 40.5623442, 17.8057773 40.5626556)",1,
114173834,True,,Via Ventiquattro Maggio,residential,False,79.57499999999999,"LINESTRING (17.8061436 40.5623442, 17.805947 40.5620572, 17.8054943 40.5622455)",1,
420642166,False,,Vico dei Caputo,residential,False,31.171999999999997,"LINESTRING (17.8089061 40.5583379, 17.808943 40.55836, 17.8090003 40.5584232, 17.809106 40.5585393, 17.809126 40.5585613)",,
420642167,True,,Vico dei Caputo,residential,False,25.174999999999997,"LINESTRING (17.8089061 40.5583379, 17.8087712 40.5581626, 17.8087556 40.5581425)",,
114173855,True,,Via Cirillo Capozza,residential,False,60.927,"LINESTRING (17.8104982 40.5611538, 17.810743 40.5606384)",,
114173878,False,,Via dello Diago,residential,True,23.636,"LINESTRING (17.8104982 40.5611538, 17.8107742 40.5611887)",,
114099495,True,,Via Francesco Vita,unclassified,False,46.016,"LINESTRING (17.8106715 40.5616425, 17.8112142 40.5616782)",,
114173840,False,,Via Antonio Corsi,residential,False,51.201,"LINESTRING (17.8106715 40.5616425, 17.8107742 40.5611887)",,
112794604,False,,Via Albricci,residential,True,28.979,"LINESTRING (17.8087489 40.5594655, 17.8087388 40.559726)",,
112794604,False,,Via Albricci,residential,False,50.081,"LINESTRING (17.8087489 40.5594655, 17.8087869 40.5593919, 17.8088623 40.5592812, 17.8090172 40.5590644)",,
114173881,False,,Via De' Florenzia,residential,True,58.257,"LINESTRING (17.8087489 40.5594655, 17.8085202 40.5593341, 17.8085152 40.5592597, 17.8082504 40.559145)",,
114173876,False,,Via avvocato Cesare Caracciolo,residential,True,39.884,"LINESTRING (17.8082291 40.5587434, 17.8080847 40.5586195, 17.807971 40.5584467)",,
114106787,True,,Via Giampietro Zullo,residential,False,31.023,"LINESTRING (17.810743 40.5606384, 17.8103936 40.5605525)",,
114078014,True,SS605,Via Federico II Svevo,unclassified,False,50.739000000000004,"LINESTRING (17.8099587 40.5611674, 17.8098653 40.5613041, 17.809682 40.5615724)",,
"[1102399626, 114173855]",True,,"['Via Cirillo Capozza', 'Piazza Alessandro Romano']",residential,False,53.491,"LINESTRING (17.8099587 40.5611674, 17.8102112 40.5612051, 17.8104598 40.5612422, 17.8104982 40.5611538)",,
114078011,True,SS605,Via Dottor Roberto Antonucci,secondary,False,16.583,"LINESTRING (17.8057773 40.5626556, 17.8056559 40.5627728)",1,
114173840,False,,Via Antonio Corsi,residential,True,51.201,"LINESTRING (17.8107742 40.5611887, 17.8106715 40.5616425)",,
114173878,False,,Via dello Diago,residential,False,23.636,"LINESTRING (17.8107742 40.5611887, 17.8104982 40.5611538)",,
114173878,False,,Via dello Diago,residential,True,49.317,"LINESTRING (17.8107742 40.5611887, 17.8113499 40.5612623)",,
114173880,False,,Corte Perrino Donato,residential,True,104.04,"LINESTRING (17.808502 40.5615798, 17.8073294 40.5612937)",,
675773568,False,,Corte Trieste,residential,True,57.513,"LINESTRING (17.8048996 40.5624973, 17.8054943 40.5622455)",,
371640810,False,,Vico dei Sambiagio,residential,False,59.404999999999994,"LINESTRING (17.8100282 40.5599477, 17.8101514 40.5599586, 17.8102044 40.5598119, 17.8102751 40.5597513, 17.8103141 40.5596853, 17.8103557 40.5595545)",,
"[112794622, 955367678]",True,,"['Via Antonio Profilo fu Tommaso', 'Via Geofilo']",residential,False,51.068999999999996,"LINESTRING (17.8099064 40.5591175, 17.8099325 40.558968, 17.8099858 40.5586622)",,
114185623,True,,Vico dei Braccio,residential,False,75.739,"LINESTRING (17.8099064 40.5591175, 17.8095189 40.5591253, 17.809325 40.5591117, 17.8092986 40.5591098, 17.8092491 40.5591018, 17.8090172 40.5590644)",,
912037124,False,,Via Cicerone,residential,True,33.507,"LINESTRING (17.8027999 40.555383, 17.8027078 40.5556761)",,
114204108,False,,Corte Noja,residential,False,8.157,"LINESTRING (17.8057625 40.5560953, 17.8057427 40.5560235)",,
114204127,True,,Via dei Noja,residential,False,43.441,"LINESTRING (17.8057625 40.5560953, 17.8062763 40.5560799)",1,
114099482,True,,Via Trento,residential,False,74.666,"LINESTRING (17.8113834 40.5640087, 17.8105797 40.563865, 17.810523 40.5638549)",1,
108912820,False,,Via Carlo Goldoni,residential,True,24.663,"LINESTRING (17.8049117 40.5553103, 17.8046404 40.5553922)",,
114204106,True,,Via Leopardi,residential,False,48.555,"LINESTRING (17.8049117 40.5553103, 17.8050282 40.5557379)",,
114077010,False,,Via Lucci,residential,False,23.993,"LINESTRING (17.8068568 40.5569663, 17.8069046 40.557179)",,
912037130,True,,Via dei Musciacchi,residential,False,51.752,"LINESTRING (17.8074752 40.5569689, 17.8073648 40.5565111)",,
114077013,True,,Via Basilio II,residential,False,47.616,"LINESTRING (17.8064304 40.5566254, 17.8058744 40.5566956)",,
114077014,True,,Via Arco Ferraro,residential,False,55.309,"LINESTRING (17.8057427 40.5560235, 17.8051392 40.5562163)",,
114204108,False,,Corte Noja,residential,False,50.729,"LINESTRING (17.8057427 40.5560235, 17.8056622 40.5555714)",,
114204108,False,,Corte Noja,residential,True,8.157,"LINESTRING (17.8057427 40.5560235, 17.8057625 40.5560953)",,
114204105,True,,Via progresso,residential,False,62.038,"LINESTRING (17.8062763 40.5560799, 17.8064304 40.5566254)",1,
114204127,True,,Via dei Noja,residential,False,80.772,"LINESTRING (17.8062763 40.5560799, 17.8072317 40.5560525)",1,
114077025,True,,Via Giuseppe Trono,residential,False,58.133,"LINESTRING (17.8054339 40.5573717, 17.8061126 40.5572855)",,
987445462,True,,Corte dei Noja,residential,False,67.417,"LINESTRING (17.8058744 40.5566956, 17.8057625 40.5560953)",1,
1044342795,False,,Via Basilio II,residential,False,51.124,"LINESTRING (17.8058744 40.5566956, 17.8052767 40.5567675)",,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,98.785,"LINESTRING (17.8127356 40.5569139, 17.8130044 40.5560493)",1,20
114233839,False,,Corte Antonio Rascaccio,residential,True,64.569,"LINESTRING (17.8127356 40.5569139, 17.8119924 40.5567784)",,
114233838,False,,Corte Tarallo Lavino,residential,False,104.364,"LINESTRING (17.8110483 40.555784, 17.8119491 40.5557838, 17.8122103 40.5559426)",,
74735704,True,,Via Labanchi,residential,False,72.705,"LINESTRING (17.8117993 40.5553817, 17.8124915 40.5557702)",,
74735706,True,SS605,Via Roma,unclassified,False,62.999,"LINESTRING (17.8115318 40.5566051, 17.8110721 40.5570512)",,
114233837,True,,Via Caterina Storni,residential,False,134.368,"LINESTRING (17.8115318 40.5566051, 17.8104076 40.5557503)",1,
114233839,False,,Corte Antonio Rascaccio,residential,False,64.569,"LINESTRING (17.8119924 40.5567784, 17.8127356 40.5569139)",,
114265805,False,,Vico Mauro,residential,False,45.236,"LINESTRING (17.8081299 40.5572927, 17.8080337 40.5568925)",,
114265805,False,,Vico Mauro,residential,True,58.939,"LINESTRING (17.8079046 40.5563716, 17.8080337 40.5568925)",,
114278808,False,,Via Parma,residential,True,50.103,"LINESTRING (17.8093112 40.5554415, 17.8087252 40.5553722)",,
1039928040,True,,Via San Pancrazio,residential,False,55.839,"LINESTRING (17.8093112 40.5554415, 17.8092159 40.5556934, 17.809225 40.5558729, 17.809228 40.5559333)",,
114274256,True,,Via Gabriele D'Annunzio,unclassified,False,45.263999999999996,"LINESTRING (17.806885 40.5552757, 17.8069104 40.5553994, 17.8069676 40.5556779)",,
114278808,False,,Via Parma,residential,False,50.103,"LINESTRING (17.8087252 40.5553722, 17.8093112 40.5554415)",,
108912820,False,,Via Carlo Goldoni,residential,False,71.001,"LINESTRING (17.8038661 40.5556404, 17.8043293 40.5554894, 17.8046404 40.5553922)",,
108912820,False,,Via Carlo Goldoni,residential,True,54.206,"LINESTRING (17.8038661 40.5556404, 17.8034089 40.5557837, 17.8033595 40.5557863, 17.8032638 40.555772)",,
114077014,True,,Via Arco Ferraro,residential,False,60.798,"LINESTRING (17.8069676 40.5556779, 17.8068467 40.5557084, 17.8062925 40.5558671)",,
114204106,True,,Via Leopardi,residential,False,54.016,"LINESTRING (17.8050282 40.5557379, 17.8051392 40.5562163)",,
114106773,True,,Via Vittorio Alfieri,residential,False,100.454,"LINESTRING (17.8050282 40.5557379, 17.80398 40.5560872, 17.8039393 40.5561008)",1,
108912820,False,,Via Carlo Goldoni,residential,False,10.944,"LINESTRING (17.8031376 40.5557498, 17.8032638 40.555772)",,
108912820,False,,Via Carlo Goldoni,residential,True,37.224,"LINESTRING (17.8031376 40.5557498, 17.8027078 40.5556761)",,
79395631,True,,Via Mannarino,unclassified,False,43.844,"LINESTRING (17.8086302 40.5558588, 17.809142 40.5559241)",,
1090284011,True,,Via Bologna,residential,False,54.7,"LINESTRING (17.8086302 40.5558588, 17.8087252 40.5553722)",,
114077014,True,,Via Arco Ferraro,residential,False,14.204,"LINESTRING (17.8062925 40.5558671, 17.8061353 40.5559124)",,
114077017,True,,Via Giulio Bechi,residential,False,51.565999999999995,"LINESTRING (17.8039393 40.5561008, 17.8038716 40.5556752, 17.8038661 40.5556404)",1,
114106773,True,,Via Vittorio Alfieri,residential,False,62.092,"LINESTRING (17.8039393 40.5561008, 17.8034732 40.5562571, 17.8032592 40.5563111)",1,
114077014,True,,Via Arco Ferraro,residential,False,53.117,"LINESTRING (17.8051392 40.5562163, 17.8045602 40.5564025)",,
